"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.83","1.3344768439108061","2006","09","14"
"5.83","1.3344768439108061","2006","09","14"
"13.61","1.4268919911829538","2006","09","23"
"11.64","1.3341924398625429","2006","09","23"
"11.64","1.1692439862542954","2006","09","23"
"3.89","2.0","2006","09","23"
"3.89","1.4987146529562982","2006","09","23"
"1.94","1.0","2006","09","24"
"1.94","1.0","2006","09","25"
"13.61","1.2843497428361499","2006","09","28"
"5.83","1.3344768439108061","2006","09","28"
"7.78","1.2493573264781492","2006","09","28"
"7.78","1.2493573264781492","2006","09","29"
"7.78","1.2493573264781492","2006","09","29"
"5.83","1.6672384219554033","2006","09","29"
"15.53","1.1255634256278173","2006","09","29"
"15.53","1.2504829362524148","2006","09","29"
"13.61","1.2843497428361499","2006","09","30"
"13.61","1.2843497428361499","2006","09","30"
"11.64","1.3341924398625429","2006","09","30"
"11.64","1.1692439862542954","2006","09","30"
"7.78","1.2493573264781492","2006","09","30"
"1.94","2.0051546391752577","2006","10","01"
"1.94","2.0051546391752577","2006","10","01"
"1.94","3.0051546391752577","2006","10","01"
"15.53","1.2504829362524148","2006","10","04"
"15.53","1.2504829362524148","2006","10","04"
"13.61","1.2843497428361499","2006","10","04"
"15.53","1.5009658725048294","2006","10","04"
"7.78","1.749357326478149","2006","10","04"
"11.64","1.3341924398625429","2006","10","04"
"11.64","1.3341924398625429","2006","10","04"
"3.89","2.0","2006","10","05"
"5.83","1.3344768439108061","2006","10","05"
"7.78","1.2493573264781492","2006","10","06"
"5.83","1.3344768439108061","2006","10","06"
"5.83","1.6672384219554033","2006","10","06"
"5.83","1.0","2006","10","06"
"5.83","1.3344768439108061","2006","10","06"
"3.89","1.4987146529562982","2006","10","06"
"9.72","1.1975308641975309","2006","10","06"
"3.89","1.0","2006","10","06"
"5.83","1.0","2006","10","06"
"9.72","1.4002057613168724","2006","10","11"
"7.78","1.749357326478149","2006","10","11"
"11.64","1.1692439862542954","2006","10","11"
"9.72","1.4002057613168724","2006","10","11"
"9.72","1.5977366255144032","2006","10","11"
"13.61","1.2843497428361499","2006","10","11"
"15.53","1.2504829362524148","2006","10","11"
"5.83","1.3344768439108061","2006","10","11"
"9.72","1.4002057613168724","2006","10","11"
"7.78","1.2493573264781492","2006","10","11"
"9.72","1.1975308641975309","2006","10","11"
"9.72","1.1975308641975309","2006","10","11"
"9.72","1.1975308641975309","2006","10","11"
"11.64","1.3341924398625429","2006","10","11"
"11.64","1.1692439862542954","2006","10","12"
"9.72","1.4002057613168724","2006","10","12"
"9.72","1.4002057613168724","2006","10","12"
"9.72","1.1975308641975309","2006","10","12"
"7.78","1.2493573264781492","2006","10","12"
"7.78","1.2493573264781492","2006","10","12"
"5.83","1.3344768439108061","2006","10","12"
"3.89","1.0","2006","10","12"
"1.94","2.0051546391752577","2006","10","13"
"3.89","1.4987146529562982","2006","10","13"
"3.89","1.4987146529562982","2006","10","18"
"1.94","2.0051546391752577","2006","10","18"
"7.78","1.4961439588688947","2006","10","20"
"23.31","1.25010725010725","2006","10","21"
"25.25","1.2308910891089109","2006","10","21"
"17.48","1.333524027459954","2006","10","22"
"15.53","1.2504829362524148","2006","10","22"
"17.48","1.2219679633867275","2006","10","22"
"17.48","1.2219679633867275","2006","10","22"
"15.53","1.2504829362524148","2006","10","22"
"17.48","1.333524027459954","2006","10","22"
"17.48","1.333524027459954","2006","10","22"
"17.48","1.2219679633867275","2006","10","22"
"15.53","1.2504829362524148","2006","10","22"
"17.48","1.110983981693364","2006","10","22"
"13.61","1.1410727406318883","2006","10","22"
"13.61","1.2843497428361499","2006","10","22"
"11.64","1.1692439862542954","2006","10","22"
"11.64","1.3341924398625429","2006","10","24"
"17.48","1.333524027459954","2006","10","25"
"19.42","1.3002059732234807","2006","10","25"
"17.48","1.2219679633867275","2006","10","25"
"19.42","1.2003089598352212","2006","10","26"
"15.53","1.3754024468770123","2006","10","26"
"23.31","1.25010725010725","2006","10","26"
"21.36","1.272940074906367","2006","10","26"
"23.31","1.25010725010725","2006","10","26"
"21.36","1.182116104868914","2006","10","26"
"19.42","1.3002059732234807","2006","10","26"
"19.42","1.3002059732234807","2006","10","26"
"15.53","1.2504829362524148","2006","10","26"
"23.31","1.1664521664521665","2006","10","26"
"5.83","1.6672384219554033","2006","10","26"
"9.72","1.1975308641975309","2006","10","26"
"11.64","1.668384879725086","2006","10","26"
"7.78","1.4961439588688947","2006","10","26"
"3.89","2.0","2006","10","27"
"3.89","2.4987146529562985","2006","10","27"
"15.53","1.1255634256278173","2006","10","30"
"5.83","1.6672384219554033","2006","10","30"
"13.61","1.2843497428361499","2006","10","30"
"11.64","1.1692439862542954","2006","10","30"
"9.72","1.1975308641975309","2006","10","30"
"11.64","1.3341924398625429","2006","10","30"
"13.61","1.1410727406318883","2006","10","30"
"3.89","1.4987146529562982","2006","11","02"
"3.89","1.4987146529562982","2006","11","02"
"1.94","2.0051546391752577","2006","11","02"
"1.94","2.0051546391752577","2006","11","03"
"3.89","2.9922879177377895","2006","11","05"
"3.89","2.0","2006","11","08"
"13.61","1.4268919911829538","2006","11","08"
"19.42","1.3002059732234807","2006","11","08"
"19.42","1.3002059732234807","2006","11","08"
"21.36","1.182116104868914","2006","11","08"
"19.42","1.3002059732234807","2006","11","08"
"19.42","1.2003089598352212","2006","11","08"
"9.72","1.1975308641975309","2006","11","08"
"11.64","1.5017182130584192","2006","11","08"
"5.83","1.6672384219554033","2006","11","08"
"11.64","1.3341924398625429","2006","11","08"
"11.64","1.5017182130584192","2006","11","08"
"21.36","1.182116104868914","2006","11","08"
"9.72","1.1975308641975309","2006","11","08"
"11.64","1.5017182130584192","2006","11","08"
"9.72","1.4002057613168724","2006","11","09"
"5.83","1.3344768439108061","2006","11","22"
"9.72","1.7983539094650205","2006","11","24"
"11.64","1.1692439862542954","2006","12","14"
"31.08","1.2503217503217503","2006","12","18"
"31.08","1.2503217503217503","2006","12","18"
"29.14","1.266643788606726","2006","12","18"
"23.31","1.25010725010725","2006","12","18"
"19.42","1.3002059732234807","2006","12","18"
"25.25","1.3081188118811882","2006","12","21"
"1.94","3.0051546391752577","2006","12","21"
"9.72","1.5977366255144032","2006","12","21"
"9.72","1.4002057613168724","2006","12","21"
"11.64","1.3341924398625429","2006","12","21"
"11.64","1.1692439862542954","2006","12","21"
"15.53","1.3754024468770123","2006","12","21"
"13.61","1.2843497428361499","2006","12","21"
"25.25","1.2308910891089109","2006","12","22"
"9.72","1.4002057613168724","2006","12","22"
"17.48","1.2219679633867275","2006","12","26"
"17.48","1.2219679633867275","2006","12","26"
"19.42","1.3002059732234807","2006","12","26"
"15.53","1.2504829362524148","2006","12","26"
"13.61","1.2843497428361499","2006","12","26"
"15.53","1.3754024468770123","2006","12","26"
"9.72","1.4002057613168724","2006","12","27"
"17.48","1.110983981693364","2006","12","27"
"9.72","1.4002057613168724","2006","12","27"
"7.78","1.749357326478149","2006","12","27"
"9.72","1.4002057613168724","2006","12","27"
"29.14","1.3994509265614277","2006","12","30"
"17.48","1.333524027459954","2006","12","30"
"11.64","1.5017182130584192","2006","12","31"
"5.83","1.3344768439108061","2006","12","31"
"5.83","1.6672384219554033","2006","12","31"
"15.53","1.2504829362524148","2007","01","02"
"17.48","1.2219679633867275","2007","01","02"
"17.48","1.333524027459954","2007","01","02"
"17.48","1.333524027459954","2007","01","02"
"15.53","1.2504829362524148","2007","01","02"
"13.61","1.1410727406318883","2007","01","02"
"15.53","1.2504829362524148","2007","01","02"
"13.61","1.4268919911829538","2007","01","02"
"11.64","1.3341924398625429","2007","01","02"
"9.72","1.4002057613168724","2007","01","04"
"9.72","1.4002057613168724","2007","01","04"
"17.48","1.333524027459954","2007","01","04"
"13.61","1.2843497428361499","2007","01","04"
"15.53","1.2504829362524148","2007","01","06"
"15.53","1.3754024468770123","2007","01","08"
"13.61","1.4268919911829538","2007","01","08"
"13.61","1.5694342395297576","2007","01","08"
"11.64","1.5017182130584192","2007","01","08"
"11.64","1.668384879725086","2007","01","08"
"21.36","1.272940074906367","2007","01","08"
"21.36","1.3642322097378279","2007","01","08"
"19.42","1.3002059732234807","2007","01","08"
"17.48","1.333524027459954","2007","01","08"
"9.72","1.4002057613168724","2007","01","08"
"3.89","1.4987146529562982","2007","01","15"
"17.48","1.110983981693364","2007","01","16"
"17.48","1.2219679633867275","2007","01","16"
"17.48","1.2219679633867275","2007","01","16"
"23.31","1.3333333333333333","2007","01","16"
"15.53","1.2504829362524148","2007","01","16"
"13.61","1.2843497428361499","2007","01","16"
"23.31","1.25010725010725","2007","01","19"
"19.42","1.3002059732234807","2007","01","19"
"13.61","1.2843497428361499","2007","01","19"
"11.64","1.3341924398625429","2007","01","19"
"13.61","1.2843497428361499","2007","01","20"
"9.72","1.1975308641975309","2007","01","20"
"21.36","1.3642322097378279","2007","01","21"
"25.25","1.2308910891089109","2007","01","21"
"29.14","1.3994509265614277","2007","01","21"
"27.19","1.2147848473703566","2007","01","21"
"27.19","1.2147848473703566","2007","01","22"
"25.25","1.2308910891089109","2007","01","22"
"23.31","1.25010725010725","2007","01","22"
"19.42","1.2003089598352212","2007","01","22"
"13.61","1.4268919911829538","2007","01","22"
"11.64","1.5017182130584192","2007","01","22"
"13.61","1.4268919911829538","2007","01","22"
"17.48","1.2219679633867275","2007","01","22"
"7.78","1.4961439588688947","2007","01","22"
"11.64","1.5017182130584192","2007","01","22"
"21.36","1.182116104868914","2007","01","25"
"19.42","1.3002059732234807","2007","01","25"
"19.42","1.2003089598352212","2007","01","25"
"13.61","1.4268919911829538","2007","01","25"
"11.64","1.5017182130584192","2007","01","25"
"3.89","2.0","2007","01","25"
"7.78","1.4961439588688947","2007","01","27"
"3.89","1.4987146529562982","2007","01","31"
"3.89","1.4987146529562982","2007","01","31"
"3.89","1.4987146529562982","2007","02","04"
"3.89","1.0","2007","02","05"
"3.89","1.4987146529562982","2007","02","05"
"7.78","1.0","2007","02","05"
"9.72","1.1975308641975309","2007","02","05"
"7.78","1.0","2007","02","05"
"3.89","1.0","2007","02","05"
"5.83","1.3344768439108061","2007","02","05"
"7.78","1.2493573264781492","2007","02","05"
"3.89","1.0","2007","02","16"
"3.89","1.4987146529562982","2007","02","16"
"7.78","1.2493573264781492","2007","02","16"
"5.83","1.3344768439108061","2007","02","16"
"5.83","1.3344768439108061","2007","02","16"
"5.83","1.3344768439108061","2007","02","16"
"15.53","1.2504829362524148","2007","03","08"
"15.53","1.2504829362524148","2007","03","11"
"13.61","1.5694342395297576","2007","03","11"
"15.53","1.2504829362524148","2007","03","12"
"15.53","1.2504829362524148","2007","03","16"
"13.61","1.2843497428361499","2007","03","16"
"7.78","1.749357326478149","2007","03","16"
"11.64","1.5017182130584192","2007","03","17"
"3.89","1.4987146529562982","2007","03","17"
"3.89","1.0","2007","07","31"
"3.89","1.4987146529562982","2007","07","31"
