"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.78","1.0","2007","05","20"
"5.83","1.3344768439108061","2007","05","20"
"7.78","1.0","2007","05","20"
"7.78","1.2493573264781492","2007","05","20"
"5.83","1.3344768439108061","2007","05","21"
"7.78","1.0","2007","05","21"
"5.83","1.3344768439108061","2007","05","21"
"5.83","1.3344768439108061","2007","05","21"
"3.89","1.4987146529562982","2007","05","21"
"3.89","1.0","2007","05","21"
"1.94","2.0051546391752577","2007","05","21"
"9.72","1.4002057613168724","2007","06","10"
"7.78","1.2493573264781492","2007","06","10"
"7.78","1.2493573264781492","2007","06","11"
"5.83","1.6672384219554033","2007","06","11"
"7.78","1.2493573264781492","2007","06","11"
"7.78","1.2493573264781492","2007","06","11"
"7.78","1.2493573264781492","2007","06","11"
"5.83","1.3344768439108061","2007","06","11"
"5.83","1.3344768439108061","2007","06","11"
"7.78","1.0","2007","06","11"
"5.83","1.0","2007","06","11"
"7.78","1.2493573264781492","2007","06","11"
"5.83","1.3344768439108061","2007","06","11"
"5.83","1.3344768439108061","2007","06","11"
"1.94","2.0051546391752577","2007","06","11"
"5.83","1.3344768439108061","2007","06","14"
"7.78","1.0","2007","06","14"
"7.78","1.0","2007","06","14"
"7.78","1.2493573264781492","2007","06","14"
"7.78","1.0","2007","06","14"
"7.78","1.0","2007","06","14"
"5.83","1.3344768439108061","2007","06","14"
"5.83","1.3344768439108061","2007","06","14"
"5.83","1.3344768439108061","2007","06","14"
"5.83","1.3344768439108061","2007","06","14"
"7.78","1.2493573264781492","2007","06","14"
"5.83","1.3344768439108061","2007","06","14"
"5.83","1.0","2007","06","14"
"5.83","1.3344768439108061","2007","06","14"
"7.78","1.2493573264781492","2007","06","14"
"7.78","1.2493573264781492","2007","06","14"
"9.72","1.1975308641975309","2007","06","14"
"9.72","1.1975308641975309","2007","06","14"
"7.78","1.2493573264781492","2007","06","14"
"9.72","1.1975308641975309","2007","06","15"
"9.72","1.1975308641975309","2007","06","15"
"7.78","1.2493573264781492","2007","06","15"
"7.78","1.2493573264781492","2007","06","15"
"9.72","1.1975308641975309","2007","06","15"
"9.72","1.4002057613168724","2007","06","15"
"11.64","1.1692439862542954","2007","06","15"
"11.64","1.3341924398625429","2007","06","15"
"13.61","1.1410727406318883","2007","06","15"
"13.61","1.1410727406318883","2007","06","15"
"13.61","1.1410727406318883","2007","06","15"
"13.61","1.2843497428361499","2007","06","15"
"11.64","1.3341924398625429","2007","06","15"
"13.61","1.1410727406318883","2007","06","15"
"9.72","1.4002057613168724","2007","06","15"
"11.64","1.1692439862542954","2007","06","15"
"13.61","1.1410727406318883","2007","06","15"
"7.78","1.2493573264781492","2007","06","16"
"1.94","2.0051546391752577","2007","06","21"
"1.94","1.0","2007","06","21"
"3.89","1.4987146529562982","2007","06","22"
"3.89","1.0","2007","06","28"
"5.83","1.3344768439108061","2007","06","28"
"5.83","1.3344768439108061","2007","06","28"
"7.78","1.2493573264781492","2007","06","28"
"9.72","1.1975308641975309","2007","06","28"
"7.78","1.2493573264781492","2007","06","28"
"5.83","1.9965694682675816","2007","06","28"
"7.78","1.2493573264781492","2007","06","28"
"7.78","1.2493573264781492","2007","06","28"
"5.83","1.6672384219554033","2007","06","28"
"5.83","1.3344768439108061","2007","06","28"
"5.83","1.3344768439108061","2007","06","28"
"7.78","1.2493573264781492","2007","06","28"
"9.72","1.1975308641975309","2007","06","28"
"11.64","1.1692439862542954","2007","06","29"
"9.72","1.4002057613168724","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"7.78","1.2493573264781492","2007","06","29"
"5.83","1.3344768439108061","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"11.64","1.1692439862542954","2007","06","29"
"11.64","1.1692439862542954","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"9.72","1.4002057613168724","2007","06","29"
"11.64","1.1692439862542954","2007","06","29"
"11.64","1.0","2007","06","29"
"9.72","1.1975308641975309","2007","06","29"
"9.72","1.1975308641975309","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"5.83","1.3344768439108061","2007","06","30"
"7.78","1.0","2007","06","30"
"5.83","1.3344768439108061","2007","06","30"
"7.78","1.0","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.0","2007","06","30"
"5.83","1.0","2007","06","30"
"7.78","1.0","2007","06","30"
"5.83","1.3344768439108061","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.2493573264781492","2007","06","30"
"7.78","1.0","2007","06","30"
"9.72","1.1975308641975309","2007","06","30"
"7.78","1.0","2007","06","30"
"7.78","1.2493573264781492","2007","07","01"
"7.78","1.2493573264781492","2007","07","01"
"5.83","1.3344768439108061","2007","07","01"
"7.78","1.0","2007","07","01"
"7.78","1.2493573264781492","2007","07","12"
"7.78","1.2493573264781492","2007","07","12"
"9.72","1.1975308641975309","2007","07","12"
"9.72","1.0","2007","07","12"
"7.78","1.2493573264781492","2007","07","12"
"7.78","1.2493573264781492","2007","07","13"
