"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"15.53","1.3754024468770123","2006","09","14"
"15.53","1.2504829362524148","2006","09","14"
"9.72","1.7983539094650205","2006","09","15"
"13.61","1.2843497428361499","2006","09","15"
"15.53","1.1255634256278173","2006","09","15"
"13.61","1.2843497428361499","2006","09","15"
"11.64","1.3341924398625429","2006","09","15"
"13.61","1.1410727406318883","2006","09","15"
"11.64","1.3341924398625429","2006","09","15"
"15.53","1.1255634256278173","2006","09","15"
"9.72","1.5977366255144032","2006","09","15"
"11.64","1.3341924398625429","2006","09","15"
"3.89","3.498714652956298","2006","09","15"
"5.83","1.9965694682675816","2006","09","15"
"1.94","4.010309278350515","2006","09","15"
"1.94","3.0051546391752577","2006","09","16"
"1.94","3.0051546391752577","2006","09","16"
"7.78","1.2493573264781492","2006","10","12"
"7.78","1.2493573264781492","2006","10","12"
"7.78","1.2493573264781492","2006","10","12"
"7.78","1.0","2006","10","12"
"7.78","1.2493573264781492","2006","10","12"
"5.83","1.9965694682675816","2006","12","13"
"23.31","1.416988416988417","2006","12","21"
"1.94","2.0051546391752577","2007","06","01"
"5.83","1.3344768439108061","2007","06","03"
"9.72","1.1975308641975309","2007","06","03"
"9.72","1.1975308641975309","2007","06","03"
"9.72","1.1975308641975309","2007","06","10"
"5.83","1.3344768439108061","2007","06","13"
"7.78","1.2493573264781492","2007","06","13"
"9.72","1.1975308641975309","2007","06","13"
"9.72","1.1975308641975309","2007","06","13"
"3.89","1.4987146529562982","2007","06","23"
"3.89","1.0","2007","06","30"
"7.78","1.0","2007","07","02"
"11.64","1.1692439862542954","2007","07","08"
"11.64","1.1692439862542954","2007","07","08"
"5.83","1.3344768439108061","2007","07","15"
"1.94","2.0051546391752577","2007","07","17"
"5.83","1.3344768439108061","2007","07","19"
"3.89","1.0","2007","07","21"
"1.94","2.0051546391752577","2007","07","30"
"9.72","1.1975308641975309","2007","08","01"
"7.78","1.2493573264781492","2007","08","01"
"3.89","1.0","2007","08","13"
"3.89","1.0","2007","08","18"
"5.83","1.3344768439108061","2007","08","18"
"7.78","1.0","2007","08","18"
"7.78","1.2493573264781492","2007","08","19"
"5.83","1.0","2007","08","19"
"11.64","1.1692439862542954","2007","09","02"
"11.64","1.1692439862542954","2007","09","02"
"11.64","1.3341924398625429","2007","09","03"
"11.64","1.1692439862542954","2007","09","03"
"19.42","1.3002059732234807","2007","11","10"
"3.89","2.0","2007","11","19"
"7.78","1.4961439588688947","2007","11","19"
"7.78","1.4961439588688947","2007","11","19"
"9.72","1.1975308641975309","2007","11","19"
"11.64","1.3341924398625429","2007","11","19"
"11.64","1.3341924398625429","2007","11","19"
"11.64","1.1692439862542954","2007","11","19"
"9.72","1.1975308641975309","2007","11","19"
"9.72","1.4002057613168724","2007","11","19"
"1.94","3.0051546391752577","2007","11","19"
"7.78","1.4961439588688947","2007","11","29"
"7.78","1.2493573264781492","2007","11","29"
"21.36","1.272940074906367","2007","12","01"
"19.42","1.3002059732234807","2007","12","01"
"19.42","1.3002059732234807","2007","12","01"
"21.36","1.182116104868914","2007","12","01"
"21.36","1.272940074906367","2007","12","01"
"19.42","1.3002059732234807","2007","12","01"
"19.42","1.3002059732234807","2007","12","01"
"19.42","1.2003089598352212","2007","12","01"
"19.42","1.2003089598352212","2007","12","01"
"19.42","1.4001029866117405","2007","12","01"
"19.42","1.4001029866117405","2007","12","01"
"21.36","1.272940074906367","2007","12","01"
"21.36","1.272940074906367","2007","12","01"
"19.42","1.3002059732234807","2007","12","01"
"21.36","1.272940074906367","2007","12","01"
"21.36","1.3642322097378279","2007","12","02"
"21.36","1.272940074906367","2007","12","02"
"23.31","1.25010725010725","2007","12","02"
"21.36","1.272940074906367","2007","12","02"
"19.42","1.3002059732234807","2007","12","02"
"17.48","1.333524027459954","2007","12","02"
