"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.72","1.5977366255144032","2006","09","16"
"9.72","1.4002057613168724","2006","09","16"
"13.61","1.2843497428361499","2006","09","16"
"17.48","1.2219679633867275","2006","09","16"
"17.48","1.2219679633867275","2006","09","16"
"15.53","1.3754024468770123","2006","09","16"
"17.48","1.2219679633867275","2006","09","16"
"17.48","1.333524027459954","2006","09","16"
"21.36","1.182116104868914","2006","09","16"
"21.36","1.182116104868914","2006","09","16"
"23.31","1.25010725010725","2006","09","16"
"23.31","1.25010725010725","2006","09","16"
"25.25","1.2308910891089109","2006","09","16"
"25.25","1.3081188118811882","2006","09","16"
"25.25","1.2308910891089109","2006","09","17"
"23.31","1.3333333333333333","2006","09","17"
"19.42","1.2003089598352212","2006","09","17"
"23.31","1.416988416988417","2006","09","17"
"25.25","1.2308910891089109","2006","09","17"
"15.53","1.3754024468770123","2006","09","17"
"11.64","1.5017182130584192","2006","09","17"
"1.94","3.0051546391752577","2006","09","17"
"1.94","3.0051546391752577","2006","10","07"
"3.89","1.4987146529562982","2006","10","07"
"5.83","1.3344768439108061","2006","10","07"
"7.78","1.2493573264781492","2006","10","07"
"7.78","1.4961439588688947","2006","10","07"
"11.64","1.5017182130584192","2006","10","07"
"9.72","1.4002057613168724","2006","10","08"
"11.64","1.3341924398625429","2006","10","08"
"11.64","1.1692439862542954","2006","10","08"
"13.61","1.1410727406318883","2006","10","08"
"15.53","1.1255634256278173","2006","10","08"
"13.61","1.2843497428361499","2006","10","08"
"15.53","1.1255634256278173","2006","10","08"
"15.53","1.1255634256278173","2006","10","08"
"15.53","1.1255634256278173","2006","10","08"
"13.61","1.2843497428361499","2006","10","08"
"15.53","1.1255634256278173","2006","10","08"
"15.53","1.1255634256278173","2006","10","08"
"15.53","1.2504829362524148","2006","10","08"
"17.48","1.110983981693364","2006","10","09"
"17.48","1.2219679633867275","2006","10","09"
"19.42","1.3002059732234807","2006","10","09"
"15.53","1.2504829362524148","2006","10","09"
"11.64","1.1692439862542954","2006","10","10"
"13.61","1.2843497428361499","2006","12","04"
"13.61","1.2843497428361499","2006","12","04"
"13.61","1.2843497428361499","2006","12","04"
"17.48","1.2219679633867275","2006","12","04"
"17.48","1.2219679633867275","2006","12","04"
"19.42","1.2003089598352212","2006","12","04"
"23.31","1.25010725010725","2006","12","04"
"23.31","1.1664521664521665","2006","12","04"
"19.42","1.3002059732234807","2006","12","04"
"17.48","1.2219679633867275","2006","12","05"
"17.48","1.333524027459954","2006","12","05"
"19.42","1.3002059732234807","2006","12","05"
"19.42","1.2003089598352212","2006","12","05"
"21.36","1.272940074906367","2006","12","05"
"19.42","1.2003089598352212","2006","12","06"
"23.31","1.1664521664521665","2006","12","06"
"23.31","1.1664521664521665","2006","12","06"
"25.25","1.3081188118811882","2006","12","06"
"25.25","1.2308910891089109","2006","12","06"
"27.19","1.2853990437660905","2006","12","06"
"25.25","1.3841584158415843","2006","12","06"
"31.08","1.1875804375804375","2006","12","06"
"31.08","1.3120978120978122","2006","12","06"
"19.42","1.2003089598352212","2006","12","07"
"21.36","1.182116104868914","2006","12","07"
"21.36","1.272940074906367","2006","12","07"
"17.48","1.2219679633867275","2006","12","07"
"19.42","1.3002059732234807","2006","12","07"
"21.36","1.182116104868914","2006","12","07"
"21.36","1.272940074906367","2006","12","07"
"19.42","1.3002059732234807","2006","12","07"
"23.31","1.25010725010725","2006","12","07"
"11.64","1.3341924398625429","2006","12","08"
"11.64","1.1692439862542954","2006","12","08"
"13.61","1.1410727406318883","2006","12","08"
"15.53","1.1255634256278173","2006","12","08"
"13.61","1.2843497428361499","2006","12","08"
"13.61","1.2843497428361499","2006","12","08"
"11.64","1.3341924398625429","2006","12","08"
"7.78","1.4961439588688947","2006","12","09"
"9.72","1.1975308641975309","2006","12","09"
"11.64","1.3341924398625429","2006","12","09"
"11.64","1.3341924398625429","2006","12","09"
"7.78","1.4961439588688947","2006","12","09"
"7.78","1.4961439588688947","2006","12","09"
"15.53","1.2504829362524148","2006","12","10"
"15.53","1.2504829362524148","2006","12","10"
"15.53","1.2504829362524148","2006","12","10"
"15.53","1.3754024468770123","2006","12","10"
"15.53","1.3754024468770123","2006","12","10"
"15.53","1.2504829362524148","2006","12","10"
"15.53","1.2504829362524148","2006","12","10"
"15.53","1.2504829362524148","2006","12","10"
"19.42","1.2003089598352212","2006","12","10"
"19.42","1.3002059732234807","2006","12","10"
"21.36","1.3642322097378279","2006","12","10"
"21.36","1.272940074906367","2006","12","11"
"25.25","1.3081188118811882","2006","12","11"
"19.42","1.3002059732234807","2006","12","11"
"19.42","1.2003089598352212","2006","12","11"
"7.78","1.4961439588688947","2006","12","12"
"19.42","1.0998970133882593","2006","12","12"
"23.31","1.3333333333333333","2006","12","12"
"25.25","1.3081188118811882","2006","12","12"
"7.78","1.2493573264781492","2006","12","13"
"7.78","1.2493573264781492","2006","12","16"
"11.64","1.3341924398625429","2006","12","16"
"33.03","1.2936724190130184","2006","12","20"
"34.95","1.3336194563662374","2006","12","20"
"36.91","1.262801408832295","2006","12","20"
"27.19","1.2853990437660905","2006","12","20"
"11.64","1.5017182130584192","2006","12","20"
"19.42","1.3002059732234807","2006","12","21"
"23.31","1.1664521664521665","2006","12","21"
"23.31","1.25010725010725","2006","12","21"
"17.48","1.333524027459954","2006","12","21"
"21.36","1.272940074906367","2006","12","21"
"21.36","1.182116104868914","2006","12","21"
"13.61","1.2843497428361499","2006","12","22"
"23.31","1.25010725010725","2006","12","22"
"29.14","1.266643788606726","2006","12","22"
"34.95","1.2226037195994275","2006","12","22"
"38.86","1.1994338651569738","2006","12","22"
"40.78","1.2383521333987249","2006","12","22"
"40.78","1.3813143697891122","2006","12","22"
"40.78","1.2383521333987249","2006","12","22"
"3.89","2.0","2006","12","27"
"7.78","1.4961439588688947","2006","12","27"
"19.42","1.3002059732234807","2007","01","07"
"11.64","1.0","2007","05","31"
"7.78","1.2493573264781492","2007","05","31"
"5.83","1.3344768439108061","2007","06","01"
"7.78","1.0","2007","06","01"
"7.78","1.2493573264781492","2007","06","01"
"5.83","1.3344768439108061","2007","06","01"
"5.83","1.3344768439108061","2007","06","01"
"5.83","1.3344768439108061","2007","06","01"
"5.83","1.3344768439108061","2007","06","01"
"5.83","1.3344768439108061","2007","06","01"
"5.83","1.3344768439108061","2007","06","01"
