# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: LPWA2
# STATION NAME: Little Port Walter
# LATITUDE: 56.38800
# LONGITUDE: -134.63700
# ELEVATION [ft]: 8
# STATE: AK
Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,wind_cardinal_direction_set_1d
,,knots,Degrees,knots,Code
LPWA2,2013-02-28T21:18:00Z,2.0,220.0,,SW
LPWA2,2013-02-28T21:38:00Z,4.0,230.0,9.99,SW
LPWA2,2013-02-28T21:57:00Z,0.99,230.0,,SW
LPWA2,2013-02-28T22:18:00Z,2.0,250.0,,WSW
LPWA2,2013-02-28T22:38:00Z,2.99,220.0,11.99,SW
LPWA2,2013-02-28T22:58:00Z,5.0,220.0,,SW
LPWA2,2013-03-01T00:18:00Z,2.99,210.0,,SSW
LPWA2,2013-03-01T00:36:00Z,2.99,210.0,,SSW
LPWA2,2013-03-01T00:56:00Z,2.99,220.0,,SW
LPWA2,2013-03-01T01:18:00Z,5.0,220.0,16.0,SW
LPWA2,2013-03-01T01:38:00Z,7.0,220.0,16.0,SW
LPWA2,2013-03-01T01:57:00Z,2.0,150.0,,SSE
LPWA2,2013-03-01T02:18:00Z,2.0,170.0,7.99,S
LPWA2,2013-03-01T02:38:00Z,0.99,210.0,,SSW
LPWA2,2013-03-01T02:58:00Z,0.0,0.0,,N
LPWA2,2013-03-01T03:18:00Z,0.0,0.0,2.99,N
LPWA2,2013-03-01T03:38:00Z,0.0,0.0,4.0,N
LPWA2,2013-03-01T03:58:00Z,0.0,0.0,,N
LPWA2,2013-03-01T04:18:00Z,0.0,0.0,2.99,N
LPWA2,2013-03-01T04:38:00Z,0.0,0.0,2.99,N
LPWA2,2013-03-01T04:58:00Z,2.0,220.0,,SW
LPWA2,2013-03-01T05:18:00Z,0.99,270.0,2.99,W
LPWA2,2013-03-01T05:38:00Z,2.99,220.0,5.0,SW
LPWA2,2013-03-01T05:58:00Z,2.0,220.0,,SW
LPWA2,2013-03-01T06:16:00Z,0.99,230.0,2.99,SW
LPWA2,2013-03-01T06:37:00Z,0.0,0.0,2.99,N
LPWA2,2013-03-01T06:57:00Z,2.0,230.0,5.0,SW
LPWA2,2013-03-01T07:18:00Z,2.0,210.0,7.99,SSW
LPWA2,2013-03-01T07:37:00Z,2.99,90.0,7.99,E
