# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: LCNA2
# STATION NAME: Lincoln Island
# LATITUDE: 56.05800
# LONGITUDE: -132.69000
# ELEVATION [ft]: 33
# STATE: AK
Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,wind_cardinal_direction_set_1d
,,knots,Degrees,knots,Code
LCNA2,2010-10-19T17:00:00Z,14.97,140.0,20.97,SE
LCNA2,2010-10-19T18:00:00Z,15.94,150.0,22.92,SSE
LCNA2,2010-10-19T19:00:00Z,18.06,150.0,22.92,SSE
LCNA2,2010-10-19T20:00:00Z,14.97,150.0,24.08,SSE
LCNA2,2010-10-19T21:00:00Z,20.97,150.0,25.06,SSE
LCNA2,2010-10-19T22:00:00Z,19.05,150.0,26.03,SSE
LCNA2,2010-10-19T23:00:00Z,17.09,140.0,24.08,SE
LCNA2,2010-10-20T00:00:00Z,9.91,140.0,21.95,SE
LCNA2,2010-10-20T01:00:00Z,7.0,130.0,17.09,SE
LCNA2,2010-10-20T02:00:00Z,8.94,130.0,13.0,SE
LCNA2,2010-10-20T03:00:00Z,11.06,150.0,20.0,SSE
LCNA2,2010-10-20T04:00:00Z,9.91,140.0,14.0,SE
LCNA2,2010-10-20T05:00:00Z,8.94,140.0,14.0,SE
LCNA2,2010-10-20T06:00:00Z,20.97,160.0,25.06,SSE
LCNA2,2010-10-20T07:00:00Z,11.06,140.0,25.06,SE
LCNA2,2010-10-20T08:00:00Z,11.06,160.0,14.0,SSE
LCNA2,2010-10-20T09:00:00Z,7.0,130.0,13.0,SE
LCNA2,2010-10-20T10:00:00Z,9.91,140.0,13.0,SE
LCNA2,2010-10-20T11:00:00Z,7.95,140.0,15.94,SE
LCNA2,2010-10-20T12:00:00Z,7.0,140.0,11.06,SE
LCNA2,2010-10-20T13:00:00Z,8.94,150.0,12.03,SSE
LCNA2,2010-10-20T14:00:00Z,7.0,130.0,12.03,SE
LCNA2,2010-10-20T15:00:00Z,5.05,140.0,7.95,SE
LCNA2,2010-10-20T16:00:00Z,6.03,110.0,8.94,ESE
LCNA2,2010-10-20T17:00:00Z,5.05,150.0,7.95,SSE
LCNA2,2010-10-20T18:00:00Z,7.95,160.0,9.91,SSE
LCNA2,2010-10-20T19:00:00Z,4.08,140.0,9.91,SE
LCNA2,2010-10-20T20:00:00Z,5.05,110.0,7.95,ESE
LCNA2,2010-10-20T21:00:00Z,5.05,150.0,9.91,SSE
LCNA2,2010-10-20T22:00:00Z,11.06,170.0,14.0,S
LCNA2,2010-10-20T23:00:00Z,14.97,180.0,20.0,S
LCNA2,2010-10-21T00:00:00Z,14.0,160.0,20.97,SSE
LCNA2,2010-10-21T01:00:00Z,9.91,150.0,14.97,SSE
LCNA2,2010-10-21T02:00:00Z,9.91,150.0,14.0,SSE
LCNA2,2010-10-21T03:00:00Z,8.94,150.0,13.0,SSE
LCNA2,2010-10-21T04:00:00Z,9.91,160.0,14.97,SSE
LCNA2,2010-10-21T05:00:00Z,2.92,150.0,,SSE
LCNA2,2010-10-21T06:00:00Z,6.03,230.0,14.0,SW
LCNA2,2010-10-21T07:00:00Z,4.08,260.0,12.03,W
LCNA2,2010-10-21T08:00:00Z,4.08,280.0,8.94,W
LCNA2,2010-10-21T09:00:00Z,4.08,280.0,9.91,W
LCNA2,2010-10-21T10:00:00Z,6.03,230.0,11.06,SW
LCNA2,2010-10-21T11:00:00Z,2.92,100.0,8.94,E
LCNA2,2010-10-21T12:00:00Z,4.08,110.0,7.95,ESE
LCNA2,2010-10-21T13:00:00Z,1.94,80.0,7.95,E
LCNA2,2010-10-21T14:00:00Z,1.94,140.0,5.05,SE
LCNA2,2010-10-21T15:00:00Z,4.08,150.0,6.03,SSE
LCNA2,2010-10-21T16:00:00Z,5.05,100.0,8.94,E
LCNA2,2010-10-21T18:00:00Z,2.92,320.0,5.05,NW
LCNA2,2010-10-21T19:00:00Z,4.08,280.0,7.0,W
LCNA2,2010-10-21T21:00:00Z,0.97,180.0,5.05,S
LCNA2,2010-10-21T22:00:00Z,0.97,210.0,5.05,SSW
LCNA2,2010-10-22T00:00:00Z,0.97,330.0,2.92,NNW
LCNA2,2010-10-22T01:00:00Z,2.92,120.0,6.03,ESE
LCNA2,2010-10-22T02:00:00Z,4.08,120.0,5.05,ESE
LCNA2,2010-10-22T03:00:00Z,5.05,70.0,7.0,ENE
LCNA2,2010-10-22T04:00:00Z,6.03,130.0,8.94,SE
LCNA2,2010-10-22T05:00:00Z,5.05,140.0,11.06,SE
LCNA2,2010-10-22T06:00:00Z,5.05,230.0,8.94,SW
LCNA2,2010-10-22T07:00:00Z,5.05,230.0,7.95,SW
LCNA2,2010-10-22T08:00:00Z,4.08,170.0,7.95,S
LCNA2,2010-10-22T10:00:00Z,1.94,340.0,4.08,NNW
LCNA2,2010-10-22T12:00:00Z,1.94,110.0,2.92,ESE
LCNA2,2010-10-22T14:00:00Z,7.0,130.0,8.94,SE
LCNA2,2010-10-22T15:00:00Z,6.03,90.0,11.06,E
LCNA2,2010-10-22T16:00:00Z,5.05,60.0,9.91,ENE
LCNA2,2010-10-22T17:00:00Z,2.92,60.0,7.0,ENE
LCNA2,2010-10-22T18:00:00Z,2.92,100.0,6.03,E
LCNA2,2010-10-22T19:00:00Z,1.94,40.0,5.05,NE
LCNA2,2010-10-22T20:00:00Z,0.97,200.0,,SSW
LCNA2,2010-10-22T21:00:00Z,4.08,340.0,6.03,NNW
LCNA2,2010-10-22T23:00:00Z,2.92,350.0,6.03,N
LCNA2,2010-10-23T00:00:00Z,1.94,50.0,4.08,NE
LCNA2,2010-10-23T01:00:00Z,1.94,80.0,2.92,E
LCNA2,2010-10-23T02:00:00Z,2.92,100.0,4.08,E
LCNA2,2010-10-23T03:00:00Z,6.03,120.0,9.91,ESE
LCNA2,2010-10-23T04:00:00Z,7.0,140.0,14.0,SE
LCNA2,2010-10-23T05:00:00Z,21.95,140.0,31.08,SE
LCNA2,2010-10-23T06:00:00Z,34.95,140.0,44.09,SE
LCNA2,2010-10-23T07:00:00Z,27.0,150.0,47.97,SSE
LCNA2,2010-10-23T08:00:00Z,27.97,140.0,36.91,SE
LCNA2,2010-10-23T09:00:00Z,20.97,130.0,34.95,SE
LCNA2,2010-10-23T10:00:00Z,22.92,140.0,32.05,SE
LCNA2,2010-10-23T11:00:00Z,26.03,150.0,39.03,SSE
LCNA2,2010-10-23T12:00:00Z,29.92,150.0,39.03,SSE
LCNA2,2010-10-23T13:00:00Z,24.08,150.0,35.92,SSE
LCNA2,2010-10-23T14:00:00Z,21.95,160.0,34.95,SSE
LCNA2,2010-10-23T15:00:00Z,24.08,150.0,31.08,SSE
LCNA2,2010-10-23T16:00:00Z,21.95,150.0,32.05,SSE
LCNA2,2010-10-23T17:00:00Z,21.95,140.0,33.03,SE
LCNA2,2010-10-23T18:00:00Z,19.05,140.0,28.94,SE
LCNA2,2010-10-23T19:00:00Z,20.0,130.0,29.92,SE
LCNA2,2010-10-23T20:00:00Z,20.97,190.0,28.94,S
LCNA2,2010-10-23T21:00:00Z,14.97,180.0,24.08,S
LCNA2,2010-10-23T22:00:00Z,4.08,200.0,,SSW
LCNA2,2010-10-23T23:00:00Z,4.08,150.0,12.03,SSE
LCNA2,2010-10-24T00:00:00Z,4.08,100.0,14.0,E
LCNA2,2010-10-24T01:00:00Z,5.05,20.0,7.95,NNE
LCNA2,2010-10-24T02:00:00Z,2.92,310.0,8.94,NW
LCNA2,2010-10-24T03:00:00Z,2.92,200.0,6.03,SSW
LCNA2,2010-10-24T04:00:00Z,1.94,110.0,5.05,ESE
LCNA2,2010-10-24T05:00:00Z,1.94,190.0,6.03,S
LCNA2,2010-10-24T06:00:00Z,0.97,20.0,5.05,NNE
LCNA2,2010-10-24T07:00:00Z,1.94,240.0,6.03,WSW
LCNA2,2010-10-24T08:00:00Z,4.08,120.0,9.91,ESE
LCNA2,2010-10-24T09:00:00Z,0.97,70.0,,ENE
LCNA2,2010-10-24T10:00:00Z,4.08,100.0,13.0,E
LCNA2,2010-10-24T11:00:00Z,13.0,80.0,18.06,E
LCNA2,2010-10-24T12:00:00Z,14.97,80.0,22.92,E
LCNA2,2010-10-24T13:00:00Z,9.91,100.0,22.92,E
LCNA2,2010-10-24T14:00:00Z,7.0,60.0,17.09,ENE
LCNA2,2010-10-24T15:00:00Z,6.03,40.0,13.0,NE
LCNA2,2010-10-24T16:00:00Z,4.08,40.0,9.91,NE
LCNA2,2010-10-24T17:00:00Z,6.03,350.0,7.95,N
LCNA2,2010-10-24T18:00:00Z,2.92,340.0,7.95,NNW
LCNA2,2010-10-24T20:00:00Z,1.94,140.0,,SE
LCNA2,2010-10-24T21:00:00Z,6.03,100.0,11.06,E
LCNA2,2010-10-24T22:00:00Z,6.03,300.0,14.0,WNW
LCNA2,2010-10-24T23:00:00Z,6.03,270.0,14.0,W
LCNA2,2010-10-25T00:00:00Z,2.92,340.0,9.91,NNW
LCNA2,2010-10-25T01:00:00Z,2.92,280.0,9.91,W
LCNA2,2010-10-25T03:00:00Z,1.94,170.0,7.0,S
LCNA2,2010-10-25T04:00:00Z,6.03,180.0,7.0,S
LCNA2,2010-10-25T05:00:00Z,2.92,190.0,7.95,S
LCNA2,2010-10-25T06:00:00Z,1.94,20.0,5.05,NNE
LCNA2,2010-10-25T07:00:00Z,0.97,90.0,4.08,E
LCNA2,2010-10-25T08:00:00Z,1.94,110.0,,ESE
LCNA2,2010-10-25T09:00:00Z,2.92,40.0,8.94,NE
LCNA2,2010-10-25T10:00:00Z,4.08,300.0,5.05,WNW
LCNA2,2010-10-25T11:00:00Z,0.97,240.0,5.05,WSW
LCNA2,2010-10-25T13:00:00Z,1.94,230.0,5.05,SW
LCNA2,2010-10-25T14:00:00Z,0.97,30.0,,NNE
LCNA2,2010-10-25T15:00:00Z,0.97,230.0,4.08,SW
LCNA2,2010-10-25T16:00:00Z,1.94,70.0,4.08,ENE
LCNA2,2010-10-25T17:00:00Z,1.94,60.0,4.08,ENE
LCNA2,2010-10-25T18:00:00Z,0.97,30.0,,NNE
LCNA2,2010-10-25T19:00:00Z,1.94,40.0,6.03,NE
LCNA2,2010-10-25T20:00:00Z,1.94,330.0,5.05,NNW
LCNA2,2010-10-25T22:00:00Z,14.0,340.0,17.09,NNW
LCNA2,2010-10-25T23:00:00Z,14.0,320.0,17.09,NW
LCNA2,2010-10-26T00:00:00Z,14.0,310.0,18.06,NW
LCNA2,2010-10-26T01:00:00Z,8.94,320.0,18.06,NW
LCNA2,2010-10-26T03:00:00Z,7.95,300.0,9.91,WNW
LCNA2,2010-10-26T04:00:00Z,7.0,280.0,12.03,W
LCNA2,2010-10-26T05:00:00Z,9.91,290.0,13.0,WNW
LCNA2,2010-10-26T06:00:00Z,9.91,340.0,13.0,NNW
LCNA2,2010-10-26T07:00:00Z,8.94,320.0,11.06,NW
LCNA2,2010-10-26T08:00:00Z,7.95,310.0,14.0,NW
LCNA2,2010-10-26T09:00:00Z,7.0,310.0,11.06,NW
LCNA2,2010-10-26T10:00:00Z,7.0,310.0,9.91,NW
LCNA2,2010-10-26T11:00:00Z,5.05,310.0,7.95,NW
LCNA2,2010-10-26T13:00:00Z,1.94,20.0,2.92,NNE
LCNA2,2010-10-26T14:00:00Z,5.05,330.0,6.03,NNW
LCNA2,2010-10-26T15:00:00Z,7.0,350.0,7.95,N
LCNA2,2010-10-26T16:00:00Z,8.94,340.0,11.06,NNW
LCNA2,2010-10-26T17:00:00Z,11.06,330.0,13.0,NNW
LCNA2,2010-10-26T18:00:00Z,14.0,320.0,17.09,NW
LCNA2,2010-10-26T19:00:00Z,12.03,310.0,17.09,NW
LCNA2,2010-10-26T20:00:00Z,14.0,300.0,18.06,WNW
