time,wind_speed_of_gust,wind_gust_from_direction,wind_speed_of_gust_qc_agg,wind_gust_from_direction_qc_agg
UTC,mile.hour-1,degrees,,
2018-12-13T00:01:00Z,29.805,331.8,NaN,NaN
2018-12-13T00:11:00Z,33.141999999999996,317.2,NaN,NaN
2018-12-13T00:21:00Z,30.840999999999998,3.1,NaN,NaN
2018-12-13T00:31:00Z,33.141999999999996,353.8,NaN,NaN
2018-12-13T00:41:00Z,30.956999999999997,6.4,NaN,NaN
2018-12-13T00:51:00Z,30.956999999999997,4.4,NaN,NaN
2018-12-13T01:01:00Z,31.761999999999997,35.8,NaN,NaN
2018-12-13T01:11:00Z,25.087,357.1,NaN,NaN
2018-12-13T01:21:00Z,30.149,5.7,NaN,NaN
2018-12-13T01:31:00Z,29.691,354.6,NaN,NaN
2018-12-13T01:41:00Z,28.769000000000002,332.8,NaN,NaN
2018-12-13T01:51:00Z,29.23,318.4,NaN,NaN
2018-12-13T02:01:00Z,28.308000000000003,331.8,NaN,NaN
2018-12-13T02:11:00Z,23.706999999999997,10.8,NaN,NaN
2018-12-13T02:21:00Z,26.123,50.9,NaN,NaN
2018-12-13T02:31:00Z,27.964000000000002,2.6,NaN,NaN
2018-12-13T02:41:00Z,27.273000000000003,54.1,NaN,NaN
2018-12-13T02:51:00Z,25.318,55.7,NaN,NaN
2018-12-13T03:01:00Z,23.016,33.5,NaN,NaN
2018-12-13T03:11:00Z,24.166,17.6,NaN,NaN
2018-12-13T03:21:00Z,21.52,36.4,NaN,NaN
2018-12-13T03:31:00Z,20.829,57.6,NaN,NaN
2018-12-13T03:41:00Z,22.441,55.8,NaN,NaN
2018-12-13T03:51:00Z,21.98,16.7,NaN,NaN
2018-12-13T04:01:00Z,21.174,21.2,NaN,NaN
2018-12-13T04:11:00Z,20.599,19.5,NaN,NaN
2018-12-13T04:21:00Z,19.218,38.7,NaN,NaN
2018-12-13T04:31:00Z,18.643,14.8,NaN,NaN
2018-12-13T04:41:00Z,18.758,43.8,NaN,NaN
2018-12-13T04:51:00Z,24.625999999999998,45.4,NaN,NaN
2018-12-13T05:01:00Z,9.5515,320.9,NaN,NaN
2018-12-13T05:11:00Z,9.0911,330.3,NaN,NaN
2018-12-13T05:21:00Z,15.075,29.6,NaN,NaN
2018-12-13T05:31:00Z,25.087,51.2,NaN,NaN
2018-12-13T05:41:00Z,23.016,7.5,NaN,NaN
2018-12-13T05:51:00Z,28.539,51.7,NaN,NaN
2018-12-13T06:01:00Z,14.385,48.1,NaN,NaN
2018-12-13T06:11:00Z,12.659,60.5,NaN,NaN
2018-12-13T06:21:00Z,21.059,56.5,NaN,NaN
2018-12-13T06:31:00Z,28.886,54.5,NaN,NaN
2018-12-13T06:41:00Z,28.308000000000003,55.2,NaN,NaN
2018-12-13T06:51:00Z,24.052,57.7,NaN,NaN
2018-12-13T07:01:00Z,31.761999999999997,51.4,NaN,NaN
2018-12-13T07:11:00Z,24.052,54.0,NaN,NaN
2018-12-13T07:21:00Z,25.778000000000002,49.0,NaN,NaN
2018-12-13T07:31:00Z,26.584,34.3,NaN,NaN
2018-12-13T07:41:00Z,21.98,31.3,NaN,NaN
2018-12-13T07:51:00Z,29.344,53.2,NaN,NaN
2018-12-13T08:01:00Z,28.078000000000003,54.0,NaN,NaN
2018-12-13T08:11:00Z,25.548000000000002,49.8,NaN,NaN
2018-12-13T08:21:00Z,34.409,53.1,NaN,NaN
2018-12-13T08:31:00Z,31.185,52.2,NaN,NaN
2018-12-13T08:41:00Z,28.655,52.0,NaN,NaN
2018-12-13T08:51:00Z,23.36,19.3,NaN,NaN
2018-12-13T09:01:00Z,29.344,50.8,NaN,NaN
2018-12-13T09:11:00Z,28.769000000000002,53.8,NaN,NaN
2018-12-13T09:21:00Z,26.467,50.0,NaN,NaN
2018-12-13T09:31:00Z,31.070999999999998,59.0,NaN,NaN
2018-12-13T09:41:00Z,9.6665,329.8,NaN,NaN
2018-12-13T09:51:00Z,22.441,37.7,NaN,NaN
2018-12-13T10:01:00Z,27.734,53.5,NaN,NaN
2018-12-13T10:11:00Z,19.909000000000002,85.4,NaN,NaN
2018-12-13T10:21:00Z,5.0635,16.1,NaN,NaN
2018-12-13T10:31:00Z,16.111,78.5,NaN,NaN
2018-12-13T10:41:00Z,13.004000000000001,123.1,NaN,NaN
2018-12-13T10:51:00Z,16.570999999999998,6.3,NaN,NaN
2018-12-13T11:01:00Z,7.3649,10.6,NaN,NaN
2018-12-13T11:11:00Z,13.464,9.4,NaN,NaN
2018-12-13T11:21:00Z,24.396,30.4,NaN,NaN
2018-12-13T11:31:00Z,14.73,59.4,NaN,NaN
2018-12-13T11:41:00Z,19.678,59.2,NaN,NaN
2018-12-13T11:51:00Z,15.075,11.3,NaN,NaN
2018-12-13T12:01:00Z,10.472000000000001,8.2,NaN,NaN
2018-12-13T12:11:00Z,14.5,114.7,NaN,NaN
2018-12-13T12:21:00Z,23.36,51.7,NaN,NaN
2018-12-13T12:31:00Z,15.880999999999998,94.4,NaN,NaN
2018-12-13T12:41:00Z,11.392999999999999,55.7,NaN,NaN
2018-12-13T12:51:00Z,21.865,53.1,NaN,NaN
2018-12-13T13:01:00Z,13.464,56.8,NaN,NaN
2018-12-13T13:11:00Z,11.048,63.5,NaN,NaN
2018-12-13T13:21:00Z,12.889000000000001,56.5,NaN,NaN
2018-12-13T13:31:00Z,14.155,90.2,NaN,NaN
2018-12-13T13:41:00Z,17.722,55.7,NaN,NaN
2018-12-13T13:51:00Z,15.421,57.4,NaN,NaN
2018-12-13T14:01:00Z,13.924000000000001,58.8,NaN,NaN
2018-12-13T14:11:00Z,15.995999999999999,110.9,NaN,NaN
2018-12-13T14:21:00Z,16.340999999999998,58.0,NaN,NaN
2018-12-13T14:31:00Z,18.643,51.7,NaN,NaN
2018-12-13T14:41:00Z,20.829,55.2,NaN,NaN
2018-12-13T14:51:00Z,19.218,55.2,NaN,NaN
2018-12-13T15:01:00Z,19.102999999999998,48.2,NaN,NaN
2018-12-13T15:11:00Z,12.427999999999999,52.9,NaN,NaN
2018-12-13T15:21:00Z,16.916,60.8,NaN,NaN
2018-12-13T15:31:00Z,20.599,56.2,NaN,NaN
2018-12-13T15:41:00Z,15.305,57.8,NaN,NaN
2018-12-13T15:51:00Z,15.765999999999998,57.6,NaN,NaN
2018-12-13T16:01:00Z,29.575,49.9,NaN,NaN
2018-12-13T16:11:00Z,24.396,50.3,NaN,NaN
2018-12-13T16:21:00Z,25.087,57.3,NaN,NaN
2018-12-13T16:31:00Z,28.769000000000002,50.2,NaN,NaN
2018-12-13T16:41:00Z,26.814,52.1,NaN,NaN
2018-12-13T16:51:00Z,26.006999999999998,52.5,NaN,NaN
2018-12-13T17:01:00Z,24.511999999999997,51.8,NaN,NaN
2018-12-13T17:11:00Z,23.706999999999997,56.4,NaN,NaN
2018-12-13T17:21:00Z,22.671,54.9,NaN,NaN
2018-12-13T17:31:00Z,22.441,54.8,NaN,NaN
2018-12-13T17:41:00Z,29.0,52.0,NaN,NaN
2018-12-13T17:51:00Z,27.734,54.0,NaN,NaN
2018-12-13T18:01:00Z,31.531999999999996,54.9,NaN,NaN
2018-12-13T18:11:00Z,28.886,54.9,NaN,NaN
2018-12-13T18:21:00Z,29.344,52.6,NaN,NaN
2018-12-13T18:31:00Z,29.114,53.8,NaN,NaN
2018-12-13T18:41:00Z,27.734,55.0,NaN,NaN
2018-12-13T18:51:00Z,28.769000000000002,54.1,NaN,NaN
2018-12-13T19:01:00Z,30.496,53.9,NaN,NaN
2018-12-13T19:11:00Z,31.993000000000002,56.5,NaN,NaN
2018-12-13T19:21:00Z,29.23,56.0,NaN,NaN
2018-12-13T19:31:00Z,28.886,55.8,NaN,NaN
2018-12-13T19:41:00Z,26.698,52.7,NaN,NaN
2018-12-13T19:51:00Z,27.619,50.4,NaN,NaN
2018-12-13T20:01:00Z,28.539,58.1,NaN,NaN
2018-12-13T20:11:00Z,20.599,28.8,NaN,NaN
2018-12-13T20:21:00Z,15.421,65.5,NaN,NaN
2018-12-13T20:31:00Z,17.952,94.5,NaN,NaN
2018-12-13T20:41:00Z,17.607,94.0,NaN,NaN
2018-12-13T20:51:00Z,15.536,67.9,NaN,NaN
2018-12-13T21:01:00Z,5.0635,174.1,NaN,NaN
2018-12-13T21:10:00Z,6.7895,102.0,NaN,NaN
2018-12-13T21:21:00Z,4.2578,146.4,NaN,NaN
2018-12-13T21:31:00Z,5.4087,162.2,NaN,NaN
2018-12-13T21:41:00Z,5.2935,349.9,NaN,NaN
2018-12-13T21:51:00Z,4.9483,27.0,NaN,NaN
2018-12-13T22:01:00Z,5.1785,108.0,NaN,NaN
2018-12-13T22:10:00Z,14.27,127.8,NaN,NaN
2018-12-13T22:20:00Z,15.19,131.3,NaN,NaN
2018-12-13T22:31:00Z,13.924000000000001,117.0,NaN,NaN
2018-12-13T22:40:00Z,10.242,10.5,NaN,NaN
2018-12-13T22:51:00Z,10.242,100.2,NaN,NaN
2018-12-13T23:01:00Z,7.9405,100.1,NaN,NaN
2018-12-13T23:11:00Z,8.9762,128.2,NaN,NaN
2018-12-13T23:20:00Z,11.508,122.3,NaN,NaN
2018-12-13T23:31:00Z,9.4363,122.9,NaN,NaN
2018-12-13T23:40:00Z,8.9762,94.2,NaN,NaN
2018-12-13T23:51:00Z,12.083,106.2,NaN,NaN
2018-12-14T00:01:00Z,9.4363,103.7,NaN,NaN
2018-12-14T00:11:00Z,5.4087,94.2,NaN,NaN
2018-12-14T00:21:00Z,14.845,128.8,NaN,NaN
2018-12-14T00:31:00Z,11.277999999999999,117.1,NaN,NaN
2018-12-14T00:41:00Z,8.9762,109.8,NaN,NaN
2018-12-14T00:50:00Z,9.0911,139.3,NaN,NaN
2018-12-14T01:01:00Z,9.6665,112.3,NaN,NaN
2018-12-14T01:11:00Z,9.6665,112.3,NaN,NaN
2018-12-14T01:20:00Z,7.4801,107.1,NaN,NaN
2018-12-14T01:31:00Z,6.2142,97.1,NaN,NaN
2018-12-14T01:41:00Z,9.8967,97.9,NaN,NaN
2018-12-14T01:50:00Z,5.7538,96.3,NaN,NaN
2018-12-14T02:01:00Z,9.0911,139.7,NaN,NaN
2018-12-14T02:11:00Z,8.746,4.1,NaN,NaN
2018-12-14T02:21:00Z,11.738,97.2,NaN,NaN
2018-12-14T02:31:00Z,9.2063,97.2,NaN,NaN
2018-12-14T02:40:00Z,8.5158,93.6,NaN,NaN
2018-12-14T02:50:00Z,8.1706,111.2,NaN,NaN
