time,wind_speed,wind_from_direction,wind_speed_qc_agg,wind_from_direction_qc_agg
UTC,m.s-1,degrees,,
2018-12-13T00:01:00Z,8.9513,352.5,NaN,NaN
2018-12-13T00:11:00Z,9.9288,349.1,NaN,NaN
2018-12-13T00:21:00Z,8.5912,1.2,NaN,NaN
2018-12-13T00:31:00Z,9.4143,356.9,NaN,NaN
2018-12-13T00:41:00Z,9.5687,4.2,NaN,NaN
2018-12-13T00:51:00Z,9.6716,359.7,NaN,NaN
2018-12-13T01:01:00Z,9.1057,348.2,NaN,NaN
2018-12-13T01:11:00Z,8.2311,359.7,NaN,NaN
2018-12-13T01:21:00Z,9.0028,10.2,NaN,NaN
2018-12-13T01:31:00Z,9.1571,5.0,NaN,NaN
2018-12-13T01:41:00Z,8.6941,355.0,NaN,NaN
2018-12-13T01:51:00Z,8.4883,352.0,NaN,NaN
2018-12-13T02:01:00Z,7.6138,5.0,NaN,NaN
2018-12-13T02:11:00Z,7.3566,2.8,NaN,NaN
2018-12-13T02:21:00Z,8.2311,9.2,NaN,NaN
2018-12-13T02:31:00Z,8.1282,14.3,NaN,NaN
2018-12-13T02:41:00Z,8.1797,19.4,NaN,NaN
2018-12-13T02:51:00Z,7.7681,22.2,NaN,NaN
2018-12-13T03:01:00Z,7.4079999999999995,31.0,NaN,NaN
2018-12-13T03:11:00Z,7.8196,30.7,NaN,NaN
2018-12-13T03:21:00Z,6.5334,47.7,NaN,NaN
2018-12-13T03:31:00Z,6.5334,42.4,NaN,NaN
2018-12-13T03:41:00Z,6.019,48.5,NaN,NaN
2018-12-13T03:51:00Z,6.3277,38.8,NaN,NaN
2018-12-13T04:01:00Z,6.7392,29.8,NaN,NaN
2018-12-13T04:11:00Z,5.2988,43.8,NaN,NaN
2018-12-13T04:21:00Z,3.3953,36.8,NaN,NaN
2018-12-13T04:31:00Z,5.093,37.5,NaN,NaN
2018-12-13T04:41:00Z,5.2473,34.1,NaN,NaN
2018-12-13T04:51:00Z,6.1733,32.6,NaN,NaN
2018-12-13T05:01:00Z,2.4693,345.0,NaN,NaN
2018-12-13T05:11:00Z,1.8519999999999999,355.3,NaN,NaN
2018-12-13T05:21:00Z,2.0063,359.5,NaN,NaN
2018-12-13T05:31:00Z,7.3566,40.2,NaN,NaN
2018-12-13T05:41:00Z,6.0704,28.1,NaN,NaN
2018-12-13T05:51:00Z,7.4594,34.4,NaN,NaN
2018-12-13T06:01:00Z,3.5497,18.1,NaN,NaN
2018-12-13T06:11:00Z,2.9323,47.8,NaN,NaN
2018-12-13T06:21:00Z,5.9161,49.3,NaN,NaN
2018-12-13T06:31:00Z,5.8647,61.7,NaN,NaN
2018-12-13T06:41:00Z,5.8647,61.1,NaN,NaN
2018-12-13T06:51:00Z,6.8421,32.7,NaN,NaN
2018-12-13T07:01:00Z,8.6427,32.9,NaN,NaN
2018-12-13T07:11:00Z,8.334,32.0,NaN,NaN
2018-12-13T07:21:00Z,7.5109,22.4,NaN,NaN
2018-12-13T07:31:00Z,8.2311,25.7,NaN,NaN
2018-12-13T07:41:00Z,7.7167,19.1,NaN,NaN
2018-12-13T07:51:00Z,8.1282,43.6,NaN,NaN
2018-12-13T08:01:00Z,7.4079999999999995,47.0,NaN,NaN
2018-12-13T08:11:00Z,7.871,40.4,NaN,NaN
2018-12-13T08:21:00Z,8.334,31.5,NaN,NaN
2018-12-13T08:31:00Z,9.26,44.6,NaN,NaN
2018-12-13T08:41:00Z,7.9739,36.9,NaN,NaN
2018-12-13T08:51:00Z,7.4594,23.3,NaN,NaN
2018-12-13T09:01:00Z,8.8484,31.3,NaN,NaN
2018-12-13T09:11:00Z,8.1282,34.9,NaN,NaN
2018-12-13T09:21:00Z,7.5623,38.0,NaN,NaN
2018-12-13T09:31:00Z,5.4017,44.4,NaN,NaN
2018-12-13T09:41:00Z,2.5208,334.3,NaN,NaN
2018-12-13T09:51:00Z,3.8069,13.1,NaN,NaN
2018-12-13T10:01:00Z,7.8196,39.0,NaN,NaN
2018-12-13T10:11:00Z,3.0352,22.1,NaN,NaN
2018-12-13T10:21:00Z,0.97744,48.7,NaN,NaN
2018-12-13T10:31:00Z,3.1381,51.4,NaN,NaN
2018-12-13T10:41:00Z,1.5948,56.5,NaN,NaN
2018-12-13T10:51:00Z,3.3439,24.5,NaN,NaN
2018-12-13T11:01:00Z,1.5433,348.5,NaN,NaN
2018-12-13T11:11:00Z,1.4404,9.0,NaN,NaN
2018-12-13T11:21:00Z,4.9901,26.2,NaN,NaN
2018-12-13T11:31:00Z,2.5722,21.7,NaN,NaN
2018-12-13T11:41:00Z,2.8809,32.1,NaN,NaN
2018-12-13T11:51:00Z,3.6011,27.5,NaN,NaN
2018-12-13T12:01:00Z,1.9549,8.3,NaN,NaN
2018-12-13T12:11:00Z,2.0063,42.7,NaN,NaN
2018-12-13T12:21:00Z,3.3439,38.1,NaN,NaN
2018-12-13T12:31:00Z,2.7266,51.9,NaN,NaN
2018-12-13T12:41:00Z,2.2121,2.8,NaN,NaN
2018-12-13T12:51:00Z,4.0127,12.9,NaN,NaN
2018-12-13T13:01:00Z,3.4468,22.0,NaN,NaN
2018-12-13T13:11:00Z,1.9034,0.6,NaN,NaN
2018-12-13T13:21:00Z,2.2636,27.5,NaN,NaN
2018-12-13T13:31:00Z,2.5722,75.6,NaN,NaN
2018-12-13T13:41:00Z,4.0127,51.2,NaN,NaN
2018-12-13T13:51:00Z,2.6751,23.5,NaN,NaN
2018-12-13T14:01:00Z,2.1092,48.1,NaN,NaN
2018-12-13T14:11:00Z,3.1381,73.0,NaN,NaN
2018-12-13T14:21:00Z,3.0867,29.4,NaN,NaN
2018-12-13T14:31:00Z,4.3213,40.3,NaN,NaN
2018-12-13T14:41:00Z,4.6814,35.3,NaN,NaN
2018-12-13T14:51:00Z,4.5271,19.3,NaN,NaN
2018-12-13T15:01:00Z,5.5046,25.4,NaN,NaN
2018-12-13T15:11:00Z,2.5722,10.3,NaN,NaN
2018-12-13T15:21:00Z,1.8006,32.2,NaN,NaN
2018-12-13T15:31:00Z,4.5786,52.0,NaN,NaN
2018-12-13T15:41:00Z,2.6751,29.8,NaN,NaN
2018-12-13T15:51:00Z,2.2121,30.1,NaN,NaN
2018-12-13T16:01:00Z,6.1219,40.0,NaN,NaN
2018-12-13T16:11:00Z,5.7618,27.3,NaN,NaN
2018-12-13T16:21:00Z,5.1444,36.2,NaN,NaN
2018-12-13T16:31:00Z,6.2762,33.7,NaN,NaN
2018-12-13T16:41:00Z,5.8647,42.7,NaN,NaN
2018-12-13T16:51:00Z,6.7907,32.2,NaN,NaN
2018-12-13T17:01:00Z,6.0704,34.8,NaN,NaN
2018-12-13T17:11:00Z,5.093,49.6,NaN,NaN
2018-12-13T17:21:00Z,4.2184,55.8,NaN,NaN
2018-12-13T17:31:00Z,5.6074,51.0,NaN,NaN
2018-12-13T17:41:00Z,8.0768,54.1,NaN,NaN
2018-12-13T17:51:00Z,8.2311,49.5,NaN,NaN
2018-12-13T18:01:00Z,9.5172,54.1,NaN,NaN
2018-12-13T18:11:00Z,8.8484,52.2,NaN,NaN
2018-12-13T18:21:00Z,8.3854,51.1,NaN,NaN
2018-12-13T18:31:00Z,9.0542,52.7,NaN,NaN
2018-12-13T18:41:00Z,8.1797,48.1,NaN,NaN
2018-12-13T18:51:00Z,9.26,58.1,NaN,NaN
2018-12-13T19:01:00Z,8.5912,66.2,NaN,NaN
2018-12-13T19:11:00Z,8.3854,59.2,NaN,NaN
2018-12-13T19:21:00Z,8.2311,66.1,NaN,NaN
2018-12-13T19:31:00Z,8.4369,72.3,NaN,NaN
2018-12-13T19:41:00Z,7.9224,51.3,NaN,NaN
2018-12-13T19:51:00Z,8.2826,30.1,NaN,NaN
2018-12-13T20:01:00Z,6.482,37.8,NaN,NaN
2018-12-13T20:11:00Z,6.2762,21.3,NaN,NaN
2018-12-13T20:21:00Z,4.3728,40.3,NaN,NaN
2018-12-13T20:31:00Z,4.4242,52.1,NaN,NaN
2018-12-13T20:41:00Z,3.8069,71.2,NaN,NaN
2018-12-13T20:51:00Z,2.1607,83.4,NaN,NaN
2018-12-13T21:01:00Z,0.97744,128.5,NaN,NaN
2018-12-13T21:10:00Z,0.97744,87.8,NaN,NaN
2018-12-13T21:21:00Z,0.97744,147.7,NaN,NaN
2018-12-13T21:31:00Z,1.4919,153.4,NaN,NaN
2018-12-13T21:41:00Z,1.2347,80.0,NaN,NaN
2018-12-13T21:51:00Z,1.0803,38.7,NaN,NaN
2018-12-13T22:01:00Z,0.97744,126.9,NaN,NaN
2018-12-13T22:10:00Z,3.0352,121.9,NaN,NaN
2018-12-13T22:20:00Z,3.3953,137.3,NaN,NaN
2018-12-13T22:31:00Z,2.4179,118.2,NaN,NaN
2018-12-13T22:40:00Z,3.1381,27.2,NaN,NaN
2018-12-13T22:51:00Z,2.5208,86.1,NaN,NaN
2018-12-13T23:01:00Z,2.4693,108.9,NaN,NaN
2018-12-13T23:11:00Z,2.5722,120.7,NaN,NaN
2018-12-13T23:20:00Z,2.315,116.1,NaN,NaN
2018-12-13T23:31:00Z,2.3664,111.0,NaN,NaN
2018-12-13T23:40:00Z,1.4919,120.3,NaN,NaN
2018-12-13T23:51:00Z,1.6462,135.6,NaN,NaN
2018-12-14T00:01:00Z,1.6462,123.0,NaN,NaN
2018-12-14T00:11:00Z,0.82311,154.7,NaN,NaN
2018-12-14T00:21:00Z,1.389,150.5,NaN,NaN
2018-12-14T00:31:00Z,1.1832,152.3,NaN,NaN
2018-12-14T00:41:00Z,0.97744,157.7,NaN,NaN
2018-12-14T00:50:00Z,0.9259999999999999,204.2,NaN,NaN
2018-12-14T01:01:00Z,1.1832,142.0,NaN,NaN
2018-12-14T01:11:00Z,1.3376,132.9,NaN,NaN
2018-12-14T01:20:00Z,1.2347,131.7,NaN,NaN
2018-12-14T01:31:00Z,0.72022,133.9,NaN,NaN
2018-12-14T01:41:00Z,1.2861,124.0,NaN,NaN
2018-12-14T01:50:00Z,0.77167,96.2,NaN,NaN
2018-12-14T02:01:00Z,1.0803,125.1,NaN,NaN
2018-12-14T02:11:00Z,1.2861,6.1,NaN,NaN
2018-12-14T02:21:00Z,1.3376,71.8,NaN,NaN
2018-12-14T02:31:00Z,1.1318,141.1,NaN,NaN
2018-12-14T02:40:00Z,1.0289,45.3,NaN,NaN
2018-12-14T02:50:00Z,0.87456,294.4,NaN,NaN
2018-12-14T03:01:00Z,0.82311,88.1,NaN,NaN
2018-12-14T03:11:00Z,0.82311,137.4,NaN,NaN
2018-12-14T03:21:00Z,0.46299999999999997,137.1,NaN,NaN
2018-12-14T03:31:00Z,1.3376,129.9,NaN,NaN
2018-12-14T03:41:00Z,2.315,129.0,NaN,NaN
2018-12-14T03:51:00Z,1.9034,125.0,NaN,NaN
2018-12-14T04:01:00Z,0.97744,129.0,NaN,NaN
2018-12-14T04:10:00Z,0.46299999999999997,295.8,NaN,NaN
2018-12-14T04:21:00Z,0.41156000000000004,257.1,NaN,NaN
2018-12-14T04:31:00Z,0.41156000000000004,179.2,NaN,NaN
2018-12-14T04:41:00Z,0.51444,162.7,NaN,NaN
2018-12-14T04:51:00Z,0.61733,173.3,NaN,NaN
2018-12-14T05:01:00Z,0.61733,152.1,NaN,NaN
2018-12-14T05:10:00Z,0.82311,134.1,NaN,NaN
2018-12-14T05:21:00Z,0.66878,151.0,NaN,NaN
2018-12-14T05:31:00Z,0.30867,158.7,NaN,NaN
2018-12-14T05:41:00Z,0.30867,153.4,NaN,NaN
2018-12-14T05:51:00Z,0.51444,151.5,NaN,NaN
2018-12-14T06:01:00Z,1.7491,127.7,NaN,NaN
2018-12-14T06:11:00Z,1.8519999999999999,128.0,NaN,NaN
2018-12-14T06:20:00Z,1.389,136.6,NaN,NaN
2018-12-14T06:31:00Z,0.46299999999999997,165.7,NaN,NaN
2018-12-14T06:41:00Z,0.66878,151.7,NaN,NaN
2018-12-14T06:51:00Z,0.77167,154.7,NaN,NaN
2018-12-14T07:01:00Z,0.97744,144.1,NaN,NaN
2018-12-14T07:11:00Z,1.0803,139.1,NaN,NaN
2018-12-14T07:21:00Z,0.51444,147.1,NaN,NaN
2018-12-14T07:31:00Z,0.41156000000000004,172.8,NaN,NaN
2018-12-14T07:41:00Z,0.41156000000000004,310.8,NaN,NaN
2018-12-14T07:50:00Z,0.51444,149.0,NaN,NaN
2018-12-14T08:01:00Z,0.9259999999999999,126.8,NaN,NaN
2018-12-14T08:11:00Z,1.5433,136.1,NaN,NaN
2018-12-14T08:21:00Z,0.41156000000000004,181.4,NaN,NaN
2018-12-14T08:31:00Z,0.30867,205.6,NaN,NaN
2018-12-14T08:40:00Z,0.87456,111.4,NaN,NaN
2018-12-14T08:51:00Z,0.9259999999999999,138.8,NaN,NaN
2018-12-14T09:01:00Z,0.36011,121.5,NaN,NaN
2018-12-14T09:11:00Z,1.4919,121.6,NaN,NaN
2018-12-14T09:21:00Z,1.1832,133.2,NaN,NaN
2018-12-14T09:31:00Z,0.41156000000000004,120.1,NaN,NaN
2018-12-14T09:40:00Z,0.41156000000000004,273.6,NaN,NaN
2018-12-14T09:51:00Z,0.51444,254.3,NaN,NaN
