"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.99","2.341137123745819","2007","04","22"
"2.0","2.0","2007","04","22"
"4.0","1.75","2007","04","22"
"0.99","3.0202020202020203","2007","04","22"
"4.0","1.5025","2007","04","23"
"2.99","1.3377926421404682","2007","04","23"
"2.99","3.003344481605351","2007","04","26"
"2.0","2.5","2007","04","26"
"0.99","2.0202020202020203","2007","05","02"
"0.99","12.11111111111111","2007","05","03"
"2.99","1.672240802675585","2007","05","06"
"2.99","1.672240802675585","2007","05","22"
"0.99","4.040404040404041","2007","05","23"
"2.0","1.495","2007","05","24"
"6.01","2.329450915141431","2007","06","04"
"2.99","2.0100334448160533","2007","06","05"
"2.99","1.3377926421404682","2007","06","08"
"2.0","2.0","2007","06","10"
"0.99","6.070707070707071","2007","06","21"
"2.0","2.0","2007","06","21"
"2.99","3.672240802675585","2007","06","27"
"4.0","2.745","2007","07","03"
"2.0","1.495","2007","07","10"
"2.0","3.5","2007","07","13"
"5.0","2.196","2007","07","13"
"2.0","12.49","2007","07","13"
"2.99","1.3377926421404682","2007","07","17"
"0.99","5.05050505050505","2007","07","19"
"0.99","4.040404040404041","2007","07","22"
"2.99","2.0100334448160533","2007","07","26"
"2.0","4.49","2007","07","29"
"0.99","3.0202020202020203","2007","08","02"
"2.0","2.5","2007","08","14"
"0.99","3.0202020202020203","2007","08","14"
"2.99","1.3377926421404682","2007","08","16"
"2.0","2.5","2007","08","16"
"2.99","1.3377926421404682","2007","08","17"
"0.99","2.0202020202020203","2007","08","24"
"0.99","4.040404040404041","2007","08","25"
"0.99","5.05050505050505","2007","08","26"
"0.99","2.0202020202020203","2007","08","27"
"0.99","4.040404040404041","2007","08","31"
"0.99","4.040404040404041","2007","08","31"
"5.0","1.202","2007","09","13"
"2.99","1.3377926421404682","2007","09","18"
"2.0","5.995","2007","09","21"
"2.99","2.341137123745819","2007","09","22"
"0.99","2.0202020202020203","2007","09","24"
"2.99","1.3377926421404682","2007","09","24"
"4.0","1.25","2007","09","24"
"2.99","1.672240802675585","2007","09","27"
"0.99","2.0202020202020203","2007","10","03"
"0.99","3.0202020202020203","2007","10","03"
"0.99","2.0202020202020203","2007","10","04"
"2.0","2.0","2007","10","08"
"2.0","2.5","2007","10","13"
"0.99","4.040404040404041","2007","10","13"
"2.0","5.995","2007","10","17"
"0.99","10.090909090909092","2007","10","18"
"0.99","3.0202020202020203","2007","10","18"
"4.0","1.25","2007","10","19"
"2.99","1.672240802675585","2007","10","20"
"2.99","3.341137123745819","2007","11","09"
"0.99","3.0202020202020203","2007","11","10"
"2.99","2.672240802675585","2007","11","16"
"5.0","1.998","2007","11","17"
"5.0","1.598","2007","11","17"
"2.0","1.495","2007","11","17"
"0.99","2.0202020202020203","2007","11","25"
"14.99","1.3989326217478317","2007","12","02"
"12.98","1.7704160246533127","2007","12","02"
"4.0","4.495","2008","03","11"
"4.0","2.245","2008","03","11"
"0.99","4.040404040404041","2008","03","13"
"2.0","2.0","2008","03","24"
"2.99","1.3377926421404682","2008","03","24"
"2.99","1.672240802675585","2008","03","25"
"0.99","2.0202020202020203","2008","03","29"
"0.99","2.0202020202020203","2008","04","11"
"2.0","2.0","2008","04","12"
"2.0","2.0","2008","04","12"
"0.99","3.0202020202020203","2008","04","13"
"2.0","2.0","2008","04","19"
"5.0","1.202","2008","04","23"
"2.99","3.003344481605351","2008","04","23"
"2.99","2.672240802675585","2008","04","23"
"9.99","1.2002002002002001","2008","04","23"
"10.98","1.54735883424408","2008","04","24"
"7.99","2.376720901126408","2008","04","24"
"7.0","1.7128571428571429","2008","04","24"
"4.0","1.75","2008","04","24"
"0.99","2.0202020202020203","2008","04","27"
"0.99","2.0202020202020203","2008","05","05"
"0.99","3.0202020202020203","2008","05","05"
"0.99","3.0202020202020203","2008","05","07"
"2.0","2.0","2008","05","14"
"0.99","4.040404040404041","2008","05","23"
"5.0","1.998","2008","05","28"
"5.0","1.4","2008","05","29"
"0.99","5.05050505050505","2008","06","08"
"2.0","1.495","2008","06","20"
"0.99","2.0202020202020203","2008","07","16"
"2.0","3.5","2008","08","22"
"0.99","9.070707070707071","2008","08","23"
"2.99","4.34113712374582","2008","08","24"
"0.99","5.05050505050505","2008","08","24"
"0.99","3.0202020202020203","2008","08","24"
"2.0","3.995","2008","08","30"
"0.99","11.090909090909092","2008","09","04"
"0.99","4.040404040404041","2008","09","04"
"34.97","1.057191878753217","2008","09","15"
"2.0","6.49","2008","09","15"
"0.99","5.05050505050505","2008","09","16"
"2.0","2.5","2008","09","16"
"0.99","3.0202020202020203","2008","09","23"
"0.99","4.040404040404041","2008","09","23"
"0.99","5.05050505050505","2008","09","25"
"0.99","5.05050505050505","2008","09","26"
"0.99","7.070707070707071","2008","09","30"
"0.99","5.05050505050505","2008","10","07"
"43.97","1.1362292472140096","2008","10","15"
"4.0","1.5025","2008","10","21"
"4.0","1.75","2008","10","21"
"4.0","1.5025","2008","10","21"
"39.97","1.2499374530898175","2008","10","23"
"22.98","1.130983463881636","2008","11","02"
"0.99","5.05050505050505","2008","11","04"
"29.97","1.0670670670670672","2008","11","12"
"28.98","1.1725327812284332","2008","11","13"
"2.99","1.672240802675585","2008","12","09"
"42.98","1.0926012098650537","2008","12","12"
"39.97","1.225168876657493","2008","12","16"
"0.99","5.05050505050505","2008","12","23"
"35.96","1.1671301446051168","2008","12","28"
"42.98","1.1156351791530945","2008","12","28"
"55.96","1.0536097212294495","2008","12","29"
"48.97","1.1427404533387788","2008","12","30"
"52.95","1.1699716713881019","2008","12","31"
"49.96","1.0400320256204965","2009","01","01"
"2.0","3.995","2009","01","21"
"30.98","1.0968366688185924","2009","01","25"
"43.97","1.0905162610871049","2009","02","02"
"42.98","1.2089343880874825","2009","02","02"
"35.96","1.0556173526140156","2009","02","13"
"0.99","5.05050505050505","2009","02","15"
"2.99","2.341137123745819","2009","02","15"
"61.95","1.0645682001614205","2009","02","23"
"31.98","1.1560350218886803","2009","03","07"
"42.98","1.13936714751047","2009","03","08"
"0.99","5.05050505050505","2009","03","11"
"2.0","2.0","2009","03","13"
"28.98","1.0341614906832297","2009","03","22"
"0.99","3.0202020202020203","2009","03","24"
"0.99","2.0202020202020203","2009","03","24"
"29.97","1.1007674341007676","2009","03","29"
"30.98","1.0648805681084572","2009","04","10"
"4.0","3.245","2009","05","13"
"32.99","1.3328281297362836","2009","05","17"
"10.98","2.4571948998178508","2009","05","18"
"10.98","1.9098360655737703","2009","05","18"
"7.99","2.6245306633291614","2009","05","19"
"2.0","4.49","2009","05","19"
"2.0","3.5","2009","05","22"
"2.0","2.5","2009","05","22"
"2.0","3.005","2009","05","22"
"2.0","2.5","2009","05","22"
"2.0","3.995","2009","05","25"
"0.99","5.05050505050505","2009","05","29"
"2.0","2.5","2009","05","31"
"2.99","2.0100334448160533","2009","06","02"
