"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.0","2.0","2007","04","22"
"5.0","1.4","2007","04","23"
"0.99","5.05050505050505","2007","04","23"
"2.0","1.495","2007","04","26"
"2.0","2.0","2007","04","28"
"2.0","2.5","2007","04","28"
"2.99","1.3377926421404682","2007","04","28"
"2.99","1.672240802675585","2007","04","28"
"0.99","5.05050505050505","2007","04","28"
"0.99","3.0202020202020203","2007","05","04"
"2.99","2.0100334448160533","2007","05","18"
"6.01","1.329450915141431","2007","05","20"
"2.0","1.495","2007","05","23"
"5.0","1.4","2007","05","23"
"0.99","10.090909090909092","2007","05","24"
"2.0","1.0","2007","05","24"
"0.99","4.040404040404041","2007","05","30"
"0.99","3.0202020202020203","2007","06","15"
"0.99","2.0202020202020203","2007","06","15"
"0.99","5.05050505050505","2007","06","16"
"6.01","1.8269550748752081","2007","06","21"
"5.0","1.998","2007","06","21"
"2.0","4.995","2007","06","21"
"4.0","2.745","2007","06","26"
"2.99","1.672240802675585","2007","06","26"
"0.99","3.0202020202020203","2007","07","02"
"0.99","3.0202020202020203","2007","07","02"
"7.99","1.2503128911138923","2007","07","04"
"4.0","1.25","2007","07","10"
"2.99","1.672240802675585","2007","07","10"
"2.0","1.495","2007","07","22"
"5.0","1.4","2007","07","27"
"4.0","1.75","2007","07","28"
"2.0","2.0","2007","07","28"
"0.99","5.05050505050505","2007","07","29"
"0.99","7.070707070707071","2007","07","29"
"6.01","2.15973377703827","2007","08","03"
"2.99","2.672240802675585","2007","08","11"
"0.99","2.0202020202020203","2007","08","16"
"0.99","2.0202020202020203","2007","08","16"
"2.0","2.5","2007","08","27"
"0.99","5.05050505050505","2007","08","28"
"2.0","2.0","2007","08","29"
"0.99","6.070707070707071","2007","08","29"
"0.99","2.0202020202020203","2007","08","31"
"2.99","2.672240802675585","2007","08","31"
"0.99","3.0202020202020203","2007","08","31"
"2.0","1.495","2007","08","31"
"2.0","3.005","2007","09","03"
"4.0","3.245","2007","09","11"
"2.99","3.341137123745819","2007","09","13"
"6.01","1.6622296173044926","2007","09","17"
"2.0","3.5","2007","09","17"
"8.98","1.22271714922049","2007","09","17"
"0.99","2.0202020202020203","2007","09","23"
"8.98","1.6692650334075723","2007","09","24"
"16.0","1.310625","2007","10","01"
"2.0","4.49","2007","10","07"
"2.0","2.0","2007","10","13"
"4.0","1.5025","2007","10","15"
"6.01","1.6622296173044926","2007","10","19"
"0.99","3.0202020202020203","2007","10","24"
"8.98","1.6692650334075723","2007","10","27"
"7.99","1.6245306633291614","2007","10","27"
"12.98","1.2326656394453004","2007","10","27"
"2.99","5.351170568561873","2007","12","26"
"4.0","3.245","2008","01","13"
"10.98","1.4571948998178506","2008","03","07"
"5.0","2.8","2008","03","16"
"6.01","1.4941763727121466","2008","03","16"
"2.99","1.3377926421404682","2008","03","22"
"5.0","3.7979999999999996","2008","03","23"
"9.99","1.2992992992992993","2008","04","08"
"7.0","2.8542857142857145","2008","04","13"
"0.99","4.040404040404041","2008","04","21"
"6.01","1.1647254575707155","2008","04","26"
"2.0","2.0","2008","04","26"
"0.99","2.0202020202020203","2008","04","28"
"2.0","2.5","2008","05","04"
"4.0","2.245","2008","05","07"
"0.99","10.090909090909092","2008","05","10"
"4.0","1.9975","2008","05","11"
"4.0","1.25","2008","05","11"
"0.99","2.0202020202020203","2008","05","14"
"2.0","2.0","2008","05","14"
"0.99","3.0202020202020203","2008","05","14"
"2.99","2.672240802675585","2008","05","16"
"2.0","2.5","2008","05","21"
"4.0","1.5025","2008","05","31"
"0.99","5.05050505050505","2008","07","03"
"0.99","5.05050505050505","2008","08","30"
"2.99","4.34113712374582","2008","08","31"
"4.0","1.5025","2008","09","05"
"2.0","2.5","2008","09","05"
"2.0","3.995","2008","09","06"
"2.0","7.0","2008","09","06"
"28.98","1.0690131124913733","2008","09","10"
"4.0","1.25","2008","09","15"
"0.99","5.05050505050505","2008","09","23"
"0.99","4.040404040404041","2008","09","24"
"0.99","7.070707070707071","2008","09","26"
"4.0","4.0","2008","10","07"
"2.0","3.005","2008","10","07"
"36.97","1.08114687584528","2008","10","15"
"0.99","3.0202020202020203","2008","10","21"
"2.0","4.49","2008","10","21"
"41.97","1.0240648081963306","2008","10","24"
"41.97","1.285680247796045","2008","10","24"
"42.98","1.162401116798511","2008","10","27"
"33.98","1.3819894055326665","2008","11","07"
"42.98","1.0926012098650537","2008","11","23"
"51.96","1.134719014626636","2008","11","25"
"46.96","1.212734241908007","2008","11","26"
"44.96","1.1777135231316727","2008","11","26"
"2.99","3.341137123745819","2008","11","27"
"48.97","1.0610577904839698","2008","11","29"
"2.99","3.003344481605351","2008","11","30"
"0.99","4.040404040404041","2008","11","30"
"39.97","1.0753064798598948","2008","12","02"
"32.99","1.0600181873294936","2008","12","08"
"52.95","1.0568460812086875","2008","12","10"
"4.0","2.245","2008","12","26"
"55.96","1.0359185132237312","2008","12","28"
"46.96","1.2344548551959114","2008","12","29"
"53.96","1.0743143068939955","2008","12","30"
"57.97","1.0686562014835261","2008","12","31"
"40.98","1.1217667154709614","2009","01","05"
"41.97","1.0240648081963306","2009","01","09"
"31.98","1.2498436522826766","2009","01","13"
"4.0","2.4975","2009","01","18"
"51.96","1.0575442648190916","2009","01","22"
"43.97","1.2726859222196953","2009","01","22"
"45.97","1.108766586904503","2009","01","23"
"43.97","1.1137138958380715","2009","01","23"
"43.97","1.1137138958380715","2009","01","24"
"48.97","1.0408413314274045","2009","01","29"
"35.96","1.1952169076751946","2009","02","12"
"4.0","2.745","2009","02","19"
"6.01","2.4941763727121464","2009","02","20"
"52.95","1.019074598677998","2009","02","23"
"43.97","1.2272003638844666","2009","02","24"
"6.01","2.4941763727121464","2009","03","10"
"48.97","1.1629569123953443","2009","03","13"
"43.97","1.1362292472140096","2009","03","13"
"37.96","1.132244467860906","2009","03","14"
"36.97","1.1625642412767108","2009","03","18"
"2.0","3.005","2009","03","24"
"2.99","2.0100334448160533","2009","03","24"
"8.98","1.44543429844098","2009","04","04"
"2.0","3.5","2009","04","05"
