"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.99","2.0202020202020203","2007","04","22"
"2.0","2.0","2007","04","23"
"0.99","3.0202020202020203","2007","04","25"
"6.01","1.1647254575707155","2007","04","26"
"0.99","2.0202020202020203","2007","04","28"
"0.99","2.0202020202020203","2007","04","28"
"0.99","3.0202020202020203","2007","05","01"
"0.99","6.070707070707071","2007","05","03"
"7.0","1.4271428571428573","2007","05","06"
"2.99","3.341137123745819","2007","05","06"
"2.0","1.0","2007","05","30"
"0.99","3.0202020202020203","2007","06","03"
"2.99","2.0100334448160533","2007","06","21"
"0.99","2.0202020202020203","2007","07","04"
"0.99","5.05050505050505","2007","07","28"
"0.99","3.0202020202020203","2007","08","02"
"0.99","2.0202020202020203","2007","08","02"
"2.99","2.672240802675585","2007","08","15"
"0.99","2.0202020202020203","2007","08","28"
"2.99","3.672240802675585","2007","08","28"
"0.99","3.0202020202020203","2007","08","28"
"0.99","3.0202020202020203","2007","08","31"
"2.0","2.0","2007","09","18"
"0.99","3.0202020202020203","2007","09","28"
"0.99","2.0202020202020203","2007","10","03"
"2.0","2.0","2007","10","13"
"2.0","2.0","2007","10","14"
"2.0","2.5","2007","10","16"
"2.99","2.672240802675585","2007","10","17"
"0.99","8.070707070707071","2007","10","21"
"2.0","2.5","2007","10","21"
"2.99","3.003344481605351","2007","10","21"
"0.99","6.070707070707071","2007","10","23"
"2.99","5.351170568561873","2007","10","24"
"5.0","1.202","2007","11","26"
"2.99","2.672240802675585","2007","11","27"
"0.99","3.0202020202020203","2007","12","08"
"0.99","3.0202020202020203","2007","12","08"
"2.0","2.0","2007","12","08"
"2.0","2.5","2007","12","16"
"2.99","1.3377926421404682","2008","01","11"
"0.99","4.040404040404041","2008","01","11"
"2.0","3.005","2008","01","11"
"0.99","8.070707070707071","2008","01","11"
"2.0","3.5","2008","01","13"
"2.99","1.672240802675585","2008","02","11"
"0.99","2.0202020202020203","2008","02","28"
"5.0","1.202","2008","03","22"
"2.0","3.005","2008","03","22"
"2.0","3.5","2008","04","12"
"2.99","2.0100334448160533","2008","04","12"
"4.0","1.5025","2008","04","12"
"2.0","2.0","2008","04","20"
"0.99","2.0202020202020203","2008","04","28"
"4.0","1.75","2008","05","01"
"0.99","3.0202020202020203","2008","05","14"
"2.0","3.5","2008","08","22"
"2.0","5.49","2008","08","30"
"2.0","3.995","2008","09","24"
"7.0","2.1414285714285715","2008","09","26"
"0.99","5.05050505050505","2008","09","27"
"4.0","1.75","2008","09","30"
"9.99","1.7997997997997999","2008","10","04"
"8.98","2.002227171492205","2008","10","05"
"36.97","1.08114687584528","2008","10","13"
"45.97","1.0215357842070916","2008","10","14"
"51.96","1.1732101616628174","2008","10","14"
"45.97","1.0867957363497933","2008","10","14"
"28.98","1.0690131124913733","2008","10","17"
"2.0","3.005","2008","10","27"
"45.97","1.0867957363497933","2008","10","28"
"4.0","3.7475","2008","11","03"
"8.98","2.002227171492205","2008","11","06"
"6.01","2.662229617304493","2008","11","06"
"27.97","1.0715051841258492","2008","11","11"
"6.01","2.329450915141431","2008","11","12"
"0.99","4.040404040404041","2008","11","12"
"7.99","2.002503128911139","2008","11","18"
"6.01","2.329450915141431","2008","11","18"
"31.98","1.031582238899312","2008","11","21"
"19.98","1.2502502502502502","2008","11","21"
"2.99","2.672240802675585","2008","11","23"
"35.96","1.139599555061179","2008","11","28"
"6.01","2.4941763727121464","2008","12","01"
"7.0","2.0","2008","12","01"
"7.0","1.8542857142857143","2008","12","05"
"7.0","2.2857142857142856","2008","12","05"
"7.99","2.002503128911139","2008","12","06"
"6.01","1.995008319467554","2008","12","06"
"2.0","3.5","2008","12","06"
"2.0","3.005","2008","12","06"
"0.99","4.040404040404041","2008","12","06"
"0.99","2.0202020202020203","2008","12","06"
"4.0","1.75","2008","12","07"
"10.98","1.819672131147541","2008","12","09"
"8.98","1.7817371937639197","2008","12","09"
"4.0","3.5","2008","12","09"
"45.97","1.1738090058733956","2008","12","10"
"45.97","1.1953447900804874","2008","12","10"
"50.97","1.2348440258975868","2008","12","10"
"2.0","3.005","2008","12","16"
"4.0","1.9975","2008","12","16"
"9.99","1.6016016016016015","2008","12","16"
"7.0","1.8542857142857143","2008","12","19"
"7.0","1.8542857142857143","2008","12","20"
"7.0","2.1414285714285715","2008","12","22"
"5.0","2.596","2008","12","23"
"7.0","2.0","2008","12","23"
"2.99","1.672240802675585","2008","12","23"
"4.0","1.75","2008","12","23"
"7.0","1.8542857142857143","2008","12","23"
"5.0","2.196","2008","12","23"
"7.0","1.7128571428571429","2008","12","23"
"2.0","3.995","2008","12","26"
"44.96","1.1336743772241993","2009","01","01"
"42.98","1.1156351791530945","2009","01","02"
"27.97","1.1794780121558814","2009","01","03"
"46.96","1.2344548551959114","2009","01","06"
"40.98","1.1700829673011226","2009","01","09"
"47.95","1.0629822732012513","2009","01","21"
"6.01","2.329450915141431","2009","01","26"
"7.99","1.6245306633291614","2009","01","26"
"7.99","1.5006257822277846","2009","01","26"
"7.0","2.1414285714285715","2009","01","28"
"43.97","1.0225153513759382","2009","01","29"
"31.98","1.0625390869293307","2009","02","02"
"2.99","2.0100334448160533","2009","02","03"
"12.98","1.6155624036979968","2009","02","06"
"9.99","1.7007007007007005","2009","02","06"
"10.98","1.4571948998178506","2009","02","06"
"9.99","1.5005005005005005","2009","02","06"
"6.01","1.8269550748752081","2009","02","06"
"7.0","1.8542857142857143","2009","02","06"
"4.0","2.4975","2009","02","08"
"5.0","2.398","2009","02","08"
