"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.99","1.0","2006","09","15"
"0.99","1.0","2006","09","16"
"4.0","1.0","2006","09","16"
"2.0","1.495","2006","09","18"
"5.0","1.4","2006","09","20"
"10.98","1.1821493624772312","2006","09","20"
"2.99","1.0","2006","09","20"
"7.0","1.0","2006","09","21"
"2.99","1.0","2006","09","21"
"2.0","1.0","2006","09","21"
"5.0","1.202","2006","09","21"
"2.0","1.0","2006","09","22"
"5.0","1.4","2006","09","23"
"2.99","1.3377926421404682","2006","09","23"
"0.99","3.0202020202020203","2006","09","27"
"7.0","1.0","2006","10","01"
"2.99","1.3377926421404682","2006","10","01"
"4.0","1.0","2006","10","02"
"2.0","1.0","2006","10","02"
"6.01","1.0","2006","10","02"
"2.0","1.0","2006","10","03"
"4.0","1.0","2006","10","03"
"2.0","1.0","2006","10","03"
"2.0","1.0","2006","10","03"
"4.0","1.0","2006","10","06"
"5.0","1.0","2006","10","07"
"5.0","1.202","2006","10","08"
"2.0","1.0","2006","10","08"
"2.0","1.495","2006","10","08"
"2.99","1.3377926421404682","2006","10","08"
"2.0","1.495","2006","10","09"
"4.0","1.5025","2006","10","09"
"8.98","1.1124721603563474","2006","10","10"
"4.0","1.5025","2006","10","10"
"2.99","1.3377926421404682","2006","10","14"
"2.0","1.495","2006","10","14"
"4.0","1.25","2006","10","14"
"6.01","1.1647254575707155","2006","10","17"
"4.0","1.25","2006","10","17"
"2.0","1.495","2006","10","17"
"5.0","1.0","2006","10","17"
"10.98","1.7295081967213113","2006","10","18"
"2.99","1.3377926421404682","2006","10","19"
"2.0","1.495","2006","10","19"
"2.0","1.495","2006","10","20"
"4.0","1.25","2006","10","27"
"2.0","1.0","2006","10","30"
"2.99","1.0","2006","10","30"
"5.0","1.202","2006","10","30"
"2.99","1.0","2006","10","30"
"8.98","1.22271714922049","2006","10","31"
"5.0","1.0","2006","10","31"
"5.0","1.202","2006","10","31"
"2.99","1.672240802675585","2006","11","08"
"2.0","1.495","2006","11","08"
"2.0","1.495","2006","11","08"
"7.0","1.4271428571428573","2006","11","09"
"7.0","1.282857142857143","2006","11","09"
"7.99","1.2503128911138923","2006","11","09"
"4.0","1.5025","2006","11","09"
"9.99","1.0990990990990992","2006","11","09"
"8.98","1.5590200445434297","2006","11","10"
"10.98","1.0919854280510017","2006","11","15"
"12.98","1.3089368258859784","2006","11","16"
"16.0","1.12375","2006","11","17"
"9.99","1.2992992992992993","2006","11","17"
"5.0","1.796","2006","11","17"
"17.98","1.1112347052280311","2006","11","17"
"6.01","1.1647254575707155","2006","11","17"
"8.98","1.22271714922049","2006","11","18"
"11.99","1.1676396997497915","2006","11","18"
"12.98","1.2326656394453004","2006","11","18"
"5.0","1.202","2006","11","20"
"7.0","1.282857142857143","2006","11","20"
"12.98","1.2326656394453004","2006","11","25"
"11.99","1.1676396997497915","2006","11","25"
"7.0","1.4271428571428573","2006","11","25"
"11.99","1.1676396997497915","2006","11","27"
"5.0","1.796","2006","11","28"
"4.0","1.25","2006","11","28"
"5.0","1.202","2006","11","28"
"2.99","1.0","2006","11","28"
"2.99","1.0","2006","12","01"
"5.0","1.0","2006","12","01"
"5.0","1.202","2006","12","01"
"6.01","1.1647254575707155","2006","12","01"
"11.99","1.1676396997497915","2006","12","02"
"4.0","1.5025","2006","12","04"
"7.99","1.1239048811013768","2006","12","05"
"9.99","1.0","2006","12","05"
"9.99","1.2002002002002001","2006","12","05"
"7.99","1.2503128911138923","2006","12","07"
"6.01","1.1647254575707155","2006","12","09"
"2.99","1.3377926421404682","2006","12","10"
"6.01","1.0","2006","12","10"
"8.98","1.1124721603563474","2006","12","10"
"2.0","1.495","2006","12","10"
"2.99","1.0","2006","12","12"
"5.0","1.0","2006","12","12"
"6.01","1.329450915141431","2006","12","12"
"8.98","1.44543429844098","2006","12","17"
"10.98","1.0919854280510017","2006","12","21"
"28.98","1.1383712905452037","2006","12","22"
"11.99","1.0825688073394495","2006","12","24"
"12.98","1.3089368258859784","2006","12","24"
"14.99","1.067378252168112","2006","12","24"
"8.98","1.1124721603563474","2006","12","24"
"17.98","1.389321468298109","2006","12","24"
"7.0","1.1414285714285715","2006","12","27"
"8.98","1.22271714922049","2006","12","28"
"7.0","1.1414285714285715","2007","01","02"
"8.98","1.1124721603563474","2007","01","02"
"7.0","1.0","2007","01","02"
"2.99","1.0","2007","01","02"
"4.0","1.25","2007","01","03"
"14.99","1.133422281521014","2007","01","07"
"10.98","1.1821493624772312","2007","01","08"
"5.0","1.202","2007","01","11"
"2.99","1.672240802675585","2007","01","11"
"0.99","2.0202020202020203","2007","01","12"
"2.99","1.3377926421404682","2007","01","13"
"8.98","1.22271714922049","2007","01","14"
"7.99","1.0","2007","01","17"
"6.01","1.4941763727121466","2007","01","17"
"7.0","1.1414285714285715","2007","01","18"
"6.01","1.1647254575707155","2007","01","18"
"6.01","1.329450915141431","2007","01","18"
"8.98","1.1124721603563474","2007","01","18"
"5.0","1.202","2007","01","19"
"8.98","1.1124721603563474","2007","01","19"
"6.01","1.329450915141431","2007","01","20"
"5.0","1.202","2007","01","20"
"2.0","1.495","2007","01","20"
"2.99","1.3377926421404682","2007","01","20"
"2.99","1.0","2007","01","22"
"5.0","1.0","2007","01","26"
"2.99","1.3377926421404682","2007","01","26"
"7.99","1.0","2007","01","26"
"7.0","1.0","2007","01","26"
"4.0","1.25","2007","01","26"
"2.99","1.3377926421404682","2007","01","26"
"2.99","1.3377926421404682","2007","01","26"
"2.0","1.495","2007","01","26"
"0.99","2.0202020202020203","2007","01","26"
"5.0","1.202","2007","01","28"
"0.99","2.0202020202020203","2007","01","28"
"6.01","1.1647254575707155","2007","01","28"
"7.0","1.1414285714285715","2007","01","28"
"4.0","1.25","2007","01","31"
"0.99","2.0202020202020203","2007","02","01"
"4.0","1.0","2007","02","01"
"6.01","1.0","2007","02","02"
"2.99","1.0","2007","02","02"
"2.99","1.0","2007","02","02"
"0.99","2.0202020202020203","2007","02","02"
"2.99","1.0","2007","02","02"
"2.0","1.0","2007","02","03"
"2.99","1.3377926421404682","2007","02","03"
"0.99","2.0202020202020203","2007","02","03"
"5.0","1.202","2007","02","11"
"6.01","1.329450915141431","2007","02","14"
"2.99","1.0","2007","02","14"
"4.0","1.25","2007","02","15"
"7.0","1.1414285714285715","2007","02","15"
"10.98","1.0919854280510017","2007","02","17"
"2.0","1.495","2007","02","17"
"6.01","1.1647254575707155","2007","02","17"
"4.0","1.0","2007","02","18"
"5.0","1.202","2007","02","18"
"11.99","1.1676396997497915","2007","02","19"
"11.99","1.0825688073394495","2007","02","19"
"8.98","1.22271714922049","2007","03","01"
"6.01","1.1647254575707155","2007","03","01"
"2.99","1.3377926421404682","2007","03","05"
"9.99","1.4014014014014013","2007","03","07"
"5.0","1.4","2007","03","09"
"14.0","1.0707142857142857","2007","03","10"
"14.0","1.1428571428571428","2007","03","10"
"5.0","1.202","2007","03","10"
"7.0","1.1414285714285715","2007","03","10"
"10.98","1.0","2007","03","13"
"7.99","1.1239048811013768","2007","03","13"
"10.98","1.0919854280510017","2007","03","13"
"10.98","1.0919854280510017","2007","03","13"
"6.01","1.1647254575707155","2007","03","16"
"5.0","1.202","2007","03","16"
"7.0","1.1414285714285715","2007","03","16"
"11.99","1.0825688073394495","2007","03","16"
"11.99","1.0825688073394495","2007","03","17"
