"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.0990990990990992","2006","09","14"
"8.98","1.0","2006","09","14"
"2.99","1.672240802675585","2006","09","14"
"14.99","1.1994663108739159","2006","09","14"
"7.99","1.0","2006","09","15"
"6.01","1.0","2006","09","15"
"6.01","1.0","2006","09","15"
"6.01","1.1647254575707155","2006","09","15"
"6.01","1.0","2006","09","15"
"5.0","1.202","2006","09","15"
"5.0","1.0","2006","09","15"
"6.01","1.1647254575707155","2006","09","15"
"2.99","1.0","2006","09","16"
"5.0","1.0","2006","09","16"
"6.01","1.0","2006","09","16"
"8.98","1.1124721603563474","2006","09","16"
"2.0","1.0","2006","09","17"
"6.01","1.1647254575707155","2006","09","17"
"6.01","1.1647254575707155","2006","09","17"
"7.0","1.0","2006","09","18"
"5.0","1.202","2006","09","18"
"2.99","1.0","2006","09","18"
"2.0","1.0","2006","09","18"
"2.0","1.495","2006","09","19"
"2.99","1.3377926421404682","2006","09","19"
"10.98","1.1821493624772312","2006","09","20"
"4.0","1.25","2006","09","20"
"2.99","1.0","2006","09","20"
"2.0","1.0","2006","09","21"
"4.0","1.25","2006","09","21"
"4.0","1.0","2006","09","21"
"2.0","1.495","2006","09","21"
"7.0","1.0","2006","09","23"
"5.0","1.0","2006","09","23"
"6.01","1.0","2006","09","24"
"2.99","1.0","2006","09","26"
"2.0","1.0","2006","09","26"
"2.99","1.0","2006","09","26"
"6.01","1.0","2006","09","26"
"2.99","1.0","2006","09","26"
"7.0","1.4271428571428573","2006","10","01"
"4.0","1.0","2006","10","02"
"4.0","1.25","2006","10","02"
"2.99","1.3377926421404682","2006","10","02"
"2.99","1.0","2006","10","02"
"2.0","1.495","2006","10","02"
"0.99","2.0202020202020203","2006","10","03"
"2.0","1.0","2006","10","03"
"5.0","1.0","2006","10","03"
"4.0","1.25","2006","10","03"
"2.0","1.0","2006","10","03"
"2.99","1.0","2006","10","03"
"4.0","1.25","2006","10","03"
"2.0","1.495","2006","10","05"
"4.0","1.25","2006","10","07"
"4.0","1.25","2006","10","07"
"2.0","1.495","2006","10","07"
"4.0","1.25","2006","10","07"
"6.01","1.1647254575707155","2006","10","07"
"5.0","1.0","2006","10","07"
"4.0","1.0","2006","10","08"
"6.01","1.0","2006","10","08"
"5.0","1.0","2006","10","08"
"8.98","1.0","2006","10","08"
"5.0","1.202","2006","10","08"
"2.99","1.3377926421404682","2006","10","08"
"6.01","1.329450915141431","2006","10","08"
"4.0","1.25","2006","10","08"
"4.0","1.5025","2006","10","08"
"2.0","1.495","2006","10","08"
"7.0","1.1414285714285715","2006","10","08"
"4.0","1.25","2006","10","09"
"2.99","1.0","2006","10","09"
"2.0","1.0","2006","10","10"
"2.99","1.3377926421404682","2006","10","12"
"2.0","1.495","2006","10","14"
"2.99","1.3377926421404682","2006","10","14"
"7.99","1.1239048811013768","2006","10","14"
"14.99","1.1994663108739159","2006","10","16"
"5.0","1.202","2006","10","17"
"9.99","1.0990990990990992","2006","10","18"
"4.0","1.25","2006","10","19"
"2.99","1.0","2006","10","20"
"0.99","2.0202020202020203","2006","10","20"
"2.99","1.0","2006","10","20"
"2.99","1.3377926421404682","2006","10","24"
"7.0","1.0","2006","10","27"
"5.0","1.202","2006","10","27"
"8.98","1.1124721603563474","2006","10","27"
"6.01","1.1647254575707155","2006","10","27"
"7.0","1.1414285714285715","2006","10","28"
"6.01","1.1647254575707155","2006","10","28"
"5.0","1.202","2006","10","28"
"6.01","1.1647254575707155","2006","10","28"
"7.0","1.282857142857143","2006","10","28"
"8.98","1.1124721603563474","2006","10","29"
"0.99","1.0","2006","10","30"
"12.98","1.1548536209553157","2006","10","31"
"6.01","1.1647254575707155","2006","10","31"
"4.0","1.25","2006","10","31"
"6.01","1.1647254575707155","2006","10","31"
"4.0","1.25","2006","11","08"
"5.0","1.202","2006","11","08"
"4.0","1.5025","2006","11","08"
"2.99","1.0","2006","11","08"
"4.0","1.25","2006","11","09"
"10.98","1.0919854280510017","2006","11","10"
"16.0","1.12375","2006","11","10"
"6.01","1.1647254575707155","2006","11","13"
"5.0","1.202","2006","11","13"
"5.0","1.202","2006","11","13"
"5.0","1.202","2006","11","13"
"10.98","1.0919854280510017","2006","11","14"
"6.01","1.329450915141431","2006","11","14"
"10.98","1.3652094717668488","2006","11","16"
"12.98","1.2326656394453004","2006","11","16"
"16.0","1.061875","2006","11","16"
"12.98","1.078582434514638","2006","11","17"
"8.98","1.1124721603563474","2006","11","18"
"16.99","1.2342554443790466","2006","11","25"
"16.0","1.186875","2006","11","25"
"14.99","1.133422281521014","2006","11","25"
"14.0","1.1428571428571428","2006","11","25"
"11.99","1.0825688073394495","2006","11","25"
"14.99","1.133422281521014","2006","11","25"
"10.98","1.2750455373406193","2006","11","25"
"11.99","1.3344453711426187","2006","11","25"
"26.98","1.1482579688658265","2006","11","27"
"16.0","1.310625","2006","11","27"
"18.99","1.157451290152712","2006","11","27"
"14.99","1.1994663108739159","2006","11","27"
"12.98","1.6933744221879814","2006","11","27"
"6.01","1.1647254575707155","2006","11","28"
"2.99","1.3377926421404682","2006","11","28"
"4.0","1.25","2006","11","28"
"9.99","1.0990990990990992","2006","11","29"
"4.0","1.25","2006","12","01"
"2.99","1.3377926421404682","2006","12","01"
"2.0","1.0","2006","12","01"
"4.0","1.25","2006","12","01"
"2.0","1.495","2006","12","01"
"2.0","1.0","2006","12","01"
"0.99","3.0202020202020203","2006","12","01"
"4.0","1.25","2006","12","01"
"5.0","1.202","2006","12","01"
"5.0","1.202","2006","12","02"
"7.0","1.1414285714285715","2006","12","02"
"7.99","1.1239048811013768","2006","12","02"
"9.99","1.0990990990990992","2006","12","02"
"11.99","1.0825688073394495","2006","12","02"
"7.99","1.1239048811013768","2006","12","05"
"7.99","1.1239048811013768","2006","12","05"
"9.99","1.0990990990990992","2006","12","05"
"4.0","1.0","2006","12","06"
"9.99","1.0990990990990992","2006","12","07"
"4.0","1.9975","2006","12","07"
"10.98","1.0919854280510017","2006","12","09"
"4.0","1.25","2006","12","09"
"6.01","1.0","2006","12","09"
"5.0","1.202","2006","12","09"
"11.99","1.0825688073394495","2006","12","09"
"8.98","1.1124721603563474","2006","12","09"
"6.01","1.1647254575707155","2006","12","10"
"5.0","1.202","2006","12","10"
"8.98","1.22271714922049","2006","12","10"
