"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.0","1.4","2006","09","13"
"4.0","1.0","2006","09","15"
"2.0","1.0","2006","09","16"
"2.0","1.0","2006","09","16"
"0.99","2.0202020202020203","2006","09","16"
"2.99","1.0","2006","09","16"
"7.0","1.1414285714285715","2006","09","17"
"4.0","1.0","2006","09","18"
"2.99","1.0","2006","09","18"
"2.0","1.0","2006","09","18"
"0.99","2.0202020202020203","2006","09","18"
"2.0","1.0","2006","09","19"
"5.0","1.202","2006","09","22"
"2.0","1.0","2006","09","22"
"4.0","1.0","2006","09","25"
"2.99","1.0","2006","09","25"
"2.0","1.0","2006","10","03"
"7.0","1.0","2006","10","05"
"2.0","1.0","2006","10","05"
"2.0","1.495","2006","10","09"
"2.99","1.0","2006","10","12"
"7.99","1.1239048811013768","2006","10","12"
"9.99","1.0990990990990992","2006","10","12"
"9.99","1.0990990990990992","2006","10","12"
"8.98","1.1124721603563474","2006","10","12"
"10.98","1.0919854280510017","2006","10","12"
"9.99","1.0990990990990992","2006","10","12"
"7.0","1.1414285714285715","2006","10","13"
"2.0","1.0","2006","10","14"
"2.99","1.3377926421404682","2006","10","14"
"10.98","1.1821493624772312","2006","10","15"
"8.98","1.1124721603563474","2006","10","15"
"10.98","1.1821493624772312","2006","10","15"
"8.98","1.22271714922049","2006","10","15"
"9.99","1.2002002002002001","2006","10","15"
"10.98","1.0919854280510017","2006","10","15"
"11.99","1.0825688073394495","2006","10","16"
"7.99","1.1239048811013768","2006","10","16"
"9.99","1.0990990990990992","2006","10","17"
"2.99","1.0","2006","10","17"
"2.99","1.3377926421404682","2006","10","17"
"7.0","1.0","2006","10","17"
"4.0","1.0","2006","10","17"
"2.0","1.495","2006","10","20"
"2.0","1.495","2006","10","20"
"2.0","1.495","2006","10","30"
"18.99","1.1042654028436019","2006","11","01"
"23.99","1.0833680700291788","2006","11","05"
"20.97","1.1440152598950881","2006","11","05"
"21.98","1.1364877161055504","2006","11","05"
"20.97","1.1440152598950881","2006","11","05"
"31.98","1.1244527829893685","2006","11","07"
"31.98","1.1560350218886803","2006","11","07"
"34.97","1.1429796968830426","2006","11","07"
"34.97","1.0855018587360596","2006","11","07"
"28.98","1.1725327812284332","2006","11","07"
"26.98","1.1108228317272053","2006","11","07"
"25.99","1.1150442477876108","2006","11","07"
"24.98","1.119695756605284","2006","11","07"
"22.98","1.130983463881636","2006","11","07"
