"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.03","1.4825870646766168","2010","10","20"
"5.05","1.5742574257425743","2010","10","20"
"2.92","3.0616438356164384","2010","10","21"
"4.08","1.9485294117647058","2010","10","21"
"1.94","4.0979381443298974","2010","10","21"
"5.05","1.7702970297029703","2010","10","21"
"5.05","1.3861386138613863","2010","10","22"
"1.94","1.5051546391752577","2010","10","22"
"6.03","1.834162520729685","2010","10","22"
"2.92","2.065068493150685","2010","10","22"
"1.94","1.5051546391752577","2010","10","23"
"2.92","1.3972602739726028","2010","10","23"
"4.08","3.4313725490196076","2010","10","24"
"1.94","2.6030927835051547","2010","10","24"
"4.08","3.1862745098039214","2010","10","24"
"13.0","1.389230769230769","2010","10","24"
"14.97","1.531062124248497","2010","10","24"
"9.91","2.3128153380423817","2010","10","24"
"6.03","1.834162520729685","2010","10","24"
"0.97","4.206185567010309","2010","10","25"
"1.94","2.1030927835051547","2010","10","25"
"2.92","4.11986301369863","2010","10","27"
"1.94","4.0979381443298974","2010","10","27"
"2.92","2.065068493150685","2010","10","27"
"2.92","3.0616438356164384","2010","10","28"
"2.92","2.397260273972603","2010","10","28"
"8.94","1.6744966442953022","2010","10","28"
"1.94","3.1082474226804124","2010","10","30"
"8.94","1.5659955257270695","2010","10","30"
"6.03","1.9950248756218905","2010","10","30"
"5.05","1.7702970297029703","2010","10","30"
"7.95","1.8830188679245283","2010","11","08"
"2.92","3.0616438356164384","2010","11","10"
"7.0","1.58","2010","11","15"
"6.03","1.6434494195688225","2010","11","15"
"6.03","2.155887230514096","2010","11","15"
"6.03","3.1592039800995027","2010","11","16"
"5.05","1.9623762376237626","2010","11","17"
"6.03","1.834162520729685","2010","11","17"
"6.03","1.6434494195688225","2010","11","17"
"6.03","1.834162520729685","2010","11","17"
"7.0","1.4157142857142857","2010","11","17"
"13.0","1.2261538461538461","2010","11","17"
"14.97","1.6085504342017367","2010","11","17"
"13.0","2.076923076923077","2010","11","17"
"12.03","2.5835411471321694","2010","11","17"
"15.94","1.8770388958594733","2010","11","17"
"19.05","1.6824146981627295","2010","11","17"
"15.94","1.6938519447929736","2010","11","18"
"13.0","2.076923076923077","2010","11","18"
"19.05","1.6314960629921258","2010","11","18"
"12.03","2.083125519534497","2010","11","20"
"13.0","1.9276923076923076","2010","11","20"
"7.95","2.0050314465408805","2010","11","20"
"2.92","3.0616438356164384","2010","11","20"
"14.0","1.2207142857142856","2010","11","22"
"11.06","1.6329113924050631","2010","11","22"
"7.95","1.8830188679245283","2010","11","22"
"17.09","1.2843768285547104","2010","11","22"
"17.09","1.4663545933294324","2010","11","22"
"11.06","1.896021699819168","2010","11","22"
"8.94","2.237136465324385","2010","11","22"
"15.94","1.437892095357591","2010","11","22"
"14.97","1.6085504342017367","2010","11","22"
"13.0","1.9276923076923076","2010","11","22"
"11.06","1.7224231464737794","2010","11","22"
"4.08","1.9485294117647058","2010","11","23"
"7.95","1.3911949685534593","2010","11","23"
"7.95","1.8830188679245283","2010","11","27"
"1.94","3.6082474226804124","2010","11","27"
"1.94","2.6030927835051547","2010","11","27"
"6.03","1.834162520729685","2010","11","30"
"7.0","3.44","2010","12","01"
"8.94","1.7829977628635347","2010","12","02"
"6.03","2.155887230514096","2010","12","03"
"5.05","2.5742574257425743","2010","12","03"
"4.08","2.7107843137254903","2010","12","03"
"7.95","2.3962264150943398","2010","12","06"
"5.05","1.1940594059405942","2010","12","07"
"5.05","1.7702970297029703","2010","12","07"
"5.05","2.1900990099009903","2010","12","07"
"7.95","1.3911949685534593","2010","12","07"
"2.92","2.397260273972603","2010","12","07"
"4.08","1.7156862745098038","2010","12","08"
"4.08","3.1862745098039214","2010","12","08"
"4.08","2.428921568627451","2010","12","08"
"8.94","3.1286353467561523","2010","12","08"
"7.0","2.4414285714285713","2010","12","08"
"2.92","3.0616438356164384","2010","12","08"
"1.94","3.6082474226804124","2010","12","09"
"2.92","3.0616438356164384","2010","12","09"
"5.05","1.5742574257425743","2010","12","10"
"4.08","2.7107843137254903","2010","12","10"
"5.05","2.382178217821782","2010","12","10"
"5.05","3.1564356435643566","2010","12","10"
"1.94","2.6030927835051547","2010","12","12"
"4.08","2.191176470588235","2010","12","12"
"2.92","3.7876712328767126","2010","12","14"
"1.94","2.6030927835051547","2010","12","14"
"11.06","2.2658227848101262","2010","12","16"
"1.94","4.0979381443298974","2010","12","17"
"4.08","1.4779411764705883","2010","12","17"
"5.05","1.9623762376237626","2010","12","18"
"5.05","1.9623762376237626","2010","12","19"
"2.92","4.11986301369863","2010","12","19"
"7.95","2.6377358490566034","2010","12","20"
"4.08","1.9485294117647058","2010","12","22"
"1.94","3.6082474226804124","2010","12","22"
"4.08","1.4779411764705883","2010","12","22"
"4.08","1.7156862745098038","2010","12","22"
"12.03","1.2443890274314215","2010","12","22"
"2.92","3.3938356164383565","2010","12","23"
"6.03","2.482587064676617","2010","12","23"
"1.94","4.608247422680412","2010","12","24"
"5.05","3.384158415841584","2010","12","24"
"2.92","2.397260273972603","2010","12","24"
"5.05","1.3861386138613863","2010","12","24"
"8.94","1.45413870246085","2010","12","24"
"6.03","2.3217247097844114","2010","12","24"
"5.05","1.9623762376237626","2010","12","26"
"2.92","2.397260273972603","2010","12","26"
"6.03","2.482587064676617","2010","12","27"
"5.05","1.1940594059405942","2010","12","27"
"2.92","2.7226027397260277","2010","12","28"
"5.05","1.9623762376237626","2010","12","29"
"6.03","1.4825870646766168","2010","12","29"
