"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"20.97","1.1950405340963282","2010","10","20"
"11.06","1.2658227848101264","2010","10","20"
"7.95","1.2465408805031446","2010","10","20"
"11.06","1.2658227848101264","2010","10","20"
"14.97","1.336005344021376","2010","10","20"
"14.0","1.4978571428571428","2010","10","21"
"9.91","1.5105953582240161","2010","10","21"
"0.97","5.206185567010309","2010","10","21"
"4.08","1.9485294117647058","2010","10","22"
"21.95","1.5922551252847381","2010","10","23"
"20.97","1.3800667620410112","2010","10","23"
"14.97","1.6085504342017367","2010","10","23"
"2.92","2.065068493150685","2010","10","24"
"1.94","3.1082474226804124","2010","10","24"
"1.94","3.6082474226804124","2010","10","25"
"6.03","1.1608623548922057","2010","10","25"
"2.92","2.7226027397260277","2010","10","25"
"7.95","1.5132075471698112","2010","10","27"
"2.92","3.3938356164383565","2010","10","27"
"14.97","1.2064128256513025","2010","10","28"
"18.06","1.1611295681063123","2010","10","28"
"19.05","1.264041994750656","2010","10","29"
"31.08","2.0244530244530248","2010","10","29"
"38.06","1.2603783499737256","2010","10","29"
"45.06","1.3322237017310252","2010","10","29"
"46.03","1.3458613947425593","2010","10","29"
"42.94","1.3751746623195156","2010","10","29"
"38.06","1.3420914345769837","2010","10","29"
"31.08","1.481016731016731","2010","10","29"
"41.97","1.5732666190135811","2010","11","01"
"47.97","1.6683343756514488","2010","11","01"
"51.08","1.3308535630383713","2010","11","01"
"40.0","1.50075","2010","11","01"
"47.0","1.297872340425532","2010","11","01"
"40.0","1.50075","2010","11","01"
"21.95","1.7339407744874717","2010","11","02"
"26.03","1.417979254706108","2010","11","02"
"26.03","1.417979254706108","2010","11","02"
"22.92","1.7028795811518325","2010","11","02"
"31.08","1.3503861003861004","2010","11","02"
"20.0","2.147","2010","11","02"
"21.95","1.5922551252847381","2010","11","02"
"19.05","1.9979002624671915","2010","11","02"
"18.06","1.82890365448505","2010","11","02"
"14.0","2.3592857142857144","2010","11","02"
"17.09","1.750731421884143","2010","11","02"
"20.0","1.3984999999999999","2010","11","02"
"21.95","1.3630979498861049","2010","11","02"
"27.0","1.2944444444444445","2010","11","02"
"20.97","1.7129232236528376","2010","11","02"
"26.03","1.1940069150979638","2010","11","02"
"14.97","2.0761523046092183","2010","11","02"
"20.97","1.4268001907486887","2010","11","02"
"24.08","1.2906976744186047","2010","11","02"
"26.03","1.3061851709565886","2010","11","03"
"33.03","1.5464729034211322","2010","11","04"
"46.03","1.3880078209863131","2010","11","04"
"47.97","1.481967896602043","2010","11","04"
"49.92","1.4010416666666665","2010","11","04"
"35.92","1.7246659242761693","2010","11","04"
"47.0","1.3180851063829788","2010","11","04"
"39.03","1.56290033307712","2010","11","04"
"49.92","1.2798477564102564","2010","11","04"
"49.92","1.2798477564102564","2010","11","04"
"54.0","1.4244444444444444","2010","11","04"
"56.92","1.440091356289529","2010","11","04"
"54.0","1.482037037037037","2010","11","04"
"65.06","1.2748232400860744","2010","11","04"
"26.03","1.1940069150979638","2010","11","04"
"25.06","1.2402234636871508","2010","11","04"
"29.92","1.2336229946524062","2010","11","04"
"21.95","1.5922551252847381","2010","11","04"
"32.05","1.2177847113884557","2010","11","05"
"9.91","3.1362260343087787","2010","11","05"
"14.0","2.2199999999999998","2010","11","05"
"14.0","2.1371428571428575","2010","11","05"
"18.06","1.82890365448505","2010","11","05"
"27.0","1.2944444444444445","2010","11","05"
"31.08","1.1557271557271558","2010","11","05"
