"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.0","1.495","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"2.0","1.495","2013","03","03"
"2.0","3.005","2013","03","04"
"2.99","2.0100334448160533","2013","03","04"
"2.99","1.672240802675585","2013","03","04"
"5.0","1.4","2013","03","04"
"4.0","2.245","2013","03","04"
"4.0","2.245","2013","03","04"
"4.0","2.245","2013","03","04"
"2.99","3.341137123745819","2013","03","05"
"4.0","2.4975","2013","03","06"
"5.0","1.4","2013","03","06"
"4.0","1.75","2013","03","06"
"0.99","4.040404040404041","2013","03","08"
"0.99","3.0202020202020203","2013","03","08"
"2.0","2.5","2013","03","08"
"2.0","3.005","2013","03","08"
"2.0","3.005","2013","03","08"
"0.99","5.05050505050505","2013","03","09"
"0.99","3.0202020202020203","2013","03","09"
"2.99","2.0100334448160533","2013","03","09"
"2.0","3.005","2013","03","09"
"2.0","1.495","2013","03","09"
"0.99","4.040404040404041","2013","03","09"
"0.99","3.0202020202020203","2013","03","09"
"0.99","3.0202020202020203","2013","03","09"
"6.01","2.15973377703827","2013","03","13"
"4.0","2.745","2013","03","15"
"2.99","3.672240802675585","2013","03","15"
"2.0","2.0","2013","03","15"
"4.0","1.5025","2013","03","15"
"0.99","4.040404040404041","2013","03","16"
"2.0","3.5","2013","03","17"
"2.99","2.341137123745819","2013","03","17"
"2.99","1.672240802675585","2013","03","17"
"2.99","2.341137123745819","2013","03","18"
"2.99","2.341137123745819","2013","03","18"
"0.99","3.0202020202020203","2013","03","18"
"2.99","2.341137123745819","2013","03","20"
"4.0","2.4975","2013","03","20"
"4.0","2.4975","2013","03","20"
"7.0","2.2857142857142856","2013","03","20"
"5.0","3.2","2013","03","20"
"2.99","2.341137123745819","2013","03","20"
"6.01","1.6622296173044926","2013","03","20"
"4.0","2.245","2013","03","21"
"4.0","2.245","2013","03","21"
"2.99","3.003344481605351","2013","03","21"
"2.99","2.341137123745819","2013","03","21"
"2.99","2.341137123745819","2013","03","21"
"2.99","1.672240802675585","2013","03","21"
"2.99","2.0100334448160533","2013","03","21"
"2.99","1.672240802675585","2013","03","21"
"2.99","2.0100334448160533","2013","03","22"
"2.99","2.0100334448160533","2013","03","22"
"2.99","1.672240802675585","2013","03","22"
"2.99","2.0100334448160533","2013","03","24"
"2.99","2.672240802675585","2013","03","24"
"2.99","3.003344481605351","2013","03","24"
"5.0","1.796","2013","03","24"
"0.99","5.05050505050505","2013","03","25"
"0.99","5.05050505050505","2013","03","28"
"0.99","3.0202020202020203","2013","03","29"
"2.0","3.005","2013","04","03"
"2.0","4.49","2013","04","07"
"2.0","2.5","2013","04","07"
"2.0","2.0","2013","04","07"
"2.99","2.0100334448160533","2013","04","09"
"2.99","2.0100334448160533","2013","04","09"
"2.0","3.995","2013","04","09"
"2.0","4.49","2013","04","09"
