"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.21","1.1669865642994242","2019","08","19"
"6.96","1.5","2019","08","19"
"5.21","1.1669865642994242","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"5.21","1.1669865642994242","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"6.08","1.2845394736842104","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"6.08","1.2845394736842104","2019","08","20"
"9.56","1.0920502092050208","2019","08","20"
"10.44","1.2471264367816093","2019","08","20"
"11.29","1.308237378210806","2019","08","21"
"6.96","1.622126436781609","2019","08","21"
"6.08","1.144736842105263","2019","08","21"
"6.96","2.248563218390805","2019","08","23"
"6.08","2.1414473684210527","2019","08","23"
"8.69","1.800920598388953","2019","08","23"
"8.69","1.4982738780207134","2019","08","23"
"5.21","2.0038387715930903","2019","08","24"
"6.08","1.5723684210526316","2019","08","24"
"3.48","1.2442528735632183","2019","08","24"
"2.6","1.3384615384615384","2019","08","26"
"0.87","4.977011494252873","2019","08","26"
"5.21","2.166986564299424","2019","08","26"
"7.81","1.558258642765685","2019","08","26"
"4.33","1.6073903002309469","2019","08","28"
"5.21","1.1669865642994242","2019","08","28"
"4.33","1.2032332563510393","2019","08","28"
"3.48","1.4971264367816093","2019","08","28"
"2.6","1.0","2019","08","28"
"5.21","1.0","2019","08","28"
"4.33","1.6073903002309469","2019","08","29"
"5.21","1.1669865642994242","2019","08","29"
"3.48","1.4971264367816093","2019","08","29"
"4.33","1.4041570438799076","2019","08","29"
"6.08","1.0","2019","08","29"
"4.33","1.2032332563510393","2019","08","29"
"6.08","1.4292763157894737","2019","08","29"
"5.21","1.1669865642994242","2019","08","30"
"6.08","1.2845394736842104","2019","08","30"
"5.21","1.3358925143953935","2019","08","30"
"6.96","1.3735632183908046","2019","08","30"
"4.33","1.2032332563510393","2019","08","31"
"2.6","1.0","2019","08","31"
"4.33","1.2032332563510393","2019","08","31"
"5.21","1.3358925143953935","2019","08","31"
"6.08","1.144736842105263","2019","09","01"
"0.87","2.0114942528735633","2019","09","01"
"1.75","1.0","2019","09","01"
"2.6","1.3384615384615384","2019","09","01"
"5.21","1.1669865642994242","2019","09","01"
"3.48","1.0","2019","09","01"
"0.87","2.9885057471264367","2019","09","01"
"1.75","1.4857142857142858","2019","09","03"
"1.75","1.4857142857142858","2019","09","04"
"1.75","1.9885714285714287","2019","09","04"
"1.75","1.4857142857142858","2019","09","04"
"2.6","1.3384615384615384","2019","09","05"
"3.48","1.0","2019","09","05"
"3.48","1.2442528735632183","2019","09","05"
"3.48","1.2442528735632183","2019","09","05"
"5.21","1.1669865642994242","2019","09","05"
"3.48","1.4971264367816093","2019","09","05"
"4.33","1.4041570438799076","2019","09","05"
