"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.0","2.5","2007","04","22"
"0.99","5.05050505050505","2007","04","22"
"0.99","5.05050505050505","2007","04","22"
"0.99","5.05050505050505","2007","04","23"
"4.0","3.245","2007","04","23"
"9.99","1.7997997997997999","2007","04","23"
"7.99","2.8760951188986232","2007","04","23"
"6.01","2.8269550748752077","2007","04","23"
"10.98","2.4571948998178508","2007","04","23"
"7.99","3.6270337922403004","2007","04","23"
"14.99","2.2008005336891263","2007","04","23"
"19.98","1.9504504504504503","2007","04","23"
"14.0","2.7114285714285713","2007","04","23"
"0.99","11.090909090909092","2007","04","24"
"5.0","3.2","2007","04","24"
"9.99","2.0","2007","04","24"
"8.98","1.891982182628062","2007","04","24"
"6.01","2.8269550748752077","2007","04","24"
"9.99","1.9009009009009008","2007","04","26"
"7.99","3.8773466833541925","2007","04","27"
"9.99","2.0","2007","04","27"
"7.99","2.5006257822277846","2007","04","27"
"4.0","4.2475","2007","04","27"
"14.0","1.9271428571428573","2007","04","27"
"8.98","2.7817371937639197","2007","04","27"
"2.0","7.495","2007","04","27"
"12.98","2.1548536209553157","2007","04","29"
"7.99","2.002503128911139","2007","04","29"
"5.0","2.596","2007","04","29"
"9.99","1.9009009009009008","2007","04","30"
"7.99","2.002503128911139","2007","04","30"
"7.99","2.376720901126408","2007","04","30"
"7.0","2.7128571428571426","2007","04","30"
"7.99","2.1264080100125153","2007","04","30"
"4.0","4.495","2007","04","30"
"8.98","1.891982182628062","2007","04","30"
"5.0","3.2","2007","04","30"
"6.01","2.9916805324459235","2007","04","30"
"2.0","5.49","2007","04","30"
"0.99","12.11111111111111","2007","05","03"
"0.99","9.070707070707071","2007","05","03"
"2.0","3.5","2007","05","04"
"8.98","2.671492204899777","2007","05","05"
"4.0","4.2475","2007","05","05"
"9.99","2.0","2007","05","05"
"5.0","3.2","2007","05","05"
"9.99","1.5005005005005005","2007","05","05"
"2.0","8.0","2007","05","06"
"8.98","2.224944320712695","2007","05","06"
"7.99","3.376720901126408","2007","05","06"
"12.98","2.078582434514638","2007","05","06"
"9.99","2.900900900900901","2007","05","06"
"5.0","3.596","2007","05","07"
"5.0","2.998","2007","05","07"
"6.01","2.662229617304493","2007","05","07"
"2.99","6.013377926421405","2007","05","07"
"7.99","1.7521902377972465","2007","05","08"
"2.99","4.010033444816053","2007","05","08"
"2.0","6.49","2007","05","08"
"0.99","8.070707070707071","2007","05","09"
"2.0","3.005","2007","05","09"
"12.98","1.539291217257319","2007","05","10"
"5.0","2.596","2007","05","10"
"4.0","4.995","2007","05","10"
"2.99","3.003344481605351","2007","05","10"
"6.01","2.8269550748752077","2007","05","10"
"7.99","1.7521902377972465","2007","05","10"
"5.0","2.596","2007","05","10"
"0.99","3.0202020202020203","2007","05","11"
"0.99","2.0202020202020203","2007","05","11"
"0.99","4.040404040404041","2007","05","11"
"9.99","1.7007007007007005","2007","05","12"
"2.99","2.341137123745819","2007","05","13"
"6.01","1.995008319467554","2007","05","13"
"8.98","2.002227171492205","2007","05","13"
"10.98","1.54735883424408","2007","05","13"
"2.99","6.013377926421405","2007","05","13"
"8.98","2.114699331848552","2007","05","13"
"6.01","3.4891846921797005","2007","05","13"
"4.0","1.9975","2007","05","14"
"4.0","3.5","2007","05","14"
"6.01","2.9916805324459235","2007","05","14"
"7.99","2.1264080100125153","2007","05","14"
"7.99","2.002503128911139","2007","05","14"
"9.99","1.7007007007007005","2007","05","14"
"8.98","2.114699331848552","2007","05","14"
"10.98","1.9098360655737703","2007","05","14"
"6.01","2.662229617304493","2007","05","15"
"2.0","5.995","2007","05","16"
"4.0","3.245","2007","05","16"
"8.98","2.002227171492205","2007","05","16"
"8.98","2.3351893095768372","2007","05","17"
"4.0","2.4975","2007","05","17"
"6.01","2.8269550748752077","2007","05","17"
"8.98","2.002227171492205","2007","05","17"
"7.0","2.5685714285714285","2007","05","17"
"7.99","2.2503128911138925","2007","05","17"
"7.0","2.2857142857142856","2007","05","17"
"9.99","1.7007007007007005","2007","05","17"
"8.98","2.114699331848552","2007","05","17"
"6.01","2.662229617304493","2007","05","18"
"2.0","6.49","2007","05","18"
"2.0","4.995","2007","05","19"
"4.0","1.9975","2007","05","20"
"2.0","3.5","2007","05","21"
"2.0","4.49","2007","05","21"
"0.99","4.040404040404041","2007","05","22"
"2.0","8.495","2007","05","24"
"0.99","6.070707070707071","2007","05","25"
"0.99","5.05050505050505","2007","05","26"
"5.0","3.3979999999999997","2007","05","27"
"6.01","2.4941763727121464","2007","05","27"
"7.99","2.1264080100125153","2007","05","27"
"9.99","2.0","2007","05","27"
"0.99","7.070707070707071","2007","05","28"
"5.0","1.796","2007","05","28"
"2.0","3.005","2007","06","04"
"5.0","1.796","2007","06","04"
"2.99","6.013377926421405","2007","06","05"
"2.0","6.49","2007","06","06"
"4.0","2.4975","2007","06","06"
"2.0","5.995","2007","06","06"
"5.0","2.8","2007","06","07"
"6.01","1.995008319467554","2007","06","08"
"2.99","4.34113712374582","2007","06","11"
"6.01","1.995008319467554","2007","06","11"
"9.99","1.9009009009009008","2007","06","11"
"7.99","2.2503128911138925","2007","06","11"
"6.01","2.4941763727121464","2007","06","12"
"4.0","2.9975","2007","06","12"
"5.0","2.8","2007","06","13"
"0.99","6.070707070707071","2007","06","13"
"0.99","6.070707070707071","2007","06","14"
"2.0","5.49","2007","06","18"
"4.0","2.245","2007","06","18"
