"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.0","2.5","2007","04","22"
"2.99","2.0100334448160533","2007","04","22"
"2.99","2.672240802675585","2007","04","22"
"2.0","5.49","2007","04","23"
"2.0","2.0","2007","04","25"
"7.0","1.5685714285714287","2007","04","25"
"7.0","2.0","2007","04","25"
"5.0","2.8","2007","04","25"
"6.01","1.8269550748752081","2007","04","25"
"2.99","3.341137123745819","2007","04","25"
"2.99","3.672240802675585","2007","04","26"
"2.0","4.49","2007","04","26"
"5.0","1.998","2007","04","26"
"7.0","2.0","2007","04","26"
"10.98","2.367030965391621","2007","04","26"
"8.98","1.6692650334075723","2007","04","26"
"7.0","1.7128571428571429","2007","04","28"
"6.01","1.8269550748752081","2007","04","28"
"7.0","1.8542857142857143","2007","04","28"
"5.0","2.398","2007","04","28"
"6.01","1.995008319467554","2007","04","28"
"5.0","1.998","2007","04","28"
"7.0","1.7128571428571429","2007","04","28"
"7.0","1.8542857142857143","2007","04","28"
"7.99","1.8760951188986232","2007","04","28"
"7.0","2.0","2007","04","28"
"4.0","3.245","2007","04","28"
"4.0","3.245","2007","04","28"
"5.0","1.998","2007","04","28"
"2.0","8.0","2007","04","30"
"5.0","2.596","2007","05","01"
"7.0","1.5685714285714287","2007","05","01"
"4.0","2.745","2007","05","01"
"5.0","2.398","2007","05","01"
"7.0","1.7128571428571429","2007","05","01"
"7.99","1.5006257822277846","2007","05","01"
"8.98","1.6692650334075723","2007","05","01"
"6.01","2.15973377703827","2007","05","01"
"7.0","1.8542857142857143","2007","05","01"
"2.0","3.995","2007","05","01"
"2.99","3.341137123745819","2007","05","02"
"8.98","1.7817371937639197","2007","05","02"
"6.01","3.324459234608985","2007","05","02"
"10.98","1.9098360655737703","2007","05","02"
"11.99","1.9165971643035864","2007","05","02"
"9.99","1.6016016016016015","2007","05","03"
"6.01","1.6622296173044926","2007","05","04"
"5.0","1.998","2007","05","04"
"0.99","5.05050505050505","2007","05","04"
"2.99","2.672240802675585","2007","05","04"
"4.0","1.75","2007","05","04"
"0.99","8.070707070707071","2007","05","04"
