"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.92","3.0616438356164384","2016","06","01"
"4.08","1.7156862745098038","2016","06","01"
"4.08","1.4779411764705883","2016","06","01"
"7.0","2.0","2016","06","02"
"4.08","2.7107843137254903","2016","06","02"
"6.03","1.6434494195688225","2016","06","04"
"8.94","1.45413870246085","2016","06","05"
"11.06","1.2658227848101264","2016","06","05"
"11.06","1.2658227848101264","2016","06","05"
"7.0","1.8571428571428572","2016","06","05"
"7.0","1.7185714285714284","2016","06","05"
"8.94","1.3456375838926176","2016","06","05"
"8.94","1.45413870246085","2016","06","05"
"7.0","1.58","2016","06","05"
"6.03","1.3184079601990049","2016","06","05"
"6.03","1.3184079601990049","2016","06","05"
"4.08","1.4779411764705883","2016","06","05"
"2.92","1.7294520547945205","2016","06","05"
"1.94","3.1082474226804124","2016","06","05"
"2.92","2.065068493150685","2016","06","05"
"2.92","2.065068493150685","2016","06","05"
"12.03","1.2443890274314215","2016","06","06"
"7.95","1.7610062893081762","2016","06","06"
"2.92","2.065068493150685","2016","06","06"
"9.91","1.6084762865792128","2016","06","06"
"6.03","2.6434494195688223","2016","06","07"
"6.03","2.6434494195688223","2016","06","07"
"6.03","1.834162520729685","2016","06","07"
"0.97","5.206185567010309","2016","06","07"
"6.03","1.3184079601990049","2016","06","07"
"9.91","1.1160443995963674","2016","06","07"
"9.91","1.4127144298688195","2016","06","08"
"7.95","1.6352201257861634","2016","06","08"
"11.06","1.1754068716094033","2016","06","08"
"9.91","1.4127144298688195","2016","06","08"
"8.94","1.3456375838926176","2016","06","08"
"12.03","1.2443890274314215","2016","06","08"
"11.06","1.1754068716094033","2016","06","08"
"9.91","1.3118062563067607","2016","06","08"
"9.91","1.3118062563067607","2016","06","08"
"8.94","1.3456375838926176","2016","06","08"
"7.95","1.3911949685534593","2016","06","08"
"7.0","1.58","2016","06","08"
"7.0","1.2771428571428571","2016","06","08"
"6.03","1.4825870646766168","2016","06","08"
"6.03","1.4825870646766168","2016","06","08"
"6.03","1.1608623548922057","2016","06","08"
"7.0","1.2771428571428571","2016","06","08"
"7.95","1.2465408805031446","2016","06","08"
"7.0","1.2771428571428571","2016","06","08"
"8.94","1.1085011185682327","2016","06","08"
"7.0","1.4157142857142857","2016","06","08"
"7.95","1.1245283018867924","2016","06","09"
"9.91","1.1160443995963674","2016","06","09"
"9.91","1.213925327951564","2016","06","09"
"9.91","1.5105953582240161","2016","06","09"
"7.95","1.6352201257861634","2016","06","09"
"7.0","1.58","2016","06","09"
"11.06","1.3535262206148282","2016","06","09"
"13.0","1.1515384615384616","2016","06","09"
"14.0","1.1385714285714286","2016","06","09"
"9.91","1.6084762865792128","2016","06","09"
"13.0","1.0769230769230769","2016","06","09"
"14.0","1.2207142857142856","2016","06","09"
"8.94","1.5659955257270695","2016","06","09"
"7.0","1.58","2016","06","09"
"5.05","1.5742574257425743","2016","06","09"
"5.05","1.3861386138613863","2016","06","09"
"5.05","1.7702970297029703","2016","06","09"
"6.03","1.3184079601990049","2016","06","09"
"14.0","1.2207142857142856","2016","06","10"
"14.97","1.4662658650634601","2016","06","10"
"13.0","1.5384615384615385","2016","06","10"
"12.03","1.3250207813798835","2016","06","10"
"9.91","1.4127144298688195","2016","06","10"
"8.94","1.2371364653243848","2016","06","10"
"7.95","1.5132075471698112","2016","06","10"
"7.95","1.2465408805031446","2016","06","10"
"7.0","1.4157142857142857","2016","06","10"
"7.95","1.1245283018867924","2016","06","10"
"7.0","1.4157142857142857","2016","06","10"
"4.08","1.9485294117647058","2016","06","10"
"7.0","1.1357142857142857","2016","06","10"
"7.0","1.2771428571428571","2016","06","10"
"7.0","1.1357142857142857","2016","06","10"
"2.92","2.7226027397260277","2016","06","10"
"4.08","1.4779411764705883","2016","06","10"
"6.03","1.4825870646766168","2016","06","11"
"15.94","1.437892095357591","2016","06","11"
"15.94","1.5106649937264742","2016","06","11"
"11.06","1.6329113924050631","2016","06","11"
"15.94","1.377038895859473","2016","06","11"
"12.03","1.5835411471321696","2016","06","11"
"7.0","1.7185714285714284","2016","06","11"
"9.91","1.4127144298688195","2016","06","12"
"9.91","1.213925327951564","2016","06","13"
"7.0","1.4157142857142857","2016","06","14"
"9.91","1.213925327951564","2016","06","14"
"12.03","1.2443890274314215","2016","06","14"
"12.03","1.2443890274314215","2016","06","14"
"14.97","1.1416165664662659","2016","06","14"
"13.0","1.2261538461538461","2016","06","14"
"11.06","1.4412296564195297","2016","06","14"
"14.97","1.0647962591850366","2016","06","14"
"12.03","1.4206151288445554","2016","06","14"
"9.91","1.4127144298688195","2016","06","14"
"8.94","1.45413870246085","2016","06","14"
"8.94","1.2371364653243848","2016","06","14"
"8.94","1.2371364653243848","2016","06","14"
"9.91","1.3118062563067607","2016","06","14"
"8.94","1.3456375838926176","2016","06","14"
"11.06","1.1754068716094033","2016","06","14"
"12.03","1.1637572734829593","2016","06","14"
"11.06","1.2658227848101264","2016","06","14"
"11.06","1.2658227848101264","2016","06","15"
"11.06","1.2658227848101264","2016","06","15"
