"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"8.32","1.6802884615384615","2014","03","23"
"9.41","1.4442082890541976","2014","03","23"
"8.09","1.8046971569839307","2014","03","23"
"7.35","1.9170068027210885","2014","03","23"
"8.3","1.7144578313253012","2014","03","23"
"8.49","1.8174322732626618","2014","03","24"
"10.24","1.611328125","2014","03","24"
"10.56","1.5871212121212122","2014","03","24"
"10.81","1.4976873265494912","2014","03","24"
"10.05","1.6417910447761193","2014","03","24"
"9.95","1.48643216080402","2014","03","24"
"9.68","1.7706611570247934","2014","03","24"
"9.89","1.6683518705763396","2014","03","24"
"10.26","1.553606237816764","2014","03","24"
"10.13","1.498519249753208","2014","03","24"
"10.98","1.4744990892531877","2014","03","24"
"11.49","1.5865970409051349","2014","03","24"
"12.34","1.532414910858995","2014","03","24"
"12.85","1.463035019455253","2014","03","24"
"13.06","1.4977029096477794","2014","03","24"
"12.46","1.6003210272873194","2014","03","24"
"12.63","1.5035629453681707","2014","03","24"
"12.62","1.615689381933439","2014","03","24"
"13.49","1.553002223869533","2014","03","24"
"14.02","1.658345221112696","2014","03","24"
"13.39","1.616878267363704","2014","03","24"
"13.49","1.6656782802075611","2014","03","24"
"11.6","1.7025862068965518","2014","03","24"
"8.83","2.043035107587769","2014","03","24"
"9.16","1.9541484716157203","2014","03","25"
"11.53","1.7233304423243714","2014","03","25"
"12.27","1.6096169519152406","2014","03","25"
"12.67","1.6029992107340172","2014","03","25"
"13.26","1.595022624434389","2014","03","25"
"13.59","1.5459896983075792","2014","03","25"
"13.53","1.6940133037694016","2014","03","25"
"13.26","1.6621417797888385","2014","03","25"
"14.11","1.566265060240964","2014","03","25"
"14.31","1.5583508036338225","2014","03","25"
"14.66","1.5975443383356072","2014","03","25"
"15.14","1.5059445178335535","2014","03","25"
"15.75","1.4634920634920636","2014","03","25"
"14.46","1.5421853388658366","2014","03","25"
"14.42","1.5679611650485437","2014","03","25"
"14.62","1.5731874145006841","2014","03","25"
"14.21","1.5277973258268824","2014","03","25"
"14.09","1.559261887863733","2014","03","25"
"13.72","1.5502915451895043","2014","03","25"
"12.13","1.7592745259686726","2014","03","25"
"13.47","1.507795100222717","2014","03","25"
"13.1","1.682442748091603","2014","03","25"
"13.55","1.5047970479704798","2014","03","25"
"12.69","1.516154452324665","2014","03","25"
"9.66","1.91407867494824","2014","03","26"
"7.17","2.949790794979079","2014","03","26"
"8.88","2.224099099099099","2014","03","26"
"10.13","2.068114511352418","2014","03","26"
"11.59","1.7523727351164797","2014","03","26"
"11.59","1.8352027610008628","2014","03","26"
"9.66","1.8871635610766047","2014","03","26"
"9.91","2.063572149344097","2014","03","26"
"11.02","1.7867513611615247","2014","03","26"
"11.04","1.7481884057971016","2014","03","26"
"12.5","1.62","2014","03","26"
"11.66","1.9125214408233278","2014","03","26"
"11.95","1.582426778242678","2014","03","26"
"12.89","1.52133436772692","2014","03","26"
"13.2","1.4856060606060606","2014","03","26"
"12.77","1.4917776037588097","2014","03","26"
"11.92","1.4857382550335572","2014","03","26"
"11.43","1.5888013998250219","2014","03","26"
"10.59","1.6005665722379603","2014","03","26"
"9.95","1.6331658291457287","2014","03","26"
"10.28","1.482490272373541","2014","03","26"
"9.04","1.601769911504425","2014","03","26"
"8.73","1.6941580756013743","2014","03","26"
"8.71","1.6624569460390355","2014","03","26"
"7.66","1.6240208877284594","2014","03","27"
"7.56","1.7380952380952384","2014","03","27"
"7.78","1.673521850899743","2014","03","27"
"7.44","1.6491935483870965","2014","03","27"
"8.07","1.620817843866171","2014","03","27"
"7.83","1.4916985951468709","2014","03","27"
"8.24","1.4344660194174756","2014","03","27"
"8.3","1.508433734939759","2014","03","27"
"8.26","1.5835351089588379","2014","03","27"
"8.07","1.714993804213135","2014","03","27"
"8.59","1.5459837019790454","2014","03","27"
"8.28","1.603864734299517","2014","03","27"
"7.6","1.8210526315789475","2014","03","27"
"8.07","1.6592317224287485","2014","03","27"
"7.56","1.8055555555555558","2014","03","27"
"7.76","1.7036082474226806","2014","03","27"
"7.97","1.7603513174404015","2014","03","27"
"7.46","1.8297587131367292","2014","03","27"
"6.94","1.8040345821325647","2014","03","27"
"6.75","1.6651851851851853","2014","03","27"
"6.4","1.6546874999999999","2014","03","27"
"6.49","1.8305084745762712","2014","03","27"
"6.55","1.7236641221374045","2014","03","27"
"6.2","1.7209677419354839","2014","03","27"
"6.38","1.510971786833856","2014","03","28"
"6.36","1.5896226415094339","2014","03","28"
"6.08","1.7960526315789473","2014","03","28"
"5.66","1.9399293286219081","2014","03","28"
"5.64","1.6542553191489362","2014","03","28"
"3.44","2.5494186046511627","2014","03","28"
"1.94","3.5670103092783507","2014","03","28"
"2.68","2.298507462686567","2014","03","28"
"2.86","2.9965034965034967","2014","03","28"
"3.75","2.6426666666666665","2014","03","28"
"3.25","2.267692307692308","2014","03","28"
"5.38","2.0408921933085504","2014","03","28"
"6.14","1.998371335504886","2014","03","28"
"5.33","2.275797373358349","2014","03","28"
"7.11","1.839662447257384","2014","03","28"
"8.03","1.7235367372353676","2014","03","28"
"8.61","1.562137049941928","2014","03","28"
"9.99","1.4304304304304303","2014","03","28"
"10.07","1.4945382323733862","2014","03","28"
"9.76","1.6588114754098362","2014","03","28"
"8.88","1.6587837837837838","2014","03","28"
"9.87","1.583586626139818","2014","03","28"
"9.08","1.6288546255506606","2014","03","28"
"9.25","1.627027027027027","2014","03","28"
"9.51","1.6498422712933754","2014","03","29"
"9.93","1.5347432024169185","2014","03","29"
"9.54","1.5566037735849059","2014","03","29"
"9.91","1.7164480322906157","2014","03","29"
"10.48","1.6116412213740459","2014","03","29"
"10.59","1.5288007554296508","2014","03","29"
"10.98","1.5027322404371584","2014","03","29"
"10.85","1.5447004608294932","2014","03","29"
"9.62","1.6632016632016633","2014","03","29"
"9.47","1.6958817317845827","2014","03","29"
"8.13","1.7023370233702335","2014","03","29"
"8.03","1.667496886674969","2014","03","29"
"7.66","1.8733681462140992","2014","03","29"
"7.23","1.7745504840940525","2014","03","29"
"7.27","1.7537826685006879","2014","03","29"
"7.66","1.8655352480417753","2014","03","29"
"6.67","1.8470764617691156","2014","03","29"
"5.33","2.144465290806754","2014","03","29"
"5.0","2.118","2014","03","29"
"6.47","1.6970633693972181","2014","03","29"
"6.4","1.6671874999999998","2014","03","29"
"5.81","1.7796901893287436","2014","03","29"
"5.73","1.839441535776614","2014","03","29"
"5.85","1.7914529914529915","2014","03","29"
"6.55","1.6381679389312978","2014","03","30"
"6.03","1.7280265339966832","2014","03","30"
"6.34","1.832807570977918","2014","03","30"
"6.28","1.6863057324840764","2014","03","30"
"4.32","1.9837962962962963","2014","03","30"
"3.36","2.4583333333333335","2014","03","30"
"2.95","2.840677966101695","2014","03","30"
"2.88","2.4895833333333335","2014","03","30"
"3.09","2.711974110032363","2014","03","30"
"3.56","2.1235955056179776","2014","03","30"
"3.63","2.3305785123966944","2014","03","30"
"5.21","1.961612284069098","2014","03","30"
"4.06","2.5320197044334978","2014","03","30"
"4.78","2.3912133891213387","2014","03","30"
"4.55","2.4813186813186814","2014","03","30"
"4.22","2.6492890995260665","2014","03","30"
"4.92","2.1300813008130084","2014","03","30"
"3.07","3.039087947882736","2014","03","30"
"2.99","3.120401337792642","2014","03","30"
"1.79","3.865921787709497","2014","03","30"
"3.11","2.614147909967846","2014","03","30"
"3.62","2.4226519337016574","2014","03","30"
"3.98","1.8793969849246233","2014","03","30"
"3.95","1.7873417721518985","2014","03","30"
"3.48","1.899425287356322","2014","03","31"
"4.61","1.5140997830802603","2014","03","31"
"4.47","1.604026845637584","2014","03","31"
"3.93","1.6310432569974553","2014","03","31"
"2.7","1.7629629629629628","2014","03","31"
"2.08","2.2355769230769234","2014","03","31"
"2.04","2.9558823529411766","2014","03","31"
"1.65","2.76969696969697","2014","03","31"
"1.05","2.8285714285714287","2014","03","31"
"1.03","2.883495145631068","2014","03","31"
"0.82","3.4878048780487805","2014","03","31"
"0.89","3.3370786516853936","2014","03","31"
"1.03","3.0776699029126213","2014","03","31"
"0.89","3.7752808988764044","2014","03","31"
"0.47","5.659574468085107","2014","03","31"
"0.19","7.684210526315789","2014","03","31"
"0.23","5.260869565217391","2014","03","31"
"0.6","3.816666666666667","2014","03","31"
"0.41","3.5609756097560976","2014","03","31"
"0.17","8.588235294117647","2014","03","31"
"0.17","8.941176470588236","2014","03","31"
"0.33","5.606060606060606","2014","03","31"
"0.31","5.129032258064516","2014","03","31"
"0.8","3.4","2014","03","31"
"1.46","2.26027397260274","2014","04","01"
"1.85","1.9567567567567568","2014","04","01"
"1.71","1.8538011695906433","2014","04","01"
"1.71","2.08187134502924","2014","04","01"
"1.34","2.462686567164179","2014","04","01"
"1.65","2.0727272727272728","2014","04","01"
"1.98","1.696969696969697","2014","04","01"
"1.73","1.9075144508670518","2014","04","01"
"1.59","2.20125786163522","2014","04","01"
"0.89","2.640449438202247","2014","04","01"
