"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.61","1.5140997830802603","2014","03","31"
"4.47","1.604026845637584","2014","03","31"
"3.93","1.6310432569974553","2014","03","31"
"2.7","1.7629629629629628","2014","03","31"
"2.08","2.2355769230769234","2014","03","31"
"1.05","2.8285714285714287","2014","03","31"
"1.03","2.883495145631068","2014","03","31"
"0.89","3.3370786516853936","2014","03","31"
"1.03","3.0776699029126213","2014","03","31"
"0.47","5.659574468085107","2014","03","31"
"0.41","3.5609756097560976","2014","03","31"
"1.98","1.696969696969697","2014","04","01"
"1.73","1.9075144508670518","2014","04","01"
"1.85","2.0270270270270268","2014","04","02"
"0.12","7.416666666666667","2014","04","02"
"1.21","2.1487603305785123","2014","04","02"
"2.06","1.7815533980582523","2014","04","04"
"1.46","1.7808219178082192","2014","04","04"
"0.89","2.5730337078651684","2014","04","04"
"0.78","3.6666666666666665","2014","04","04"
"0.25","5.6","2014","04","04"
"1.67","1.8982035928143712","2014","04","07"
"1.81","1.9337016574585635","2014","04","07"
"0.27","8.481481481481481","2014","04","07"
"0.93","1.989247311827957","2015","03","04"
"1.22","2.3442622950819674","2015","03","04"
"0.8","4.6875","2015","03","04"
"1.42","1.971830985915493","2015","03","05"
"0.97","3.2061855670103094","2015","03","05"
"1.11","2.0","2015","03","05"
"0.29","7.655172413793105","2015","03","05"
"0.12","15.416666666666668","2015","03","05"
"2.74","4.08029197080292","2015","03","09"
"3.05","3.249180327868853","2015","03","09"
"2.49","3.566265060240964","2015","03","09"
"2.82","3.1312056737588656","2015","03","09"
"2.78","4.061151079136691","2015","03","09"
"2.8","4.242857142857144","2015","03","09"
"2.29","3.65938864628821","2015","03","10"
"2.51","3.593625498007968","2015","03","10"
"3.4","3.138235294117647","2015","03","10"
"3.3","3.096969696969697","2015","03","10"
"2.27","1.9030837004405288","2015","03","11"
"2.49","3.8232931726907626","2015","03","12"
"1.3","3.861538461538461","2015","03","12"
"6.28","2.6496815286624202","2015","03","12"
"5.83","3.584905660377358","2015","03","13"
"5.81","3.2547332185886404","2015","03","13"
"5.83","3.320754716981132","2015","03","13"
"3.42","2.9883040935672516","2015","03","13"
"3.85","4.124675324675325","2015","03","13"
"2.7","4.677777777777778","2015","03","13"
"3.5","2.9057142857142857","2015","03","13"
"2.62","3.7099236641221376","2015","03","13"
"2.22","3.2297297297297294","2015","03","15"
"2.49","3.497991967871486","2015","03","15"
"2.59","3.698841698841699","2015","03","15"
"1.77","1.9322033898305084","2015","03","16"
"2.64","2.1628787878787876","2015","03","16"
"3.34","2.0538922155688626","2015","03","16"
"3.46","2.2196531791907512","2015","03","16"
"3.36","2.6279761904761907","2015","03","16"
"3.83","2.156657963446475","2015","03","16"
"2.02","3.7425742574257423","2015","03","16"
"1.46","2.568493150684932","2015","03","16"
"0.78","4.166666666666667","2015","03","16"
"1.17","2.871794871794872","2015","03","16"
"0.87","3.4137931034482762","2015","03","16"
"0.99","4.555555555555555","2015","03","16"
"1.56","1.9551282051282048","2015","03","17"
"1.3","2.3923076923076922","2015","03","17"
"1.22","3.8524590163934427","2015","03","17"
"1.59","2.238993710691824","2015","03","17"
"1.83","2.360655737704918","2015","03","17"
"2.45","1.763265306122449","2015","03","17"
"2.2","2.509090909090909","2015","03","17"
"1.9","2.9052631578947365","2015","03","17"
"2.04","2.401960784313726","2015","03","17"
"1.71","2.60233918128655","2015","03","17"
"1.09","2.4954128440366974","2015","03","18"
"1.98","1.8282828282828283","2015","03","18"
"2.51","1.8207171314741037","2015","03","18"
"2.6","1.7346153846153844","2015","03","18"
"2.25","1.8044444444444443","2015","03","18"
"0.64","3.671875","2015","03","18"
"1.69","3.4142011834319526","2015","03","18"
"0.95","3.68421052631579","2015","03","18"
"0.91","4.186813186813187","2015","03","18"
"0.86","3.325581395348837","2015","03","18"
"3.44","2.418604651162791","2015","03","19"
"2.18","2.3027522935779814","2015","03","19"
"1.83","3.262295081967213","2015","03","19"
"2.02","1.7920792079207921","2015","03","19"
"2.6","1.5615384615384613","2015","03","19"
"1.87","2.13903743315508","2015","03","19"
"1.26","3.8253968253968256","2015","03","19"
"0.99","5.515151515151516","2015","03","19"
"0.31","4.516129032258064","2015","03","19"
"1.42","1.9154929577464792","2015","03","19"
"1.34","1.7985074626865671","2015","03","19"
"0.62","2.9838709677419355","2015","03","19"
"0.7","2.885714285714286","2015","03","19"
"2.97","1.754208754208754","2015","03","20"
"2.6","1.8307692307692307","2015","03","20"
"2.64","2.1628787878787876","2015","03","20"
"1.85","2.7405405405405405","2015","03","20"
"1.89","2.08994708994709","2015","03","20"
"1.54","2.9285714285714284","2015","03","20"
"1.63","2.4539877300613497","2015","03","20"
"3.01","2.3189368770764123","2015","03","20"
"3.03","2.0132013201320134","2015","03","20"
"3.58","1.9329608938547485","2015","03","20"
"2.25","2.8266666666666667","2015","03","21"
"3.17","1.943217665615142","2015","03","21"
"2.41","2.684647302904564","2015","03","21"
"0.39","4.230769230769231","2015","03","22"
"0.56","2.714285714285714","2015","03","22"
"0.86","3.0232558139534884","2015","03","22"
"1.4","2.121428571428572","2015","03","22"
"1.34","2.134328358208955","2015","03","22"
"1.22","2.7049180327868854","2015","03","22"
"1.46","2.5136986301369864","2015","03","22"
"1.94","2.0360824742268044","2015","03","23"
"2.78","1.985611510791367","2015","03","23"
"3.05","1.6065573770491806","2015","03","23"
"2.47","2.0526315789473686","2015","03","23"
"1.89","1.9153439153439156","2015","03","23"
"2.2","2.2545454545454544","2015","03","23"
"2.47","2.234817813765182","2015","03","23"
"2.82","2.095744680851064","2015","03","23"
"2.1","2.1476190476190475","2015","03","23"
"1.92","2.875","2015","03","23"
"2.45","1.9183673469387754","2015","03","23"
"2.12","2.1273584905660377","2015","03","23"
"3.19","2.169278996865204","2015","03","23"
"3.36","1.9434523809523812","2015","03","23"
"3.56","1.9269662921348316","2015","03","23"
"3.27","2.235474006116208","2015","03","23"
"1.52","2.763157894736842","2015","03","23"
"1.46","1.917808219178082","2015","03","24"
"1.65","1.9696969696969697","2015","03","24"
"1.34","2.134328358208955","2015","03","24"
"1.19","3.739495798319328","2015","03","24"
"0.78","2.769230769230769","2015","03","24"
"0.95","2.5368421052631582","2015","03","24"
"0.68","3.911764705882353","2015","03","24"
"2.88","1.9444444444444444","2015","03","25"
"3.58","1.8463687150837989","2015","03","25"
"3.42","1.7631578947368423","2015","03","25"
"3.6","1.75","2015","03","25"
"3.38","1.9911242603550299","2015","03","25"
"3.58","2.167597765363128","2015","03","25"
"2.72","2.338235294117647","2015","03","25"
"3.63","2.2396694214876036","2015","03","25"
"3.56","2.0308988764044944","2015","03","25"
"4.41","1.8163265306122447","2015","03","25"
"0.7","3.714285714285715","2015","03","26"
"0.66","4.5","2015","03","26"
"1.42","2.507042253521127","2015","03","26"
"2.29","3.6331877729257642","2015","03","27"
"0.78","3.5897435897435894","2015","03","28"
"0.8","2.625","2015","03","28"
"0.43","4.302325581395349","2015","03","28"
"1.22","2.434426229508197","2015","03","28"
"1.28","2.03125","2015","03","28"
"1.44","2.861111111111111","2015","03","28"
"1.48","2.7027027027027026","2015","03","28"
"2.49","2.4497991967871484","2015","03","28"
"3.73","1.8552278820375334","2015","03","28"
"5.21","1.6948176583493282","2015","03","29"
"2.64","2.4280303030303028","2015","03","29"
"3.05","1.8360655737704918","2015","03","29"
"0.58","5.4655172413793105","2015","03","29"
"0.41","5.731707317073171","2015","03","29"
"0.17","7.764705882352941","2015","03","29"
"0.6","3.0833333333333335","2015","03","29"
"4.51","3.3104212860310422","2015","03","30"
"4.49","3.0690423162583516","2015","03","30"
"0.99","2.121212121212121","2015","03","30"
"1.28","3.9218749999999996","2015","03","30"
"2.7","2.374074074074074","2015","03","30"
"3.77","2.326259946949602","2015","03","30"
"1.11","2.522522522522522","2015","04","01"
"3.54","1.559322033898305","2015","04","02"
"3.01","1.9833887043189369","2015","04","02"
"3.36","2.017857142857143","2015","04","02"
"2.51","2.7011952191235062","2015","04","02"
"2.22","2.2837837837837838","2015","04","02"
"2.27","2.0132158590308373","2015","04","02"
"1.83","2.3278688524590163","2015","04","02"
"2.12","2.2169811320754715","2015","04","03"
"2.06","1.8786407766990292","2015","04","03"
"1.4","2.121428571428572","2015","04","03"
"0.89","2.640449438202247","2015","04","03"
"0.97","2.484536082474227","2015","04","03"
"1.9","2.136842105263158","2015","04","03"
"2.35","2.7787234042553193","2015","04","03"
"3.25","2.0092307692307694","2015","04","03"
"3.23","2.219814241486068","2015","04","03"
"2.41","2.033195020746888","2015","04","03"
"1.44","2.2569444444444446","2015","04","03"
"2.66","1.4097744360902256","2015","04","04"
"1.79","2.022346368715084","2015","04","04"
"1.24","2.7096774193548385","2015","04","04"
"1.36","2.661764705882353","2015","04","04"
"1.56","3.3397435897435894","2015","04","04"
"1.26","2.357142857142857","2015","04","04"
"2.24","2.0133928571428568","2015","04","04"
"3.32","1.7048192771084338","2015","04","04"
"1.61","2.403726708074534","2015","04","05"
"2.1","1.7476190476190474","2015","04","05"
"1.4","2.2214285714285715","2015","04","05"
"1.52","2.138157894736842","2015","04","05"
"1.36","1.8749999999999998","2015","04","05"
"0.97","2.6288659793814433","2015","04","09"
"3.58","3.458100558659218","2015","04","09"
"3.29","4.613981762917933","2015","04","10"
"1.24","2.620967741935484","2015","04","10"
"0.97","3.1443298969072164","2015","04","10"
"0.49","5.306122448979592","2015","04","10"
"1.01","2.891089108910891","2015","04","13"
"1.65","2.393939393939394","2015","04","13"
"1.21","2.520661157024793","2015","04","13"
"0.86","3.4534883720930236","2015","04","14"
"2.84","3.8274647887323945","2015","04","14"
"1.34","2.701492537313433","2015","04","15"
"0.43","4.162790697674419","2015","04","15"
"0.19","6.947368421052632","2015","04","19"
"0.87","4.448275862068965","2015","04","19"
"0.33","4.6060606060606055","2015","04","20"
"1.19","2.9411764705882355","2015","04","20"
"0.93","3.9462365591397845","2015","04","20"
"0.64","4.5625","2015","04","20"
"0.86","4.883720930232559","2015","04","20"
"0.87","3.735632183908046","2015","04","20"
"1.28","3.875","2015","04","21"
"1.19","3.411764705882353","2015","04","21"
"2.04","1.799019607843137","2015","04","21"
"1.4","2.357142857142857","2015","04","21"
"1.07","2.485981308411215","2015","04","21"
"0.86","4.953488372093023","2015","04","21"
"1.65","2.8181818181818183","2015","04","21"
"1.56","3.628205128205128","2015","04","21"
"1.81","2.911602209944751","2015","04","21"
"1.9","3.478947368421053","2015","04","21"
"1.54","3.2597402597402594","2015","04","22"
"2.16","1.699074074074074","2015","04","22"
"1.87","2.2032085561497325","2015","04","22"
"2.62","2.1603053435114505","2015","04","22"
"2.68","1.705223880597015","2015","04","23"
"2.88","1.6145833333333335","2015","04","23"
"4.96","1.6895161290322582","2015","04","24"
"4.2","1.6928571428571428","2015","04","25"
"3.42","1.8596491228070178","2015","04","25"
"3.29","1.5075987841945289","2015","04","25"
"2.62","1.6259541984732824","2015","04","25"
"1.9","2.005263157894737","2015","04","25"
"1.52","1.7894736842105263","2015","04","25"
"1.94","1.7628865979381443","2015","04","25"
"1.59","2.150943396226415","2015","04","25"
"1.77","2.440677966101695","2015","04","25"
"2.29","2.2751091703056767","2015","04","25"
"1.57","2.9936305732484074","2015","04","25"
"2.22","2.234234234234234","2015","04","25"
"1.9","2.168421052631579","2015","04","25"
"3.4","1.6970588235294117","2015","04","26"
"2.41","1.7427385892116183","2015","04","26"
"2.57","1.953307392996109","2015","04","26"
"1.57","2.910828025477707","2015","04","26"
"2.66","2.1466165413533833","2015","04","26"
"2.31","2.281385281385281","2015","04","26"
"2.7","2.211111111111111","2015","04","26"
"3.3","1.6363636363636365","2015","04","26"
"3.36","1.586309523809524","2015","04","26"
"2.2","2.686363636363636","2015","04","26"
"3.83","1.6240208877284594","2015","04","26"
"1.96","1.683673469387755","2015","04","27"
"1.28","2.234375","2015","04","27"
"0.89","3.7752808988764044","2015","04","27"
"1.48","2.22972972972973","2015","04","28"
"1.79","1.7374301675977653","2015","04","28"
"2.66","1.8120300751879699","2015","04","28"
"3.05","1.855737704918033","2015","04","28"
"5.25","2.92952380952381","2015","04","28"
"3.54","3.466101694915254","2015","04","29"
"2.72","3.8529411764705883","2015","04","29"
"3.36","2.928571428571429","2015","04","29"
"1.13","3.769911504424779","2015","04","30"
"0.89","2.7977528089887644","2015","04","30"
"1.73","1.716763005780347","2015","04","30"
"0.43","3.255813953488372","2015","04","30"
"0.16","7.5625","2015","04","30"
"1.48","1.6283783783783785","2015","05","03"
"1.13","2.6283185840707968","2015","05","03"
"1.61","1.8944099378881984","2015","05","03"
"1.65","2.393939393939394","2015","05","03"
"1.36","2.330882352941176","2015","05","03"
"2.45","2.151020408163265","2015","05","03"
"2.16","2.643518518518518","2015","05","03"
"3.65","1.9342465753424658","2015","05","04"
"3.91","1.5754475703324808","2015","05","04"
"3.69","1.7913279132791329","2015","05","04"
"3.83","1.939947780678851","2015","05","04"
"1.94","2.6855670103092786","2015","05","05"
"0.66","2.8787878787878785","2015","05","07"
"0.16","7.5625","2015","05","07"
"0.93","2.7956989247311825","2015","05","08"
"1.24","2.0080645161290325","2015","05","08"
"1.21","2.1487603305785123","2015","05","08"
"0.7","3.0857142857142863","2015","05","08"
"1.5","2.1133333333333333","2015","05","08"
"2.2","2.1363636363636362","2015","05","08"
"3.11","2.270096463022508","2015","05","08"
"2.9","2.037931034482759","2015","05","09"
"3.6","1.6944444444444442","2015","05","09"
"1.67","2.1317365269461077","2015","05","09"
"1.59","2.2767295597484276","2015","05","09"
"1.15","3.4347826086956528","2015","05","09"
