"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.6","3.816666666666667","2014","03","31"
"0.8","3.4","2014","03","31"
"1.46","2.26027397260274","2014","04","01"
"1.85","1.9567567567567568","2014","04","01"
"1.71","1.8538011695906433","2014","04","01"
"1.71","2.08187134502924","2014","04","01"
"1.34","2.462686567164179","2014","04","01"
"1.65","2.0727272727272728","2014","04","01"
"1.59","2.20125786163522","2014","04","01"
"0.89","2.640449438202247","2014","04","01"
"0.52","3.8846153846153846","2014","04","01"
"2.51","2.980079681274901","2014","04","02"
"0.35","5.6000000000000005","2014","04","02"
"1.5","2.28","2014","04","04"
"2.39","1.5690376569037656","2014","04","04"
"2.02","1.7623762376237624","2014","04","04"
"1.54","1.9805194805194803","2014","04","04"
"1.26","2.2698412698412698","2014","04","04"
"1.32","2.25","2014","04","04"
"0.84","3.0357142857142856","2014","04","04"
"0.23","3.869565217391304","2014","04","04"
"0.72","3.2638888888888893","2015","03","04"
"0.62","4.387096774193549","2015","03","04"
"5.87","2.606473594548552","2015","03","09"
"4.08","3.316176470588235","2015","03","10"
"0.93","4.913978494623656","2015","03","12"
"4.22","4.303317535545024","2015","03","13"
"3.34","3.7664670658682637","2015","03","13"
"7.19","1.7065368567454797","2015","03","14"
"5.23","2.5984703632887185","2015","03","14"
"2.8","3.153571428571429","2015","03","14"
"1.46","2.4794520547945207","2015","03","14"
"1.48","2.006756756756757","2015","03","14"
"4.16","2.4447115384615383","2015","03","15"
"1.13","2.920353982300885","2015","03","17"
"0.68","4.294117647058823","2015","03","17"
"0.33","6.545454545454546","2015","03","17"
"0.95","3.68421052631579","2015","03","17"
"0.8","4.0625","2015","03","17"
"1.17","2.9230769230769234","2015","03","17"
"0.76","4.5","2015","03","17"
"2.04","2.8284313725490193","2015","03","18"
"1.13","3.097345132743363","2015","03","18"
"0.84","4.238095238095238","2015","03","18"
"1.13","2.300884955752213","2015","03","19"
"2.29","1.8602620087336244","2015","03","23"
"2.41","1.6390041493775933","2015","03","24"
"2.1","1.6952380952380952","2015","03","24"
"2.14","1.6635514018691588","2015","03","24"
"1.22","2.2295081967213117","2015","03","24"
"1.5","2.1999999999999997","2015","03","24"
"0.93","2.924731182795699","2015","03","24"
"1.32","2.696969696969697","2015","03","24"
"0.62","4.290322580645162","2015","03","24"
"0.66","4.121212121212121","2015","03","24"
"1.24","2.620967741935484","2015","03","24"
"0.54","3.888888888888889","2015","03","24"
"0.49","4.285714285714286","2015","03","24"
"1.24","2.145161290322581","2015","03","25"
"3.23","2.417956656346749","2015","03","25"
"0.45","4.666666666666667","2015","03","26"
"0.95","3.6","2015","03","28"
"0.97","2.3608247422680413","2015","03","28"
"0.64","3.8906250000000004","2015","03","28"
"1.21","3.570247933884298","2015","03","30"
"0.76","3.8421052631578947","2015","04","02"
"1.5","2.3733333333333335","2015","04","03"
"2.95","1.976271186440678","2015","04","03"
"2.8","1.9285714285714288","2015","04","03"
"2.7","2.4703703703703703","2015","04","03"
"1.42","4.161971830985916","2015","04","03"
"0.43","4.4186046511627906","2015","04","03"
"2.14","2.369158878504673","2015","04","04"
"2.14","1.5981308411214952","2015","04","04"
"0.97","2.5670103092783507","2015","04","04"
"4.0","1.4275","2015","04","05"
"4.47","1.447427293064877","2015","04","05"
"4.26","1.2816901408450705","2015","04","05"
"1.9","1.8736842105263158","2015","04","05"
"2.1","2.119047619047619","2015","04","05"
"1.4","1.8571428571428574","2015","04","05"
"0.87","2.7011494252873565","2015","04","05"
"1.19","2.5630252100840334","2015","04","05"
"1.24","2.258064516129032","2015","04","05"
"0.86","2.511627906976744","2015","04","05"
"1.01","2.5742574257425743","2015","04","05"
"0.78","2.58974358974359","2015","04","05"
"1.15","2.973913043478261","2015","04","06"
"1.26","2.6666666666666665","2015","04","06"
"1.59","1.8364779874213835","2015","04","06"
"1.96","1.5561224489795917","2015","04","06"
"1.13","2.752212389380531","2015","04","06"
"0.52","6.25","2015","04","06"
"0.62","3.483870967741936","2015","04","06"
"1.4","2.6214285714285714","2015","04","06"
"0.06","40.16666666666667","2015","04","13"
"0.78","2.58974358974359","2015","04","13"
"1.67","3.9101796407185634","2015","04","14"
"2.51","3.338645418326694","2015","04","16"
"3.15","3.2095238095238092","2015","04","16"
"0.51","4.7254901960784315","2015","04","19"
"1.28","2.078125","2015","04","20"
"0.97","3.402061855670103","2015","04","20"
"0.64","3.8906250000000004","2015","04","20"
"0.8","2.625","2015","04","20"
"0.8","3.325","2015","04","20"
"2.8","2.8607142857142858","2015","04","21"
"1.26","2.158730158730159","2015","04","21"
"3.05","2.2688524590163937","2015","04","21"
"3.4","3.4352941176470586","2015","04","21"
"2.24","2.950892857142857","2015","04","22"
"2.12","2.547169811320755","2015","04","22"
"2.06","2.7475728155339807","2015","04","22"
"2.45","1.9183673469387754","2015","04","22"
"2.39","2.2050209205020916","2015","04","22"
"1.15","2.217391304347826","2015","04","22"
