"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.08","1.0","2016","06","03"
"12.17","0.7855382087099425","2016","06","03"
"10.44","1.0","2016","06","03"
"0.87","1.0","2016","06","05"
"3.48","0.7471264367816092","2016","06","11"
"1.75","1.4857142857142858","2016","06","19"
"0.87","1.0","2016","06","30"
"1.75","1.4857142857142858","2016","06","30"
"2.6","0.3346153846153846","2016","07","01"
"6.08","1.144736842105263","2016","07","01"
"5.21","1.0","2016","07","01"
"7.81","1.0","2016","07","01"
"7.81","0.7784891165172856","2016","07","01"
"5.21","1.1669865642994242","2016","07","01"
"5.21","1.3358925143953935","2016","07","01"
"3.48","0.7471264367816092","2016","07","01"
"0.87","1.0","2016","07","11"
"2.6","1.6653846153846155","2016","07","11"
"2.6","2.003846153846154","2016","07","11"
"1.75","1.0","2016","07","12"
"1.75","0.49714285714285716","2016","07","21"
"1.75","0.49714285714285716","2016","07","27"
"0.87","1.0","2016","07","30"
"0.87","2.0114942528735633","2016","08","08"
"1.75","0.49714285714285716","2016","08","16"
"1.75","1.9885714285714287","2016","08","20"
"0.87","1.0","2016","08","21"
"5.21","1.1669865642994242","2016","08","28"
"3.48","0.7471264367816092","2016","08","29"
"9.56","1.1809623430962342","2016","08","29"
"19.13","1.0","2016","08","29"
"10.44","0.8323754789272031","2016","08","29"
"6.08","1.0","2016","08","29"
"8.69","0.8009205983889529","2016","08","29"
"11.29","0.7697077059344553","2016","08","29"
"11.29","1.0779450841452614","2016","08","29"
"13.02","0.8018433179723502","2016","08","29"
"12.17","0.7855382087099425","2016","08","29"
"7.81","0.6670934699103713","2016","08","29"
"4.33","1.4041570438799076","2016","08","29"
"5.21","1.834932821497121","2016","08","29"
"9.56","1.1809623430962342","2016","08","29"
"8.69","1.1001150747986193","2016","08","29"
"6.96","1.3735632183908046","2016","08","29"
"1.75","1.0","2016","08","30"
"4.33","0.8036951501154734","2016","08","30"
"2.6","1.3384615384615384","2016","08","30"
"3.48","1.2442528735632183","2016","08","30"
"1.75","0.49714285714285716","2016","08","30"
"0.87","2.0114942528735633","2016","08","31"
"0.87","1.0","2016","08","31"
"0.87","2.0114942528735633","2016","09","02"
"0.87","2.0114942528735633","2016","09","03"
"1.75","0.49714285714285716","2016","09","04"
"0.87","1.0","2016","09","08"
"1.75","0.49714285714285716","2016","09","16"
"0.87","1.0","2016","09","19"
"0.87","2.0114942528735633","2016","09","21"
"0.87","1.0","2016","09","23"
"1.75","1.0","2016","09","26"
"0.87","2.9885057471264367","2016","09","26"
"1.75","1.4857142857142858","2016","09","27"
"3.48","0.7471264367816092","2016","09","28"
"3.48","1.0","2016","09","28"
"2.6","0.3346153846153846","2016","09","28"
"5.21","1.4990403071017273","2016","10","03"
"1.75","1.0","2016","10","03"
"0.87","1.0","2016","10","05"
"1.75","1.0","2016","10","10"
"6.08","1.0","2016","10","12"
"5.21","0.8310940499040307","2016","10","12"
"9.56","0.8169456066945606","2016","10","12"
"2.6","3.0038461538461534","2016","10","13"
"6.08","1.4292763157894737","2016","10","13"
"6.96","0.8735632183908046","2016","10","13"
"4.33","1.0","2016","10","13"
"8.69","1.2013808975834293","2016","10","13"
"8.69","0.6996547756041427","2016","10","13"
"7.81","0.5544174135723432","2016","10","13"
"11.29","1.1532329495128433","2016","10","13"
"8.69","1.1001150747986193","2016","10","13"
"11.29","0.691762621789194","2016","10","13"
"9.56","0.9089958158995814","2016","10","13"
"12.17","0.7140509449465899","2016","10","13"
"14.77","1.059580230196344","2016","10","13"
"14.77","1.0","2016","10","13"
"13.02","1.2672811059907834","2016","10","13"
"11.29","1.2311780336581046","2016","10","13"
"8.69","1.0","2016","10","14"
"5.21","0.4990403071017275","2016","10","14"
"6.08","1.0","2016","10","14"
"4.33","0.8036951501154734","2016","10","14"
"6.08","0.712171052631579","2016","10","14"
"6.08","0.4276315789473684","2016","10","14"
"0.87","2.0114942528735633","2016","10","16"
"2.6","1.3384615384615384","2016","10","20"
"2.6","1.3384615384615384","2016","10","20"
"11.29","1.2311780336581046","2016","10","21"
"7.81","1.0","2016","10","21"
"7.81","1.2240717029449426","2016","10","21"
"9.56","1.0","2016","10","21"
"6.08","1.144736842105263","2016","10","21"
"7.81","1.2240717029449426","2016","10","21"
"11.29","0.7697077059344553","2016","10","21"
"2.6","1.3384615384615384","2016","10","23"
"6.08","1.0","2016","10","23"
"6.96","1.122126436781609","2016","10","23"
"7.81","0.7784891165172856","2016","10","23"
"3.48","2.244252873563218","2016","10","23"
"6.96","1.2485632183908046","2016","10","24"
"10.44","0.9157088122605365","2016","10","24"
"1.75","1.0","2016","10","25"
"0.87","1.0","2016","10","26"
"1.75","1.0","2016","10","26"
"8.69","1.2991944764096663","2016","10","26"
"7.81","1.0","2016","10","26"
"13.02","0.7342549923195085","2016","10","26"
"7.81","1.1126760563380282","2016","10","26"
"7.81","1.2240717029449426","2016","10","26"
"6.08","1.144736842105263","2016","10","26"
"4.33","0.40415704387990764","2016","10","26"
"7.81","1.2240717029449426","2016","10","27"
"3.48","0.7471264367816092","2016","10","27"
"0.87","1.0","2016","10","29"
"0.87","1.0","2016","10","30"
"0.87","1.0","2016","10","30"
"12.17","0.57189811010682","2016","11","01"
"13.02","1.0","2016","11","01"
"6.96","0.7485632183908046","2016","11","01"
"4.33","0.6004618937644342","2016","11","02"
"6.08","1.7171052631578947","2016","11","02"
"11.29","1.0","2016","11","03"
"13.9","1.1258992805755397","2016","11","03"
"7.81","0.5544174135723432","2016","11","03"
"6.96","1.0","2016","11","04"
"5.21","0.33589251439539347","2016","11","04"
"3.48","2.0","2016","11","04"
"0.87","2.9885057471264367","2016","11","06"
"3.48","1.7471264367816093","2016","11","06"
"4.33","0.8036951501154734","2016","11","07"
"6.96","1.122126436781609","2016","11","07"
"6.96","1.5","2016","11","07"
"10.44","1.0","2016","11","07"
