"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.6","4.466666666666667","2016","05","28"
"0.78","3.3333333333333335","2016","05","29"
"1.83","2.3661202185792347","2016","05","30"
"2.0","2.165","2016","05","30"
"2.43","2.288065843621399","2016","05","30"
"1.83","2.092896174863388","2016","05","31"
"1.65","2.1090909090909093","2016","05","31"
"3.56","1.9269662921348316","2016","06","01"
"3.83","1.608355091383812","2016","06","01"
"4.0","1.7825","2016","06","01"
"4.43","1.8826185101580137","2016","06","02"
"3.91","1.601023017902813","2016","06","02"
"3.48","2.2011494252873565","2016","06","02"
"3.38","1.8757396449704142","2016","06","02"
"1.4","1.9857142857142858","2016","06","02"
"1.4","2.6642857142857146","2016","06","02"
"0.95","2.8210526315789477","2016","06","04"
"3.83","1.7702349869451697","2016","06","04"
"4.08","1.5759803921568627","2016","06","04"
"3.65","1.6657534246575343","2016","06","04"
"2.6","1.9346153846153846","2016","06","06"
"3.13","1.9680511182108626","2016","06","06"
"2.1","2.228571428571428","2016","06","06"
"2.25","1.8133333333333335","2016","06","06"
"1.56","2.1666666666666665","2016","06","07"
"1.22","2.418032786885246","2016","06","07"
"1.05","3.2190476190476187","2016","06","07"
"1.05","2.5523809523809526","2016","06","09"
"1.05","2.4761904761904763","2016","06","09"
"3.23","3.040247678018576","2016","06","09"
"5.31","1.6685499058380415","2016","06","10"
"3.56","2.1235955056179776","2016","06","10"
"3.48","1.9482758620689655","2016","06","10"
"2.95","1.9186440677966101","2016","06","10"
"2.18","1.8715596330275228","2016","06","10"
"1.22","2.19672131147541","2016","06","11"
"0.25","5.92","2016","06","11"
"0.25","6.24","2016","06","11"
"1.56","1.6666666666666667","2016","06","11"
"1.65","1.896969696969697","2016","06","11"
"1.22","2.278688524590164","2016","06","12"
"0.95","2.368421052631579","2016","06","12"
"2.6","1.876923076923077","2016","06","13"
"3.38","1.6449704142011834","2016","06","13"
"3.03","1.8910891089108914","2016","06","14"
"2.43","1.8641975308641976","2016","06","15"
"0.7","3.6142857142857143","2016","06","15"
"1.13","2.858407079646018","2016","06","15"
"1.22","2.483606557377049","2016","06","15"
"0.78","4.910256410256411","2016","06","16"
"3.65","1.8575342465753426","2016","06","16"
"2.25","1.8933333333333333","2016","06","17"
"2.35","1.8127659574468082","2016","06","17"
"2.0","1.865","2016","06","17"
"2.95","2.1220338983050846","2016","06","17"
"1.56","1.942307692307692","2016","06","18"
"0.87","2.908045977011494","2016","06","18"
"2.35","2.1404255319148935","2016","06","19"
"3.56","2.24438202247191","2016","06","19"
"1.83","2.6666666666666665","2016","06","20"
"0.25","4.2","2016","06","23"
"0.35","4.457142857142857","2016","06","23"
"1.48","2.7027027027027026","2016","06","23"
"0.1","8.7","2016","06","24"
"2.35","1.778723404255319","2016","06","24"
"2.95","1.7999999999999998","2016","06","24"
"2.88","1.78125","2016","06","24"
"3.03","1.6930693069306932","2016","06","24"
"2.53","2.237154150197629","2016","06","24"
"2.78","2.0","2016","06","25"
"2.25","1.6577777777777778","2016","06","25"
"2.6","2.503846153846154","2016","06","25"
"1.9","2.057894736842105","2016","06","26"
"1.83","1.80327868852459","2016","06","26"
"2.18","2.0779816513761467","2016","06","27"
"2.18","2.0779816513761467","2016","06","27"
"2.6","2.1","2016","06","27"
"2.25","2.2044444444444444","2016","06","27"
"1.05","3.3904761904761904","2016","06","27"
"1.3","2.1384615384615384","2016","06","28"
"0.35","4.228571428571429","2016","06","30"
"1.48","1.9459459459459458","2016","06","30"
"2.35","1.778723404255319","2016","06","30"
"3.03","1.8679867986798682","2016","06","30"
"1.22","4.0","2016","07","02"
"1.3","2.8076923076923075","2016","07","02"
"1.56","2.230769230769231","2016","07","03"
"0.35","4.457142857142857","2016","07","03"
"0.43","4.069767441860465","2016","07","03"
"1.13","2.6814159292035398","2016","07","04"
"0.7","3.471428571428572","2016","07","06"
"1.75","2.0342857142857143","2016","07","06"
"0.35","4.0","2016","07","09"
"0.7","2.7142857142857144","2016","07","09"
"0.6","3.6333333333333337","2016","07","09"
"1.65","2.1575757575757577","2016","07","09"
"2.0","1.825","2016","07","09"
"0.87","2.793103448275862","2016","07","10"
"0.35","4.714285714285714","2016","07","12"
"0.17","6.64705882352941","2016","07","12"
"0.25","7.32","2016","07","12"
"0.78","2.1153846153846154","2016","07","12"
"0.6","3.3333333333333335","2016","07","13"
"0.43","3.441860465116279","2016","07","19"
"1.75","1.9885714285714287","2016","07","20"
"1.65","1.7454545454545456","2016","07","20"
"1.05","2.6476190476190475","2016","07","20"
"1.65","2.1090909090909093","2016","07","20"
"1.65","2.0484848484848484","2016","07","20"
"1.83","2.5573770491803276","2016","07","20"
"1.48","2.22972972972973","2016","07","21"
"1.13","2.4601769911504427","2016","07","21"
"1.05","2.0","2016","07","21"
"1.75","1.9885714285714287","2016","07","21"
"2.25","1.9244444444444444","2016","07","21"
"2.1","2.228571428571428","2016","07","22"
"1.48","1.8783783783783783","2016","07","22"
"2.53","1.9288537549407117","2016","07","22"
"2.43","2.0411522633744856","2016","07","23"
"2.6","2.042307692307692","2016","07","23"
"2.35","2.4085106382978725","2016","07","23"
"2.78","2.1870503597122304","2016","07","23"
"3.03","1.6105610561056107","2016","07","23"
"3.13","1.830670926517572","2016","07","23"
"3.38","1.7485207100591718","2016","07","23"
"3.48","1.7270114942528736","2016","07","23"
"3.56","1.9550561797752808","2016","07","23"
"3.03","2.264026402640264","2016","07","23"
"3.23","1.6439628482972135","2016","07","23"
"2.18","2.435779816513761","2016","07","24"
"2.53","1.822134387351779","2016","07","24"
"3.03","1.8679867986798682","2016","07","24"
"2.95","1.8508474576271186","2016","07","24"
"3.3","1.6848484848484848","2016","07","24"
"2.88","1.625","2016","07","25"
"2.88","1.7222222222222223","2016","07","25"
"2.6","2.042307692307692","2016","07","25"
"2.35","1.702127659574468","2016","07","25"
"1.9","2.1473684210526316","2016","07","25"
"2.35","1.8425531914893616","2016","07","25"
"2.0","2.165","2016","07","25"
"2.25","2.582222222222222","2016","07","25"
"2.35","1.553191489361702","2016","07","25"
"2.25","1.9244444444444444","2016","07","25"
"1.9","2.1473684210526316","2016","07","25"
"2.0","2.305","2016","07","25"
"2.18","1.9862385321100917","2016","07","27"
"2.1","2.0619047619047617","2016","07","27"
"1.83","2.983606557377049","2016","07","27"
"3.48","1.8477011494252873","2016","07","28"
"3.3","1.6848484848484848","2016","07","28"
"2.78","1.8093525179856118","2016","07","28"
"2.1","1.9904761904761903","2016","07","29"
"1.9","1.7000000000000002","2016","07","29"
"2.43","1.8230452674897117","2016","07","29"
"1.56","2.391025641025641","2016","07","29"
"1.48","1.8783783783783783","2016","07","29"
"2.6","1.6653846153846155","2016","07","29"
"2.18","2.114678899082569","2016","07","29"
"0.43","2.8372093023255816","2016","07","31"
"0.17","12.352941176470589","2016","08","02"
"0.7","3.9714285714285715","2016","08","03"
"1.9","1.9631578947368422","2016","08","03"
"0.25","4.52","2016","08","07"
"1.56","2.1666666666666665","2016","08","08"
"1.48","1.641891891891892","2016","08","08"
"1.65","2.3212121212121213","2016","08","08"
"0.43","3.6279069767441863","2016","08","09"
"0.1","10.5","2016","08","09"
"0.17","6.64705882352941","2016","08","09"
"0.6","3.6333333333333337","2016","08","09"
"1.83","1.8469945355191255","2016","08","11"
"2.1","1.8238095238095238","2016","08","11"
"2.25","1.8577777777777778","2016","08","11"
"2.68","1.9813432835820892","2016","08","11"
"2.35","1.8425531914893616","2016","08","12"
"3.3","1.8212121212121213","2016","08","12"
"3.56","1.8286516853932584","2016","08","12"
"3.23","1.6130030959752322","2016","08","12"
"3.48","1.9224137931034484","2016","08","12"
"3.3","1.896969696969697","2016","08","12"
"2.88","1.746527777777778","2016","08","12"
"2.95","1.6813559322033897","2016","08","12"
"3.03","1.7194719471947195","2016","08","12"
"2.88","1.8958333333333335","2016","08","12"
"3.03","1.801980198019802","2016","08","12"
"2.6","1.9346153846153846","2016","08","12"
"2.25","3.128888888888889","2016","08","12"
"3.23","1.721362229102167","2016","08","12"
"3.38","1.6449704142011834","2016","08","12"
"2.68","2.167910447761194","2016","08","12"
"3.13","1.7763578274760383","2016","08","12"
"3.13","1.8562300319488818","2016","08","13"
"3.38","2.4437869822485205","2016","08","13"
"2.68","1.7835820895522387","2016","08","13"
"2.88","1.84375","2016","08","13"
"2.95","1.8847457627118642","2016","08","13"
"2.88","2.0868055555555554","2016","08","13"
"3.13","1.9680511182108626","2016","08","13"
"2.88","1.84375","2016","08","13"
"2.6","2.042307692307692","2016","08","13"
"2.43","1.8230452674897117","2016","08","14"
"2.6","2.003846153846154","2016","08","14"
"2.1","2.157142857142857","2016","08","14"
"2.18","2.1467889908256876","2016","08","14"
"3.13","2.0798722044728435","2016","08","14"
"2.25","1.8133333333333335","2016","08","14"
"3.3","1.8424242424242425","2016","08","14"
"3.23","1.9071207430340558","2016","08","14"
"3.73","2.0536193029490617","2016","08","14"
"3.65","1.6465753424657534","2016","08","14"
"3.65","1.4547945205479451","2016","08","14"
"3.3","2.1333333333333333","2016","08","15"
"3.03","1.9504950495049507","2016","08","15"
"3.03","2.1221122112211224","2016","08","15"
"2.18","1.6330275229357798","2016","08","15"
"2.43","2.213991769547325","2016","08","15"
"3.03","2.006600660066007","2016","08","15"
"2.68","1.9813432835820892","2016","08","15"
"3.23","1.8297213622291022","2016","08","15"
"3.48","1.6695402298850575","2016","08","15"
"2.95","1.7661016949152541","2016","08","15"
"2.78","1.8453237410071943","2016","08","15"
"3.3","1.896969696969697","2016","08","15"
"2.35","2.557446808510638","2016","08","16"
"2.0","2.565","2016","08","16"
"2.18","1.7110091743119265","2016","08","16"
"1.9","2.278947368421053","2016","08","16"
"1.48","2.2837837837837838","2016","08","16"
"1.48","2.2837837837837838","2016","08","16"
"0.95","3.8421052631578947","2016","08","16"
"2.1","2.6","2016","08","16"
