"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","6.954285714285715","2015","10","09"
"0.87","14.96551724137931","2015","10","12"
"0.87","12.977011494252872","2015","11","07"
"6.08","2.286184210526316","2016","01","06"
"0.87","14.96551724137931","2016","02","20"
"1.75","6.451428571428571","2016","03","13"
"1.75","5.965714285714285","2016","04","21"
"3.48","3.244252873563218","2016","05","11"
"5.21","2.166986564299424","2016","05","28"
"3.48","2.7471264367816093","2016","05","28"
"0.87","12.0","2016","09","30"
"3.48","3.244252873563218","2016","09","30"
"2.6","3.676923076923077","2017","01","06"
"1.75","6.954285714285715","2017","01","06"
"4.33","2.810623556581986","2017","01","06"
"1.75","6.954285714285715","2017","01","06"
"6.08","2.286184210526316","2017","01","07"
"6.96","2.248563218390805","2017","01","07"
"4.33","3.2101616628175518","2017","01","07"
"3.48","3.7413793103448274","2017","01","07"
"5.21","2.0038387715930903","2017","01","07"
"2.6","4.342307692307692","2017","01","07"
"1.75","5.965714285714285","2017","01","07"
"1.75","7.4399999999999995","2017","01","09"
"2.6","5.007692307692308","2017","01","14"
"5.21","1.834932821497121","2017","02","03"
"1.75","7.4399999999999995","2017","02","03"
"4.33","2.6073903002309464","2017","02","03"
"1.75","7.4399999999999995","2017","02","04"
"1.75","6.451428571428571","2017","02","06"
"0.87","13.988505747126437","2017","03","04"
"0.87","14.96551724137931","2017","03","04"
"2.6","4.015384615384615","2017","03","06"
"1.75","5.4628571428571435","2017","04","12"
"0.87","10.988505747126437","2017","11","07"
"2.6","4.015384615384615","2017","11","12"
"0.87","12.0","2017","11","12"
"0.87","12.977011494252872","2017","11","14"
"1.75","5.965714285714285","2017","11","14"
"0.87","12.0","2017","11","14"
"3.48","3.0","2017","11","14"
"1.75","5.4628571428571435","2017","11","14"
"0.87","10.988505747126437","2017","11","15"
"1.75","5.4628571428571435","2017","11","15"
"2.6","4.342307692307692","2017","11","15"
"0.87","10.988505747126437","2017","11","15"
"3.48","3.7413793103448274","2017","11","15"
"1.75","6.954285714285715","2017","11","15"
"2.6","3.676923076923077","2017","11","15"
"0.87","13.988505747126437","2017","12","07"
"0.87","12.977011494252872","2017","12","17"
"2.6","4.015384615384615","2017","12","27"
"0.87","12.0","2017","12","27"
"3.48","3.4971264367816093","2017","12","28"
"4.33","3.0069284064665127","2017","12","28"
"5.21","2.4990403071017275","2017","12","28"
"4.33","2.41108545034642","2017","12","28"
"0.87","13.988505747126437","2018","01","16"
"2.6","3.676923076923077","2018","01","28"
"6.08","2.286184210526316","2018","01","29"
"0.87","14.96551724137931","2018","02","04"
"3.48","3.244252873563218","2018","02","17"
"1.75","6.451428571428571","2018","02","17"
"3.48","3.9942528735632186","2018","03","01"
"2.6","4.015384615384615","2018","03","01"
"1.75","9.428571428571429","2018","03","01"
"7.81","1.7797695262483997","2018","03","01"
"5.21","2.3358925143953937","2018","03","01"
"3.48","3.9942528735632186","2018","03","01"
"5.21","2.4990403071017275","2018","03","01"
"5.21","2.6679462571976966","2018","03","01"
"5.21","2.6679462571976966","2018","03","01"
"3.48","3.244252873563218","2018","03","01"
"5.21","2.4990403071017275","2018","03","01"
"0.87","14.96551724137931","2018","03","01"
"4.33","3.0069284064665127","2018","03","01"
"2.6","5.007692307692308","2018","03","01"
"0.87","13.988505747126437","2018","03","01"
"3.48","3.4971264367816093","2018","03","01"
"2.6","5.007692307692308","2018","03","01"
"0.87","13.988505747126437","2018","03","01"
"1.75","7.4399999999999995","2018","03","01"
"0.87","10.988505747126437","2018","03","02"
"2.6","4.015384615384615","2018","03","02"
"2.6","5.007692307692308","2018","03","22"
"4.33","3.2101616628175518","2018","03","22"
"0.87","13.988505747126437","2018","03","22"
"1.75","6.954285714285715","2018","03","22"
"3.48","3.9942528735632186","2018","03","22"
"1.75","5.965714285714285","2018","04","03"
"0.87","12.0","2018","04","06"
"1.75","5.965714285714285","2018","04","07"
"0.87","12.0","2018","04","16"
"0.87","12.977011494252872","2018","05","21"
"0.87","15.977011494252874","2018","05","21"
"1.75","6.954285714285715","2018","07","03"
"0.87","12.977011494252872","2018","09","14"
"0.87","10.988505747126437","2018","09","14"
"2.6","3.676923076923077","2018","10","01"
"0.87","12.0","2018","10","01"
"0.87","12.0","2018","10","01"
"0.87","13.988505747126437","2018","10","01"
"1.75","7.4399999999999995","2018","10","28"
"1.75","5.965714285714285","2018","11","13"
"1.75","5.4628571428571435","2018","12","13"
"0.87","14.96551724137931","2018","12","13"
"6.08","2.1414473684210527","2018","12","16"
"6.08","2.0016447368421053","2018","12","16"
"2.6","4.680769230769231","2018","12","16"
"0.87","13.988505747126437","2018","12","16"
