"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.03","1.4831013916500992","2018","05","22"
"4.96","1.5443548387096775","2018","05","22"
"2.78","1.7841726618705036","2018","05","22"
"1.56","2.3397435897435894","2018","05","23"
"4.0","1.39","2018","05","23"
"5.03","1.4333996023856859","2018","05","23"
"4.78","1.4560669456066946","2018","05","23"
"2.18","2.0779816513761467","2018","05","23"
"4.18","1.5382775119617225","2018","05","23"
"5.21","1.619961612284069","2018","05","23"
"4.33","1.5658198614318708","2018","05","23"
"4.0","1.54","2018","05","23"
"3.03","1.2904290429042906","2018","05","23"
"2.43","1.8641975308641976","2018","05","23"
"3.48","1.4741379310344827","2018","05","23"
"2.35","1.702127659574468","2018","05","23"
"3.13","2.0","2018","05","23"
"2.6","1.473076923076923","2018","05","23"
"3.38","1.488165680473373","2018","05","23"
"3.13","1.4952076677316293","2018","05","23"
"1.65","2.3212121212121213","2018","05","23"
"1.75","1.5885714285714285","2018","05","23"
"2.18","1.6743119266055044","2018","05","23"
"2.53","1.9288537549407117","2018","05","23"
"2.88","1.7222222222222223","2018","05","23"
"1.75","1.8457142857142856","2018","05","23"
"1.22","1.9918032786885247","2018","05","23"
"1.4","2.107142857142857","2018","05","24"
"1.56","2.0705128205128203","2018","05","24"
"1.3","2.3307692307692305","2018","05","24"
"2.95","2.0610169491525423","2018","05","24"
"2.0","2.565","2018","05","24"
"3.38","2.109467455621302","2018","05","24"
"5.13","1.9473684210526316","2018","05","24"
"4.43","1.9209932279909707","2018","05","24"
"5.03","2.3300198807157058","2018","05","24"
"5.66","2.1024734982332154","2018","05","24"
"6.34","1.6309148264984228","2018","05","24"
"7.46","1.3994638069705094","2018","05","24"
"10.24","1.2392578125","2018","05","24"
"7.99","1.32540675844806","2018","05","24"
"7.99","1.5106382978723405","2018","05","24"
"4.68","1.8354700854700856","2018","05","24"
"3.65","1.5506849315068494","2018","05","24"
"6.43","1.4447900466562986","2018","05","24"
"7.13","1.3281907433380085","2018","05","24"
"6.08","1.4868421052631577","2018","05","24"
"7.99","1.5006257822277846","2018","05","24"
"3.23","1.8606811145510835","2018","05","24"
"2.43","3.5349794238683123","2018","05","24"
"0.87","4.091954022988506","2018","05","24"
"1.4","2.3071428571428574","2018","05","25"
"1.65","2.581818181818182","2018","05","25"
"3.38","1.517751479289941","2018","05","25"
"4.26","1.528169014084507","2018","05","25"
"3.48","1.8477011494252873","2018","05","25"
"2.68","2.5597014925373136","2018","05","25"
"3.3","1.6090909090909091","2018","05","25"
"1.48","1.9932432432432434","2018","05","25"
"1.9","1.5157894736842106","2018","05","25"
"2.1","1.8238095238095238","2018","05","25"
"2.95","1.2983050847457627","2018","05","25"
"2.43","1.4320987654320987","2018","05","25"
"2.53","1.683794466403162","2018","05","25"
"2.53","1.849802371541502","2018","05","25"
"3.38","1.5710059171597632","2018","05","25"
"3.38","1.7988165680473374","2018","05","25"
"3.48","1.6982758620689655","2018","05","25"
"2.35","1.7361702127659575","2018","05","25"
"1.83","1.7650273224043715","2018","05","25"
"1.48","1.9932432432432434","2018","05","25"
"1.4","2.0571428571428574","2018","05","25"
"1.3","1.8692307692307693","2018","05","25"
"0.25","4.52","2018","05","25"
"0.35","3.0000000000000004","2018","05","25"
"0.6","4.633333333333333","2018","05","26"
"2.43","1.6090534979423867","2018","05","26"
"1.22","2.7049180327868854","2018","05","26"
"5.31","2.032015065913371","2018","05","26"
"6.78","1.2964601769911503","2018","05","26"
"7.04","1.3338068181818183","2018","05","26"
"7.39","1.198917456021651","2018","05","26"
"5.66","1.3056537102473498","2018","05","26"
"4.43","1.3340857787810385","2018","05","26"
"3.13","1.4472843450479234","2018","05","26"
"2.88","1.2951388888888888","2018","05","26"
"1.75","2.0342857142857143","2018","05","26"
"2.1","1.861904761904762","2018","05","26"
"2.35","1.9617021276595745","2018","05","26"
"3.23","1.4489164086687305","2018","05","26"
"1.75","2.0342857142857143","2018","05","26"
"3.3","1.4484848484848487","2018","05","26"
"2.6","1.973076923076923","2018","05","26"
"2.35","2.2893617021276595","2018","05","26"
"2.35","1.553191489361702","2018","05","26"
"2.25","1.6577777777777778","2018","05","26"
"2.95","1.9186440677966101","2018","05","26"
"2.53","1.5138339920948618","2018","05","26"
"6.86","1.7857142857142856","2018","05","26"
"9.56","1.2102510460251046","2018","05","27"
"9.47","1.2006335797254486","2018","05","27"
"6.26","1.7364217252396166","2018","05","27"
"3.65","2.3315068493150686","2018","05","27"
"4.26","1.6924882629107982","2018","05","27"
"3.13","1.6070287539936103","2018","05","27"
"3.73","1.67828418230563","2018","05","27"
"3.23","1.721362229102167","2018","05","27"
"6.61","1.7080181543116488","2018","05","27"
"3.48","1.5689655172413792","2018","05","27"
"4.0","1.6725","2018","05","27"
"6.26","1.2763578274760383","2018","05","27"
