"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","1.473076923076923","2018","05","23"
"3.38","1.488165680473373","2018","05","23"
"3.13","1.4952076677316293","2018","05","23"
"1.75","1.5885714285714285","2018","05","23"
"2.18","1.6743119266055044","2018","05","23"
"2.88","1.7222222222222223","2018","05","23"
"1.3","2.3307692307692305","2018","05","24"
"1.48","1.9932432432432434","2018","05","25"
"1.9","1.5157894736842106","2018","05","25"
"2.43","1.4320987654320987","2018","05","25"
"2.53","1.683794466403162","2018","05","25"
"2.53","1.849802371541502","2018","05","25"
"3.38","1.5710059171597632","2018","05","25"
"3.38","1.7988165680473374","2018","05","25"
"3.48","1.6982758620689655","2018","05","25"
"2.35","1.7361702127659575","2018","05","25"
"1.83","1.7650273224043715","2018","05","25"
"2.1","1.861904761904762","2018","05","26"
"2.35","1.9617021276595745","2018","05","26"
"3.23","1.4489164086687305","2018","05","26"
"3.3","1.4484848484848487","2018","05","26"
"2.6","1.973076923076923","2018","05","26"
"2.35","1.553191489361702","2018","05","26"
"2.25","1.6577777777777778","2018","05","26"
"2.95","1.9186440677966101","2018","05","26"
"2.53","1.5138339920948618","2018","05","26"
"6.86","1.7857142857142856","2018","05","26"
"9.56","1.2102510460251046","2018","05","27"
"9.47","1.2006335797254486","2018","05","27"
"6.26","1.7364217252396166","2018","05","27"
"3.65","2.3315068493150686","2018","05","27"
"4.26","1.6924882629107982","2018","05","27"
"3.13","1.6070287539936103","2018","05","27"
"3.73","1.67828418230563","2018","05","27"
"2.0","1.825","2018","05","28"
"3.23","1.588235294117647","2018","05","28"
"3.83","1.2950391644908616","2018","05","28"
"1.4","2.607142857142857","2018","05","28"
"2.18","1.7110091743119265","2018","05","28"
"1.3","1.7307692307692306","2018","05","30"
"2.0","1.78","2018","05","30"
"2.18","1.6330275229357798","2018","05","30"
"1.4","1.6071428571428572","2018","05","31"
"1.4","1.6071428571428572","2018","05","31"
"2.0","1.515","2018","05","31"
"1.56","2.0064102564102564","2018","05","31"
"1.65","1.896969696969697","2018","06","01"
"1.3","1.7307692307692306","2018","06","01"
"2.1","1.8238095238095238","2018","06","01"
"4.53","1.6136865342163353","2018","06","01"
"3.91","1.485933503836317","2018","06","02"
"4.0","1.52","2018","06","02"
"1.4","1.9142857142857146","2018","06","03"
"1.3","2.0615384615384618","2018","06","03"
"2.0","1.865","2018","06","04"
"2.43","1.6790123456790123","2018","06","04"
"2.0","1.69","2018","06","04"
"1.65","1.575757575757576","2018","06","05"
"1.9","1.5947368421052632","2018","06","05"
"2.43","1.7201646090534977","2018","06","05"
"2.78","2.1258992805755397","2018","06","05"
"4.0","1.6075","2018","06","05"
"3.03","1.8910891089108914","2018","06","05"
"2.43","1.5020576131687242","2018","06","05"
"2.18","1.7110091743119265","2018","06","05"
"2.0","1.955","2018","06","05"
"2.1","1.6095238095238094","2018","06","05"
"2.25","1.5466666666666666","2018","06","05"
"3.23","1.6130030959752322","2018","06","06"
"3.65","1.6876712328767125","2018","06","06"
"3.48","1.5689655172413792","2018","06","06"
"3.83","1.516971279373368","2018","06","06"
"3.83","1.6553524804177544","2018","06","06"
"3.56","1.3426966292134832","2018","06","06"
"3.48","1.6264367816091954","2018","06","06"
"4.0","1.6275","2018","06","06"
"2.95","1.6542372881355931","2018","06","06"
"2.25","1.8577777777777778","2018","06","06"
"2.35","2.4382978723404256","2018","06","06"
"2.78","2.1870503597122304","2018","06","06"
"3.56","2.24438202247191","2018","06","06"
"7.04","1.4446022727272727","2018","06","06"
"6.08","1.412828947368421","2018","06","06"
"4.08","1.5955882352941175","2018","06","06"
"3.03","1.6600660066006603","2018","06","06"
