"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","2.9885057471264367","2015","08","28"
"0.87","2.0114942528735633","2015","09","10"
"2.6","2.3384615384615386","2015","09","11"
"2.6","2.3384615384615386","2015","09","11"
"1.75","2.474285714285714","2015","09","11"
"1.75","2.9771428571428573","2015","09","11"
"0.87","4.0","2015","09","12"
"0.87","6.988505747126437","2015","09","15"
"0.87","2.9885057471264367","2015","09","18"
"0.87","4.0","2015","09","20"
"0.87","2.9885057471264367","2015","09","22"
"0.87","4.0","2015","09","24"
"0.87","2.9885057471264367","2015","09","26"
"0.87","2.9885057471264367","2015","09","27"
"3.48","2.244252873563218","2015","09","30"
"4.33","2.0069284064665127","2015","09","30"
"3.48","2.244252873563218","2015","09","30"
"1.75","2.9771428571428573","2015","09","30"
"4.33","2.41108545034642","2015","09","30"
"4.33","2.6073903002309464","2015","09","30"
"3.48","2.7471264367816093","2015","09","30"
"3.48","2.0","2015","09","30"
"2.6","2.6769230769230767","2015","09","30"
"2.6","2.3384615384615386","2015","09","30"
"2.6","2.003846153846154","2015","09","30"
"2.6","2.3384615384615386","2015","09","30"
"0.87","2.9885057471264367","2015","10","05"
"0.87","2.0114942528735633","2015","10","09"
"3.48","2.7471264367816093","2015","10","10"
"0.87","4.0","2015","10","12"
"3.48","2.0","2015","10","12"
"6.08","1.7171052631578947","2015","10","12"
"5.21","2.166986564299424","2015","10","12"
"4.33","2.0069284064665127","2015","10","12"
"2.6","2.3384615384615386","2015","10","12"
"2.6","3.0038461538461534","2015","10","12"
"3.48","2.4971264367816093","2015","10","12"
"2.6","3.676923076923077","2015","10","12"
"2.6","3.676923076923077","2015","10","13"
"3.48","2.4971264367816093","2015","10","13"
"0.87","2.9885057471264367","2015","10","15"
"1.75","3.9771428571428573","2015","10","16"
"1.75","2.9771428571428573","2015","10","18"
"1.75","4.965714285714285","2015","10","22"
"0.87","4.977011494252873","2015","10","22"
"1.75","1.9885714285714287","2015","10","22"
"0.87","2.9885057471264367","2015","10","27"
"0.87","2.9885057471264367","2015","10","29"
"0.87","2.9885057471264367","2015","10","29"
"1.75","2.9771428571428573","2015","10","29"
"1.75","2.9771428571428573","2015","11","10"
"1.75","4.462857142857143","2015","11","10"
"0.87","2.9885057471264367","2015","11","10"
"0.87","2.0114942528735633","2015","11","10"
"1.75","2.9771428571428573","2015","11","20"
"4.33","2.0069284064665127","2015","11","21"
"1.75","3.9771428571428573","2015","11","22"
"0.87","2.0114942528735633","2015","11","23"
"0.87","2.0114942528735633","2015","11","23"
"0.87","2.9885057471264367","2015","11","23"
"0.87","2.9885057471264367","2015","11","23"
"0.87","4.0","2016","01","12"
"0.87","4.0","2016","01","15"
"2.6","3.0038461538461534","2016","01","18"
"0.87","2.9885057471264367","2016","01","24"
"6.08","2.8585526315789473","2016","01","26"
"3.48","2.4971264367816093","2016","01","27"
"0.87","2.9885057471264367","2016","01","29"
"0.87","2.9885057471264367","2016","01","31"
"0.87","2.9885057471264367","2016","01","31"
"1.75","1.4857142857142858","2016","02","02"
"0.87","2.0114942528735633","2016","02","07"
"0.87","2.9885057471264367","2016","02","09"
"0.87","2.9885057471264367","2016","02","10"
"0.87","4.0","2016","02","16"
"1.75","1.9885714285714287","2016","02","17"
"0.87","2.9885057471264367","2016","02","17"
"0.87","2.9885057471264367","2016","02","18"
"0.87","2.9885057471264367","2016","02","18"
"1.75","3.474285714285714","2016","02","22"
"1.75","3.9771428571428573","2016","02","22"
"0.87","2.9885057471264367","2016","02","23"
"1.75","2.9771428571428573","2016","02","24"
"0.87","2.9885057471264367","2016","02","27"
"0.87","4.0","2016","03","03"
"0.87","2.9885057471264367","2016","03","08"
"0.87","2.9885057471264367","2016","03","08"
"0.87","2.9885057471264367","2016","03","10"
"2.6","2.6769230769230767","2016","03","11"
"1.75","2.474285714285714","2016","03","11"
"1.75","1.9885714285714287","2016","03","11"
"0.87","4.0","2016","03","12"
"0.87","4.0","2016","03","13"
"0.87","2.0114942528735633","2016","03","14"
"0.87","4.0","2016","03","16"
"0.87","2.9885057471264367","2016","03","17"
"0.87","2.0114942528735633","2016","03","17"
"1.75","1.9885714285714287","2016","03","19"
"0.87","4.0","2016","03","19"
"1.75","2.474285714285714","2016","03","28"
"1.75","2.474285714285714","2016","03","28"
"0.87","2.9885057471264367","2016","03","29"
"2.6","2.6769230769230767","2016","03","30"
"2.6","2.3384615384615386","2016","04","01"
"0.87","2.0114942528735633","2016","04","03"
"0.87","2.9885057471264367","2016","04","04"
"1.75","1.9885714285714287","2016","04","05"
"0.87","2.9885057471264367","2016","04","05"
"1.75","2.474285714285714","2016","04","05"
"0.87","2.9885057471264367","2016","04","06"
"0.87","2.9885057471264367","2016","04","07"
"0.87","2.9885057471264367","2016","04","07"
"0.87","2.9885057471264367","2016","04","08"
"0.87","2.9885057471264367","2016","04","08"
"0.87","4.977011494252873","2016","04","09"
"0.87","4.0","2016","04","10"
"0.87","2.9885057471264367","2016","04","10"
"0.87","2.0114942528735633","2016","04","11"
"1.75","2.474285714285714","2016","04","16"
"0.87","2.9885057471264367","2016","04","17"
"0.87","2.9885057471264367","2016","04","20"
"2.6","1.6653846153846155","2016","04","24"
"0.87","2.0114942528735633","2016","04","24"
"1.75","3.474285714285714","2016","04","24"
"2.6","2.003846153846154","2016","04","24"
"1.75","1.9885714285714287","2016","04","25"
"0.87","2.9885057471264367","2016","04","25"
"0.87","4.0","2016","04","28"
"2.6","1.6653846153846155","2016","04","30"
"0.87","2.9885057471264367","2016","05","02"
"1.75","2.474285714285714","2016","05","02"
"1.75","2.474285714285714","2016","05","03"
"1.75","2.474285714285714","2016","05","04"
"0.87","2.0114942528735633","2016","05","04"
"1.75","2.9771428571428573","2016","05","09"
"1.75","1.9885714285714287","2016","05","10"
"2.6","2.003846153846154","2016","05","16"
"1.75","2.474285714285714","2016","05","16"
"1.75","2.474285714285714","2016","05","16"
"1.75","2.9771428571428573","2016","05","16"
"1.75","1.9885714285714287","2016","05","16"
"2.6","2.003846153846154","2016","05","16"
"1.75","2.474285714285714","2016","05","16"
"1.75","1.4857142857142858","2016","05","23"
"1.75","2.474285714285714","2016","05","23"
"1.75","2.474285714285714","2016","05","24"
"1.75","1.9885714285714287","2016","05","24"
"0.87","2.9885057471264367","2016","05","24"
"0.87","2.9885057471264367","2016","05","24"
"0.87","4.0","2016","05","25"
"1.75","2.474285714285714","2016","05","25"
"1.75","1.9885714285714287","2016","05","25"
"1.75","2.9771428571428573","2016","05","25"
"1.75","2.9771428571428573","2016","05","25"
"3.48","2.0","2016","05","30"
"1.75","2.474285714285714","2016","05","30"
