"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","2.9885057471264367","2016","07","30"
"0.43","3.255813953488372","2016","07","30"
"0.87","2.0114942528735633","2016","07","30"
"0.7","2.357142857142857","2016","07","30"
"0.78","1.8974358974358974","2016","07","31"
"0.35","4.228571428571429","2016","07","31"
"0.6","2.033333333333333","2016","08","01"
"1.13","1.858407079646018","2016","08","01"
"2.0","2.09","2016","08","03"
"0.7","4.328571428571428","2016","08","03"
"1.48","2.4054054054054053","2016","08","03"
"2.25","1.8133333333333335","2016","08","03"
"1.83","1.710382513661202","2016","08","03"
"1.65","2.2606060606060607","2016","08","03"
"0.6","2.75","2016","08","04"
"0.7","2.857142857142857","2016","08","05"
"0.52","4.519230769230769","2016","08","06"
"2.1","1.4428571428571426","2016","08","06"
"0.52","3.846153846153846","2016","08","06"
"0.7","2.7142857142857144","2016","08","06"
"1.13","2.769911504424779","2016","08","06"
"1.05","2.0","2016","08","07"
"0.78","2.0","2016","08","07"
"0.78","2.2435897435897436","2016","08","07"
"0.35","3.4857142857142858","2016","08","07"
"0.78","2.794871794871795","2016","08","08"
"0.78","2.2435897435897436","2016","08","08"
"0.87","3.0804597701149428","2016","08","08"
"0.52","3.3653846153846154","2016","08","08"
"0.52","2.846153846153846","2016","08","09"
"0.35","3.714285714285715","2016","08","09"
"0.43","3.441860465116279","2016","08","09"
"1.9","2.015789473684211","2016","08","09"
"1.05","2.7428571428571424","2016","08","09"
"1.83","2.748633879781421","2016","08","11"
"2.43","1.897119341563786","2016","08","11"
"3.3","1.5030303030303032","2016","08","11"
"1.48","2.1824324324324325","2016","08","11"
"0.87","2.413793103448276","2016","08","11"
"0.52","4.038461538461538","2016","08","11"
"0.25","8.0","2016","08","11"
"2.25","1.4666666666666666","2016","08","11"
"0.87","2.7011494252873565","2016","08","11"
"0.6","3.5000000000000004","2016","08","11"
"0.25","5.6","2016","08","11"
"0.43","5.232558139534884","2016","08","11"
"0.7","3.1142857142857148","2016","08","11"
"0.87","3.8850574712643677","2016","08","13"
"2.35","1.8425531914893616","2016","08","13"
"1.56","2.0705128205128203","2016","08","13"
"1.13","2.371681415929204","2016","08","13"
"1.13","2.0796460176991154","2016","08","13"
"2.88","2.0868055555555554","2016","08","13"
"3.23","1.3405572755417956","2016","08","13"
"3.23","1.6439628482972135","2016","08","13"
"1.48","1.9459459459459458","2016","08","13"
