"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.21","2.4990403071017275","2015","08","27"
"6.96","1.9971264367816093","2015","08","27"
"6.96","2.4971264367816093","2015","08","27"
"6.08","2.286184210526316","2015","08","27"
"6.96","2.7485632183908044","2015","08","27"
"7.81","2.2253521126760565","2015","08","28"
"7.81","2.7797695262484","2015","08","28"
"6.08","2.4292763157894735","2015","08","28"
"6.96","2.9971264367816093","2015","08","28"
"7.81","2.2253521126760565","2015","08","28"
"7.81","2.558258642765685","2015","08","28"
"3.48","2.4971264367816093","2015","08","28"
"4.33","2.810623556581986","2015","08","28"
"2.6","3.0038461538461534","2015","08","28"
"3.48","2.4971264367816093","2015","08","28"
"6.08","2.1414473684210527","2015","08","28"
"5.21","2.4990403071017275","2015","08","28"
"4.33","2.41108545034642","2015","08","28"
"9.56","1.544979079497908","2015","08","28"
"7.81","1.7797695262483997","2015","08","28"
"8.69","2.100115074798619","2015","08","28"
"6.08","2.5740131578947367","2015","08","28"
"7.81","3.2253521126760565","2015","08","28"
"21.71","1.6411791801013358","2015","08","28"
"21.71","1.3611239060340856","2015","08","28"
"24.34","1.5","2015","08","28"
"18.25","1.8564383561643838","2015","08","28"
"26.07","1.3333333333333333","2015","08","28"
"24.34","1.3919474116680364","2015","08","28"
"28.67","1.2734565748168816","2015","08","29"
"22.59","1.4621513944223108","2015","08","29"
"17.38","1.7491369390103568","2015","08","29"
"13.02","2.0023041474654377","2015","08","29"
"10.44","1.7480842911877394","2015","08","29"
"4.33","2.6073903002309464","2015","08","29"
"6.08","1.856907894736842","2015","08","29"
"5.21","2.0038387715930903","2015","08","29"
"5.21","2.166986564299424","2015","08","29"
"2.6","2.3384615384615386","2015","08","29"
"6.08","2.0016447368421053","2015","08","29"
"3.48","3.0","2015","08","29"
"3.48","2.7471264367816093","2015","08","29"
"6.08","1.856907894736842","2015","08","29"
"6.96","1.9971264367816093","2015","08","29"
"5.21","2.4990403071017275","2015","08","29"
"5.21","2.0038387715930903","2015","08","29"
"4.33","3.0069284064665127","2015","08","29"
"1.75","2.474285714285714","2015","08","29"
"1.75","2.9771428571428573","2015","08","29"
"2.6","2.6769230769230767","2015","08","29"
"4.33","2.6073903002309464","2015","08","29"
"5.21","2.4990403071017275","2015","08","29"
"5.21","1.834932821497121","2015","08","29"
"3.48","2.7471264367816093","2015","08","30"
"2.6","2.003846153846154","2015","08","30"
"2.6","2.3384615384615386","2015","08","30"
"3.48","3.9942528735632186","2015","08","30"
"4.33","2.41108545034642","2015","08","30"
"3.48","2.7471264367816093","2015","08","30"
"4.33","1.8036951501154732","2015","08","30"
"3.48","2.0","2015","08","30"
"3.48","2.244252873563218","2015","08","30"
"2.6","2.3384615384615386","2015","08","30"
"2.6","2.6769230769230767","2015","08","30"
"1.75","2.474285714285714","2015","08","30"
"2.6","3.342307692307692","2015","08","30"
"2.6","2.6769230769230767","2015","08","30"
"7.81","2.003841229193342","2015","08","30"
"4.33","3.41108545034642","2015","08","30"
"3.48","3.244252873563218","2015","08","30"
"6.08","2.286184210526316","2015","08","30"
"6.08","2.1414473684210527","2015","08","30"
"3.48","3.0","2015","08","30"
"4.33","2.0069284064665127","2015","08","30"
"1.75","2.474285714285714","2015","08","30"
"1.75","2.9771428571428573","2015","08","30"
"3.48","2.7471264367816093","2015","08","30"
"4.33","2.6073903002309464","2015","08","31"
"2.6","1.6653846153846155","2015","08","31"
"2.6","1.6653846153846155","2015","08","31"
"1.75","2.474285714285714","2015","08","31"
"3.48","1.4971264367816093","2015","08","31"
"3.48","2.0","2015","08","31"
"2.6","1.3384615384615384","2015","08","31"
"1.75","1.9885714285714287","2015","08","31"
"1.75","1.9885714285714287","2015","08","31"
"2.6","2.003846153846154","2015","08","31"
"3.48","1.4971264367816093","2015","08","31"
"0.87","2.9885057471264367","2015","08","31"
"1.75","1.4857142857142858","2015","08","31"
"2.6","1.6653846153846155","2015","08","31"
"3.48","1.4971264367816093","2015","08","31"
"2.6","1.6653846153846155","2015","08","31"
"1.75","2.9771428571428573","2015","08","31"
"1.75","2.474285714285714","2015","08","31"
"4.33","2.6073903002309464","2015","08","31"
"6.08","1.7171052631578947","2015","08","31"
"4.33","2.207852193995381","2015","08","31"
"2.6","3.342307692307692","2015","08","31"
"2.6","2.3384615384615386","2015","08","31"
"2.6","2.6769230769230767","2015","09","01"
"2.6","2.3384615384615386","2015","09","01"
"3.48","1.7471264367816093","2015","09","01"
"1.75","3.474285714285714","2015","09","01"
"2.6","2.003846153846154","2015","09","01"
"2.6","2.003846153846154","2015","09","01"
"2.6","2.6769230769230767","2015","09","01"
"4.33","3.2101616628175518","2015","09","01"
