"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.48","2.4971264367816093","2015","08","28"
"2.6","2.6769230769230767","2015","08","30"
"1.75","1.9885714285714287","2015","08","31"
"1.75","1.4857142857142858","2015","08","31"
"3.48","2.7471264367816093","2015","09","10"
"4.33","2.207852193995381","2015","09","10"
"3.48","2.7471264367816093","2015","09","10"
"1.75","3.9771428571428573","2015","09","11"
"3.48","3.0","2015","09","11"
"5.21","2.6679462571976966","2015","09","15"
"1.75","2.474285714285714","2015","09","15"
"2.6","3.342307692307692","2015","09","16"
"2.6","2.3384615384615386","2015","09","17"
"2.6","2.3384615384615386","2015","09","17"
"3.48","3.244252873563218","2015","09","17"
"4.33","2.6073903002309464","2015","09","17"
"5.21","3.0038387715930903","2015","09","17"
"4.33","2.6073903002309464","2015","09","17"
"3.48","3.4971264367816093","2015","09","17"
"4.33","3.0069284064665127","2015","09","17"
"4.33","3.0069284064665127","2015","09","17"
"4.33","2.6073903002309464","2015","09","18"
"5.21","3.671785028790787","2015","09","18"
"6.96","2.8706896551724137","2015","09","18"
"6.96","2.9971264367816093","2015","09","18"
"8.69","2.4982738780207137","2015","09","18"
"1.75","4.965714285714285","2015","09","18"
"1.75","2.9771428571428573","2015","09","18"
"1.75","2.474285714285714","2015","09","19"
"3.48","2.4971264367816093","2015","09","19"
"2.6","4.342307692307692","2015","09","20"
"3.48","3.9942528735632186","2015","09","20"
"3.48","4.244252873563219","2015","09","20"
"1.75","2.9771428571428573","2015","09","20"
"2.6","2.003846153846154","2015","09","23"
"0.87","2.0114942528735633","2015","09","25"
"1.75","2.474285714285714","2015","09","26"
"0.87","4.0","2015","09","26"
"1.75","1.9885714285714287","2015","09","27"
"1.75","1.9885714285714287","2015","09","28"
"1.75","3.9771428571428573","2015","09","29"
"1.75","2.9771428571428573","2015","09","29"
"2.6","2.6769230769230767","2015","09","29"
"2.6","2.3384615384615386","2015","09","29"
"2.6","3.0038461538461534","2015","09","29"
"6.08","3.4309210526315788","2015","09","29"
"4.33","3.0069284064665127","2015","10","01"
"2.6","3.676923076923077","2015","10","01"
"2.6","3.0038461538461534","2015","10","01"
"0.87","4.0","2015","10","03"
"1.75","2.474285714285714","2015","10","09"
"6.96","2.8706896551724137","2015","10","10"
"3.48","3.0","2015","10","10"
"2.6","3.676923076923077","2015","10","10"
"1.75","2.474285714285714","2015","10","11"
"3.48","2.7471264367816093","2015","10","11"
"6.08","2.286184210526316","2015","10","13"
"4.33","2.207852193995381","2015","10","16"
"3.48","3.244252873563218","2015","10","17"
"3.48","3.7413793103448274","2015","10","17"
"2.6","2.3384615384615386","2015","10","20"
"3.48","1.7471264367816093","2015","10","21"
"6.96","2.3706896551724137","2015","10","22"
"5.21","3.0038387715930903","2015","10","22"
"4.33","2.6073903002309464","2015","10","22"
"6.08","2.1414473684210527","2015","10","22"
"7.81","2.1126760563380285","2015","10","22"
"2.6","2.3384615384615386","2015","10","24"
"1.75","3.474285714285714","2015","10","24"
"3.48","3.0","2015","10","24"
"2.6","3.0038461538461534","2015","10","24"
"1.75","2.474285714285714","2015","10","24"
"4.33","2.41108545034642","2015","10","28"
"0.87","2.0114942528735633","2015","10","31"
"0.87","2.0114942528735633","2015","10","31"
"1.75","1.4857142857142858","2015","11","03"
"0.95","4.3999999999999995","2016","07","27"
"1.48","1.7567567567567568","2016","08","05"
"1.22","4.065573770491803","2016","08","10"
"3.56","2.1938202247191008","2016","08","13"
"5.31","2.0602636534839927","2016","08","15"
"2.68","2.1380597014925375","2016","08","18"
"1.3","1.676923076923077","2016","08","19"
"0.7","3.0000000000000004","2016","08","19"
"1.05","1.6666666666666665","2016","08","19"
"2.88","2.6875","2016","08","23"
"2.6","1.9346153846153846","2016","08","23"
"1.65","3.048484848484849","2016","09","06"
"1.05","2.6476190476190475","2016","09","07"
"1.75","1.7885714285714285","2016","09","07"
"1.05","1.9047619047619047","2016","09","08"
"1.05","2.6476190476190475","2016","09","08"
"1.56","2.5064102564102564","2016","09","08"
"2.6","2.8115384615384613","2016","09","09"
"2.68","2.5597014925373136","2016","09","09"
"3.48","2.1436781609195403","2016","09","09"
"1.75","1.6457142857142857","2016","09","11"
"2.1","2.109523809523809","2016","09","14"
"2.53","3.0276679841897236","2016","09","15"
"2.6","2.1769230769230767","2016","09","18"
"2.6","2.3384615384615386","2016","09","18"
"4.18","2.5813397129186604","2016","09","21"
"3.56","2.2219101123595504","2016","09","24"
"3.83","2.5169712793733683","2016","09","24"
"3.83","2.7258485639686683","2016","09","24"
"6.16","1.9886363636363635","2016","09","24"
"4.88","1.528688524590164","2016","09","26"
"2.95","1.8847457627118642","2016","09","26"
"1.3","2.1384615384615384","2016","09","26"
"1.3","3.815384615384615","2016","10","10"
"3.73","3.4021447721179623","2016","10","15"
"3.23","2.959752321981424","2016","10","18"
"0.87","2.413793103448276","2016","10","29"
"1.05","2.238095238095238","2016","10","30"
"3.03","2.1485148514851486","2016","11","02"
"6.01","2.0831946755407653","2016","11","04"
"2.6","2.273076923076923","2016","11","09"
"5.31","2.258003766478343","2016","11","11"
"5.03","3.1113320079522864","2016","11","11"
"4.53","2.0728476821192054","2016","11","12"
"3.91","2.2864450127877234","2016","11","12"
"3.56","2.6376404494382024","2016","11","13"
"7.39","1.9512855209742896","2016","11","14"
"5.73","2.1989528795811517","2016","11","14"
"4.96","1.6814516129032258","2016","11","14"
"3.73","2.839142091152815","2016","11","14"
"3.48","2.295977011494253","2016","11","14"
"4.08","2.2352941176470584","2016","11","14"
"3.65","2.0246575342465754","2016","11","14"
"4.61","1.997830802603037","2016","11","14"
"5.13","2.557504873294347","2016","11","14"
"4.53","2.260485651214128","2016","11","15"
"3.03","2.438943894389439","2016","11","15"
"2.43","2.6790123456790123","2016","11","15"
"1.75","1.5885714285714285","2016","11","23"
"2.25","1.5466666666666666","2016","11","24"
"1.3","2.8692307692307693","2016","11","24"
"1.48","1.7567567567567568","2016","11","25"
"2.18","2.032110091743119","2016","11","25"
"2.25","1.9688888888888887","2016","11","25"
"0.52","3.0","2016","11","28"
"5.31","2.451977401129944","2016","11","29"
"6.34","1.8643533123028393","2016","11","29"
"5.81","2.378657487091222","2016","12","01"
"5.81","2.077452667814114","2016","12","01"
"6.08","2.3848684210526314","2016","12","01"
"6.96","2.2600574712643677","2016","12","01"
"5.66","2.765017667844523","2016","12","02"
"6.26","3.023961661341853","2016","12","02"
"6.26","3.6357827476038342","2016","12","05"
"0.95","2.2947368421052636","2016","12","13"
"1.22","2.278688524590164","2016","12","13"
