"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"21.71","1.6411791801013358","2015","08","28"
"21.71","1.3611239060340856","2015","08","28"
"24.34","1.5","2015","08","28"
"18.25","1.8564383561643838","2015","08","28"
"26.07","1.3333333333333333","2015","08","28"
"24.34","1.3919474116680364","2015","08","28"
"28.67","1.2734565748168816","2015","08","29"
"22.59","1.4621513944223108","2015","08","29"
"17.38","1.7491369390103568","2015","08","29"
"13.02","2.0023041474654377","2015","08","29"
"10.44","1.7480842911877394","2015","08","29"
"6.08","1.856907894736842","2015","08","29"
"5.21","2.0038387715930903","2015","08","29"
"5.21","2.166986564299424","2015","08","29"
"2.6","2.3384615384615386","2015","08","29"
"6.08","2.0016447368421053","2015","08","29"
"3.48","3.0","2015","08","29"
"6.08","1.856907894736842","2015","08","29"
"6.96","1.9971264367816093","2015","08","29"
"5.21","2.0038387715930903","2015","08","29"
"4.33","3.0069284064665127","2015","08","29"
"2.6","2.3384615384615386","2015","08","30"
"1.75","2.474285714285714","2015","08","30"
"7.81","2.003841229193342","2015","08","30"
"3.48","3.244252873563218","2015","08","30"
"6.08","2.1414473684210527","2015","08","30"
"3.48","2.7471264367816093","2015","08","30"
"4.33","2.6073903002309464","2015","08","31"
"2.6","2.6769230769230767","2015","09","01"
"8.69","2.2991944764096663","2015","09","01"
"6.96","2.3706896551724137","2015","09","01"
"10.44","2.0795019157088124","2015","09","01"
"11.29","1.9229406554472988","2015","09","02"
"11.29","1.7697077059344555","2015","09","02"
"15.65","1.4990415335463259","2015","09","02"
"18.25","1.619178082191781","2015","09","02"
"17.38","1.6495972382048334","2015","09","02"
"16.5","1.58","2015","09","02"
"13.9","1.8755395683453238","2015","09","02"
"18.25","1.4761643835616438","2015","09","02"
"16.5","1.475151515151515","2015","09","02"
"17.38","1.4004602991944766","2015","09","02"
"16.5","1.475151515151515","2015","09","02"
"19.13","1.362780972294825","2015","09","02"
"18.25","1.3802739726027398","2015","09","02"
"17.38","1.6006904487917146","2015","09","02"
