"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","4.977011494252873","2016","06","02"
"0.87","6.988505747126437","2016","06","03"
"1.75","2.9771428571428573","2016","06","05"
"1.75","6.451428571428571","2016","06","09"
"0.87","6.988505747126437","2016","06","12"
"0.87","9.988505747126437","2016","06","15"
"0.87","8.0","2016","06","17"
"0.87","6.988505747126437","2016","06","22"
"0.87","12.977011494252872","2016","07","01"
"1.75","3.9771428571428573","2016","07","01"
"0.87","6.988505747126437","2016","07","01"
"0.87","12.0","2016","07","02"
"0.87","6.988505747126437","2016","07","02"
"1.75","2.9771428571428573","2016","07","03"
"0.87","4.977011494252873","2016","07","07"
"0.87","10.988505747126437","2016","07","08"
"0.87","4.0","2016","07","13"
"0.87","4.977011494252873","2016","07","28"
"0.87","9.988505747126437","2016","08","11"
"2.6","3.0038461538461534","2016","08","27"
"0.87","8.0","2016","08","28"
"1.75","3.474285714285714","2016","08","28"
"1.75","5.965714285714285","2016","08","29"
"0.87","13.988505747126437","2016","08","29"
"0.87","5.988505747126437","2016","08","30"
"0.87","5.988505747126437","2016","09","05"
"1.75","4.462857142857143","2016","09","09"
"0.87","5.988505747126437","2016","09","28"
"0.87","5.988505747126437","2016","09","28"
"1.75","3.9771428571428573","2016","09","29"
"0.87","5.988505747126437","2016","09","29"
"1.75","3.474285714285714","2016","09","30"
"2.6","4.342307692307692","2016","09","30"
"2.6","3.676923076923077","2016","09","30"
"1.75","2.9771428571428573","2016","10","01"
"1.75","2.9771428571428573","2016","10","01"
"0.87","5.988505747126437","2016","10","01"
"0.87","6.988505747126437","2016","10","02"
"0.87","4.977011494252873","2016","10","02"
"0.87","8.0","2016","10","03"
"0.87","10.988505747126437","2016","10","03"
"1.75","4.965714285714285","2016","10","04"
"1.75","2.9771428571428573","2016","10","06"
"0.87","5.988505747126437","2016","10","10"
"0.87","4.977011494252873","2016","10","13"
"1.75","7.942857142857143","2016","10","13"
"0.87","5.988505747126437","2016","10","13"
"0.87","8.977011494252872","2016","10","14"
"0.87","4.0","2016","10","19"
"0.87","12.0","2016","10","22"
"0.87","6.988505747126437","2016","10","22"
"0.87","4.977011494252873","2016","10","23"
"1.75","4.462857142857143","2016","10","24"
"0.87","4.977011494252873","2016","10","24"
"1.75","3.9771428571428573","2016","10","24"
"0.87","8.0","2016","10","24"
"1.75","4.462857142857143","2016","10","24"
"1.75","4.462857142857143","2016","10","25"
"1.75","4.462857142857143","2016","11","02"
"1.75","3.474285714285714","2016","11","04"
"0.87","5.988505747126437","2016","11","16"
"0.87","8.977011494252872","2016","11","22"
"0.87","5.988505747126437","2016","11","22"
"0.87","5.988505747126437","2016","11","23"
"0.87","10.988505747126437","2016","11","23"
"0.87","5.988505747126437","2016","11","23"
"0.87","4.0","2016","11","23"
"0.87","8.0","2016","12","01"
"2.6","3.342307692307692","2016","12","10"
"0.87","12.0","2016","12","10"
"0.87","8.0","2016","12","10"
"0.87","8.0","2016","12","10"
"1.75","3.474285714285714","2016","12","11"
"2.6","3.676923076923077","2016","12","15"
"3.48","4.244252873563219","2016","12","15"
"2.6","3.676923076923077","2016","12","15"
"0.87","4.977011494252873","2016","12","19"
"0.87","8.977011494252872","2016","12","19"
"1.75","4.462857142857143","2017","01","08"
"2.6","3.676923076923077","2017","01","08"
"1.75","6.954285714285715","2017","01","09"
"4.33","3.0069284064665127","2017","01","09"
"5.21","3.0038387715930903","2017","01","09"
"5.21","3.3358925143953932","2017","01","09"
"4.33","3.810623556581986","2017","01","09"
"3.48","3.4971264367816093","2017","01","09"
"5.21","3.166986564299424","2017","01","09"
"3.48","4.741379310344827","2017","01","09"
"4.33","5.418013856812933","2017","01","09"
"4.33","3.2101616628175518","2017","01","09"
"2.6","6.684615384615384","2017","01","09"
"1.75","5.4628571428571435","2017","01","10"
"0.87","6.988505747126437","2017","01","10"
"1.75","4.462857142857143","2017","01","10"
"2.6","3.342307692307692","2017","01","10"
"1.75","4.462857142857143","2017","01","10"
"1.75","6.451428571428571","2017","01","10"
"0.87","6.988505747126437","2017","01","17"
"0.87","2.9885057471264367","2017","01","18"
"1.75","3.9771428571428573","2017","01","18"
"0.87","8.977011494252872","2017","01","18"
"0.87","8.977011494252872","2017","01","18"
"0.87","8.0","2017","01","20"
"1.75","2.9771428571428573","2017","01","21"
"0.87","8.977011494252872","2017","01","21"
"2.6","3.0038461538461534","2017","01","21"
"0.87","4.977011494252873","2017","01","23"
"0.87","8.977011494252872","2017","01","27"
"0.87","12.977011494252872","2017","02","03"
"1.75","4.965714285714285","2017","02","03"
"2.6","3.342307692307692","2017","02","03"
"7.81","3.7836107554417415","2017","02","04"
"6.08","3.5707236842105265","2017","02","04"
"5.21","5.1708253358925145","2017","02","04"
"6.08","3.8585526315789473","2017","02","04"
"5.21","2.834932821497121","2017","02","04"
"5.21","3.0038387715930903","2017","02","04"
"3.48","4.741379310344827","2017","02","04"
"1.75","8.942857142857143","2017","02","04"
"5.21","3.502879078694818","2017","02","04"
"3.48","4.244252873563219","2017","02","04"
"3.48","3.244252873563218","2017","02","04"
"2.6","6.019230769230769","2017","02","04"
"4.33","3.41108545034642","2017","02","04"
"4.33","3.810623556581986","2017","02","04"
"4.33","3.810623556581986","2017","02","04"
"4.33","5.418013856812933","2017","02","04"
"2.6","5.346153846153846","2017","02","04"
"2.6","3.342307692307692","2017","02","05"
"2.6","4.342307692307692","2017","02","05"
"2.6","4.015384615384615","2017","02","05"
"2.6","5.346153846153846","2017","02","06"
"1.75","4.965714285714285","2017","02","06"
"1.75","4.462857142857143","2017","02","06"
"1.75","6.451428571428571","2017","02","06"
"0.87","10.988505747126437","2017","02","06"
"1.75","2.9771428571428573","2017","02","06"
"3.48","3.9942528735632186","2017","02","06"
"2.6","4.015384615384615","2017","02","06"
"1.75","7.4399999999999995","2017","02","06"
"2.6","4.342307692307692","2017","02","06"
"3.48","3.4971264367816093","2017","02","06"
"3.48","3.4971264367816093","2017","02","06"
"2.6","5.007692307692308","2017","02","06"
"1.75","7.942857142857143","2017","02","07"
"1.75","4.965714285714285","2017","02","07"
"1.75","5.4628571428571435","2017","02","07"
"1.75","4.462857142857143","2017","02","07"
"0.87","8.0","2017","02","07"
"0.87","8.0","2017","02","07"
"0.87","5.988505747126437","2017","02","07"
"1.75","4.462857142857143","2017","02","07"
"2.6","5.346153846153846","2017","02","07"
"3.48","3.9942528735632186","2017","02","07"
"2.6","5.346153846153846","2017","02","07"
"0.87","2.9885057471264367","2017","02","17"
"0.87","4.0","2017","02","17"
"1.75","3.474285714285714","2017","02","18"
"0.87","8.0","2017","02","18"
"0.87","8.0","2017","02","19"
