"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","3.474285714285714","2016","06","01"
"1.75","4.462857142857143","2016","06","07"
"1.75","2.9771428571428573","2016","06","08"
"0.87","2.9885057471264367","2016","06","08"
"1.75","3.9771428571428573","2016","06","08"
"2.6","2.6769230769230767","2016","06","09"
"1.75","2.9771428571428573","2016","06","09"
"2.6","3.0038461538461534","2016","06","09"
"0.87","8.0","2016","06","11"
"3.48","2.244252873563218","2016","06","11"
"1.75","2.9771428571428573","2016","06","11"
"0.87","5.988505747126437","2016","06","16"
"0.87","6.988505747126437","2016","06","16"
"1.75","3.9771428571428573","2016","06","20"
"2.6","3.342307692307692","2016","06","21"
"0.87","2.9885057471264367","2016","06","22"
"2.6","2.003846153846154","2016","06","24"
"2.6","2.3384615384615386","2016","06","24"
"5.21","2.0038387715930903","2016","06","25"
"2.6","2.6769230769230767","2016","06","25"
"1.75","3.9771428571428573","2016","06","25"
"0.87","2.9885057471264367","2016","06","28"
"2.6","3.342307692307692","2016","06","29"
"2.6","3.342307692307692","2016","06","29"
"1.75","3.9771428571428573","2016","06","30"
"2.6","2.6769230769230767","2016","06","30"
"1.75","3.474285714285714","2016","06","30"
"0.87","5.988505747126437","2016","06","30"
"1.75","3.9771428571428573","2016","07","04"
"2.6","2.6769230769230767","2016","07","04"
"3.48","2.7471264367816093","2016","07","05"
"4.33","2.207852193995381","2016","07","05"
"3.48","3.0","2016","07","05"
"2.6","3.342307692307692","2016","07","05"
"0.87","8.977011494252872","2016","07","05"
"1.75","3.9771428571428573","2016","07","05"
"0.87","2.0114942528735633","2016","07","05"
"0.87","5.988505747126437","2016","07","05"
"2.6","2.6769230769230767","2016","07","08"
"0.87","6.988505747126437","2016","07","09"
"2.6","2.6769230769230767","2016","07","09"
"2.6","3.0038461538461534","2016","07","10"
"1.75","3.474285714285714","2016","07","10"
"1.75","2.9771428571428573","2016","07","10"
"2.6","2.3384615384615386","2016","07","10"
"2.6","2.3384615384615386","2016","07","10"
"1.75","2.9771428571428573","2016","07","10"
"0.87","4.977011494252873","2016","07","10"
"1.75","1.9885714285714287","2016","07","17"
"2.6","2.3384615384615386","2016","07","21"
"1.75","3.9771428571428573","2016","07","28"
"2.6","2.6769230769230767","2016","07","28"
"3.48","2.4971264367816093","2016","07","28"
"0.87","6.988505747126437","2016","07","29"
"1.75","2.9771428571428573","2016","08","03"
"3.48","2.7471264367816093","2016","08","03"
"3.48","3.244252873563218","2016","08","03"
"1.75","3.474285714285714","2016","08","04"
"3.48","2.4971264367816093","2016","08","11"
"1.75","4.965714285714285","2016","08","11"
"1.75","4.462857142857143","2016","08","11"
"1.75","3.474285714285714","2016","08","15"
"2.6","3.0038461538461534","2016","08","16"
"2.6","3.342307692307692","2016","08","16"
"2.6","3.0038461538461534","2016","08","16"
"1.75","3.474285714285714","2016","08","17"
"0.87","2.9885057471264367","2016","08","22"
"2.6","3.0038461538461534","2016","08","23"
"1.75","3.9771428571428573","2016","08","26"
"4.33","3.0069284064665127","2016","08","26"
"0.87","5.988505747126437","2016","08","29"
"0.87","4.0","2016","08","29"
"0.87","4.977011494252873","2016","08","31"
"1.75","3.474285714285714","2016","09","01"
"1.75","3.9771428571428573","2016","09","02"
"1.75","2.9771428571428573","2016","09","03"
"1.75","3.9771428571428573","2016","09","03"
"0.87","4.0","2016","09","04"
"1.75","2.474285714285714","2016","09","04"
"2.6","2.3384615384615386","2016","09","04"
"3.48","2.7471264367816093","2016","09","04"
"3.48","2.7471264367816093","2016","09","04"
"3.48","2.7471264367816093","2016","09","05"
"2.6","2.3384615384615386","2016","09","05"
"1.75","4.462857142857143","2016","09","05"
"3.48","2.244252873563218","2016","09","06"
"0.87","9.988505747126437","2016","09","06"
"2.6","4.015384615384615","2016","09","06"
"1.75","4.462857142857143","2016","09","06"
"2.6","2.6769230769230767","2016","09","07"
"2.6","3.342307692307692","2016","09","07"
"1.75","4.462857142857143","2016","09","07"
"6.08","2.713815789473684","2016","09","09"
"5.21","3.166986564299424","2016","09","10"
"6.08","2.5740131578947367","2016","09","10"
"3.48","3.244252873563218","2016","09","10"
"2.6","4.015384615384615","2016","09","10"
"1.75","2.474285714285714","2016","09","14"
"0.87","6.988505747126437","2016","09","16"
"0.87","2.9885057471264367","2016","09","19"
"0.87","5.988505747126437","2016","09","22"
"0.87","2.9885057471264367","2016","09","25"
"0.87","6.988505747126437","2016","09","26"
"2.6","2.6769230769230767","2016","09","27"
"0.87","2.9885057471264367","2016","09","29"
"0.87","5.988505747126437","2016","09","29"
"1.75","2.474285714285714","2016","09","30"
"0.87","4.0","2016","09","30"
"1.75","2.474285714285714","2016","10","01"
"0.87","8.0","2016","10","01"
"0.87","4.0","2016","10","02"
"1.75","3.9771428571428573","2016","10","03"
"0.87","4.0","2016","10","03"
"0.87","8.0","2016","10","04"
"0.87","2.0114942528735633","2016","10","05"
"0.87","4.977011494252873","2016","10","07"
"0.87","6.988505747126437","2016","10","07"
"0.87","5.988505747126437","2016","10","07"
"2.6","2.3384615384615386","2016","10","09"
"0.87","5.988505747126437","2016","10","14"
"1.75","2.474285714285714","2016","10","14"
"0.87","4.0","2016","10","15"
"1.75","3.9771428571428573","2016","10","20"
"0.87","8.977011494252872","2016","10","23"
"3.48","2.0","2016","10","23"
"0.87","2.9885057471264367","2016","10","24"
"0.87","6.988505747126437","2016","10","24"
"0.87","5.988505747126437","2016","10","25"
"1.75","2.474285714285714","2016","10","25"
"0.87","4.0","2016","10","25"
"2.6","2.003846153846154","2016","10","25"
"0.87","4.977011494252873","2016","10","25"
"1.75","1.9885714285714287","2016","10","26"
"1.75","2.474285714285714","2016","10","26"
"1.75","2.474285714285714","2016","10","26"
"2.6","2.003846153846154","2016","10","28"
"0.87","2.9885057471264367","2016","10","30"
"1.75","3.9771428571428573","2016","11","02"
"0.87","2.0114942528735633","2016","11","04"
"2.6","3.0038461538461534","2016","11","08"
"0.87","8.977011494252872","2016","11","11"
"0.87","6.988505747126437","2016","11","11"
"0.87","2.9885057471264367","2016","11","12"
"0.87","2.9885057471264367","2016","11","15"
"0.87","4.0","2016","11","16"
"0.87","2.9885057471264367","2016","11","17"
"2.6","1.6653846153846155","2016","11","17"
"1.75","2.9771428571428573","2016","11","17"
"2.6","2.003846153846154","2016","11","17"
"0.87","4.0","2016","11","17"
"0.87","4.0","2016","11","18"
"1.75","1.9885714285714287","2016","11","18"
"0.87","5.988505747126437","2016","11","19"
"1.75","2.9771428571428573","2016","11","19"
"2.6","2.003846153846154","2016","11","19"
"2.6","2.3384615384615386","2016","11","19"
"1.75","1.9885714285714287","2016","11","19"
"2.6","2.003846153846154","2016","11","20"
"0.87","5.988505747126437","2016","11","20"
"1.75","3.9771428571428573","2016","11","22"
"0.87","4.0","2016","11","22"
"0.87","6.988505747126437","2016","11","26"
"0.87","4.977011494252873","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"0.87","4.0","2016","11","26"
"0.87","4.0","2016","11","26"
"0.87","2.9885057471264367","2016","11","26"
"3.48","4.244252873563219","2016","12","02"
"6.08","3.5707236842105265","2016","12","03"
"1.75","8.44","2016","12","03"
"0.87","4.977011494252873","2016","12","05"
"0.87","4.0","2016","12","09"
"0.87","4.977011494252873","2016","12","09"
"0.87","2.9885057471264367","2016","12","09"
"0.87","4.0","2016","12","09"
"0.87","4.0","2016","12","09"
"1.75","1.9885714285714287","2016","12","09"
"0.87","6.988505747126437","2016","12","09"
"0.87","5.988505747126437","2016","12","09"
"1.75","2.474285714285714","2016","12","09"
"0.87","5.988505747126437","2016","12","09"
"1.75","2.474285714285714","2016","12","09"
"1.75","2.474285714285714","2016","12","09"
"0.87","4.977011494252873","2016","12","09"
"1.75","2.9771428571428573","2016","12","10"
"1.75","1.9885714285714287","2016","12","10"
"0.87","6.988505747126437","2016","12","10"
"1.75","4.462857142857143","2016","12","11"
"1.75","2.474285714285714","2016","12","12"
"0.87","4.977011494252873","2016","12","12"
"0.87","5.988505747126437","2016","12","15"
"0.87","5.988505747126437","2016","12","15"
"0.87","4.0","2016","12","15"
"1.75","2.474285714285714","2016","12","15"
"0.87","6.988505747126437","2016","12","15"
"0.87","5.988505747126437","2016","12","15"
"1.75","4.462857142857143","2016","12","15"
"1.75","2.474285714285714","2016","12","16"
"1.75","4.965714285714285","2016","12","19"
"2.6","2.3384615384615386","2016","12","19"
"3.48","2.4971264367816093","2016","12","19"
"3.48","2.7471264367816093","2016","12","19"
"3.48","2.4971264367816093","2016","12","19"
"2.6","3.342307692307692","2016","12","20"
"3.48","4.49712643678161","2016","12","21"
"4.33","2.41108545034642","2016","12","21"
"0.87","4.0","2016","12","26"
"6.08","3.7154605263157894","2016","12","27"
"5.21","4.335892514395393","2016","12","27"
"2.6","3.342307692307692","2016","12","27"
"4.33","2.41108545034642","2016","12","31"
"1.75","6.451428571428571","2016","12","31"
"0.87","8.977011494252872","2016","12","31"
"2.6","4.015384615384615","2017","01","01"
"3.48","2.4971264367816093","2017","01","01"
"1.75","3.9771428571428573","2017","01","01"
"0.87","5.988505747126437","2017","01","01"
"2.6","2.3384615384615386","2017","01","02"
"0.87","2.0114942528735633","2017","01","03"
"0.87","2.0114942528735633","2017","01","03"
"1.75","5.4628571428571435","2017","01","07"
"2.6","3.0038461538461534","2017","01","07"
