"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.61","2.6832298136645965","2016","06","15"
"1.09","5.935779816513761","2016","06","16"
"1.09","2.9816513761467887","2016","06","16"
"0.54","6.018518518518518","2016","06","19"
"1.09","4.954128440366972","2016","06","24"
"1.09","1.4770642201834863","2016","06","28"
"1.09","1.4770642201834863","2016","07","03"
"1.09","3.458715596330275","2016","07","20"
"1.09","1.4770642201834863","2016","07","23"
"1.09","2.9816513761467887","2016","07","23"
"0.54","2.0185185185185186","2016","07","28"
"0.54","2.0185185185185186","2016","07","28"
"1.61","3.018633540372671","2016","08","12"
"0.54","14.981481481481481","2016","08","26"
"0.54","11.981481481481481","2016","08","27"
"1.61","1.6770186335403727","2016","08","27"
"1.09","1.4770642201834863","2016","08","27"
"1.09","1.4770642201834863","2016","08","27"
"0.54","4.0","2016","08","27"
"0.54","5.0","2016","08","27"
"1.61","4.3602484472049685","2016","08","27"
"0.54","6.018518518518518","2016","08","28"
"1.61","2.0186335403726705","2016","08","28"
"1.09","4.458715596330276","2016","08","28"
"1.09","4.954128440366972","2016","08","29"
"1.09","4.954128440366972","2016","08","29"
"0.54","11.018518518518517","2016","08","29"
"1.09","2.477064220183486","2016","08","29"
"1.61","3.018633540372671","2016","08","29"
"0.54","6.018518518518518","2016","08","29"
"0.54","5.0","2016","09","01"
"1.09","2.9816513761467887","2016","09","09"
"1.09","1.9816513761467889","2016","09","14"
"0.54","5.0","2016","09","16"
"0.54","4.0","2016","09","16"
"1.09","3.458715596330275","2016","09","26"
"1.61","4.0186335403726705","2016","09","29"
"0.54","6.981481481481481","2016","09","30"
"0.54","4.0","2016","09","30"
"1.09","1.4770642201834863","2016","09","30"
"1.09","1.9816513761467889","2016","10","01"
"1.61","1.6770186335403727","2016","10","07"
"3.25","1.830769230769231","2016","10","07"
"0.54","5.0","2016","10","07"
"0.54","5.0","2016","10","07"
"1.09","1.9816513761467889","2016","10","07"
"0.54","2.9814814814814814","2016","10","14"
"1.61","5.024844720496894","2016","10","15"
"1.61","3.018633540372671","2016","10","22"
"0.54","6.018518518518518","2016","10","24"
"1.61","2.341614906832298","2016","10","24"
"0.54","6.981481481481481","2016","10","26"
"0.54","2.9814814814814814","2016","10","26"
"1.61","2.0186335403726705","2016","11","05"
"0.54","2.9814814814814814","2016","11","06"
"0.54","2.9814814814814814","2016","11","07"
"1.61","1.3416149068322982","2016","11","07"
"0.54","1.0","2016","11","07"
"1.09","1.4770642201834863","2016","11","07"
"1.09","2.477064220183486","2016","11","08"
"1.61","1.0","2016","11","08"
"1.61","1.6770186335403727","2016","11","08"
"1.61","1.6770186335403727","2016","11","08"
"0.54","5.0","2016","11","08"
"1.09","1.4770642201834863","2016","11","09"
"0.54","2.9814814814814814","2016","11","09"
"0.54","2.9814814814814814","2016","11","10"
"1.09","1.4770642201834863","2016","11","10"
"1.09","1.9816513761467889","2016","11","10"
"0.54","5.0","2016","11","10"
"0.54","2.9814814814814814","2016","11","10"
"0.54","6.018518518518518","2016","11","10"
"1.09","2.9816513761467887","2016","11","10"
"1.61","2.0186335403726705","2016","11","10"
"1.09","1.9816513761467889","2016","11","10"
"1.09","2.477064220183486","2016","11","10"
"0.54","2.0185185185185186","2016","11","10"
"0.54","2.0185185185185186","2016","11","11"
"0.54","2.0185185185185186","2016","11","11"
"0.54","2.0185185185185186","2016","11","11"
"0.54","5.0","2016","11","11"
"1.61","1.3416149068322982","2016","11","11"
"0.54","2.0185185185185186","2016","11","11"
"1.61","3.018633540372671","2016","11","11"
"1.09","1.9816513761467889","2016","11","11"
"1.09","1.4770642201834863","2016","11","12"
"0.54","2.9814814814814814","2016","11","12"
"0.54","2.0185185185185186","2016","11","12"
"1.09","2.477064220183486","2016","11","14"
"1.09","1.4770642201834863","2016","11","14"
"1.09","1.4770642201834863","2016","11","14"
"1.09","1.0","2016","11","14"
"1.09","1.4770642201834863","2016","11","14"
"0.54","4.0","2016","11","15"
"1.09","1.4770642201834863","2016","11","15"
"0.54","2.9814814814814814","2016","11","15"
"0.54","2.0185185185185186","2016","11","16"
"0.54","2.9814814814814814","2016","11","16"
"0.54","6.018518518518518","2016","11","18"
"0.54","2.0185185185185186","2016","11","18"
"0.54","4.0","2016","11","18"
