"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.61","3.3540372670807455","2016","06","02"
"2.16","2.9953703703703702","2016","06","02"
"3.77","2.5782493368700266","2016","06","02"
"2.7","3.6","2016","06","03"
"2.7","2.396296296296296","2016","06","03"
"2.7","2.7925925925925923","2016","06","03"
"3.77","2.2891246684350133","2016","06","05"
"1.09","2.9816513761467887","2016","06","08"
"2.16","3.4907407407407405","2016","06","09"
"0.54","2.9814814814814814","2016","06","09"
"0.54","6.981481481481481","2016","06","09"
"2.7","2.7925925925925923","2016","06","10"
"6.47","2.001545595054096","2016","06","11"
"0.54","15.981481481481483","2016","06","11"
"2.16","2.5","2016","06","13"
"1.09","5.935779816513761","2016","06","13"
"2.16","4.5","2016","06","13"
"4.32","2.75","2016","06","14"
"1.61","2.0186335403726705","2016","06","15"
"1.61","2.341614906832298","2016","06","15"
"0.54","1.0","2016","06","15"
"2.16","1.25","2016","06","16"
"1.61","1.3416149068322982","2016","06","16"
"0.54","2.9814814814814814","2016","06","16"
"1.61","1.6770186335403727","2016","06","16"
"1.09","1.9816513761467889","2016","06","16"
"2.16","1.25","2016","06","16"
"0.54","6.981481481481481","2016","06","17"
"2.7","1.8","2016","06","17"
"3.77","2.145888594164456","2016","06","17"
"4.86","3.331275720164609","2016","06","17"
"0.54","2.9814814814814814","2016","06","18"
"5.95","2.4504201680672266","2016","06","19"
"0.54","2.0185185185185186","2016","06","20"
"1.09","5.458715596330275","2016","06","23"
"3.25","2.990769230769231","2016","06","25"
"1.61","4.683229813664596","2016","06","26"
"1.09","1.0","2016","06","28"
"3.77","3.5782493368700266","2016","06","28"
"1.09","1.0","2016","06","29"
"3.77","1.5782493368700266","2016","06","29"
"1.61","3.018633540372671","2016","06","30"
"1.09","1.4770642201834863","2016","06","30"
"1.61","3.018633540372671","2016","06","30"
"1.09","4.458715596330276","2016","06","30"
"3.77","2.5782493368700266","2016","06","30"
"5.4","2.6999999999999997","2016","06","30"
"1.61","3.6956521739130435","2016","07","01"
"4.32","1.9976851851851853","2016","07","02"
"2.7","2.7925925925925923","2016","07","04"
"3.77","2.2891246684350133","2016","07","04"
"1.61","8.043478260869565","2016","07","05"
