Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
6.96,1.5,2016,6,6
3.48,2,2016,6,6
4.33,2.810623557,2016,6,6
6.08,2.001644737,2016,6,6
11.29,1.386182462,2016,6,8
5.21,2.335892514,2016,6,8
4.33,1.80369515,2016,6,8
7.81,1.224071703,2016,6,8
14.77,1.235612729,2016,6,8
19.98,1.348348348,2016,6,8
2.6,3.342307692,2016,6,10
4.33,1.404157044,2016,6,10
1.75,2.474285714,2016,6,10
4.33,1.404157044,2016,6,10
2.6,2.003846154,2016,6,10
0.87,5.988505747,2016,6,10
5.21,1.166986564,2016,6,10
7.81,1.558258643,2016,6,11
5.21,1.499040307,2016,6,12
11.29,1.694419841,2016,6,12
11.29,1.694419841,2016,6,12
10.44,2.497126437,2016,6,12
7.81,1.445582586,2016,6,12
11.29,1.15323295,2016,6,12
11.29,1.386182462,2016,6,12
6.08,1.717105263,2016,6,12
6.96,1.997126437,2016,6,12
5.21,1.834932821,2016,6,12
12.17,1.355792933,2016,6,12
6.96,1.748563218,2016,6,13
11.29,1.15323295,2016,6,13
12.17,1.85620378,2016,6,13
18.25,1.761643836,2016,6,13
13.02,1.401689708,2016,6,13
12.17,1.499589154,2016,6,13
6.08,2.429276316,2016,6,13
10.44,1.664750958,2016,6,13
11.29,1.461470328,2016,6,13
11.29,1.922940655,2016,6,13
11.29,2.00088574,2016,6,13
11.29,1.461470328,2016,6,13
10.44,1.58045977,2016,6,13
2.6,2.338461538,2016,6,14
1.75,3.474285714,2016,6,14
19.13,1.226346053,2016,6,14
17.38,1.20023015,2016,6,15
13.9,1.250359712,2016,6,15
8.69,1.898734177,2016,6,15
5.21,2.166986564,2016,6,15
8.69,1.498273878,2016,6,15
5.21,2.667946257,2016,6,15
2.6,5.007692308,2016,6,15
9.56,1.092050209,2016,6,15
13.02,1.267281106,2016,6,15
14.77,1.05958023,2016,6,15
11.29,1.308237378,2016,6,15
1.75,3.977142857,2016,6,15
1.75,3.474285714,2016,6,16
8.69,1.400460299,2016,6,20
0.87,10.98850575,2016,6,21
0.87,10.98850575,2016,6,21
1.75,3.977142857,2016,6,21
2.6,4.015384615,2016,6,23
4.33,1.80369515,2016,6,23
1.75,3.474285714,2016,6,23
9.56,1.180962343,2016,6,25
8.69,1.400460299,2016,6,25
9.56,1.544979079,2016,6,25
12.17,1.355792933,2016,6,25
9.56,1.453974895,2016,6,25
12.17,1.213640099,2016,6,25
8.69,1.498273878,2016,6,26
12.17,1.499589154,2016,6,26
7.81,1.558258643,2016,6,26
12.17,1.57189811,2016,6,26
13.02,1.267281106,2016,6,26
14.77,1.235612729,2016,6,26
13.02,1.469278034,2016,6,26
12.17,1.641741988,2016,6,26
10.44,1.664750958,2016,6,26
9.56,2.001046025,2016,6,26
6.08,1.717105263,2016,6,27
3.48,2,2016,7,1
2.6,3.342307692,2016,7,1
14.77,1.295192959,2016,7,2
13.9,1.437410072,2016,7,2
11.29,1.616474756,2016,7,2
9.56,1.908995816,2016,7,2
12.17,1.783894823,2016,7,2
9.56,2.001046025,2016,7,2
10.44,1.832375479,2016,7,2
14.77,1.469871361,2016,7,2
18.25,1.619178082,2016,7,2
17.38,1.649597238,2016,7,2
15.65,1.609584665,2016,7,2
17.38,1.70023015,2016,7,2
19.13,1.90747517,2016,7,2
17.38,2.048906789,2016,7,2
21.71,1.440810686,2016,7,2
17.38,1.749136939,2016,7,2
13.9,2.125899281,2016,7,2
16.5,1.526666667,2016,7,2
12.17,1.641741988,2016,7,2
10.44,1.748084291,2016,7,2
7.81,2.112676056,2016,7,3
8.69,1.599539701,2016,7,3
11.29,1.308237378,2016,7,3
11.29,1.308237378,2016,7,3
0.87,5.988505747,2016,7,3
1.75,4.462857143,2016,7,4
4.33,1.6073903,2016,7,6
6.08,1.284539474,2016,7,6
3.48,1.747126437,2016,7,6
3.48,1.747126437,2016,7,6
5.21,1.335892514,2016,7,6
1.75,2.977142857,2016,7,6
0.87,5.988505747,2016,7,6
2.6,2.676923077,2016,7,9
4.33,2.6073903,2016,7,9
7.81,1.558258643,2016,7,9
3.48,2.747126437,2016,7,9
1.75,3.977142857,2016,7,9
2.6,2.003846154,2016,7,9
2.6,2.676923077,2016,7,9
4.33,1.404157044,2016,7,9
5.21,1.335892514,2016,7,9
11.29,1.077945084,2016,7,9
6.08,2.286184211,2016,7,9
7.81,1.558258643,2016,7,9
