"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.94384","1.0","2013","05","18"
"1.94384","1.5","2013","05","23"
"0.97192","2.0","2013","05","24"
"1.94384","2.1","2013","05","24"
"1.94384","1.0","2013","05","25"
"1.94384","1.5","2013","05","25"
"1.94384","2.1","2013","05","26"
"2.91576","1.4","2013","05","26"
"1.94384","2.1","2013","05","27"
"2.91576","1.7333333333333332","2013","05","27"
"2.91576","1.0","2013","05","28"
"2.91576","2.733333333333333","2013","05","29"
"2.91576","1.0","2013","05","30"
"1.94384","1.0","2013","05","30"
"0.97192","2.0","2013","05","31"
"2.91576","1.4","2013","05","31"
"9.913584","2.823529411764706","2013","05","31"
"1.94384","2.1","2013","06","02"
"2.91576","1.4","2013","06","03"
"1.94384","1.0","2013","06","03"
"2.91576","1.7333333333333332","2013","06","05"
"4.082064","1.7142857142857144","2013","06","05"
"1.94384","1.5","2013","06","06"
"2.91576","2.066666666666667","2013","06","06"
"1.94384","1.5","2013","06","07"
"2.91576","2.066666666666667","2013","06","08"
"1.94384","1.5","2013","06","08"
"0.97192","3.0","2013","06","09"
"1.94384","1.5","2013","06","14"
"2.91576","1.4","2013","06","14"
"1.94384","1.5","2013","06","15"
"0.97192","3.0","2013","06","16"
"0.97192","2.0","2013","06","20"
"1.94384","2.1","2013","06","21"
"0.97192","2.0","2013","06","21"
"1.94384","1.5","2013","06","24"
"2.91576","1.0","2013","06","24"
"2.91576","1.4","2013","06","25"
"2.91576","1.0","2013","06","27"
"4.082064","1.0","2013","06","27"
"2.91576","1.7333333333333332","2013","06","27"
"0.97192","2.0","2013","06","28"
"0.97192","2.0","2013","06","28"
"1.94384","1.5","2013","07","04"
"4.082064","1.0","2013","07","04"
"1.94384","1.5","2013","07","06"
"4.082064","1.2380952380952381","2013","07","06"
"0.97192","3.0","2013","07","07"
"2.91576","1.7333333333333332","2013","07","09"
"5.053984","1.7692307692307692","2013","07","11"
"4.082064","2.1904761904761902","2013","07","11"
"1.94384","2.1","2013","07","13"
"1.94384","2.1","2013","07","13"
"8.941664","1.673913043478261","2013","07","13"
"0.97192","3.0","2013","07","14"
"4.082064","1.4761904761904763","2013","07","14"
"0.97192","2.0","2013","07","14"
"1.94384","1.5","2013","07","14"
"0.97192","2.0","2013","07","14"
"1.94384","1.5","2013","07","15"
"1.94384","3.1","2013","07","15"
"0.97192","3.0","2013","07","15"
"0.97192","2.0","2013","07","17"
"0.97192","2.0","2013","07","18"
"1.94384","2.6","2013","07","23"
"2.91576","1.4","2013","07","25"
"1.94384","1.5","2013","07","29"
"2.91576","1.4","2013","07","29"
"1.94384","1.5","2013","07","30"
"1.94384","1.5","2013","07","30"
"1.94384","1.5","2013","07","31"
"1.94384","2.1","2013","07","31"
"4.082064","1.4761904761904763","2013","08","01"
"4.082064","1.4761904761904763","2013","08","02"
"5.053984","1.3846153846153848","2013","08","03"
"6.025904000000001","1.6451612903225805","2013","08","05"
"1.94384","1.5","2013","08","07"
