"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.16","14.3125","2016","11","26"
"0.16","18.25","2016","11","28"
"1.36","5.272058823529411","2016","11","29"
"0.86","5.604651162790698","2016","11","30"
"0.58","6.4655172413793105","2016","11","30"
"0.06","25.333333333333336","2016","12","01"
"0.19","13.105263157894738","2016","12","01"
"0.35","9.285714285714286","2016","12","01"
"0.23","8.782608695652174","2016","12","02"
"0.64","6.343749999999999","2016","12","03"
"0.74","3.675675675675676","2016","12","03"
"0.72","5.208333333333334","2016","12","03"
"0.45","9.155555555555555","2016","12","03"
"0.04","23.75","2016","12","28"
"0.06","19.166666666666664","2016","12","28"
"0.06","24.333333333333332","2016","12","31"
"0.17","8.941176470588236","2017","01","01"
"0.06","15.833333333333334","2017","01","01"
"0.02","28.000000000000004","2017","01","01"
"0.12","13.250000000000002","2017","01","01"
"0.1","28.599999999999998","2017","01","01"
"0.1","13.2","2017","01","01"
"0.06","14.833333333333334","2017","01","01"
"0.04","31.5","2017","01","01"
"0.25","10.64","2017","01","02"
"0.1","13.2","2017","01","02"
"0.19","11.368421052631579","2017","01","02"
"0.06","20.166666666666668","2017","01","02"
"0.02","25.5","2017","01","04"
"0.02","28.000000000000004","2017","01","04"
"0.19","9.0","2017","01","05"
"0.21","10.0","2017","01","05"
"0.84","4.630952380952381","2017","01","08"
"0.8","4.5375","2017","01","09"
"0.04","11.25","2017","01","12"
"0.04","15.5","2017","01","12"
"0.06","13.333333333333334","2017","01","12"
"0.02","21.5","2017","01","12"
"0.08","9.75","2017","01","12"
"0.14","7.07142857142857","2017","01","12"
"0.16","6.1875","2017","01","12"
"0.16","6.5625","2017","01","12"
"0.12","8.416666666666668","2017","01","13"
"0.08","11.625","2017","01","13"
"0.06","14.833333333333334","2017","01","13"
"0.12","12.166666666666666","2017","01","13"
"0.27","5.333333333333333","2017","01","13"
"0.12","8.416666666666668","2017","01","13"
"0.41","5.024390243902439","2017","01","13"
"0.47","5.340425531914893","2017","01","13"
"0.72","2.5694444444444446","2017","01","14"
"0.52","3.25","2017","01","14"
"0.47","2.978723404255319","2017","01","14"
"0.29","4.9655172413793105","2017","01","14"
"0.39","4.794871794871795","2017","01","15"
"0.58","3.3793103448275863","2017","01","15"
"0.54","3.092592592592592","2017","01","15"
"0.76","4.039473684210526","2017","01","15"
"0.49","4.285714285714286","2017","01","15"
"0.23","5.391304347826087","2017","01","15"
"0.33","3.7575757575757573","2017","01","15"
"0.39","3.846153846153846","2017","01","16"
"0.17","11.294117647058822","2017","01","16"
"0.66","3.7121212121212124","2017","01","16"
"0.6","2.6833333333333336","2017","01","16"
"0.7","3.3285714285714287","2017","01","16"
"0.54","4.814814814814815","2017","01","16"
"0.76","2.8421052631578947","2017","01","16"
"0.04","22.25","2017","01","16"
"0.56","4.857142857142857","2017","01","16"
"0.8","2.725","2017","01","17"
"0.17","5.705882352941176","2017","01","19"
"0.17","4.705882352941177","2017","01","19"
"0.06","23.666666666666668","2017","01","20"
"1.92","1.9739583333333335","2017","01","21"
"0.47","4.765957446808511","2017","01","22"
"0.1","9.3","2017","01","24"
"0.31","3.3870967741935485","2017","01","24"
"0.35","5.171428571428572","2017","01","25"
"0.56","3.6071428571428568","2017","01","25"
"0.37","5.9459459459459465","2017","01","25"
"0.33","4.999999999999999","2017","01","25"
"0.35","4.285714285714286","2017","01","25"
"0.56","3.7857142857142856","2017","01","25"
"0.37","4.837837837837838","2017","01","25"
"0.29","7.241379310344828","2017","01","26"
"0.37","4.783783783783784","2017","01","26"
"0.16","5.25","2017","01","26"
"0.23","7.608695652173913","2017","01","26"
"0.37","4.783783783783784","2017","01","26"
"0.45","4.711111111111111","2017","01","26"
"0.37","4.783783783783784","2017","01","27"
"0.39","3.3846153846153846","2017","01","27"
"0.37","5.297297297297297","2017","01","27"
"1.01","3.267326732673267","2017","01","27"
"0.87","4.620689655172414","2017","01","27"
"0.72","3.5972222222222223","2017","01","27"
"0.82","2.6097560975609757","2017","01","27"
"0.37","4.351351351351352","2017","01","27"
"0.64","2.546875","2017","01","28"
"0.27","6.62962962962963","2017","02","05"
"0.64","4.953125","2017","02","05"
"0.04","15.0","2017","02","08"
"0.04","27.25","2017","02","09"
"0.02","12.5","2017","02","09"
"0.02","11.5","2017","02","10"
"0.45","3.888888888888889","2017","02","11"
"0.39","3.282051282051282","2017","02","11"
"0.12","8.916666666666668","2017","02","11"
"0.37","7.351351351351352","2017","02","11"
"0.47","4.127659574468085","2017","02","11"
"0.8","3.2124999999999995","2017","02","11"
"0.29","10.310344827586208","2017","02","11"
"0.45","3.1555555555555554","2017","02","13"
"0.68","3.3970588235294117","2017","02","13"
"0.58","2.810344827586207","2017","02","14"
"0.54","3.6666666666666665","2017","02","14"
"0.29","4.620689655172415","2017","02","14"
"0.35","4.885714285714286","2017","02","14"
"0.21","7.428571428571429","2017","02","14"
"0.51","3.725490196078431","2017","02","14"
"0.39","4.589743589743589","2017","02","14"
"0.49","2.653061224489796","2017","02","14"
"0.25","6.0","2017","02","16"
"0.16","7.312499999999999","2017","02","16"
"0.1","8.7","2017","02","16"
"0.17","7.117647058823529","2017","02","16"
"0.23","6.521739130434782","2017","02","16"
"0.08","8.25","2017","02","17"
"0.02","20.5","2017","02","17"
"0.12","7.25","2017","02","21"
"0.04","10.25","2017","02","21"
