"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.54","6.018518518518518","2016","06","05"
"1.61","1.6770186335403727","2016","06","05"
"2.7","1.3962962962962961","2016","06","05"
"2.7","1.3962962962962961","2016","06","05"
"1.61","2.341614906832298","2016","06","05"
"14.03","1.422665716322167","2016","06","07"
"1.61","1.3416149068322982","2016","06","08"
"2.16","1.25","2016","06","08"
"0.54","4.0","2016","06","16"
"4.32","1.125","2016","06","22"
"1.61","1.6770186335403727","2016","06","22"
"3.25","1.16","2016","06","22"
"0.54","2.9814814814814814","2016","06","22"
"0.54","2.9814814814814814","2016","06","22"
"2.16","1.5046296296296295","2016","06","23"
"5.4","1.198148148148148","2016","06","23"
"7.02","1.2293447293447295","2016","06","23"
"1.61","2.0186335403726705","2016","06","28"
"5.4","1.1018518518518519","2016","06","28"
"2.7","1.2037037037037037","2016","06","28"
"2.16","1.5046296296296295","2016","06","28"
"3.25","1.16","2016","06","28"
"2.16","1.25","2016","06","28"
"5.4","1.1018518518518519","2016","06","28"
"1.61","1.6770186335403727","2016","06","29"
"3.25","1.16","2016","06","29"
"3.77","1.2891246684350133","2016","06","29"
"2.16","1.5046296296296295","2016","06","29"
"3.25","1.3292307692307692","2016","06","29"
"2.16","1.25","2016","06","29"
"2.7","1.3962962962962961","2016","06","29"
"5.95","1.2672268907563025","2016","06","29"
"1.09","1.4770642201834863","2016","06","30"
"1.09","1.4770642201834863","2016","07","01"
"2.7","1.2037037037037037","2016","07","08"
"5.4","1.1018518518518519","2016","07","11"
"3.77","1.4323607427055705","2016","07","11"
"5.95","1.0873949579831932","2016","07","11"
"5.95","1.2672268907563025","2016","07","11"
"2.7","1.3962962962962961","2016","07","12"
"1.09","2.477064220183486","2016","07","12"
"1.09","2.477064220183486","2016","07","12"
"5.4","1.598148148148148","2016","07","12"
"1.09","5.935779816513761","2016","07","16"
"5.4","1.198148148148148","2016","07","16"
"4.86","1.1111111111111112","2016","07","18"
"5.4","1.1018518518518519","2016","07","18"
"4.32","1.25","2016","07","18"
"3.25","1.16","2016","07","18"
"4.86","1.1111111111111112","2016","07","18"
"2.7","1.3962962962962961","2016","07","18"
"4.32","1.25","2016","07","19"
"2.16","1.7453703703703702","2016","08","13"
"2.7","1.3962962962962961","2016","08","21"
"4.32","1.25","2016","08","21"
"3.77","1.2891246684350133","2016","08","21"
"2.16","1.25","2016","08","21"
"3.25","1.16","2016","08","21"
"14.03","1.1931575196008553","2016","08","24"
"1.09","1.4770642201834863","2016","09","04"
"4.86","1.2242798353909465","2016","09","04"
"1.61","1.0","2016","09","04"
"0.54","2.9814814814814814","2016","09","04"
"1.09","1.9816513761467889","2016","09","04"
"2.7","1.2037037037037037","2016","09","04"
"5.4","1.3962962962962961","2016","09","04"
"6.47","1.1653786707882536","2016","09","04"
"1.09","1.4770642201834863","2016","09","13"
"1.61","1.0","2016","09","15"
"3.25","1.4953846153846155","2016","09","17"
"1.09","1.9816513761467889","2016","09","17"
"0.54","2.9814814814814814","2016","09","19"
"0.54","8.0","2016","09","19"
"2.16","1.25","2016","09","19"
"1.61","2.0186335403726705","2016","09","20"
"1.61","1.3416149068322982","2016","09","20"
"3.25","1.6615384615384616","2016","09","22"
"6.47","1.3338485316846989","2016","09","22"
"3.77","1.4323607427055705","2016","09","23"
"1.61","1.6770186335403727","2016","09","26"
"4.32","1.25","2016","09","26"
"2.7","1.0","2016","09","28"
"3.77","1.5782493368700266","2016","09","28"
"1.61","2.0186335403726705","2016","09","28"
"2.16","1.25","2016","09","29"
"1.09","1.9816513761467889","2016","09","29"
"2.16","1.25","2016","09","29"
"1.61","1.6770186335403727","2016","09","29"
"1.09","1.4770642201834863","2016","09","29"
"0.54","2.0185185185185186","2016","09","29"
"1.09","2.9816513761467887","2016","10","02"
"1.61","1.6770186335403727","2016","10","02"
"0.54","2.0185185185185186","2016","10","02"
"2.7","1.8","2016","10","02"
"4.86","1.2242798353909465","2016","10","02"
"3.25","2.32","2016","10","02"
