"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.7","1.2037037037037037","2016","06","03"
"2.16","2.9953703703703702","2016","06","03"
"1.09","2.9816513761467887","2016","06","05"
"1.09","2.477064220183486","2016","06","05"
"2.7","2.2037037037037037","2016","06","09"
"8.09","1.400494437577256","2016","06","09"
"9.72","1.5","2016","06","09"
"7.02","1.7663817663817665","2016","06","09"
"6.47","1.9165378670788256","2016","06","09"
"9.72","1.5","2016","06","09"
"9.72","1.2222222222222223","2016","06","09"
"8.09","1.5327564894932015","2016","06","09"
"9.17","1.529989094874591","2016","06","09"
"3.25","2.32","2016","06","14"
"1.61","2.341614906832298","2016","06","14"
"3.25","2.6553846153846155","2016","06","16"
"7.54","1.6445623342175066","2016","06","16"
"0.54","16.98148148148148","2016","06","16"
"4.32","2.622685185185185","2016","06","16"
"3.77","2.5782493368700266","2016","06","16"
"7.02","1.6923076923076925","2016","06","16"
"8.09","1.5327564894932015","2016","06","16"
"8.63","1.500579374275782","2016","06","16"
"5.95","1.6336134453781512","2016","06","16"
"6.47","1.751159196290572","2016","06","16"
"3.25","2.32","2016","06","19"
"2.16","1.7453703703703702","2016","06","21"
"0.54","2.0185185185185186","2016","06","22"
"4.86","1.7757201646090535","2016","06","22"
"4.32","2.122685185185185","2016","06","22"
"3.77","2.2891246684350133","2016","06","22"
"2.16","2.7546296296296293","2016","06","23"
"2.7","1.8","2016","06","23"
"1.09","1.4770642201834863","2016","06","28"
"1.09","1.4770642201834863","2016","07","03"
"1.09","4.954128440366972","2016","07","09"
"3.77","1.5782493368700266","2016","07","09"
"1.61","6.037267080745342","2016","07","13"
"6.47","1.582689335394127","2016","07","13"
"4.86","2.2201646090534974","2016","07","17"
"3.25","2.6553846153846155","2016","07","18"
"1.61","1.6770186335403727","2016","08","15"
"1.61","3.6956521739130435","2016","08","23"
"5.4","1.3962962962962961","2016","08","26"
"0.54","4.0","2016","09","03"
"4.32","1.3773148148148147","2016","09","13"
"0.54","4.0","2016","09","15"
"0.54","2.0185185185185186","2016","09","15"
"0.54","2.0185185185185186","2016","09","19"
"1.61","1.6770186335403727","2016","09","20"
"1.61","2.0186335403726705","2016","09","23"
"2.7","2.0","2016","09","28"
"3.25","1.4953846153846155","2016","09","28"
"2.7","1.6","2016","09","28"
"1.09","2.477064220183486","2016","10","09"
"0.54","5.0","2016","10","12"
"1.61","2.0186335403726705","2016","10","12"
"2.16","2.25","2016","10","12"
"0.54","4.0","2016","10","18"
"1.09","2.477064220183486","2016","10","18"
"1.09","1.4770642201834863","2016","10","31"
"1.09","3.458715596330275","2016","11","14"
"1.09","4.458715596330276","2016","11","15"
"1.61","1.3416149068322982","2016","11","25"
"1.09","2.9816513761467887","2016","11","30"
"1.61","1.3416149068322982","2016","12","03"
"3.25","1.9907692307692306","2017","02","08"
"5.4","1.598148148148148","2017","02","08"
"7.02","1.3846153846153848","2017","02","09"
"0.54","9.0","2017","02","11"
"1.09","5.935779816513761","2017","02","16"
"0.54","6.981481481481481","2017","02","22"
"8.63","1.3128621089223638","2017","02","27"
"5.95","1.9966386554621849","2017","02","27"
"9.17","1.2955288985823339","2017","02","27"
"5.95","1.6336134453781512","2017","02","27"
"0.54","5.0","2017","02","28"
"1.09","1.9816513761467889","2017","10","23"
"1.61","2.6832298136645965","2017","10","25"
"8.09","1.4684796044499384","2018","10","04"
"6.47","1.751159196290572","2018","10","04"
"3.25","2.6553846153846155","2018","10","11"
"0.54","2.9814814814814814","2018","10","26"
"0.54","6.981481481481481","2018","10","31"
"3.25","1.6615384615384616","2018","11","09"
"3.25","1.9907692307692306","2018","11","09"
"5.95","1.9042016806722688","2018","11","09"
"0.54","4.0","2018","11","14"
