"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.78","1.6192468619246863","2018","06","01"
"4.18","1.8086124401913877","2018","06","01"
"6.34","1.3312302839116719","2018","06","01"
"7.66","1.3172323759791122","2018","06","01"
"6.86","1.4314868804664722","2018","06","02"
"7.13","1.4361851332398317","2018","06","02"
"7.04","1.4190340909090908","2018","06","02"
"6.16","1.4107142857142856","2018","06","02"
"5.38","1.4386617100371748","2018","06","02"
"2.53","2.059288537549407","2018","06","02"
"6.69","2.312406576980568","2018","06","02"
"13.82","1.264833574529667","2018","06","02"
"12.69","1.424743892828999","2018","06","02"
"11.22","1.409982174688057","2018","06","02"
"10.34","1.4458413926499032","2018","06","02"
"6.08","1.5148026315789476","2018","06","02"
"5.66","1.2915194346289751","2018","06","02"
"5.13","1.3372319688109162","2018","06","02"
"3.48","1.4454022988505748","2018","06","02"
"3.38","1.3846153846153846","2018","06","02"
"3.03","1.3795379537953796","2018","06","02"
"2.18","1.7935779816513762","2018","06","02"
"4.0","1.8475","2018","06","02"
"5.81","1.2719449225473323","2018","06","02"
"5.13","1.3898635477582846","2018","06","02"
"8.26","1.2736077481840193","2018","06","02"
"7.66","1.5430809399477807","2018","06","02"
"4.68","1.893162393162393","2018","06","02"
"7.39","1.293640054127199","2018","06","03"
"6.61","1.3797276853252645","2018","06","03"
"5.31","1.6365348399246704","2018","06","03"
"4.43","1.7065462753950338","2018","06","03"
"3.13","1.4728434504792334","2018","06","03"
"3.38","1.3106508875739644","2018","06","03"
"2.25","1.9688888888888887","2018","06","03"
"1.75","1.7885714285714285","2018","06","03"
"3.38","1.7485207100591718","2018","06","03"
"2.43","2.3580246913580245","2018","06","03"
"2.0","1.915","2018","06","03"
"3.23","1.4024767801857585","2018","06","03"
"3.91","1.3759590792838874","2018","06","03"
"3.03","1.5445544554455446","2018","06","03"
"2.1","1.6952380952380952","2018","06","03"
"3.3","1.4787878787878788","2018","06","03"
"3.23","1.721362229102167","2018","06","03"
"3.03","1.834983498349835","2018","06","03"
"4.96","1.473790322580645","2018","06","03"
"6.01","1.7038269550748752","2018","06","03"
"5.03","1.7077534791252484","2018","06","03"
"5.21","1.6871401151631475","2018","06","03"
"6.01","1.795341098169717","2018","06","03"
"5.73","1.713787085514834","2018","06","03"
"6.43","1.4992223950233283","2018","06","04"
"7.74","1.503875968992248","2018","06","04"
"7.99","1.350438047559449","2018","06","04"
"7.66","1.2819843342036554","2018","06","04"
"6.86","1.2303206997084546","2018","06","04"
"6.69","1.4932735426008967","2018","06","04"
"5.56","1.341726618705036","2018","06","04"
"4.96","1.3487903225806452","2018","06","04"
"3.56","1.8061797752808988","2018","06","04"
"2.95","1.2372881355932202","2018","06","04"
"2.25","1.9688888888888887","2018","06","04"
"1.75","2.1314285714285712","2018","06","04"
"0.7","2.357142857142857","2018","06","04"
"0.78","2.1153846153846154","2018","06","04"
"0.78","2.2435897435897436","2018","06","04"
"1.75","1.7885714285714285","2018","06","04"
"3.65","1.6657534246575343","2018","06","04"
"3.83","1.516971279373368","2018","06","04"
"4.0","1.8475","2018","06","04"
"3.91","1.6649616368286444","2018","06","04"
"3.23","1.6439628482972135","2018","06","04"
"4.53","1.4768211920529801","2018","06","04"
"6.01","1.1414309484193013","2018","06","04"
"5.91","1.1912013536379018","2018","06","04"
"4.61","1.6182212581344901","2018","06","05"
"4.26","1.3286384976525822","2018","06","05"
"4.33","1.3648960739030023","2018","06","05"
"5.46","1.2893772893772895","2018","06","05"
"4.88","1.4057377049180328","2018","06","05"
"3.83","1.3864229765013054","2018","06","05"
