"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.23","1.6439628482972135","2018","06","04"
"1.83","3.5573770491803276","2018","06","06"
"3.23","2.287925696594427","2018","06","07"
"2.43","2.0411522633744856","2018","06","11"
"2.6","2.6076923076923078","2018","06","12"
"1.9","2.7","2018","06","15"
"2.78","2.1870503597122304","2018","06","15"
"2.68","2.335820895522388","2018","06","15"
"3.3","1.9212121212121214","2018","06","15"
"3.03","1.9834983498349836","2018","06","16"
"2.35","2.4723404255319146","2018","06","16"
"2.78","1.8093525179856118","2018","06","16"
"1.65","2.0","2018","06","16"
"1.56","1.891025641025641","2018","06","16"
"5.46","1.7655677655677657","2018","06","18"
"1.56","2.0064102564102564","2018","06","19"
"2.88","1.8958333333333335","2018","06","19"
"5.31","1.928436911487759","2018","06","21"
"3.3","1.8424242424242425","2018","06","21"
"2.68","1.9813432835820892","2018","06","22"
"3.56","1.9775280898876404","2018","06","22"
"2.35","2.1106382978723404","2018","06","24"
"4.08","1.8284313725490196","2018","06","26"
"5.38","1.3736059479553904","2018","06","26"
"1.56","2.391025641025641","2018","06","29"
"2.0","2.605","2018","06","30"
"0.87","2.413793103448276","2018","06","30"
"1.9","1.8315789473684212","2018","07","07"
"1.05","2.4761904761904763","2018","07","25"
"1.05","4.314285714285714","2018","07","25"
"3.48","1.7701149425287357","2018","07","25"
"4.33","1.907621247113164","2018","07","25"
"2.6","2.542307692307692","2018","07","26"
"2.1","2.5285714285714285","2018","07","26"
"2.78","1.683453237410072","2018","07","27"
"2.35","1.8127659574468082","2018","08","05"
"3.83","1.8172323759791122","2018","08","05"
"2.43","1.6790123456790123","2018","08","17"
"2.88","2.0520833333333335","2018","08","17"
"2.95","2.1220338983050846","2018","08","19"
"1.3","3.946153846153846","2018","08","23"
"2.1","1.738095238095238","2018","08","24"
"2.0","1.955","2018","08","29"
"3.13","1.5591054313099042","2018","08","29"
"2.43","2.1440329218106995","2018","08","31"
"4.0","1.715","2018","09","03"
"4.53","1.3818984547461368","2018","09","05"
"1.48","2.756756756756757","2018","09","07"
"3.3","2.396969696969697","2018","09","09"
"2.6","2.069230769230769","2018","09","10"
"1.75","2.9771428571428573","2018","09","10"
"3.13","1.7188498402555912","2018","09","12"
"0.87","2.908045977011494","2018","09","12"
"1.9","2.515789473684211","2018","09","14"
"1.4","2.542857142857143","2018","09","14"
"2.6","2.4730769230769227","2018","09","16"
"2.95","1.7661016949152541","2018","09","19"
"2.6","2.003846153846154","2018","09","29"
"2.0","2.305","2018","10","02"
"1.05","3.076190476190476","2018","10","02"
"2.0","2.605","2018","10","08"
"4.53","2.509933774834437","2018","10","20"
"2.78","1.8741007194244605","2018","10","20"
"1.75","2.474285714285714","2018","10","20"
"1.75","2.6342857142857143","2018","10","20"
"2.35","4.506382978723404","2018","10","20"
"4.61","2.281995661605206","2018","10","30"
"4.53","4.1633554083885205","2018","12","12"
"4.26","2.915492957746479","2018","12","13"
"7.04","2.059659090909091","2018","12","13"
"3.56","3.713483146067416","2018","12","28"
"3.13","3.0000000000000004","2018","12","28"
"1.83","3.092896174863388","2019","01","25"
"1.75","2.531428571428571","2019","02","16"
"2.25","2.048888888888889","2019","02","16"
"2.43","1.897119341563786","2019","02","22"
"1.65","2.684848484848485","2019","02","24"
"1.3","2.7384615384615385","2019","02","24"
"3.56","1.8792134831460674","2019","02","28"
"0.95","2.663157894736842","2019","03","01"
"2.0","2.265","2019","03","02"
"2.43","2.0411522633744856","2019","03","03"
"3.03","1.7755775577557757","2019","03","03"
"2.68","2.0373134328358207","2019","03","04"
"3.3","1.8424242424242425","2019","03","07"
"2.43","2.1440329218106995","2019","03","08"
"3.83","1.8172323759791122","2019","03","12"
"2.43","2.213991769547325","2019","03","12"
"2.43","1.9259259259259256","2019","03","24"
"3.48","1.7701149425287357","2019","03","24"
"2.68","1.6156716417910446","2019","03","24"
"2.43","1.8641975308641976","2019","03","25"
"2.78","1.8093525179856118","2019","03","27"
"2.68","2.0373134328358207","2019","03","27"
"2.25","2.1244444444444444","2019","03","31"
"3.73","1.67828418230563","2019","03","31"
"3.23","1.588235294117647","2019","04","01"
"3.65","1.473972602739726","2019","04","01"
"2.6","2.542307692307692","2019","04","04"
"4.88","2.098360655737705","2019","04","06"
"4.43","1.5711060948081266","2019","04","06"
"3.83","1.516971279373368","2019","04","17"
"4.0","1.715","2019","04","28"
"4.61","1.6789587852494576","2019","04","28"
"3.23","1.7739938080495357","2019","05","05"
"4.0","1.7825","2019","05","10"
"2.53","1.5454545454545456","2019","05","10"
"2.95","2.0033898305084743","2019","05","16"
"1.65","1.8363636363636364","2019","05","18"
"1.05","3.076190476190476","2019","05","18"
"1.48","1.9932432432432434","2019","05","18"
"3.13","2.2779552715654954","2019","05","24"
"3.03","2.3795379537953796","2019","05","24"
"4.08","1.534313725490196","2019","05","25"
"3.73","1.9329758713136729","2019","05","26"
"2.43","1.5020576131687242","2019","05","27"
"1.22","2.483606557377049","2019","05","27"
"3.48","1.9482758620689655","2019","05","28"
"1.4","1.9142857142857146","2019","05","28"
"1.48","2.114864864864865","2019","05","28"
"2.0","2.34","2019","05","28"
"2.25","1.9244444444444444","2019","05","28"
"2.53","2.158102766798419","2019","05","30"
"3.56","1.491573033707865","2019","05","31"
"2.95","2.088135593220339","2019","05","31"
"1.05","4.552380952380952","2019","05","31"
"1.75","3.12","2019","05","31"
"2.68","2.298507462686567","2019","05","31"
"2.88","2.8958333333333335","2019","06","01"
"2.35","1.9617021276595745","2019","06","01"
"2.43","1.6790123456790123","2019","06","01"
"4.18","1.6650717703349283","2019","06","02"
"2.88","1.625","2019","06","05"
"2.6","2.1","2019","06","13"
"2.25","2.2044444444444444","2019","06","18"
"0.95","2.5578947368421057","2019","06","18"
"2.78","1.5575539568345325","2019","06","28"
"2.43","1.4650205761316872","2019","06","28"
"2.43","2.213991769547325","2019","06","28"
"4.78","1.4728033472803346","2019","06","29"
"4.88","1.3176229508196722","2019","06","29"
"3.23","1.6439628482972135","2019","07","03"
"1.3","2.4846153846153847","2019","07","05"
"3.73","1.584450402144772","2019","07","09"
"2.53","1.683794466403162","2019","07","13"
"2.95","2.088135593220339","2019","07","14"
"4.61","1.4121475054229933","2019","07","24"
"2.25","2.2044444444444444","2019","07","24"
"1.75","3.32","2019","08","09"
"3.03","1.834983498349835","2019","08","09"
"2.25","1.6222222222222222","2019","08","12"
"1.75","1.9885714285714287","2019","08","15"
"3.48","1.7701149425287357","2019","08","16"
"3.91","1.5754475703324808","2019","08","16"
"3.13","2.0798722044728435","2019","08","16"
"1.9","2.057894736842105","2019","08","16"
"2.6","2.4076923076923076","2019","08","18"
"2.88","1.8958333333333335","2019","08","18"
"4.61","1.5639913232104121","2019","08","18"
"2.68","2.335820895522388","2019","08","19"
"2.43","2.502057613168724","2019","08","19"
"2.18","2.238532110091743","2019","08","19"
"2.95","1.8847457627118642","2019","08","27"
"2.68","1.9813432835820892","2019","08","28"
"0.87","3.310344827586207","2019","08","30"
"3.48","1.8218390804597702","2019","09","01"
"2.6","2.1384615384615384","2019","09","06"
"3.56","1.9269662921348316","2019","09","08"
"3.3","3.5060606060606063","2019","09","19"
"0.35","6.428571428571429","2019","09","19"
"3.13","3.913738019169329","2019","09","21"
"1.48","4.162162162162162","2019","09","25"
"0.43","5.465116279069767","2019","09","25"
"3.3","2.8454545454545457","2019","10","01"
"2.0","1.865","2019","10","06"
"5.91","2.1912013536379016","2019","10","06"
"3.65","2.715068493150685","2019","10","06"
"3.38","2.881656804733728","2019","10","06"
"3.23","2.8235294117647056","2019","10","12"
"0.7","3.0000000000000004","2019","10","14"
"1.4","2.3071428571428574","2019","11","02"
"3.03","2.5280528052805282","2019","11","11"
"4.0","3.6925","2019","11","23"
"2.95","2.861016949152542","2019","11","26"
"4.26","3.8568075117370895","2019","12","02"
"4.08","2.9166666666666665","2019","12","02"
"2.95","3.2677966101694915","2019","12","03"
"2.18","3.3899082568807337","2019","12","06"
"3.3","1.9484848484848485","2019","12","27"
"3.91","1.89002557544757","2019","12","27"
"4.08","2.6200980392156863","2019","12","27"
"8.51","2.3795534665099884","2020","01","29"
"7.21","2.4701803051317612","2020","01","29"
"8.26","2.3038740920096856","2020","01","29"
"5.46","2.9761904761904763","2020","01","30"
"3.03","2.006600660066007","2020","02","21"
"2.88","2.5659722222222223","2020","02","21"
"5.31","2.3578154425612055","2020","02","21"
"2.78","1.9640287769784175","2020","03","02"
"3.38","1.822485207100592","2020","03","02"
"4.61","2.0911062906724514","2020","03","05"
"2.78","1.910071942446043","2020","03","12"
"2.95","2.03728813559322","2020","03","13"
"2.78","2.161870503597122","2020","03","22"
"3.23","1.7987616099071206","2020","03","26"
"4.78","1.6192468619246863","2020","03","27"
"1.65","2.533333333333333","2020","03","27"
"3.3","1.5545454545454547","2020","03","27"
"3.73","1.8873994638069704","2020","03","29"
"1.22","3.057377049180328","2020","03","30"
"2.0","2.39","2020","03","31"
"3.3","2.1090909090909093","2020","04","04"
"1.75","1.9314285714285713","2020","04","06"
"9.56","1.9905857740585775","2020","04","09"
"3.48","2.7988505747126435","2020","04","09"
"3.91","2.4654731457800514","2020","04","09"
"3.73","1.6997319034852547","2020","04","10"
"1.13","2.300884955752213","2020","04","12"
"2.68","2.335820895522388","2020","04","14"
"3.3","1.6303030303030304","2020","04","22"
"1.05","2.9809523809523806","2020","04","26"
