"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","1.4857142857142858","2016","07","02"
"0.87","5.988505747126437","2016","07","02"
"4.33","1.0","2016","07","02"
"0.87","2.9885057471264367","2016","07","02"
"1.75","1.9885714285714287","2016","07","09"
"2.6","1.3384615384615384","2016","07","20"
"5.21","1.0","2016","07","23"
"6.96","1.2485632183908046","2016","07","23"
"8.69","1.0","2016","07","23"
"6.96","1.2485632183908046","2016","07","23"
"2.6","2.3384615384615386","2016","07","23"
"7.81","1.0","2016","07","23"
"7.81","1.0","2016","07","23"
"1.75","1.9885714285714287","2016","07","24"
"6.08","1.144736842105263","2016","07","24"
"4.33","1.0","2016","07","24"
"6.96","1.0","2016","07","24"
"1.75","2.9771428571428573","2016","07","24"
"2.6","2.003846153846154","2016","07","24"
"0.87","4.977011494252873","2016","07","25"
"0.87","2.0114942528735633","2016","07","26"
"0.87","2.0114942528735633","2016","07","29"
"0.87","1.0","2016","07","29"
"0.87","1.0","2016","08","13"
"3.48","1.2442528735632183","2016","08","13"
"0.87","4.0","2016","08","13"
"1.75","2.9771428571428573","2016","08","13"
"2.6","1.0","2016","08","14"
"4.33","2.0069284064665127","2016","08","14"
"3.48","1.2442528735632183","2016","08","14"
"2.6","1.6653846153846155","2016","08","14"
"4.33","1.6073903002309469","2016","08","15"
"2.6","2.6769230769230767","2016","08","15"
"4.33","1.6073903002309469","2016","08","15"
"6.08","1.0","2016","08","15"
"3.48","1.7471264367816093","2016","08","15"
"6.96","1.0","2016","08","15"
"0.87","4.977011494252873","2016","08","27"
"2.6","1.0","2016","08","28"
"3.48","1.7471264367816093","2016","08","28"
"5.21","1.1669865642994242","2016","08","28"
"4.33","1.0","2016","08","29"
"1.75","1.4857142857142858","2016","08","30"
"6.08","1.144736842105263","2016","08","30"
"7.81","1.0","2016","08","30"
"6.08","1.0","2016","08","31"
"4.33","1.6073903002309469","2016","08","31"
"3.48","1.2442528735632183","2016","08","31"
"1.75","1.9885714285714287","2016","08","31"
"1.75","1.9885714285714287","2016","09","06"
"2.6","1.3384615384615384","2016","09","08"
"3.48","1.0","2016","09","09"
