"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.33","1.4041570438799076","2016","07","02"
"3.48","1.7471264367816093","2016","07","02"
"6.08","1.0","2016","07","02"
"5.21","1.4990403071017273","2016","07","02"
"0.87","2.0114942528735633","2016","07","16"
"0.87","2.0114942528735633","2016","07","27"
"1.75","2.474285714285714","2016","08","13"
"0.87","2.0114942528735633","2016","08","27"
"3.48","1.4971264367816093","2016","08","27"
"2.6","1.3384615384615384","2016","08","27"
"7.81","1.0","2016","08","27"
"6.96","1.0","2016","08","27"
"6.96","1.0","2016","08","27"
"8.69","1.0","2016","08","27"
"6.08","1.4292763157894737","2016","08","27"
"2.6","3.0038461538461534","2016","08","27"
"4.33","1.2032332563510393","2016","08","27"
"5.21","1.3358925143953935","2016","08","28"
"3.48","1.7471264367816093","2016","08","28"
"6.08","1.0","2016","08","28"
"2.6","1.6653846153846155","2016","08","28"
"4.33","1.0","2016","08","28"
"3.48","1.7471264367816093","2016","08","28"
"4.33","1.2032332563510393","2016","08","28"
"5.21","1.1669865642994242","2016","08","28"
"4.33","1.2032332563510393","2016","08","28"
"6.08","1.2845394736842104","2016","08","28"
"5.21","1.1669865642994242","2016","08","28"
"5.21","1.1669865642994242","2016","08","28"
"5.21","1.0","2016","08","28"
"6.08","1.4292763157894737","2016","08","28"
"6.08","1.144736842105263","2016","08","28"
"5.21","1.3358925143953935","2016","08","28"
"6.96","1.122126436781609","2016","08","28"
"7.81","1.3367477592829706","2016","08","28"
"6.08","1.5723684210526316","2016","08","28"
"6.96","1.0","2016","08","28"
"6.08","1.2845394736842104","2016","08","28"
"6.96","1.0","2016","08","29"
"6.08","1.0","2016","08","29"
"5.21","1.3358925143953935","2016","08","29"
"4.33","1.0","2016","08","29"
"4.33","1.0","2016","08","29"
"0.87","1.0","2016","08","29"
"0.87","5.988505747126437","2016","08","29"
"6.08","1.0","2016","08","29"
"7.81","1.2240717029449426","2016","08","29"
"8.69","1.0","2016","08","29"
"6.96","1.122126436781609","2016","08","29"
"6.08","1.5723684210526316","2016","08","29"
"5.21","1.6679462571976966","2016","08","29"
"6.96","1.3735632183908046","2016","08","29"
"6.96","1.2485632183908046","2016","08","29"
"4.33","2.0069284064665127","2016","08","29"
"2.6","3.0038461538461534","2016","08","29"
"5.21","1.0","2016","08","29"
"3.48","2.0","2016","08","29"
"1.75","3.9771428571428573","2016","08","29"
"5.21","1.0","2016","08","29"
"6.96","1.0","2016","08","29"
"7.81","1.0","2016","08","29"
"3.48","1.0","2016","08","30"
"4.33","1.0","2016","08","30"
"5.21","1.0","2016","08","30"
"5.21","1.6679462571976966","2016","08","30"
"5.21","1.834932821497121","2016","08","30"
"7.81","1.2240717029449426","2016","08","30"
"9.56","1.0920502092050208","2016","08","30"
"4.33","2.810623556581986","2016","08","30"
"6.96","1.0","2016","08","30"
"9.56","1.0","2016","08","30"
