"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","2.3384615384615386","2011","10","11"
"1.75","1.4857142857142858","2011","10","19"
"2.6","1.6653846153846155","2011","10","20"
"0.87","2.9885057471264367","2011","10","21"
"0.87","2.9885057471264367","2011","10","21"
"0.87","2.9885057471264367","2011","10","21"
"2.6","2.003846153846154","2011","10","26"
"2.6","2.6769230769230767","2011","10","26"
"2.6","3.6692307692307686","2011","10","27"
"5.21","2.166986564299424","2011","10","27"
"6.08","2.4259868421052633","2011","10","27"
"3.48","2.4971264367816093","2011","10","27"
"3.48","2.244252873563218","2011","10","27"
"2.6","2.003846153846154","2011","10","27"
"1.75","1.4857142857142858","2011","10","28"
"0.87","2.9885057471264367","2011","10","28"
"1.75","1.4857142857142858","2011","10","28"
"2.6","1.3384615384615384","2011","10","28"
"1.75","3.474285714285714","2011","10","28"
"1.75","2.474285714285714","2011","10","28"
"1.75","2.474285714285714","2011","10","28"
"1.75","1.9885714285714287","2011","10","28"
"1.75","2.474285714285714","2011","10","28"
"1.75","1.4857142857142858","2011","10","28"
"0.87","2.9885057471264367","2011","10","31"
"2.6","3.342307692307692","2011","10","31"
"6.96","1.8706896551724137","2011","10","31"
"4.33","3.2101616628175518","2011","10","31"
"7.81","2.0012804097311143","2011","10","31"
"4.33","3.4064665127020786","2011","10","31"
"6.96","1.9971264367816093","2011","10","31"
"3.48","3.4971264367816093","2011","10","31"
"6.08","2.0016447368421053","2011","10","31"
"7.81","1.6670934699103714","2011","10","31"
"1.75","2.474285714285714","2011","11","08"
"6.08","2.286184210526316","2011","11","13"
"6.96","2.867816091954023","2011","11","13"
"9.54","1.729559748427673","2011","11","13"
"6.08","2.0016447368421053","2011","11","13"
"6.08","2.4259868421052633","2011","11","13"
"9.54","1.729559748427673","2011","11","13"
"3.48","2.7413793103448274","2011","11","13"
"3.48","3.244252873563218","2011","11","15"
"2.6","4.007692307692308","2011","11","15"
"2.6","1.6653846153846155","2011","11","18"
"1.75","1.4857142857142858","2011","11","22"
"2.6","2.6769230769230767","2011","11","24"
"1.75","1.9885714285714287","2011","11","27"
"0.87","2.9885057471264367","2011","11","27"
"2.6","3.6692307692307686","2011","11","28"
"1.75","1.4857142857142858","2011","11","29"
"5.21","3.3358925143953932","2011","12","01"
"5.21","2.4990403071017275","2011","12","01"
"2.6","4.007692307692308","2011","12","01"
"6.08","1.856907894736842","2011","12","01"
"8.69","2.0","2011","12","01"
"4.33","2.4064665127020786","2011","12","05"
"2.6","1.3384615384615384","2011","12","10"
"1.75","4.462857142857143","2011","12","12"
"6.96","1.622126436781609","2011","12","12"
"8.69","1.6973532796317607","2011","12","12"
"5.21","2.6679462571976966","2011","12","12"
"6.08","2.286184210526316","2011","12","12"
"7.81","2.0012804097311143","2011","12","12"
"6.08","2.286184210526316","2011","12","12"
"4.33","3.609699769053118","2011","12","12"
"6.08","2.1414473684210527","2011","12","12"
"5.21","3.166986564299424","2011","12","12"
"8.69","1.5995397008055237","2011","12","12"
"8.69","1.6973532796317607","2011","12","12"
"6.96","2.1192528735632186","2011","12","12"
"4.33","2.810623556581986","2011","12","12"
"0.87","2.9885057471264367","2011","12","17"
"0.87","2.9885057471264367","2011","12","17"
"2.6","3.6692307692307686","2011","12","19"
"0.87","4.0","2011","12","21"
"6.96","2.4971264367816093","2011","12","23"
"1.75","3.474285714285714","2011","12","25"
"2.6","2.003846153846154","2011","12","26"
"1.75","2.9771428571428573","2011","12","26"
"3.48","2.244252873563218","2011","12","27"
"2.6","2.003846153846154","2011","12","27"
"3.48","2.4971264367816093","2011","12","27"
"7.81","1.7797695262483997","2011","12","27"
"11.29","1.6926483613817538","2011","12","27"
"3.48","3.4971264367816093","2011","12","27"
"6.08","2.713815789473684","2011","12","27"
"2.6","3.342307692307692","2011","12","27"
"1.75","1.9885714285714287","2011","12","27"
"0.87","2.9885057471264367","2011","12","28"
"6.96","2.4971264367816093","2011","12","29"
"3.48","2.244252873563218","2011","12","29"
"1.75","1.9885714285714287","2011","12","30"
"1.75","4.462857142857143","2011","12","31"
"2.6","2.6769230769230767","2011","12","31"
"2.6","3.342307692307692","2011","12","31"
"2.6","2.003846153846154","2011","12","31"
"7.81","1.7797695262483997","2012","01","02"
"7.81","2.6683738796414853","2012","01","02"
"5.21","3.166986564299424","2012","01","02"
"5.21","2.831094049904031","2012","01","02"
"6.08","2.713815789473684","2012","01","02"
"6.08","2.0016447368421053","2012","01","02"
"4.33","2.810623556581986","2012","01","02"
"4.33","2.810623556581986","2012","01","02"
"4.33","3.609699769053118","2012","01","02"
"2.6","2.6769230769230767","2012","01","02"
"4.33","2.0069284064665127","2012","01","02"
"2.6","3.6692307692307686","2012","01","02"
"2.6","3.342307692307692","2012","01","02"
"3.48","3.244252873563218","2012","01","02"
"1.75","2.9771428571428573","2012","01","02"
"1.75","1.9885714285714287","2012","01","02"
"1.75","1.9885714285714287","2012","01","02"
"0.87","2.9885057471264367","2012","01","05"
"2.6","2.6769230769230767","2012","01","05"
"2.6","3.0038461538461534","2012","01","05"
"4.33","2.6073903002309464","2012","01","09"
"2.6","3.342307692307692","2012","01","09"
"3.48","2.9942528735632186","2012","01","09"
"2.6","4.007692307692308","2012","01","09"
"2.6","3.0038461538461534","2012","01","10"
"4.33","3.0069284064665127","2012","01","10"
"2.6","3.0038461538461534","2012","01","10"
"2.6","4.007692307692308","2012","01","10"
"2.6","3.0038461538461534","2012","01","10"
"2.6","2.6769230769230767","2012","01","10"
"2.6","2.003846153846154","2012","01","10"
"6.08","1.5690789473684208","2012","01","13"
"8.69","1.5995397008055237","2012","01","13"
"6.96","2.1192528735632186","2012","01","13"
"8.69","1.798619102416571","2012","01","13"
"6.08","3.143092105263158","2012","01","13"
"9.54","2.275681341719078","2012","01","13"
"7.81","2.0012804097311143","2012","01","13"
"10.42","1.583493282149712","2012","01","13"
"2.6","1.6653846153846155","2012","01","14"
"2.6","2.6769230769230767","2012","01","14"
"1.75","1.9885714285714287","2012","01","14"
"3.48","1.7471264367816093","2012","01","14"
"2.6","2.003846153846154","2012","01","14"
"2.6","2.003846153846154","2012","01","14"
"2.6","2.003846153846154","2012","01","14"
"0.87","4.0","2012","01","14"
"1.75","2.474285714285714","2012","01","15"
"2.6","2.003846153846154","2012","01","15"
"0.87","4.0","2012","01","16"
"3.48","2.4971264367816093","2012","01","16"
"1.75","2.9771428571428573","2012","01","17"
"1.75","3.9771428571428573","2012","01","17"
"3.48","2.0","2012","01","17"
"5.21","2.3358925143953937","2012","01","17"
"2.6","3.342307692307692","2012","01","18"
"3.48","2.4971264367816093","2012","01","18"
"0.87","2.9885057471264367","2012","01","19"
"2.6","2.003846153846154","2012","01","19"
"1.75","2.9771428571428573","2012","01","19"
"1.75","3.474285714285714","2012","01","19"
"4.33","2.0069284064665127","2012","01","19"
"2.6","3.342307692307692","2012","01","19"
"3.48","2.0","2012","01","20"
"2.6","3.342307692307692","2012","01","20"
"3.48","2.4971264367816093","2012","01","20"
"2.6","3.342307692307692","2012","01","21"
"2.6","1.3384615384615384","2012","01","21"
"2.6","1.0","2012","01","23"
"2.6","1.3384615384615384","2012","01","23"
"7.81","1.7797695262483997","2012","01","25"
"8.69","2.1990794016110473","2012","01","25"
"8.69","2.4982738780207137","2012","01","25"
"5.21","3.0","2012","01","25"
"5.21","2.4990403071017275","2012","01","25"
"5.21","2.4990403071017275","2012","01","25"
"3.48","2.7413793103448274","2012","01","25"
"2.6","3.0038461538461534","2012","01","25"
"3.48","3.244252873563218","2012","01","25"
"6.96","1.8706896551724137","2012","01","26"
"5.21","3.0","2012","01","26"
"5.21","1.8310940499040305","2012","01","26"
"5.21","2.3358925143953937","2012","01","26"
"5.21","2.831094049904031","2012","01","26"
"2.6","1.3384615384615384","2012","01","26"
"3.48","2.4971264367816093","2012","01","26"
"1.75","2.474285714285714","2012","01","26"
"2.6","2.003846153846154","2012","01","26"
"2.6","4.007692307692308","2012","01","26"
"2.6","3.342307692307692","2012","01","26"
"4.33","2.6073903002309464","2012","01","26"
"9.54","1.8218029350104823","2012","01","26"
"8.69","1.798619102416571","2012","01","26"
"7.81","2.2253521126760565","2012","01","26"
"4.33","2.6073903002309464","2012","01","26"
"6.08","1.856907894736842","2012","01","26"
"6.96","1.9971264367816093","2012","01","26"
"5.21","2.831094049904031","2012","01","26"
"8.69","2.0","2012","01","26"
"7.81","1.7797695262483997","2012","01","26"
"5.21","2.0","2012","01","26"
"4.33","2.4064665127020786","2012","01","26"
"2.6","2.6769230769230767","2012","01","26"
"2.6","3.342307692307692","2012","01","27"
"1.75","3.474285714285714","2012","01","27"
"2.6","2.3384615384615386","2012","01","27"
"2.6","2.3384615384615386","2012","01","27"
"3.48","2.4971264367816093","2012","01","27"
"2.6","2.6769230769230767","2012","01","27"
"2.6","3.0038461538461534","2012","01","27"
"3.48","1.7471264367816093","2012","01","27"
"0.87","2.9885057471264367","2012","01","28"
"2.6","1.6653846153846155","2012","01","28"
"2.6","3.342307692307692","2012","02","03"
"4.33","2.0069284064665127","2012","02","03"
"6.96","1.8706896551724137","2012","02","03"
"0.87","2.9885057471264367","2012","02","05"
"2.6","1.3384615384615384","2012","02","05"
"0.87","4.0","2012","02","05"
"0.87","4.0","2012","02","05"
"1.75","3.474285714285714","2012","02","05"
"2.6","2.003846153846154","2012","02","06"
"1.75","1.9885714285714287","2012","02","06"
"3.48","1.4971264367816093","2012","02","06"
"0.87","2.9885057471264367","2012","02","06"
"1.75","2.474285714285714","2012","02","06"
"2.6","1.3384615384615384","2012","02","06"
"2.6","1.3384615384615384","2012","02","06"
"0.87","2.9885057471264367","2012","02","07"
"0.87","2.9885057471264367","2012","02","07"
"0.87","2.9885057471264367","2012","02","08"
"2.6","2.6769230769230767","2012","02","09"
"2.6","1.0","2012","02","09"
"0.87","2.9885057471264367","2012","02","09"
"0.87","4.977011494252873","2012","02","09"
"1.75","1.9885714285714287","2012","02","09"
"2.6","1.6653846153846155","2012","02","11"
"0.87","4.0","2012","02","11"
"1.75","2.9771428571428573","2012","02","11"
"1.75","1.4857142857142858","2012","02","11"
"0.87","2.0114942528735633","2012","02","11"
"0.87","2.9885057471264367","2012","02","12"
"0.87","4.977011494252873","2012","02","12"
"1.75","1.4857142857142858","2012","02","14"
"1.75","1.4857142857142858","2012","02","14"
"2.6","1.6653846153846155","2012","02","14"
"0.87","4.977011494252873","2012","02","14"
"1.75","2.474285714285714","2012","02","15"
"0.87","2.9885057471264367","2012","02","15"
"1.75","1.4857142857142858","2012","02","20"
"2.6","4.007692307692308","2012","02","21"
"3.48","2.4971264367816093","2012","02","21"
"1.75","1.4857142857142858","2012","02","24"
"1.75","2.9771428571428573","2012","02","24"
"0.87","2.9885057471264367","2012","02","24"
"2.6","1.6653846153846155","2012","02","24"
"2.6","2.3384615384615386","2012","02","24"
"3.48","2.0","2012","02","24"
"2.6","1.3384615384615384","2012","02","25"
"2.6","2.003846153846154","2012","02","25"
"1.75","1.9885714285714287","2012","02","25"
"2.6","2.003846153846154","2012","02","25"
"2.6","2.003846153846154","2012","02","25"
"1.75","2.474285714285714","2012","02","25"
"0.87","2.9885057471264367","2012","02","25"
"0.87","4.0","2012","02","25"
"0.87","4.977011494252873","2012","02","25"
"1.75","1.9885714285714287","2012","02","25"
"3.48","1.4971264367816093","2012","02","25"
"0.87","4.0","2012","02","25"
"0.87","4.977011494252873","2012","02","25"
"2.6","1.3384615384615384","2012","02","25"
"1.75","1.9885714285714287","2012","02","25"
"1.75","2.474285714285714","2012","02","25"
"2.6","1.0","2012","02","25"
"1.75","2.9771428571428573","2012","02","26"
"1.75","1.9885714285714287","2012","03","01"
"2.6","2.003846153846154","2012","03","02"
"1.75","3.9771428571428573","2012","03","03"
"2.6","2.003846153846154","2012","03","03"
"5.21","2.166986564299424","2012","03","04"
"1.75","2.9771428571428573","2012","03","04"
"3.48","3.244252873563218","2012","03","04"
"3.48","1.7471264367816093","2012","03","04"
"5.21","1.8310940499040305","2012","03","04"
"2.6","3.342307692307692","2012","03","04"
"2.6","3.0038461538461534","2012","03","04"
"1.75","1.9885714285714287","2012","03","05"
"1.75","1.4857142857142858","2012","03","05"
"4.33","2.4064665127020786","2012","03","07"
"5.21","2.831094049904031","2012","03","07"
"7.81","1.7797695262483997","2012","03","07"
"6.08","2.5707236842105265","2012","03","07"
"7.81","2.0012804097311143","2012","03","07"
"3.48","2.9942528735632186","2012","03","07"
"3.48","2.0","2012","03","07"
"3.48","2.4971264367816093","2012","03","07"
"6.08","2.0016447368421053","2012","03","09"
"11.29","1.5394154118689105","2012","03","09"
"8.69","2.2968929804372844","2012","03","09"
"8.69","2.0","2012","03","09"
"7.81","2.2253521126760565","2012","03","09"
"6.08","2.8585526315789473","2012","03","09"
"5.21","3.3358925143953932","2012","03","09"
"4.33","3.4064665127020786","2012","03","09"
"5.21","2.6679462571976966","2012","03","09"
"8.69","1.798619102416571","2012","03","09"
"1.75","3.9771428571428573","2012","03","09"
