"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","3.2222222222222223","2003","01","07"
"8.01","2.1235955056179776","2003","01","07"
"16.0","2.063125","2003","03","06"
"9.0","1.5555555555555556","2003","03","07"
"11.99","1.5012510425354462","2003","03","10"
"9.0","1.5555555555555556","2003","03","11"
"8.01","1.873907615480649","2003","03","23"
"9.99","1.5025025025025025","2003","03","23"
"8.01","1.873907615480649","2003","03","23"
"8.01","1.7478152309612984","2003","03","23"
"8.01","1.9975031210986267","2003","03","23"
"9.99","1.6016016016016015","2003","04","02"
"11.0","1.3645454545454545","2003","04","02"
"9.0","1.5555555555555556","2003","04","02"
"11.99","1.2518765638031693","2003","04","13"
"9.0","1.6677777777777778","2003","04","13"
"9.0","1.5555555555555556","2003","04","13"
"11.0","1.2727272727272727","2003","04","14"
"11.0","1.3645454545454545","2003","05","01"
"7.0","2.0","2003","05","01"
"9.0","2.2222222222222223","2003","05","01"
"8.01","1.7478152309612984","2003","05","01"
"5.0","2.8","2003","05","04"
"11.99","1.3344453711426187","2003","05","04"
"9.99","1.4014014014014013","2003","05","05"
"9.99","1.4014014014014013","2003","05","07"
"9.0","1.5555555555555556","2003","05","07"
"9.99","1.4014014014014013","2003","05","07"
"9.0","1.6677777777777778","2003","05","18"
"11.0","1.4545454545454546","2003","06","07"
"11.99","1.2518765638031693","2003","06","08"
"9.0","1.8900000000000001","2003","06","08"
"11.0","1.2727272727272727","2003","06","08"
"11.0","1.3645454545454545","2003","06","08"
"9.0","1.5555555555555556","2003","06","08"
"9.99","1.5025025025025025","2003","06","08"
"13.0","1.3084615384615386","2003","06","08"
"11.0","1.4545454545454546","2003","06","08"
"11.99","1.4186822351959967","2003","06","08"
"9.0","1.5555555555555556","2003","06","21"
"9.0","1.6677777777777778","2003","09","15"
"9.0","2.4444444444444446","2003","10","28"
"8.01","2.4968789013732833","2003","10","29"
"9.0","1.8900000000000001","2003","10","29"
"6.01","2.662229617304493","2003","10","30"
"7.0","2.2857142857142856","2003","11","01"
"11.0","1.8181818181818181","2003","11","09"
"7.0","2.144285714285714","2003","11","12"
"9.99","1.5025025025025025","2003","11","12"
"9.99","1.7027027027027029","2003","11","18"
"7.0","2.2857142857142856","2003","12","25"
