"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"11.0","1.8181818181818181","2006","12","22"
"11.99","2.16930775646372","2006","12","22"
"9.0","2.7777777777777777","2006","12","25"
"15.01","1.3324450366422385","2006","12","25"
"11.0","2.0","2006","12","29"
"11.0","1.6363636363636365","2006","12","29"
"15.01","1.5996002664890074","2006","12","29"
"13.0","1.5384615384615385","2007","01","15"
"11.99","1.8348623853211008","2007","04","06"
"9.99","1.4014014014014013","2007","09","29"
"2.99","3.6789297658862874","2007","10","12"
"9.0","2.0","2007","10","13"
"9.0","2.2222222222222223","2007","11","17"
"9.0","1.4444444444444444","2007","11","21"
"14.0","1.6428571428571428","2007","12","25"
"9.0","2.332222222222222","2008","02","12"
"9.0","2.2222222222222223","2008","02","12"
"7.0","2.7128571428571426","2008","02","27"
"11.99","1.8348623853211008","2008","03","22"
"17.01","1.5873015873015872","2008","10","22"
"11.0","2.0","2008","11","07"
"11.99","1.5012510425354462","2008","11","14"
"7.0","2.5714285714285716","2009","04","04"
"11.0","1.7263636363636363","2009","10","16"
"6.01","3.826955074875208","2009","10","21"
"9.0","2.332222222222222","2009","10","25"
"15.01","1.7328447701532312","2009","10","25"
"13.0","2.230769230769231","2009","10","25"
"17.01","1.6455026455026454","2009","10","25"
"17.01","2.1164021164021163","2009","10","25"
"14.0","1.7857142857142858","2009","10","25"
"14.0","1.4285714285714286","2009","10","25"
"16.0","1.749375","2009","10","25"
"15.01","1.5996002664890074","2009","10","25"
"9.99","1.8018018018018018","2009","10","29"
"9.0","2.0","2009","10","29"
"8.01","2.746566791510612","2009","11","18"
"13.0","1.6923076923076923","2010","01","08"
"13.0","1.7692307692307692","2010","03","09"
"15.01","1.798800799467022","2010","03","13"
"16.0","1.6875","2010","03","13"
"15.01","1.5323117921385743","2010","03","13"
"11.99","1.7506255212677229","2010","03","14"
"13.0","1.6146153846153846","2010","06","12"
"13.0","1.5384615384615385","2010","09","24"
"8.01","2.1235955056179776","2010","09","25"
"9.99","3.304304304304304","2010","10","12"
"9.0","3.6677777777777774","2010","10","12"
"14.0","1.9285714285714286","2010","10","12"
"13.0","1.8469230769230771","2010","11","01"
"11.0","2.3645454545454547","2010","11","01"
"9.0","2.7777777777777777","2010","11","01"
"8.01","2.247191011235955","2010","11","01"
"11.0","1.908181818181818","2010","11","01"
"17.01","1.5873015873015872","2010","11","29"
"9.0","3.11","2010","11","29"
"9.99","2.2022022022022023","2010","11","29"
"5.0","2.398","2011","08","16"
"9.0","1.8900000000000001","2011","09","06"
"6.01","4.159733777038269","2011","09","20"
"15.01","1.8647568287808127","2011","09","21"
"9.0","2.2222222222222223","2011","11","16"
"7.0","2.5714285714285716","2011","12","26"
"8.01","2.247191011235955","2012","02","03"
"9.0","2.11","2012","02","27"
"11.99","1.8348623853211008","2012","03","09"
"20.0","1.3005","2012","03","30"
"8.01","2.4968789013732833","2012","04","02"
"9.0","1.8900000000000001","2012","04","03"
"14.0","1.499285714285714","2012","05","08"
"27.99","4.466237942122187","2012","07","11"
"8.01","1.9975031210986267","2012","10","17"
"8.01","1.873907615480649","2012","11","03"
"7.0","2.144285714285714","2012","11","04"
"9.99","1.6016016016016015","2012","11","04"
"11.0","1.4545454545454546","2012","11","04"
"11.0","1.6363636363636365","2012","11","22"
"9.99","2.002002002002002","2012","11","22"
"7.0","2.2857142857142856","2012","11","22"
"9.0","1.8900000000000001","2012","11","23"
"7.0","2.144285714285714","2012","11","23"
"7.0","2.2857142857142856","2012","11","23"
"8.01","1.873907615480649","2012","11","23"
"9.0","1.7777777777777777","2012","11","23"
"8.01","1.7478152309612984","2012","11","23"
"9.99","1.7027027027027029","2012","11","23"
"7.0","2.0","2012","11","23"
"9.0","1.8900000000000001","2012","11","23"
