"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"14.0","1.6428571428571428","2006","12","20"
"9.99","2.1011011011011007","2006","12","29"
"7.0","2.5714285714285716","2007","01","24"
"18.0","1.5","2007","03","07"
"9.99","2.002002002002002","2007","04","07"
"6.01","2.329450915141431","2007","04","27"
"2.99","4.3478260869565215","2007","06","10"
"11.99","1.8348623853211008","2008","01","13"
"7.0","3.142857142857143","2008","01","13"
"13.0","1.7692307692307692","2008","01","14"
"14.0","1.6428571428571428","2008","01","14"
"9.0","2.332222222222222","2008","05","10"
"14.0","1.715","2008","10","22"
"17.01","1.529100529100529","2008","10","22"
"17.01","1.5873015873015872","2008","10","28"
"18.0","1.7222222222222223","2008","10","28"
"9.99","1.8018018018018018","2008","11","15"
"8.01","1.873907615480649","2008","11","29"
"6.01","2.497504159733777","2008","11","29"
"13.0","1.6923076923076923","2009","09","11"
"13.0","1.5384615384615385","2009","11","05"
"20.99","1.3334921391138637","2009","11","14"
"14.0","2.5007142857142854","2009","11","14"
"16.0","1.5625","2009","11","14"
"9.99","2.4034034034034035","2009","11","14"
"11.99","1.9182652210175146","2009","11","14"
"7.0","2.7128571428571426","2009","11","14"
"9.99","1.9009009009009008","2009","11","14"
"15.01","1.5323117921385743","2010","03","28"
"11.0","1.908181818181818","2010","10","05"
"11.0","1.908181818181818","2010","10","05"
"18.99","1.3164823591363877","2010","10","09"
"16.0","1.749375","2010","10","09"
"13.0","1.8469230769230771","2010","10","12"
"14.0","2.0714285714285716","2010","10","13"
"13.0","1.7692307692307692","2010","10","13"
"6.01","1.995008319467554","2011","04","04"
"11.0","2.6363636363636362","2011","09","21"
"11.0","1.8181818181818181","2011","11","23"
"7.0","2.2857142857142856","2012","01","25"
"7.0","2.7128571428571426","2012","01","26"
"14.0","1.7857142857142858","2012","01","27"
"14.0","1.715","2012","01","27"
"11.99","2.0025020850708923","2012","01","27"
"9.99","2.4034034034034035","2012","01","27"
"9.99","2.4034034034034035","2012","01","27"
"14.0","1.8578571428571429","2012","02","03"
"11.99","2.4186822351959965","2012","02","03"
"20.0","1.3995","2012","02","10"
"18.99","1.2643496577145867","2012","02","10"
"9.99","1.9009009009009008","2012","02","12"
"11.99","1.5838198498748957","2012","05","08"
"7.0","2.144285714285714","2012","10","13"
"7.0","2.0","2012","10","13"
"18.0","1.555","2013","01","01"
"13.0","1.3084615384615386","2013","02","10"
"11.0","1.908181818181818","2013","02","10"
"9.99","1.7027027027027029","2013","02","10"
"7.0","2.144285714285714","2013","03","25"
"7.0","2.0","2013","03","26"
"13.0","1.8469230769230771","2013","04","09"
"11.99","1.7506255212677229","2013","04","09"
"8.01","1.7478152309612984","2013","04","09"
"9.0","1.5555555555555556","2013","04","09"
"8.01","1.873907615480649","2013","04","27"
"9.99","1.5025025025025025","2013","06","18"
"9.0","1.6677777777777778","2013","06","18"
"6.01","2.329450915141431","2013","07","03"
"13.0","1.6146153846153846","2013","10","03"
"14.0","1.715","2013","10","03"
"8.01","2.3707865168539324","2013","12","15"
"8.01","2.3707865168539324","2013","12","15"
"6.01","2.8302828618968388","2013","12","15"
"9.0","1.6677777777777778","2014","01","13"
"7.0","2.43","2014","01","13"
"13.0","1.7692307692307692","2014","01","18"
"15.01","1.3984010659560293","2014","02","15"
"11.99","1.5012510425354462","2014","02","16"
"9.0","2.0","2014","04","07"
"13.0","1.3846153846153846","2014","04","07"
"11.99","1.5838198498748957","2014","04","07"
"9.0","2.0","2014","04","08"
"7.0","2.144285714285714","2014","04","21"
"9.0","1.7777777777777777","2014","05","19"
"9.0","1.6677777777777778","2014","06","14"
"9.0","1.7777777777777777","2015","01","22"
"11.0","1.6363636363636365","2015","01","22"
"11.0","1.4545454545454546","2015","01","22"
"6.01","2.329450915141431","2015","01","23"
"9.0","1.6677777777777778","2015","01","24"
"11.0","1.4545454545454546","2015","01","24"
"11.99","1.5012510425354462","2015","01","24"
"9.99","1.5025025025025025","2015","01","24"
"8.01","1.9975031210986267","2015","01","24"
"7.0","2.43","2015","01","25"
"9.99","1.8018018018018018","2015","02","13"
"8.01","2.1235955056179776","2015","03","12"
"8.01","1.873907615480649","2015","03","12"
"9.0","2.11","2015","03","13"
"9.99","1.5025025025025025","2015","04","09"
"11.0","1.4545454545454546","2015","04","09"
"11.0","1.3645454545454545","2015","04","11"
"7.0","2.43","2015","04","11"
"8.01","1.7478152309612984","2015","04","12"
"9.0","1.8900000000000001","2015","04","15"
"9.99","1.7027027027027029","2015","04","15"
"9.0","1.8900000000000001","2015","04","15"
"11.0","1.4545454545454546","2015","04","27"
"9.0","1.6677777777777778","2015","04","28"
"9.0","1.7777777777777777","2015","04","28"
"8.01","1.873907615480649","2015","04","28"
"14.0","1.215","2015","06","04"
"11.99","1.4186822351959967","2015","06","04"
"11.0","1.5463636363636366","2015","06","04"
"8.01","1.7478152309612984","2015","06","05"
"8.01","2.1235955056179776","2015","06","17"
"11.0","1.6363636363636365","2015","06","24"
"9.0","1.7777777777777777","2015","07","02"
"9.0","1.8900000000000001","2015","07","02"
"9.0","1.7777777777777777","2015","07","02"
"8.01","1.873907615480649","2015","07","02"
"9.99","1.5025025025025025","2015","07","02"
"8.01","1.7478152309612984","2015","08","05"
"9.0","2.11","2015","08","22"
"4.0","3.7525","2015","09","30"
"7.0","2.0","2015","10","12"
"6.01","2.329450915141431","2015","10","12"
"15.01","1.3984010659560293","2015","11","13"
"11.0","1.7263636363636363","2015","11","13"
"11.99","1.5012510425354462","2015","11","13"
"5.0","3.402","2015","11","21"
"9.0","1.7777777777777777","2016","01","02"
"9.99","2.002002002002002","2016","01","02"
"15.01","1.665556295802798","2016","01","26"
"11.99","1.4186822351959967","2016","01","26"
"9.0","1.8900000000000001","2016","01","26"
"9.99","1.6016016016016015","2016","01","26"
"9.0","1.8900000000000001","2016","01","26"
"8.01","1.7478152309612984","2016","01","26"
"11.99","1.7506255212677229","2016","02","09"
"11.0","1.5463636363636366","2016","02","09"
"9.99","1.8018018018018018","2016","02","11"
"11.0","1.5463636363636366","2016","02","11"
"6.01","2.329450915141431","2016","02","26"
"9.0","1.7777777777777777","2016","04","01"
"11.0","1.4545454545454546","2016","04","01"
"9.0","1.5555555555555556","2016","06","09"
"9.99","1.4014014014014013","2016","06","09"
"9.0","1.5555555555555556","2016","06","09"
"9.0","1.5555555555555556","2016","09","09"
"11.99","1.4186822351959967","2016","09","09"
"9.99","1.5025025025025025","2016","09","09"
"8.01","1.873907615480649","2016","09","09"
"9.0","1.5555555555555556","2016","09","10"
"9.0","1.5555555555555556","2016","09","10"
"11.99","1.6680567139282736","2016","09","10"
"11.99","1.4186822351959967","2016","09","10"
