"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"8.01","1.873907615480649","2007","01","24"
"9.0","1.8900000000000001","2009","11","15"
"7.0","2.43","2009","12","18"
"7.0","2.5714285714285716","2010","03","12"
"7.0","2.43","2010","03","12"
"9.0","1.7777777777777777","2013","10","09"
"9.99","1.8018018018018018","2013","12","15"
"9.99","2.2022022022022023","2013","12","15"
"7.0","2.2857142857142856","2013","12","15"
"9.99","1.6016016016016015","2015","06","17"
"7.0","2.857142857142857","2015","09","30"
"9.99","1.8018018018018018","2018","02","26"
"9.99","2.5025025025025025","2018","02","26"
"9.0","1.5555555555555556","2018","12","20"
"9.0","1.6677777777777778","2019","04","22"
