"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"13.0","1.4607692307692306","2003","01","05"
"11.0","1.4545454545454546","2003","01","05"
"13.0","1.2307692307692308","2003","01","05"
"9.99","1.9009009009009008","2003","01","05"
"13.0","1.5384615384615385","2003","01","05"
"9.99","1.4014014014014013","2003","01","06"
"14.0","1.6428571428571428","2003","01","07"
"13.0","1.3084615384615386","2003","03","22"
"13.0","1.3846153846153846","2003","03","22"
"11.0","1.4545454545454546","2003","03","22"
"11.0","1.5463636363636366","2003","03","23"
"9.99","1.7027027027027029","2003","03","23"
"11.99","1.5012510425354462","2003","03","23"
"9.99","1.7027027027027029","2003","03","23"
"16.0","1.311875","2003","03","23"
"7.0","2.144285714285714","2003","03","23"
"9.0","1.5555555555555556","2003","03","23"
"6.01","2.329450915141431","2003","03","23"
"8.01","2.247191011235955","2003","03","23"
"9.99","1.5025025025025025","2003","03","23"
"11.99","1.5838198498748957","2003","03","23"
"9.99","1.7027027027027029","2003","03","23"
"8.01","1.9975031210986267","2003","03","23"
"11.99","1.4186822351959967","2003","03","30"
"9.0","1.7777777777777777","2003","03","30"
"9.99","1.6016016016016015","2003","03","30"
"11.0","1.3645454545454545","2003","03","30"
"9.99","1.6016016016016015","2003","03","30"
"11.99","1.5012510425354462","2003","03","30"
"9.0","1.5555555555555556","2003","03","30"
"8.01","1.7478152309612984","2003","03","30"
"9.99","1.4014014014014013","2003","03","31"
"9.0","1.5555555555555556","2003","03","31"
"11.0","1.6363636363636365","2003","03","31"
"9.0","1.7777777777777777","2003","03","31"
"7.0","2.2857142857142856","2003","04","09"
"8.01","1.7478152309612984","2003","04","15"
"9.99","1.4014014014014013","2003","04","15"
"9.0","1.6677777777777778","2003","04","15"
"9.99","1.6016016016016015","2003","04","15"
"11.0","1.5463636363636366","2003","04","15"
"9.99","1.4014014014014013","2003","05","04"
"9.0","1.5555555555555556","2003","05","05"
"9.0","1.6677777777777778","2003","05","05"
"14.0","1.215","2003","05","05"
"13.0","1.3084615384615386","2003","05","05"
"11.0","1.3645454545454545","2003","05","08"
"9.99","2.002002002002002","2003","05","13"
"11.0","1.4545454545454546","2003","05","15"
"11.0","1.5463636363636366","2003","05","15"
"11.99","1.2518765638031693","2003","05","16"
"9.99","1.6016016016016015","2003","05","17"
"9.0","1.6677777777777778","2003","05","17"
"11.99","1.2518765638031693","2003","05","17"
"9.99","1.5025025025025025","2003","05","18"
"9.99","1.4014014014014013","2003","05","18"
"11.0","1.2727272727272727","2003","06","03"
"11.0","1.4545454545454546","2003","06","03"
"9.0","1.6677777777777778","2003","06","03"
"9.99","1.4014014014014013","2003","06","06"
"8.01","1.873907615480649","2003","06","07"
"11.0","1.2727272727272727","2003","06","07"
"9.0","1.6677777777777778","2003","06","07"
"9.0","1.7777777777777777","2003","06","07"
"7.0","2.144285714285714","2003","06","07"
"7.0","2.144285714285714","2003","06","07"
"9.0","1.5555555555555556","2003","06","07"
"11.99","1.3344453711426187","2003","06","07"
"9.0","1.7777777777777777","2003","06","08"
"8.01","1.9975031210986267","2003","06","08"
"7.0","2.0","2003","06","08"
"11.0","1.4545454545454546","2003","06","08"
"11.0","1.3645454545454545","2003","06","08"
"11.0","1.4545454545454546","2003","06","08"
"8.01","1.7478152309612984","2003","06","09"
"9.99","1.5025025025025025","2003","06","09"
"13.0","1.3846153846153846","2003","06","09"
"9.99","1.5025025025025025","2003","06","15"
"9.0","1.5555555555555556","2003","06","19"
"9.0","1.6677777777777778","2003","06","20"
"9.0","1.5555555555555556","2003","06","20"
"9.99","1.5025025025025025","2003","06","20"
"9.99","1.4014014014014013","2003","06","21"
"9.99","1.6016016016016015","2003","06","21"
"9.99","1.8018018018018018","2003","06","21"
"8.01","1.7478152309612984","2003","06","22"
"11.99","1.3344453711426187","2003","06","22"
"9.99","1.5025025025025025","2003","06","22"
"11.99","1.5012510425354462","2003","06","22"
"11.0","1.5463636363636366","2003","06","23"
"11.99","1.3344453711426187","2003","06","23"
"11.99","1.6680567139282736","2003","06","23"
"11.0","1.2727272727272727","2003","06","23"
"11.99","1.5838198498748957","2003","06","23"
"11.99","1.4186822351959967","2003","06","23"
"9.0","1.5555555555555556","2003","07","01"
"15.01","1.1992005329780147","2003","07","01"
"9.99","1.6016016016016015","2003","07","01"
"11.0","1.5463636363636366","2003","07","02"
"9.0","1.5555555555555556","2003","07","02"
"8.01","1.7478152309612984","2003","07","02"
"8.01","1.9975031210986267","2003","07","02"
"11.0","1.2727272727272727","2003","07","02"
"6.01","2.329450915141431","2003","07","02"
"11.0","1.2727272727272727","2003","07","04"
"9.99","1.6016016016016015","2003","07","04"
"9.99","1.6016016016016015","2003","07","04"
"9.99","1.4014014014014013","2003","07","05"
"11.0","1.5463636363636366","2003","07","08"
"11.0","1.2727272727272727","2003","07","08"
"8.01","1.873907615480649","2003","07","08"
"9.0","1.5555555555555556","2003","07","08"
"9.99","1.4014014014014013","2003","07","12"
"11.0","1.2727272727272727","2003","07","13"
"9.99","1.5025025025025025","2003","07","13"
"13.0","1.3084615384615386","2003","07","13"
"9.99","1.8018018018018018","2003","07","14"
"9.99","2.002002002002002","2003","07","14"
"9.0","1.5555555555555556","2003","07","23"
"11.99","1.2518765638031693","2003","07","24"
"9.99","1.4014014014014013","2003","07","24"
"9.99","1.5025025025025025","2003","07","29"
"9.0","1.5555555555555556","2003","07","29"
"9.99","1.4014014014014013","2003","07","29"
"9.99","1.6016016016016015","2003","07","29"
"9.0","1.7777777777777777","2003","07","29"
"9.99","1.6016016016016015","2003","08","02"
"9.99","1.8018018018018018","2003","08","02"
"8.01","1.873907615480649","2003","08","02"
"8.01","1.7478152309612984","2003","08","11"
"5.0","3.002","2003","08","13"
"7.0","2.0","2003","08","18"
"9.99","1.5025025025025025","2003","08","18"
"9.0","1.8900000000000001","2003","08","18"
"11.99","1.5012510425354462","2003","08","18"
"11.99","1.4186822351959967","2003","08","18"
"9.99","1.9009009009009008","2003","08","18"
"11.0","1.6363636363636365","2003","08","19"
"9.0","1.6677777777777778","2003","08","19"
"8.01","1.7478152309612984","2003","08","19"
"11.99","1.3344453711426187","2003","08","19"
"11.99","1.3344453711426187","2003","08","19"
"11.0","1.8181818181818181","2003","08","19"
"9.99","1.7027027027027029","2003","08","19"
"9.99","1.7027027027027029","2003","08","19"
"11.0","1.5463636363636366","2003","08","19"
"11.99","1.4186822351959967","2003","08","19"
"13.0","1.3084615384615386","2003","08","19"
"9.0","1.5555555555555556","2003","08","19"
"9.99","1.5025025025025025","2003","08","19"
"9.99","1.4014014014014013","2003","08","19"
"8.01","1.7478152309612984","2003","08","19"
"7.0","2.0","2003","09","21"
"11.99","1.4186822351959967","2003","09","25"
"11.0","1.6363636363636365","2003","09","26"
"11.0","1.3645454545454545","2003","09","26"
"9.0","1.5555555555555556","2003","10","26"
"11.0","1.5463636363636366","2003","10","26"
"11.0","1.5463636363636366","2003","10","26"
"9.0","1.6677777777777778","2003","10","26"
"7.0","2.0","2003","10","26"
"11.0","2.0","2003","11","09"
"14.0","1.4285714285714286","2003","11","09"
"9.0","2.0","2003","11","09"
"13.0","1.4607692307692306","2003","11","09"
"9.99","1.8018018018018018","2003","11","09"
