"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","1.7027027027027029","2003","03","23"
"13.0","1.3846153846153846","2003","03","31"
"11.0","1.6363636363636365","2003","04","12"
"9.99","1.5025025025025025","2003","04","16"
"11.0","1.4545454545454546","2003","04","16"
"9.0","1.5555555555555556","2003","04","16"
"11.99","1.5012510425354462","2003","05","05"
"9.0","1.7777777777777777","2003","05","05"
"11.0","1.5463636363636366","2003","05","05"
"9.99","1.4014014014014013","2003","05","05"
"9.0","1.8900000000000001","2003","05","06"
"9.99","1.6016016016016015","2003","05","06"
"8.01","1.873907615480649","2003","05","06"
"9.0","1.8900000000000001","2003","05","06"
"11.0","1.2727272727272727","2003","05","06"
"9.99","1.7027027027027029","2003","05","06"
"9.0","1.6677777777777778","2003","05","06"
"11.0","1.4545454545454546","2003","06","08"
"9.0","1.5555555555555556","2003","06","08"
"13.0","1.3846153846153846","2003","06","08"
"13.0","1.3846153846153846","2003","06","09"
"11.99","1.5012510425354462","2003","06","09"
"7.0","2.0","2003","06","19"
"9.99","1.4014014014014013","2003","06","21"
"9.0","1.6677777777777778","2003","06","23"
"9.99","1.4014014014014013","2003","07","02"
"11.0","1.5463636363636366","2003","07","04"
"11.0","1.5463636363636366","2003","07","04"
"11.99","1.4186822351959967","2003","07","04"
"14.0","1.2857142857142858","2003","07","04"
"11.0","1.5463636363636366","2003","07","04"
"9.0","1.6677777777777778","2003","07","14"
"13.0","1.3084615384615386","2003","07","24"
"11.99","1.5012510425354462","2003","07","24"
"13.0","1.3846153846153846","2003","08","02"
"11.0","1.7263636363636363","2003","08","02"
"11.0","1.2727272727272727","2003","08","02"
"9.99","1.6016016016016015","2003","11","09"
"11.0","1.7263636363636363","2003","11","29"
"14.0","1.3564285714285713","2003","11","29"
"11.0","1.7263636363636363","2003","11","29"
"6.01","2.662229617304493","2003","11","29"
"9.99","1.5025025025025025","2003","11","29"
"7.0","2.144285714285714","2003","11","29"
"17.01","1.529100529100529","2003","11","29"
"9.99","1.7027027027027029","2003","11","29"
"14.0","1.3564285714285713","2003","11","29"
"9.99","1.8018018018018018","2003","12","03"
"11.99","1.5012510425354462","2004","02","06"
"11.99","1.6680567139282736","2004","02","06"
"9.0","1.8900000000000001","2004","03","05"
"9.99","1.9009009009009008","2004","03","06"
"9.0","1.7777777777777777","2004","03","06"
"9.0","2.4444444444444446","2004","03","09"
