"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","1.4857142857142858","2011","10","06"
"0.87","1.0","2011","10","06"
"0.87","2.0114942528735633","2011","10","06"
"0.87","2.9885057471264367","2011","10","06"
"0.87","2.9885057471264367","2011","10","06"
"1.75","1.9885714285714287","2011","10","06"
"1.75","2.474285714285714","2011","10","06"
"3.48","1.7471264367816093","2011","10","07"
"0.87","2.0114942528735633","2011","10","07"
"0.87","2.0114942528735633","2011","10","07"
"0.87","2.9885057471264367","2011","10","07"
"3.48","1.2442528735632183","2011","10","07"
"0.87","4.0","2011","10","07"
"0.87","2.9885057471264367","2011","10","07"
"0.87","2.9885057471264367","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"1.75","1.0","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"1.75","1.4857142857142858","2011","10","08"
"0.87","2.0114942528735633","2011","10","09"
"0.87","1.0","2011","10","09"
"0.87","2.0114942528735633","2011","10","09"
"0.87","2.0114942528735633","2011","10","09"
"0.87","2.9885057471264367","2011","10","09"
"1.75","1.0","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"1.75","1.0","2011","10","10"
"0.87","1.0","2011","10","10"
"1.75","1.0","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"0.87","2.0114942528735633","2011","10","11"
"1.75","1.0","2011","10","11"
"0.87","2.9885057471264367","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","2.9885057471264367","2011","10","11"
"1.75","1.4857142857142858","2011","10","11"
"0.87","2.9885057471264367","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","1.0","2011","10","12"
"0.87","1.0","2011","10","12"
"0.87","1.0","2011","10","12"
"0.87","1.0","2011","10","12"
"0.87","2.0114942528735633","2011","10","12"
"0.87","4.977011494252873","2011","10","12"
"1.75","3.9771428571428573","2011","10","13"
"0.87","1.0","2011","10","13"
"0.87","1.0","2011","10","13"
"0.87","1.0","2011","10","13"
"0.87","2.0114942528735633","2011","10","13"
"0.87","2.0114942528735633","2011","10","13"
"0.87","1.0","2011","10","13"
"0.87","1.0","2011","10","13"
"0.87","2.0114942528735633","2011","10","14"
"0.87","1.0","2011","10","14"
"0.87","1.0","2011","10","14"
"0.87","1.0","2011","10","14"
"0.87","1.0","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"0.87","1.0","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"0.87","2.9885057471264367","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"0.87","4.0","2011","10","15"
"1.75","1.9885714285714287","2011","10","15"
"0.87","4.0","2011","10","15"
"4.33","1.0","2011","10","15"
"1.75","2.474285714285714","2011","10","15"
"0.87","2.9885057471264367","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.9885057471264367","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
