"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","1.0","2011","10","06"
"0.87","1.0","2011","10","06"
"0.87","2.9885057471264367","2011","10","07"
"2.6","1.0","2011","10","07"
"0.87","2.9885057471264367","2011","10","07"
"2.6","1.0","2011","10","07"
"0.87","4.0","2011","10","07"
"0.87","2.0114942528735633","2011","10","07"
"0.87","2.0114942528735633","2011","10","07"
"1.75","1.0","2011","10","07"
"0.87","2.0114942528735633","2011","10","08"
"1.75","1.0","2011","10","08"
"0.87","2.0114942528735633","2011","10","08"
"0.87","1.0","2011","10","08"
"0.87","2.0114942528735633","2011","10","09"
"0.87","2.0114942528735633","2011","10","09"
"0.87","2.9885057471264367","2011","10","09"
"0.87","2.0114942528735633","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"2.6","1.0","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"0.87","2.0114942528735633","2011","10","10"
"0.87","2.9885057471264367","2011","10","11"
"0.87","2.0114942528735633","2011","10","11"
"0.87","1.0","2011","10","12"
"0.87","4.0","2011","10","12"
"0.87","1.0","2011","10","12"
"1.75","1.9885714285714287","2011","10","13"
"3.48","1.2442528735632183","2011","10","13"
"0.87","2.9885057471264367","2011","10","13"
"0.87","1.0","2011","10","13"
"0.87","2.9885057471264367","2011","10","13"
"0.87","1.0","2011","10","14"
"1.75","1.0","2011","10","14"
"1.75","1.0","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"0.87","2.0114942528735633","2011","10","14"
"0.87","4.0","2011","10","15"
"0.87","2.9885057471264367","2011","10","15"
"0.87","4.0","2011","10","15"
"1.75","2.474285714285714","2011","10","15"
"0.87","4.0","2011","10","16"
"0.87","1.0","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"1.75","1.0","2011","10","16"
"0.87","2.0114942528735633","2011","10","16"
"0.87","2.0114942528735633","2011","10","17"
"0.87","2.0114942528735633","2011","10","17"
"0.87","1.0","2011","10","17"
"0.87","2.0114942528735633","2011","10","17"
"0.87","1.0","2011","10","17"
"0.87","2.0114942528735633","2011","10","17"
"0.87","2.0114942528735633","2011","10","17"
"1.75","1.0","2011","10","17"
"0.87","2.0114942528735633","2011","10","18"
"1.75","1.4857142857142858","2011","10","18"
"3.48","2.7413793103448274","2011","10","18"
"0.87","4.0","2011","10","18"
"1.75","1.0","2011","10","19"
"0.87","2.0114942528735633","2011","10","19"
"0.87","2.0114942528735633","2011","10","19"
"0.87","1.0","2011","10","20"
"0.87","1.0","2011","10","20"
"0.87","2.0114942528735633","2011","10","20"
"0.87","2.0114942528735633","2011","10","20"
"1.75","1.4857142857142858","2011","10","21"
"0.87","2.0114942528735633","2011","10","21"
"0.87","2.9885057471264367","2011","10","21"
"1.75","3.474285714285714","2011","10","22"
"7.81","1.2215108834827144","2011","10","22"
"3.48","1.7471264367816093","2011","10","22"
"5.21","1.4990403071017273","2011","10","22"
"1.75","3.474285714285714","2011","10","22"
"1.75","3.9771428571428573","2011","10","22"
"5.21","1.0","2011","10","22"
"2.6","3.6692307692307686","2011","10","22"
"2.6","2.6769230769230767","2011","10","23"
"8.69","1.2991944764096663","2011","10","23"
"4.33","2.6073903002309464","2011","10","23"
"1.75","2.474285714285714","2011","10","23"
"0.87","4.0","2011","10","23"
"0.87","2.0114942528735633","2011","10","24"
"0.87","1.0","2011","10","24"
"0.87","2.0114942528735633","2011","10","24"
"1.75","1.0","2011","10","24"
"0.87","2.0114942528735633","2011","10","24"
"0.87","2.0114942528735633","2011","10","25"
"1.75","1.0","2011","10","25"
"6.08","1.4292763157894737","2011","10","25"
"5.21","1.6679462571976966","2011","10","25"
"3.48","2.4971264367816093","2011","10","25"
"2.6","3.342307692307692","2011","10","25"
"1.75","3.474285714285714","2011","10","26"
"2.6","4.007692307692308","2011","10","26"
"1.75","1.9885714285714287","2011","10","26"
"0.87","2.0114942528735633","2011","10","27"
"0.87","2.9885057471264367","2011","10","27"
"0.87","4.0","2011","10","27"
"0.87","2.9885057471264367","2011","10","27"
"1.75","1.0","2011","10","27"
"0.87","2.0114942528735633","2011","10","27"
"0.87","4.977011494252873","2011","10","27"
"3.48","1.7471264367816093","2011","10","28"
"0.87","4.0","2011","10","28"
"0.87","2.9885057471264367","2011","10","28"
"1.75","3.474285714285714","2011","10","28"
"0.87","2.0114942528735633","2011","10","28"
"0.87","2.9885057471264367","2011","10","28"
"0.87","1.0","2011","10","29"
"1.75","1.0","2011","10","29"
"1.75","1.4857142857142858","2011","10","29"
"0.87","2.9885057471264367","2011","10","29"
"2.6","3.6692307692307686","2011","10","29"
"2.6","3.0038461538461534","2011","10","29"
"1.75","4.462857142857143","2011","10","29"
"1.75","3.474285714285714","2011","10","30"
"1.75","1.9885714285714287","2011","10","30"
"2.6","2.6769230769230767","2011","10","30"
"7.81","1.1126760563380282","2011","10","30"
"3.48","2.7413793103448274","2011","10","30"
"6.96","1.122126436781609","2011","10","30"
"1.75","1.9885714285714287","2011","10","30"
"2.6","3.0038461538461534","2011","10","31"
"1.75","3.9771428571428573","2011","10","31"
"0.87","2.9885057471264367","2011","10","31"
"5.21","1.0","2011","10","31"
"3.48","1.2442528735632183","2011","10","31"
"2.6","1.0","2011","10","31"
"2.6","2.003846153846154","2011","10","31"
"6.08","1.0","2011","10","31"
"0.87","2.0114942528735633","2011","10","31"
"1.75","1.0","2011","10","31"
"0.87","1.0","2011","10","31"
"0.87","1.0","2011","10","31"
"0.87","2.0114942528735633","2011","11","01"
"4.33","1.8036951501154732","2011","11","01"
"9.54","1.2756813417190778","2011","11","01"
"2.6","2.6769230769230767","2011","11","01"
"1.75","2.474285714285714","2011","11","02"
"0.87","2.0114942528735633","2011","11","02"
"0.87","1.0","2011","11","02"
"0.87","2.0114942528735633","2011","11","02"
"0.87","4.0","2011","11","03"
"1.75","1.4857142857142858","2011","11","03"
"0.87","2.9885057471264367","2011","11","03"
"1.75","1.4857142857142858","2011","11","03"
"0.87","2.9885057471264367","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","1.0","2011","11","03"
"0.87","2.0114942528735633","2011","11","03"
"0.87","4.0","2011","11","03"
"1.75","1.0","2011","11","04"
"0.87","1.0","2011","11","04"
"0.87","2.0114942528735633","2011","11","04"
"1.75","1.4857142857142858","2011","11","04"
"0.87","2.9885057471264367","2011","11","04"
"0.87","2.0114942528735633","2011","11","04"
"1.75","1.4857142857142858","2011","11","04"
"2.6","1.0","2011","11","04"
"0.87","2.9885057471264367","2011","11","04"
"0.87","1.0","2011","11","05"
"0.87","2.0114942528735633","2011","11","05"
"0.87","2.0114942528735633","2011","11","05"
"0.87","1.0","2011","11","05"
"0.87","1.0","2011","11","06"
"0.87","2.0114942528735633","2011","11","06"
"0.87","1.0","2011","11","06"
"1.75","1.0","2011","11","06"
"1.75","2.474285714285714","2011","11","06"
"1.75","4.462857142857143","2011","11","07"
"6.96","1.0","2011","11","07"
"4.33","1.6073903002309469","2011","11","07"
