"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"14.0","1.4285714285714286","2002","11","12"
"17.01","1.2933568489124043","2002","11","14"
"13.0","1.5384615384615385","2002","11","14"
"11.0","1.5463636363636366","2002","11","17"
"11.99","1.5838198498748957","2002","11","20"
"16.0","1.311875","2002","11","25"
"20.0","1.35","2002","11","26"
"15.01","1.5996002664890074","2002","11","26"
"20.0","1.35","2002","11","26"
"18.99","1.369668246445498","2002","11","26"
"17.01","1.6455026455026454","2002","11","26"
"24.01","1.2911286963765096","2002","11","26"
"27.99","1.3215434083601287","2002","11","26"
"24.01","1.4160766347355267","2002","11","26"
"22.0","1.5913636363636363","2002","11","27"
"25.0","1.3204","2002","11","27"
"20.99","1.572653644592663","2002","11","27"
"24.01","1.2490628904623071","2002","11","27"
"23.0","1.2169565217391303","2002","11","27"
"18.0","1.555","2002","11","27"
"18.0","1.3888888888888888","2002","11","27"
"25.0","1.24","2002","11","27"
"22.0","1.4090909090909092","2002","11","27"
"18.0","1.7222222222222223","2002","11","27"
"27.0","1.2966666666666666","2002","11","27"
"22.0","1.5004545454545453","2002","11","27"
"20.0","1.2005000000000001","2002","11","27"
"15.01","1.7328447701532312","2002","11","27"
"18.99","1.3164823591363877","2002","11","27"
"15.01","1.5323117921385743","2002","11","27"
"16.0","1.375","2002","11","27"
"13.0","1.5384615384615385","2002","11","29"
"15.01","1.2651565622918053","2002","12","07"
"15.01","1.3324450366422385","2002","12","07"
"14.0","1.499285714285714","2002","12","09"
"11.99","1.4186822351959967","2002","12","10"
"6.01","2.8302828618968388","2002","12","11"
"14.0","1.499285714285714","2002","12","11"
"23.0","1.5221739130434782","2002","12","11"
"20.99","1.3334921391138637","2002","12","11"
"22.0","1.4090909090909092","2002","12","11"
"18.99","1.369668246445498","2002","12","11"
"14.0","1.715","2002","12","11"
"11.0","1.5463636363636366","2002","12","11"
"11.0","1.4545454545454546","2002","12","11"
"8.01","1.9975031210986267","2002","12","12"
"18.0","1.445","2002","12","12"
"13.0","1.6923076923076923","2002","12","17"
"15.01","1.5323117921385743","2002","12","17"
"8.01","2.247191011235955","2002","12","17"
"15.01","1.3324450366422385","2002","12","17"
"13.0","1.3084615384615386","2002","12","17"
"9.99","1.5025025025025025","2002","12","22"
"14.0","1.4285714285714286","2002","12","23"
"18.99","1.3164823591363877","2002","12","23"
"17.01","1.469723691945914","2002","12","24"
"7.0","2.144285714285714","2002","12","24"
"14.0","1.3564285714285713","2003","01","01"
"20.0","1.3005","2003","01","06"
"22.0","1.363181818181818","2003","01","06"
"18.0","1.5","2003","01","06"
"16.0","1.6875","2003","01","06"
"20.99","1.3816102906145784","2003","01","06"
"24.01","1.2490628904623071","2003","01","06"
"20.0","1.6504999999999999","2003","01","06"
"16.0","1.375","2003","01","07"
"16.0","1.375","2003","01","07"
"13.0","1.4607692307692306","2003","01","18"
"13.0","1.5384615384615385","2003","01","18"
"11.99","1.6680567139282736","2003","01","18"
"11.99","1.5012510425354462","2003","01","22"
"11.99","1.6680567139282736","2003","01","22"
"14.0","1.4285714285714286","2003","01","22"
"17.01","1.5873015873015872","2003","01","22"
"18.0","1.333888888888889","2003","01","22"
"17.01","1.5873015873015872","2003","01","22"
"20.99","1.2863268222963318","2003","01","23"
"18.99","1.3164823591363877","2003","01","23"
"18.0","1.5","2003","01","23"
"16.0","1.625625","2003","01","23"
"13.0","1.4607692307692306","2003","01","23"
"16.0","1.375","2003","01","23"
"18.0","1.5","2003","01","23"
"14.0","1.3564285714285713","2003","01","23"
"14.0","1.4285714285714286","2003","01","30"
"13.0","1.5384615384615385","2003","01","30"
"8.01","1.873907615480649","2003","01","30"
"8.01","1.873907615480649","2003","01","30"
"14.0","1.5714285714285714","2003","02","02"
"16.0","1.625625","2003","02","02"
"20.0","1.3005","2003","02","02"
"9.99","1.7027027027027029","2003","02","04"
"8.01","1.873907615480649","2003","02","05"
"9.99","1.7027027027027029","2003","02","10"
"14.0","1.4285714285714286","2003","02","15"
"15.01","1.5996002664890074","2003","02","24"
"17.01","1.469723691945914","2003","02","24"
"14.0","1.215","2003","02","25"
"14.0","1.4285714285714286","2003","03","01"
"18.99","1.2111637704054767","2003","03","01"
"7.0","2.7128571428571426","2003","03","01"
"6.01","2.8302828618968388","2003","03","05"
"14.0","1.6428571428571428","2003","03","05"
"7.0","2.5714285714285716","2003","03","05"
"9.99","1.6016016016016015","2003","03","05"
"9.99","2.002002002002002","2003","03","05"
"9.99","1.7027027027027029","2003","03","06"
"11.99","1.4186822351959967","2003","03","06"
"11.99","1.5012510425354462","2003","03","06"
"11.99","1.5838198498748957","2003","03","06"
"15.01","1.3984010659560293","2003","03","07"
"9.99","1.8018018018018018","2003","03","07"
"15.01","1.2651565622918053","2003","03","07"
"14.0","1.4285714285714286","2003","03","07"
"11.99","1.3344453711426187","2003","03","07"
"6.01","3.327787021630616","2003","03","07"
"13.0","1.5384615384615385","2003","03","07"
"9.99","1.9009009009009008","2003","03","07"
"15.01","1.665556295802798","2003","03","07"
"9.0","2.11","2003","03","07"
"9.0","2.332222222222222","2003","03","07"
"9.99","1.6016016016016015","2003","03","07"
"9.0","1.6677777777777778","2003","03","08"
"15.01","1.4656895403064625","2003","03","08"
"8.01","1.9975031210986267","2003","03","08"
"11.99","1.4186822351959967","2003","03","08"
"11.99","1.8348623853211008","2003","03","08"
"9.0","2.11","2003","03","08"
"16.0","1.500625","2003","03","08"
"18.0","1.166111111111111","2003","03","08"
"18.99","1.3164823591363877","2003","03","08"
"11.0","1.6363636363636365","2003","03","08"
"11.99","1.7506255212677229","2003","03","08"
"13.0","1.5384615384615385","2003","03","08"
"9.0","1.7777777777777777","2003","03","09"
"13.0","1.3084615384615386","2003","03","09"
"9.0","2.0","2003","03","09"
"11.99","1.4186822351959967","2003","03","09"
"11.0","2.090909090909091","2003","03","09"
"18.99","1.4739336492890995","2003","03","09"
"13.0","1.9230769230769231","2003","03","09"
"13.0","1.8469230769230771","2003","03","09"
"11.0","1.3645454545454545","2003","03","10"
"15.01","1.3324450366422385","2003","03","10"
"16.0","1.311875","2003","03","10"
"16.0","1.311875","2003","03","12"
"11.99","1.7506255212677229","2003","03","12"
"11.99","1.5012510425354462","2003","03","12"
"9.0","1.5555555555555556","2003","03","12"
"8.01","1.873907615480649","2003","03","12"
"11.0","2.0","2003","03","12"
"9.0","2.0","2003","03","12"
"15.01","1.4656895403064625","2003","03","12"
"16.0","1.5625","2003","03","12"
"11.0","2.182727272727273","2003","03","12"
"13.0","1.7692307692307692","2003","03","12"
"16.0","1.749375","2003","03","12"
"18.0","1.5","2003","03","12"
"20.0","1.45","2003","03","12"
"20.99","1.2863268222963318","2003","03","12"
"15.01","1.665556295802798","2003","03","12"
"18.0","1.5","2003","03","12"
"17.01","1.469723691945914","2003","03","12"
"14.0","1.499285714285714","2003","03","13"
"14.0","1.715","2003","03","13"
"15.01","1.3324450366422385","2003","03","13"
"9.99","1.7027027027027029","2003","03","13"
"17.01","1.2339800117577893","2003","03","13"
"15.01","1.5996002664890074","2003","03","13"
"13.0","1.4607692307692306","2003","03","13"
"7.0","2.5714285714285716","2003","03","13"
"14.0","1.4285714285714286","2003","03","13"
"11.99","1.4186822351959967","2003","03","13"
"9.0","2.11","2003","03","16"
"9.0","2.0","2003","03","16"
"11.99","1.9182652210175146","2003","03","16"
"17.01","1.2339800117577893","2003","03","16"
"27.99","1.4648088603072527","2003","03","16"
"17.01","1.4115226337448559","2003","03","17"
"9.0","1.8900000000000001","2003","03","18"
"15.01","1.3984010659560293","2003","03","18"
"15.01","1.4656895403064625","2003","03","29"
"15.01","1.3984010659560293","2003","03","30"
"18.0","1.333888888888889","2003","03","30"
"9.0","2.332222222222222","2003","04","01"
"14.0","1.499285714285714","2003","04","01"
"15.01","1.2651565622918053","2003","04","01"
"15.01","1.3324450366422385","2003","04","01"
"9.99","1.7027027027027029","2003","04","02"
"15.01","1.3324450366422385","2003","04","06"
"18.0","1.2222222222222223","2003","04","06"
"18.0","1.3888888888888888","2003","04","07"
"17.01","1.3521457965902408","2003","04","07"
"11.99","1.9182652210175146","2003","04","07"
"11.0","1.6363636363636365","2003","04","10"
"13.0","1.5384615384615385","2003","04","10"
"9.99","1.7027027027027029","2003","04","10"
"16.0","1.186875","2003","04","13"
"16.0","1.311875","2003","04","16"
"9.99","2.002002002002002","2003","04","22"
"11.99","1.5012510425354462","2003","04","22"
"7.0","2.2857142857142856","2003","04","22"
"14.0","1.215","2003","04","24"
"14.0","1.499285714285714","2003","04","27"
"11.99","1.5012510425354462","2003","04","27"
"15.01","1.3984010659560293","2003","04","27"
"11.0","1.3645454545454545","2003","05","01"
"11.99","1.4186822351959967","2003","05","01"
"9.0","1.6677777777777778","2003","05","01"
"11.99","1.2518765638031693","2003","05","01"
"13.0","1.3846153846153846","2003","05","02"
"13.0","1.3846153846153846","2003","05","02"
"11.0","1.6363636363636365","2003","05","02"
"13.0","1.4607692307692306","2003","05","02"
"11.99","1.5012510425354462","2003","05","03"
"8.01","2.247191011235955","2003","05","03"
"9.99","1.6016016016016015","2003","05","03"
"15.01","1.2651565622918053","2003","05","03"
"17.01","1.5873015873015872","2003","05","03"
"11.0","1.7263636363636363","2003","05","03"
"9.99","1.8018018018018018","2003","05","03"
"9.99","1.8018018018018018","2003","05","03"
"8.01","2.3707865168539324","2003","05","03"
"9.0","1.7777777777777777","2003","05","03"
"9.99","2.1011011011011007","2003","05","03"
"11.0","1.3645454545454545","2003","05","04"
"8.01","2.1235955056179776","2003","05","04"
"11.99","1.5012510425354462","2003","05","04"
"14.0","1.3564285714285713","2003","05","04"
