"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","1.6677777777777778","2003","01","07"
"11.99","1.3344453711426187","2003","01","07"
"15.01","1.2651565622918053","2003","09","21"
"13.0","1.4607692307692306","2003","11","09"
"16.0","1.500625","2003","11","29"
"7.0","3.2857142857142856","2003","11","30"
"14.0","1.8578571428571429","2003","11","30"
"11.99","1.5838198498748957","2004","03","30"
"11.0","1.6363636363636365","2004","09","27"
"13.0","1.3846153846153846","2004","11","02"
"11.99","1.7506255212677229","2004","11","02"
"9.0","2.2222222222222223","2004","12","03"
"22.0","1.4090909090909092","2005","03","11"
"11.99","1.3344453711426187","2005","06","18"
"14.0","1.3564285714285713","2006","01","22"
"14.0","1.6428571428571428","2006","01","23"
"11.99","1.4186822351959967","2006","01","23"
"9.0","1.6677777777777778","2006","02","08"
"20.0","1.3995","2006","04","28"
"11.99","1.8348623853211008","2006","04","28"
"11.0","1.4545454545454546","2006","04","28"
"9.99","1.8018018018018018","2006","12","26"
"9.99","1.5025025025025025","2007","01","05"
"13.0","1.3084615384615386","2007","01","05"
"18.99","1.4218009478672986","2007","01","07"
"18.0","1.5","2007","01","07"
"16.0","1.625625","2007","01","07"
"13.0","1.6146153846153846","2007","01","07"
"11.0","1.908181818181818","2007","01","07"
"11.0","1.8181818181818181","2007","01","08"
"11.99","1.3344453711426187","2007","01","24"
"16.0","1.311875","2007","01","24"
"15.01","1.5323117921385743","2007","01","24"
"9.0","2.332222222222222","2007","01","25"
"15.01","1.3324450366422385","2007","01","25"
"15.01","1.3984010659560293","2007","01","25"
"13.0","1.4607692307692306","2007","01","25"
"11.99","1.3344453711426187","2007","01","25"
"14.0","1.4285714285714286","2007","03","15"
"13.0","1.7692307692307692","2007","03","15"
"9.0","2.0","2007","10","24"
"11.99","1.6680567139282736","2008","02","15"
"14.0","1.4285714285714286","2008","02","15"
"20.0","1.2005000000000001","2008","04","17"
"18.0","1.333888888888889","2008","04","17"
"13.0","2.000769230769231","2008","04","17"
"11.99","1.7506255212677229","2008","04","17"
"9.0","1.5555555555555556","2008","05","29"
"11.0","1.6363636363636365","2008","10","23"
"18.0","1.5","2008","10","24"
"15.01","1.798800799467022","2008","10","24"
"14.0","1.2857142857142858","2008","10","24"
"11.99","1.4186822351959967","2008","10","25"
"7.0","2.43","2008","10","25"
"11.99","2.16930775646372","2008","10","25"
"13.0","2.000769230769231","2008","10","25"
"8.01","2.247191011235955","2008","10","25"
"5.0","3.2","2008","10","25"
"11.0","1.3645454545454545","2008","12","01"
"11.99","1.5012510425354462","2008","12","01"
