"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.01","2.662229617304493","2004","03","30"
"11.0","1.6363636363636365","2005","03","06"
"8.01","1.7478152309612984","2005","04","04"
"8.01","1.7478152309612984","2005","04","04"
"8.01","1.873907615480649","2005","10","24"
"6.01","2.995008319467554","2005","12","20"
"7.0","2.144285714285714","2006","04","18"
"11.0","1.7263636363636363","2006","10","26"
"9.0","1.8900000000000001","2007","01","03"
"8.01","1.873907615480649","2007","01","05"
"6.01","2.329450915141431","2007","01","05"
"7.0","2.0","2007","01","15"
"8.01","2.1235955056179776","2007","01","20"
"13.0","2.153076923076923","2007","03","09"
"15.01","2.2651565622918053","2007","03","09"
"8.01","1.9975031210986267","2007","03","17"
"9.99","1.9009009009009008","2007","04","05"
"11.99","1.5838198498748957","2007","04","06"
"11.0","1.8181818181818181","2007","04","06"
"8.01","1.873907615480649","2007","04","06"
"15.01","1.665556295802798","2007","04","06"
"7.0","2.2857142857142856","2007","05","17"
"7.0","2.0","2008","04","13"
"11.0","1.5463636363636366","2008","09","08"
"11.0","1.4545454545454546","2008","10","04"
"11.0","1.6363636363636365","2011","02","28"
"13.0","1.4607692307692306","2011","03","09"
"16.0","1.375","2011","12","27"
"13.0","1.8469230769230771","2011","12","27"
"20.0","1.8","2014","03","12"
"20.0","1.8","2014","03","12"
"4.0","4.5","2014","11","21"
"4.0","4.5","2014","11","21"
"9.0","2.0","2018","02","23"
"9.0","2.0","2018","02","23"
"9.0","2.0","2018","02","23"
"9.0","2.0","2018","02","23"
"9.0","2.0","2018","02","23"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"6.01","2.995008319467554","2018","03","01"
"11.99","1.5012510425354462","2019","02","22"
"11.99","1.5012510425354462","2019","02","22"
"11.99","1.5012510425354462","2019","02","22"
