"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"14.0","1.4285714285714286","2003","01","07"
"11.0","1.4545454545454546","2003","02","08"
"8.01","1.7478152309612984","2003","02","21"
"9.99","1.4014014014014013","2003","02","21"
"9.0","1.6677777777777778","2003","03","05"
"7.0","2.0","2003","03","23"
"8.01","1.9975031210986267","2003","03","23"
"11.0","1.7263636363636363","2003","03","23"
"8.01","1.7478152309612984","2003","04","12"
"7.0","2.0","2003","04","27"
"11.0","1.6363636363636365","2003","11","01"
"6.01","2.497504159733777","2003","11","10"
"5.0","3.002","2003","11","14"
"6.01","2.995008319467554","2003","11","18"
"8.01","2.620474406991261","2003","11","18"
"7.0","3.2857142857142856","2003","11","18"
"8.01","2.4968789013732833","2003","12","20"
"8.01","1.873907615480649","2004","01","25"
"11.0","1.5463636363636366","2004","03","05"
"8.01","1.9975031210986267","2004","03","09"
"8.01","1.9975031210986267","2004","03","09"
"6.01","2.497504159733777","2004","03","16"
"6.01","2.497504159733777","2004","03","16"
"6.01","2.329450915141431","2004","04","15"
"9.0","2.0","2004","06","09"
"8.01","2.1235955056179776","2004","06","09"
"7.0","2.43","2004","06","09"
"9.0","2.0","2004","06","10"
"9.0","2.2222222222222223","2004","09","14"
"9.0","2.332222222222222","2004","11","21"
"13.0","2.539230769230769","2004","12","19"
"7.0","2.5714285714285716","2004","12","20"
"8.01","1.873907615480649","2004","12","26"
"8.01","1.9975031210986267","2004","12","26"
"13.0","1.6146153846153846","2004","12","30"
"9.0","1.8900000000000001","2005","01","11"
"6.01","2.662229617304493","2005","02","02"
"8.01","1.7478152309612984","2005","05","22"
"13.0","1.5384615384615385","2005","06","01"
"8.01","1.9975031210986267","2005","06","01"
"11.0","1.2727272727272727","2005","06","17"
"11.0","1.3645454545454545","2005","06","17"
"9.99","1.9009009009009008","2005","12","04"
"8.01","2.3707865168539324","2006","01","23"
"9.0","1.5555555555555556","2006","01","28"
"8.01","2.4968789013732833","2006","01","28"
"8.01","1.873907615480649","2006","01","29"
"8.01","2.1235955056179776","2006","01","29"
"11.0","2.5445454545454544","2006","01","29"
"11.0","2.5445454545454544","2006","01","29"
"7.0","2.2857142857142856","2006","02","08"
"4.0","4.7475","2006","02","08"
"9.99","2.3023023023023024","2006","02","21"
"9.99","2.002002002002002","2006","02","21"
"9.0","2.11","2006","02","21"
"9.99","1.7027027027027029","2006","02","22"
"8.01","1.9975031210986267","2006","02","22"
"6.01","2.329450915141431","2006","02","22"
"8.01","2.3707865168539324","2006","02","22"
"7.0","2.0","2006","02","22"
"11.99","1.4186822351959967","2006","02","22"
"8.01","2.247191011235955","2006","02","23"
"11.99","1.6680567139282736","2006","02","23"
"7.0","2.0","2006","03","04"
"14.0","1.499285714285714","2006","03","08"
"14.0","1.5714285714285714","2006","03","14"
"15.01","1.3984010659560293","2006","03","14"
"8.01","2.247191011235955","2006","03","14"
"9.0","1.7777777777777777","2006","03","16"
"5.0","3.402","2006","04","14"
"5.0","3.2","2006","06","29"
"8.01","2.3707865168539324","2006","10","19"
"15.01","1.5996002664890074","2006","10","24"
"14.0","1.6428571428571428","2006","10","24"
"15.01","1.4656895403064625","2006","10","24"
"11.0","1.6363636363636365","2006","10","24"
"11.99","1.5012510425354462","2006","10","25"
"9.0","2.332222222222222","2006","11","21"
"11.0","1.6363636363636365","2006","11","23"
"11.0","1.6363636363636365","2006","11","23"
"9.99","1.7027027027027029","2006","11","23"
"8.01","2.1235955056179776","2006","11","23"
"15.01","1.9980013324450365","2006","12","21"
"11.0","1.5463636363636366","2007","01","05"
"17.01","1.469723691945914","2007","01","07"
"18.0","1.666111111111111","2007","01","07"
"23.0","1.4352173913043478","2007","01","07"
"15.01","1.8647568287808127","2007","01","07"
"20.0","1.7505","2007","01","07"
