"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"8.01","1.9975031210986267","2002","11","08"
"8.01","1.7478152309612984","2002","11","12"
"9.0","1.7777777777777777","2002","12","14"
"11.99","1.6680567139282736","2002","12","30"
"9.0","1.5555555555555556","2003","01","21"
"9.99","1.6016016016016015","2003","01","22"
"11.99","1.6680567139282736","2003","01","22"
"11.0","1.6363636363636365","2003","01","24"
"8.01","1.873907615480649","2003","01","26"
"9.0","1.6677777777777778","2003","02","15"
"8.01","1.7478152309612984","2003","03","07"
"9.0","1.6677777777777778","2003","03","07"
"9.99","1.7027027027027029","2003","03","08"
"8.01","2.247191011235955","2003","03","09"
"14.0","1.715","2003","03","12"
"9.0","1.6677777777777778","2003","04","13"
"13.0","1.3846153846153846","2003","04","27"
"11.99","1.4186822351959967","2003","05","03"
"13.0","1.3846153846153846","2003","05","03"
"6.01","2.329450915141431","2003","06","13"
"9.99","1.7027027027027029","2003","07","20"
"11.0","1.4545454545454546","2003","08","18"
"11.0","1.8181818181818181","2003","08","23"
"11.0","1.3645454545454545","2003","08","25"
"9.99","1.5025025025025025","2003","09","18"
"16.0","1.311875","2003","10","20"
"11.0","1.5463636363636366","2003","10","21"
"9.99","1.6016016016016015","2003","10","24"
"11.99","1.9182652210175146","2003","10","28"
"7.0","2.43","2003","11","25"
"9.0","1.8900000000000001","2003","12","11"
"9.0","1.7777777777777777","2003","12","11"
"9.99","1.5025025025025025","2004","01","01"
"9.0","1.5555555555555556","2004","01","08"
"8.01","1.7478152309612984","2004","01","08"
"9.99","1.7027027027027029","2004","01","24"
"11.0","1.3645454545454545","2004","01","28"
"15.01","1.3324450366422385","2004","01","29"
"17.01","1.529100529100529","2004","02","16"
"17.01","1.2933568489124043","2004","02","16"
"14.0","1.4285714285714286","2004","03","18"
"13.0","1.5384615384615385","2004","03","21"
"15.01","1.3324450366422385","2004","04","11"
"9.99","1.6016016016016015","2004","04","27"
"16.0","1.4375","2004","05","21"
"20.99","1.2391615054787997","2004","05","21"
"17.01","1.2933568489124043","2004","05","21"
"14.0","1.4285714285714286","2004","05","22"
"18.0","1.445","2004","05","22"
"11.99","1.6680567139282736","2004","10","19"
"13.0","1.2307692307692308","2004","10","19"
"14.0","1.499285714285714","2004","12","08"
"16.0","1.6875","2004","12","08"
"20.99","1.2391615054787997","2004","12","08"
"18.99","1.3164823591363877","2004","12","08"
"20.0","1.3005","2004","12","08"
"16.0","1.625625","2004","12","26"
"14.0","1.5714285714285714","2004","12","26"
"17.01","1.1757789535567311","2004","12","26"
"16.0","1.375","2004","12","26"
"17.01","1.3521457965902408","2004","12","30"
"17.01","1.2339800117577893","2004","12","30"
"16.0","1.311875","2004","12","30"
"9.99","1.6016016016016015","2004","12","31"
"16.0","1.4375","2005","01","06"
"18.99","1.7382833070036863","2005","01","08"
"13.0","1.5384615384615385","2005","01","11"
"16.0","1.25","2005","01","11"
"9.0","2.11","2005","01","16"
"11.99","1.5012510425354462","2005","01","25"
"9.99","1.4014014014014013","2005","02","04"
"16.0","1.6875","2005","03","18"
"17.01","1.3521457965902408","2005","03","19"
"18.99","1.369668246445498","2005","03","19"
"11.99","1.6680567139282736","2005","03","20"
"11.99","1.4186822351959967","2005","03","26"
"9.99","1.6016016016016015","2005","06","04"
"13.0","1.6923076923076923","2005","11","27"
"13.0","1.4607692307692306","2005","11","28"
"16.0","1.375","2005","12","20"
"15.01","1.2651565622918053","2005","12","26"
"7.0","2.144285714285714","2006","02","22"
"14.0","1.715","2006","03","01"
"17.01","1.3521457965902408","2006","03","02"
"13.0","1.5384615384615385","2006","03","15"
"9.99","1.8018018018018018","2006","03","15"
"11.99","1.2518765638031693","2006","03","15"
"11.0","1.7263636363636363","2006","03","16"
"9.0","1.6677777777777778","2006","03","19"
"5.0","2.8","2006","03","19"
"8.01","2.1235955056179776","2006","03","20"
"11.99","1.3344453711426187","2006","03","24"
"9.99","1.5025025025025025","2006","09","14"
"9.99","1.7027027027027029","2006","09","14"
"11.0","1.3645454545454545","2006","09","15"
"9.0","1.8900000000000001","2006","11","02"
"13.0","1.3084615384615386","2006","11","02"
"7.0","2.144285714285714","2006","11","02"
"14.0","1.2857142857142858","2006","11","04"
"8.01","1.9975031210986267","2006","11","04"
"17.01","1.4115226337448559","2006","11","06"
"15.01","1.5996002664890074","2006","11","06"
"9.0","2.4444444444444446","2006","11","10"
"13.0","1.4607692307692306","2006","11","21"
"11.99","1.5838198498748957","2006","11","21"
"13.0","1.6146153846153846","2006","11","23"
"13.0","1.5384615384615385","2006","11","23"
"11.99","1.5012510425354462","2006","11","26"
"9.99","1.7027027027027029","2006","11","27"
"11.0","1.6363636363636365","2006","11","27"
"7.0","2.0","2006","11","27"
"8.01","1.7478152309612984","2006","11","29"
"8.01","1.7478152309612984","2006","12","01"
"8.01","1.873907615480649","2006","12","06"
"8.01","1.9975031210986267","2006","12","12"
"17.01","1.2933568489124043","2006","12","13"
"8.01","2.1235955056179776","2006","12","20"
"15.01","1.5996002664890074","2006","12","28"
"9.0","1.6677777777777778","2006","12","28"
"7.0","2.43","2007","01","10"
"11.99","1.5012510425354462","2007","01","10"
"11.99","1.9182652210175146","2007","01","10"
"8.01","1.873907615480649","2007","01","18"
"11.0","1.908181818181818","2007","02","07"
"13.0","1.5384615384615385","2007","02","09"
"9.0","1.6677777777777778","2007","02","13"
"9.99","1.6016016016016015","2007","02","14"
"15.01","1.3324450366422385","2007","02","24"
"14.0","1.4285714285714286","2007","02","24"
"9.99","1.6016016016016015","2007","03","31"
"13.0","1.3846153846153846","2007","03","31"
"9.99","1.4014014014014013","2007","04","02"
"11.0","1.8181818181818181","2007","04","03"
"11.0","1.3645454545454545","2007","04","05"
"14.0","1.5714285714285714","2007","04","05"
"11.0","1.3645454545454545","2007","05","03"
"9.0","1.6677777777777778","2007","06","19"
"9.0","1.6677777777777778","2007","06","25"
"11.0","1.6363636363636365","2007","10","10"
"11.99","1.7506255212677229","2007","10","10"
"9.99","1.5025025025025025","2007","10","23"
"14.0","1.4285714285714286","2007","10","23"
"14.0","1.5714285714285714","2007","10","23"
"11.0","1.4545454545454546","2007","11","05"
"11.0","1.3645454545454545","2007","11","06"
"11.0","1.5463636363636366","2007","11","08"
"9.99","1.7027027027027029","2007","11","10"
"14.0","1.2857142857142858","2007","11","15"
"9.99","1.7027027027027029","2007","12","01"
"7.0","2.0","2007","12","01"
"11.99","1.9182652210175146","2007","12","03"
"13.0","1.5384615384615385","2007","12","04"
"15.01","1.3324450366422385","2007","12","04"
"14.0","1.5714285714285714","2007","12","04"
"18.99","1.2643496577145867","2007","12","04"
"9.0","1.7777777777777777","2007","12","11"
"9.0","1.6677777777777778","2007","12","11"
"14.0","1.2857142857142858","2007","12","16"
"13.0","1.6146153846153846","2007","12","27"
"18.0","1.555","2007","12","27"
"15.01","1.5996002664890074","2007","12","27"
"13.0","1.3846153846153846","2007","12","28"
"15.01","1.665556295802798","2008","01","08"
"13.0","1.3084615384615386","2008","01","08"
"11.99","1.6680567139282736","2008","01","08"
"11.0","1.4545454545454546","2008","01","09"
"11.0","1.5463636363636366","2008","01","10"
"15.01","1.3984010659560293","2008","01","10"
"11.99","1.7506255212677229","2008","01","10"
"11.99","1.5012510425354462","2008","01","10"
"15.01","1.8647568287808127","2008","01","27"
"9.99","2.002002002002002","2008","01","27"
"11.0","1.7263636363636363","2008","01","27"
"15.01","1.3984010659560293","2008","01","27"
"11.0","1.8181818181818181","2008","01","27"
"13.0","1.4607692307692306","2008","01","27"
"16.0","1.4375","2008","01","27"
"9.99","1.9009009009009008","2008","01","28"
"17.01","1.529100529100529","2008","01","28"
"15.01","1.3324450366422385","2008","01","28"
"11.99","1.5838198498748957","2008","01","30"
"18.0","1.5","2008","01","31"
"18.0","1.333888888888889","2008","01","31"
"14.0","1.715","2008","01","31"
"17.01","1.469723691945914","2008","01","31"
"13.0","1.3846153846153846","2008","01","31"
"17.01","1.3521457965902408","2008","02","09"
"14.0","1.999285714285714","2008","02","09"
"11.0","2.909090909090909","2008","02","09"
"11.0","1.908181818181818","2008","02","09"
"11.0","1.908181818181818","2008","02","09"
"9.0","2.2222222222222223","2008","02","09"
"17.01","1.2933568489124043","2008","02","09"
"14.0","1.499285714285714","2008","02","29"
"15.01","1.3984010659560293","2008","02","29"
"11.99","1.6680567139282736","2008","02","29"
"16.0","1.5625","2008","03","10"
"11.99","1.6680567139282736","2008","03","10"
"11.99","1.4186822351959967","2008","03","13"
"9.99","2.002002002002002","2008","04","18"
"8.01","2.1235955056179776","2008","04","18"
"13.0","1.4607692307692306","2008","04","18"
"14.0","1.499285714285714","2008","04","18"
"18.0","1.5","2008","04","18"
"15.01","1.7328447701532312","2008","04","18"
"15.01","1.4656895403064625","2008","04","18"
"14.0","1.715","2008","04","18"
