"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.0","2.0","2002","11","10"
"9.0","1.5555555555555556","2002","11","13"
"9.0","1.5555555555555556","2002","11","17"
"11.0","1.2727272727272727","2002","11","25"
"9.0","1.6677777777777778","2002","11","25"
"11.0","1.2727272727272727","2002","11","25"
"9.99","1.5025025025025025","2002","11","25"
"11.0","1.3645454545454545","2002","11","25"
"11.0","1.5463636363636366","2002","11","26"
"9.0","1.5555555555555556","2002","11","26"
"13.0","1.2307692307692308","2002","11","26"
"11.99","1.3344453711426187","2002","11","26"
"11.0","1.5463636363636366","2002","11","26"
"11.0","1.6363636363636365","2002","11","26"
"13.0","1.5384615384615385","2002","11","26"
"11.99","1.5012510425354462","2002","11","26"
"11.0","1.5463636363636366","2002","11","26"
"11.0","1.6363636363636365","2002","11","26"
"11.0","1.5463636363636366","2002","11","26"
"11.0","1.908181818181818","2002","11","26"
"11.0","1.4545454545454546","2002","11","26"
"6.01","2.329450915141431","2002","11","26"
"9.99","1.6016016016016015","2002","11","27"
"8.01","1.7478152309612984","2002","11","29"
"9.0","1.5555555555555556","2002","11","30"
"9.99","1.4014014014014013","2002","12","07"
"9.0","1.5555555555555556","2002","12","08"
"9.99","1.7027027027027029","2002","12","09"
"9.0","1.6677777777777778","2002","12","09"
"11.99","1.5012510425354462","2002","12","09"
"8.01","1.7478152309612984","2002","12","11"
"11.0","1.3645454545454545","2002","12","22"
"9.0","2.0","2002","12","22"
"11.0","1.3645454545454545","2002","12","22"
"9.99","1.8018018018018018","2002","12","22"
"9.0","2.0","2002","12","22"
"13.0","1.4607692307692306","2002","12","22"
"11.0","1.3645454545454545","2002","12","31"
"4.0","4.0","2003","01","06"
"5.0","2.8","2003","01","15"
"8.01","1.7478152309612984","2003","01","19"
"9.99","1.4014014014014013","2003","01","30"
"11.0","1.3645454545454545","2003","02","02"
"11.0","1.2727272727272727","2003","02","02"
"9.0","1.5555555555555556","2003","02","02"
"13.0","1.3846153846153846","2003","02","17"
"9.99","1.5025025025025025","2003","02","24"
"11.0","1.5463636363636366","2003","02","24"
"8.01","1.7478152309612984","2003","03","01"
"9.0","1.5555555555555556","2003","03","05"
"9.99","1.7027027027027029","2003","03","05"
"9.99","1.6016016016016015","2003","03","05"
"9.0","2.2222222222222223","2003","03","05"
"15.01","1.8647568287808127","2003","03","05"
"13.0","1.8469230769230771","2003","03","05"
"14.0","2.0714285714285716","2003","03","05"
"16.0","1.6875","2003","03","05"
"15.01","1.7328447701532312","2003","03","05"
"11.0","2.090909090909091","2003","03","05"
"14.0","1.6428571428571428","2003","03","05"
"11.99","2.085070892410342","2003","03","05"
"13.0","1.6146153846153846","2003","03","06"
"11.0","1.5463636363636366","2003","03","06"
"8.01","1.7478152309612984","2003","03","06"
"6.01","2.662229617304493","2003","03","06"
"8.01","2.3707865168539324","2003","03","06"
"5.0","3.402","2003","03","06"
"7.0","2.43","2003","03","06"
"9.0","1.5555555555555556","2003","03","06"
"5.0","2.8","2003","03","07"
"6.01","2.8302828618968388","2003","03","07"
"9.99","1.5025025025025025","2003","03","07"
"13.0","1.3084615384615386","2003","03","07"
"11.0","1.5463636363636366","2003","03","07"
"11.99","1.8348623853211008","2003","03","07"
"7.0","2.998571428571428","2003","03","07"
"11.0","1.2727272727272727","2003","03","07"
"11.99","1.3344453711426187","2003","03","07"
"6.01","3.492512479201331","2003","03","07"
"9.99","1.7027027027027029","2003","03","07"
"11.99","1.3344453711426187","2003","03","07"
"9.99","2.002002002002002","2003","03","07"
"5.0","3.402","2003","03","07"
"9.0","2.11","2003","03","07"
"9.99","1.6016016016016015","2003","03","07"
"11.0","1.8181818181818181","2003","03","07"
"11.99","1.5838198498748957","2003","03","07"
"9.0","1.5555555555555556","2003","03","07"
"11.0","1.8181818181818181","2003","03","07"
"11.99","1.5838198498748957","2003","03","07"
"8.01","2.1235955056179776","2003","03","07"
"15.01","2.1319120586275817","2003","03","07"
"17.01","1.3521457965902408","2003","03","07"
"15.01","1.5323117921385743","2003","03","07"
"15.01","1.3984010659560293","2003","03","07"
"11.0","1.8181818181818181","2003","03","07"
"9.0","2.4444444444444446","2003","03","07"
"9.0","2.332222222222222","2003","03","07"
"13.0","1.6923076923076923","2003","03","07"
"11.0","2.090909090909091","2003","03","07"
"14.0","2.0714285714285716","2003","03","07"
"11.0","2.090909090909091","2003","03","07"
"15.01","1.5996002664890074","2003","03","07"
"13.0","2.153076923076923","2003","03","07"
"11.99","2.16930775646372","2003","03","07"
"15.01","2.06528980679547","2003","03","08"
"9.99","2.4034034034034035","2003","03","08"
"15.01","1.7328447701532312","2003","03","08"
