"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","2.0","2002","11","06"
"7.0","2.857142857142857","2002","11","06"
"11.99","1.9182652210175146","2002","11","06"
"8.01","2.3707865168539324","2002","11","06"
"9.99","1.9009009009009008","2002","11","06"
"9.99","2.4034034034034035","2002","11","13"
"5.0","3.402","2002","11","13"
"7.0","2.144285714285714","2002","11","13"
"6.01","2.662229617304493","2002","11","21"
"7.0","2.857142857142857","2002","11","21"
"14.0","1.499285714285714","2002","11","21"
"14.0","1.499285714285714","2002","11","21"
"9.99","1.6016016016016015","2002","11","21"
"8.01","2.620474406991261","2002","11","27"
"9.0","2.0","2002","11","27"
"7.0","2.43","2002","12","08"
"11.99","1.9182652210175146","2002","12","09"
"8.01","3.370786516853933","2002","12","09"
"9.99","2.002002002002002","2002","12","11"
"7.0","3.2857142857142856","2002","12","11"
"8.01","2.620474406991261","2002","12","12"
"11.99","2.16930775646372","2002","12","13"
"11.99","1.5838198498748957","2002","12","13"
"9.0","2.0","2002","12","13"
"11.0","1.6363636363636365","2002","12","15"
"17.01","1.469723691945914","2002","12","16"
"16.0","1.5625","2002","12","24"
"14.0","1.6428571428571428","2002","12","24"
"13.0","1.7692307692307692","2002","12","24"
"6.01","2.662229617304493","2002","12","24"
"9.0","1.5555555555555556","2002","12","28"
"2.99","4.682274247491638","2002","12","30"
"9.0","1.8900000000000001","2002","12","30"
"9.99","1.7027027027027029","2002","12","30"
"5.0","3.402","2002","12","30"
"7.0","2.5714285714285716","2002","12","30"
"11.0","1.2727272727272727","2002","12","31"
"8.01","2.1235955056179776","2003","01","01"
"11.0","1.3645454545454545","2003","01","01"
"9.99","1.6016016016016015","2003","01","01"
"13.0","1.4607692307692306","2003","01","01"
"9.0","1.5555555555555556","2003","01","01"
"6.01","2.497504159733777","2003","01","01"
"5.0","3.6","2003","01","01"
"9.0","1.7777777777777777","2003","01","04"
"7.0","2.0","2003","01","05"
"11.99","1.3344453711426187","2003","01","05"
"9.0","1.5555555555555556","2003","01","05"
"9.99","1.6016016016016015","2003","01","05"
"7.0","3.43","2003","01","05"
"2.99","5.020066889632107","2003","01","06"
"7.0","2.144285714285714","2003","01","06"
"11.0","1.6363636363636365","2003","01","06"
"9.0","1.6677777777777778","2003","01","18"
"11.99","1.6680567139282736","2003","01","29"
"11.0","2.0","2003","03","13"
"16.0","1.4375","2003","03","13"
"18.99","1.4739336492890995","2003","03","13"
"14.0","1.715","2003","03","13"
"13.0","1.3846153846153846","2003","03","13"
"15.01","1.3984010659560293","2003","03","13"
"11.0","1.4545454545454546","2003","03","13"
"11.0","1.7263636363636363","2003","03","13"
"7.0","2.144285714285714","2003","03","13"
"11.0","1.6363636363636365","2003","03","14"
"9.99","1.8018018018018018","2003","03","14"
"6.01","2.329450915141431","2003","03","14"
"11.99","1.3344453711426187","2003","03","14"
"11.99","1.8348623853211008","2003","03","14"
"11.99","3.2518765638031693","2003","03","16"
"9.0","1.7777777777777777","2003","03","16"
"7.0","2.857142857142857","2003","03","17"
"2.99","4.682274247491638","2003","03","17"
"11.0","1.4545454545454546","2003","03","30"
"7.0","2.144285714285714","2003","03","30"
"9.0","1.5555555555555556","2003","03","30"
"4.0","3.5","2003","03","30"
"9.99","1.7027027027027029","2003","03","30"
"11.0","1.4545454545454546","2003","03","30"
"6.01","2.329450915141431","2003","03","30"
"7.0","2.144285714285714","2003","03","30"
"8.01","2.247191011235955","2003","04","10"
"9.99","1.9009009009009008","2003","04","10"
"9.99","1.6016016016016015","2003","04","22"
"4.0","4.2525","2003","04","22"
"6.01","2.329450915141431","2003","04","22"
"11.0","1.6363636363636365","2003","04","23"
"4.0","4.2525","2003","05","10"
"4.0","4.0","2003","05","10"
"9.0","1.6677777777777778","2003","05","29"
"2.99","5.020066889632107","2003","05","31"
"13.0","1.7692307692307692","2003","05","31"
"8.01","2.3707865168539324","2003","05","31"
"5.0","2.8","2003","06","01"
"9.0","1.6677777777777778","2003","06","18"
"7.0","2.0","2003","06","26"
"9.99","1.7027027027027029","2003","07","04"
"6.01","2.329450915141431","2003","07","04"
"14.0","1.6428571428571428","2003","07","20"
"15.01","1.3324450366422385","2003","07","20"
"7.0","2.144285714285714","2003","08","14"
"9.99","1.9009009009009008","2003","08","29"
"11.99","1.8348623853211008","2003","09","02"
"5.0","3.2","2003","09","02"
"9.99","1.6016016016016015","2003","09","03"
"11.0","1.5463636363636366","2003","09","03"
"8.01","1.7478152309612984","2003","09","06"
"13.0","1.6923076923076923","2003","09","06"
"9.0","2.11","2003","09","06"
"9.99","2.2022022022022023","2003","09","07"
"11.99","1.4186822351959967","2003","09","07"
"6.01","2.329450915141431","2003","09","07"
"11.0","1.2727272727272727","2003","09","07"
"11.0","1.2727272727272727","2003","09","07"
"6.01","2.995008319467554","2003","09","11"
"9.99","1.5025025025025025","2003","09","11"
"6.01","2.662229617304493","2003","09","11"
"7.0","2.0","2003","09","11"
"4.0","3.7525","2003","09","11"
"7.0","2.43","2003","09","13"
"8.01","1.7478152309612984","2003","09","13"
"8.01","2.1235955056179776","2003","09","13"
"11.0","1.6363636363636365","2003","09","13"
"17.01","1.6455026455026454","2003","09","14"
"13.0","2.000769230769231","2003","09","14"
"18.99","1.4739336492890995","2003","09","14"
"20.99","1.6198189614101954","2003","09","14"
"13.0","1.6146153846153846","2003","09","14"
"9.99","1.6016016016016015","2003","09","19"
"11.0","1.2727272727272727","2003","09","19"
"8.01","1.7478152309612984","2003","09","19"
"9.0","1.5555555555555556","2003","09","21"
"9.99","1.4014014014014013","2003","09","24"
"9.99","1.6016016016016015","2003","09","24"
"8.01","1.7478152309612984","2003","09","24"
"9.0","1.8900000000000001","2003","09","24"
"8.01","2.1235955056179776","2003","09","24"
"6.01","2.329450915141431","2003","09","24"
"4.0","4.0","2003","09","24"
"2.99","5.351170568561873","2003","09","24"
"9.99","1.4014014014014013","2003","09","24"
"9.99","1.6016016016016015","2003","09","25"
"9.0","2.332222222222222","2003","09","25"
"9.99","1.6016016016016015","2003","09","25"
"9.0","1.7777777777777777","2003","09","25"
"8.01","2.746566791510612","2003","09","25"
"11.0","1.4545454545454546","2003","09","25"
"9.0","1.8900000000000001","2003","09","25"
"9.0","2.332222222222222","2003","09","25"
"8.01","1.9975031210986267","2003","09","25"
"9.99","1.9009009009009008","2003","09","25"
"11.0","1.7263636363636363","2003","09","25"
"9.99","1.7027027027027029","2003","09","25"
"9.0","1.5555555555555556","2003","09","25"
"9.0","1.5555555555555556","2003","09","25"
"11.0","1.5463636363636366","2003","09","25"
