"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"18.99","1.5271195365982098","2003","01","07"
"9.0","1.6677777777777778","2003","03","05"
"9.99","2.2022022022022023","2003","03","23"
"13.0","1.3084615384615386","2003","03","23"
"27.99","1.3215434083601287","2003","09","14"
"14.0","1.4285714285714286","2003","10","28"
"13.0","1.5384615384615385","2003","10","29"
"11.0","2.4545454545454546","2003","10","29"
"15.01","1.3324450366422385","2003","11","11"
"11.0","1.4545454545454546","2003","11","17"
"9.99","2.5025025025025025","2003","11","25"
"13.0","1.3846153846153846","2003","11","25"
"23.0","1.4782608695652173","2003","11","29"
"4.0","4.7475","2003","11","29"
"20.0","1.55","2003","11","29"
"13.0","2.3846153846153846","2003","11","29"
"23.0","1.3039130434782609","2003","11","29"
"11.99","1.7506255212677229","2003","11","29"
"13.0","1.7692307692307692","2003","11","29"
"23.0","1.391304347826087","2003","11","29"
"18.0","1.7222222222222223","2003","11","29"
"13.0","1.9230769230769231","2003","11","29"
"13.0","1.8469230769230771","2003","11","29"
"16.0","1.625625","2003","11","29"
"11.99","1.3344453711426187","2003","11","29"
"18.99","1.6324381253291207","2003","11","29"
"11.99","2.585487906588824","2003","11","29"
"14.0","1.4285714285714286","2003","11","29"
"11.99","1.9182652210175146","2003","12","03"
"18.0","1.3888888888888888","2003","12","25"
"20.0","1.35","2003","12","25"
"11.0","1.8181818181818181","2004","01","14"
"14.0","1.3564285714285713","2004","01","18"
"14.0","1.3564285714285713","2004","01","24"
"11.0","1.4545454545454546","2004","01","24"
"9.0","1.5555555555555556","2004","03","05"
"15.01","1.1992005329780147","2004","03","05"
"9.0","2.2222222222222223","2004","03","09"
"26.01","1.3071895424836601","2004","03","16"
"24.01","1.2911286963765096","2004","03","16"
"24.01","1.2490628904623071","2004","03","16"
"17.01","1.3521457965902408","2004","03","16"
"23.0","1.3039130434782609","2004","03","16"
"16.0","1.8125","2004","03","16"
"14.0","1.3564285714285713","2004","03","17"
"6.01","2.662229617304493","2004","03","17"
"11.0","1.4545454545454546","2004","03","19"
"14.0","1.3564285714285713","2004","04","14"
"18.0","1.2777777777777777","2004","04","15"
"11.0","1.6363636363636365","2004","05","05"
"9.99","1.6016016016016015","2004","05","20"
"13.0","1.3846153846153846","2004","06","09"
"26.01","1.2691272587466358","2004","10","27"
"22.0","1.4090909090909092","2004","10","27"
"6.01","2.497504159733777","2004","11","05"
"16.0","1.625625","2004","11","06"
"25.0","1.16","2004","11","21"
"14.0","1.3564285714285713","2004","11","21"
"14.0","1.8578571428571429","2004","12","21"
"11.99","1.3344453711426187","2004","12","25"
"14.0","1.499285714285714","2004","12","31"
"6.01","2.995008319467554","2004","12","31"
"13.0","1.8469230769230771","2005","01","05"
"7.0","2.0","2005","01","08"
"11.99","1.3344453711426187","2005","03","29"
"11.0","1.7263636363636363","2005","09","13"
"14.0","1.5714285714285714","2005","09","14"
"20.0","1.3005","2005","11","25"
"14.0","1.6428571428571428","2005","11","25"
"17.01","1.2339800117577893","2006","02","03"
"14.0","1.4285714285714286","2006","02","04"
"9.99","1.5025025025025025","2006","02","13"
"8.01","1.7478152309612984","2006","02","13"
"16.0","1.311875","2006","02","21"
"20.0","1.6","2006","02","21"
"14.0","2.2857142857142856","2006","02","21"
"18.99","1.5792522380200107","2006","02","21"
"16.0","1.874375","2006","02","21"
"16.0","1.8125","2006","02","22"
"26.01","1.2691272587466358","2006","02","22"
"22.0","1.4545454545454546","2006","02","22"
"16.0","1.311875","2006","02","22"
"15.01","1.3984010659560293","2006","02","22"
"14.0","1.215","2006","03","08"
"9.0","1.7777777777777777","2006","03","17"
"8.01","2.1235955056179776","2006","03","23"
"13.0","1.4607692307692306","2006","06","12"
